ligand,class,prep,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ,rtm_3RCD,heavy_atoms,MW,cLogP,TPSA,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z
EH40_14,dual,rdkit_meeko,7.2765,7.019,27.62659830481894,22.870623764419623,32.38257284521826,22.870623764419623,26.0,436.335,2.261,84.88999999999999,-0.7797082237995804,-1.5593321892931873,-1.5593321892931873
EH40_15,dual,rdkit_meeko,8.606,8.302,54.378570972309674,47.036335710055816,47.036335710055816,61.720806234563526,25.0,336.44300000000015,2.7044200000000007,71.48,0.10269655526187536,0.17183999553642326,0.10269655526187536
EH40_16,A_only,rdkit_meeko,10.3605,10.178,42.41618468897036,39.93985624853908,44.89251312940165,39.93985624853908,29.0,417.33900000000017,7.502300000000004,15.6,-0.026397883352821762,-0.7987236512095773,-0.7987236512095773
EH40_17,A_only,rdkit_meeko,8.8135,8.408,50.263466068323396,37.64313037334304,37.64313037334304,62.88380176330376,29.0,454.3720000000001,4.972400000000004,70.15,-0.4629335396340821,0.22366331739555578,-0.4629335396340821
EH40_18,A_only,rdkit_meeko,11.337,10.303,38.40263754180306,30.76960618528285,30.76960618528285,46.03566889832327,36.0,483.4990000000002,5.446200000000004,99.69000000000001,-0.8768361425684215,-0.5270929758234653,-0.8768361425684215
EH40_19,A_only,rdkit_meeko,8.411000000000001,8.367,33.00621540518826,32.861979570008685,32.861979570008685,33.15045124036783,27.0,400.906,5.583900000000003,35.5,-0.7508398171677007,-1.101260945872775,-1.101260945872775
EH40_20,A_only,rdkit_meeko,10.026499999999999,9.818,43.83464679874357,42.49106126091406,42.49106126091406,45.17823233657308,38.0,545.9740000000003,4.4577000000000035,97.84,-0.17100596968430506,-0.5653005267686532,-0.5653005267686532
EH40_21,A_only,rdkit_meeko,9.1375,8.862,56.10819488285172,40.59718073794564,40.59718073794564,71.61920902775779,32.0,496.40900000000016,4.741400000000003,79.38,-0.2850496620692006,0.612914876020869,-0.2850496620692006
EH40_22,A_only,rdkit_meeko,10.062999999999999,9.946,46.945680825166306,40.41843408024804,40.41843408024804,53.47292757008457,40.0,566.0810000000001,4.748720000000004,98.41000000000001,-0.2958132390731727,-0.19568718760534157,-0.2958132390731727
EH40_23,A_only,rdkit_meeko,11.1485,10.945,81.53375979453438,65.91810777616817,65.91810777616817,97.14941181290057,34.0,470.89500000000027,6.087860000000003,106.65,1.2396991164447393,1.7505460047462966,1.2396991164447393
EH40_24,A_only,rdkit_meeko,7.3515,7.308,26.48928026379948,21.070613912939365,21.070613912939365,31.907946614659597,17.0,253.258,1.0842,74.05,-1.4608797914343674,-1.1566272095756864,-1.4608797914343674
EH40_25,A_only,rdkit_meeko,8.0215,7.892,44.220408091710276,19.896400047697373,19.896400047697373,68.54441613572318,17.0,221.26300000000003,3.373400000000001,37.81,-1.5315873588958286,0.47590146732213784,-1.5315873588958286
EH40_26,A_only,rdkit_meeko,7.6579999999999995,7.499,45.192065341464684,36.69947656890007,36.69947656890007,53.6846541140293,24.0,324.3840000000001,3.0805000000000016,68.52,-0.5197574854356123,-0.1862526089145234,-0.5197574854356123
