pair,ligand,molecule_chembl_id,n_act_A,n_act_B,max_A,median_A,max_B,median_B,class_max,class_median,flip_max_to_median,n_documents,first_year,panel_pA,panel_pB,dump_missing_A,dump_missing_B,dump_max_matches_panel_A,dump_max_matches_panel_B
F2/F10,F2F10_016,CHEMBL308600,1,1,7.57,7.57,4.34,4.34,A_only,A_only,0,1,2003,7.57,4.34,0,0,1,1
F2/F10,F2F10_017,CHEMBL3114556,1,1,7.5,7.5,5.41,5.41,A_only,A_only,0,1,2014,7.50,5.41,0,0,1,1
F2/F10,F2F10_018,CHEMBL338788,1,1,7.96,7.96,4.28,4.28,A_only,A_only,0,1,1997,7.96,4.28,0,0,1,1
F2/F10,F2F10_019,CHEMBL377627,1,1,6.52,6.52,5.5,5.5,A_only,A_only,0,1,2006,6.52,5.50,0,0,1,1
F2/F10,F2F10_020,CHEMBL379957,1,1,6.58,6.58,5.08,5.08,A_only,A_only,0,1,2006,6.58,5.08,0,0,1,1
F2/F10,F2F10_021,CHEMBL41220,1,1,7.02,7.02,4.18,4.18,A_only,A_only,0,1,2004,7.02,4.18,0,0,1,1
F2/F10,F2F10_022,CHEMBL41876,3,1,8.34,8.34,4.1,4.1,A_only,A_only,0,3,1998,8.34,4.10,0,0,1,1
F2/F10,F2F10_023,CHEMBL421437,1,1,9.09,9.09,5.08,5.08,A_only,A_only,0,1,1997,9.09,5.08,0,0,1,1
F2/F10,F2F10_024,CHEMBL466588,1,1,7.29,7.29,5.25,5.25,A_only,A_only,0,1,2009,7.29,5.25,0,0,1,1
F2/F10,F2F10_025,CHEMBL48361,22,3,8.92,8.35,5.42,5.42,A_only,A_only,0,19,2002,8.92,5.42,0,0,1,1
F2/F10,F2F10_026,CHEMBL493520,1,1,6.96,6.96,5.36,5.36,A_only,A_only,0,1,2009,6.96,5.36,0,0,1,1
F2/F10,F2F10_027,CHEMBL499200,1,1,6.62,6.62,5.47,5.47,A_only,A_only,0,1,2009,6.62,5.47,0,0,1,1
F2/F10,F2F10_028,CHEMBL5418843,1,1,8.15,8.15,5.03,5.03,A_only,A_only,0,1,2023,8.15,5.03,0,0,1,1
F2/F10,F2F10_029,CHEMBL5423783,1,1,8.4,8.4,5.17,5.17,A_only,A_only,0,1,2023,8.40,5.17,0,0,1,1
F2/F10,F2F10_030,CHEMBL5425205,1,1,8.3,8.3,5.19,5.19,A_only,A_only,0,1,2023,8.30,5.19,0,0,1,1
F2/F10,F2F10_031,CHEMBL5430930,1,1,7.54,7.54,4.17,4.17,A_only,A_only,0,1,2023,7.54,4.17,0,0,1,1
F2/F10,F2F10_032,CHEMBL75255,2,1,8.22,8.22,4.92,4.92,A_only,A_only,0,2,2003,8.22,4.92,0,0,1,1
F2/F10,F2F10_033,CHEMBL1160812,1,1,5.2,5.2,7.15,7.15,B_only,B_only,0,1,2000,5.20,7.15,0,0,1,1
F2/F10,F2F10_034,CHEMBL124834,1,1,5.1,5.1,8.1,8.1,B_only,B_only,0,1,2003,5.10,8.10,0,0,1,1
F2/F10,F2F10_035,CHEMBL138258,1,1,5.48,5.48,7.3,7.3,B_only,B_only,0,1,1998,5.48,7.30,0,0,1,1
F2/F10,F2F10_036,CHEMBL158219,1,1,5.5,5.5,8.96,8.96,B_only,B_only,0,1,2001,5.50,8.96,0,0,1,1
F2/F10,F2F10_037,CHEMBL163121,1,1,5.4,5.4,8.4,8.4,B_only,B_only,0,1,2003,5.40,8.40,0,0,1,1
F2/F10,F2F10_038,CHEMBL175779,1,1,4.7,4.7,8.2,8.2,B_only,B_only,0,1,2005,4.70,8.20,0,0,1,1
F2/F10,F2F10_039,CHEMBL231595,1,1,4.75,4.75,8.31,8.31,B_only,B_only,0,1,2007,4.75,8.31,0,0,1,1
F2/F10,F2F10_040,CHEMBL2417904,1,1,4.62,4.62,7.46,7.46,B_only,B_only,0,1,2013,4.62,7.46,0,0,1,1
F2/F10,F2F10_041,CHEMBL24263,1,1,5.49,5.49,9.25,9.25,B_only,B_only,0,1,2002,5.49,9.25,0,0,1,1
F2/F10,F2F10_042,CHEMBL279962,1,1,5.3,5.3,7.0,7.0,B_only,B_only,0,1,1994,5.30,7.00,0,0,1,1
F2/F10,F2F10_043,CHEMBL327213,4,5,5.05,4.885,8.64,8.37,B_only,B_only,0,2,1999,5.05,8.64,0,0,1,1
F2/F10,F2F10_044,CHEMBL327331,1,1,5.11,5.11,8.89,8.89,B_only,B_only,0,1,1999,5.11,8.89,0,0,1,1
F2/F10,F2F10_045,CHEMBL328451,1,1,5.41,5.41,7.43,7.43,B_only,B_only,0,1,1999,5.41,7.43,0,0,1,1
F2/F10,F2F10_046,CHEMBL328805,1,1,4.89,4.89,8.28,8.28,B_only,B_only,0,1,1999,4.89,8.28,0,0,1,1
F2/F10,F2F10_047,CHEMBL330572,1,2,5.4,5.4,9.15,9.15,B_only,B_only,0,2,1999,5.40,9.15,0,0,1,1
F2/F10,F2F10_048,CHEMBL3409890,1,1,4.32,4.32,7.64,7.64,B_only,B_only,0,1,2015,4.32,7.64,0,0,1,1
F2/F10,F2F10_049,CHEMBL344281,1,1,4.82,4.82,7.52,7.52,B_only,B_only,0,1,1998,4.82,7.52,0,0,1,1
F2/F10,F2F10_050,CHEMBL344309,1,1,4.89,4.89,6.7,6.7,B_only,B_only,0,1,1998,4.89,6.70,0,0,1,1
F2/F10,F2F10_051,CHEMBL349618,1,1,5.3,5.3,8.4,8.4,B_only,B_only,0,1,2003,5.30,8.40,0,0,1,1
F2/F10,F2F10_052,CHEMBL351329,1,1,5.48,5.48,7.24,7.24,B_only,B_only,0,1,1998,5.48,7.24,0,0,1,1
F2/F10,F2F10_053,CHEMBL352099,1,1,5.42,5.42,9.2,9.2,B_only,B_only,0,1,2000,5.42,9.20,0,0,1,1
F2/F10,F2F10_054,CHEMBL360894,1,1,4.89,4.89,8.6,8.6,B_only,B_only,0,1,2005,4.89,8.60,0,0,1,1
F2/F10,F2F10_055,CHEMBL3780584,1,1,4.45,4.45,6.62,6.62,B_only,B_only,0,1,2016,4.45,6.62,0,0,1,1
F2/F10,F2F10_056,CHEMBL392297,1,1,5.4,5.4,9.19,9.19,B_only,B_only,0,1,2007,5.40,9.19,0,0,1,1
F2/F10,F2F10_057,CHEMBL397679,1,1,5.12,5.12,8.59,8.59,B_only,B_only,0,1,2007,5.12,8.59,0,0,1,1
F2/F10,F2F10_058,CHEMBL408928,1,1,5.42,5.42,8.38,8.38,B_only,B_only,0,1,1999,5.42,8.38,0,0,1,1
F2/F10,F2F10_059,CHEMBL415907,1,1,5.4,5.4,8.1,8.1,B_only,B_only,0,1,2002,5.40,8.10,0,0,1,1
F2/F10,F2F10_060,CHEMBL429170,2,2,4.82,4.82,6.6,6.6,B_only,B_only,0,2,2003,4.82,6.60,0,0,1,1
F2/F10,F2F10_061,CHEMBL441670,1,1,5.41,5.41,8.21,8.21,B_only,B_only,0,1,2000,5.41,8.21,0,0,1,1
F2/F10,F2F10_062,CHEMBL52932,1,1,4.42,4.42,7.58,7.58,B_only,B_only,0,1,2003,4.42,7.58,0,0,1,1
F2/F10,F2F10_063,CHEMBL62288,1,2,5.2,5.2,8.8,8.55,B_only,B_only,0,1,2002,5.20,8.80,0,0,1,1
F2/F10,F2F10_064,CHEMBL8090,1,1,4.85,4.85,7.82,7.82,B_only,B_only,0,1,2003,4.85,7.82,0,0,1,1
F2/F10,F2F10_065,CHEMBL1161499,1,1,9.02,9.02,7.03,7.03,dual,dual,0,1,2002,9.02,7.03,0,0,1,1
F2/F10,F2F10_066,CHEMBL1161500,1,1,9.27,9.27,7.4,7.4,dual,dual,0,1,2002,9.27,7.40,0,0,1,1
F2/F10,F2F10_067,CHEMBL194486,1,1,8.77,8.77,8.15,8.15,dual,dual,0,1,2005,8.77,8.15,0,0,1,1
F2/F10,F2F10_068,CHEMBL198735,1,1,10.22,10.22,8.92,8.92,dual,dual,0,1,2005,10.22,8.92,0,0,1,1
F2/F10,F2F10_069,CHEMBL2334315,1,1,7.5,7.5,6.54,6.54,dual,dual,0,1,2013,7.50,6.54,0,0,1,1
F2/F10,F2F10_070,CHEMBL263784,1,1,6.75,6.75,9.7,9.7,dual,dual,0,1,2000,6.75,9.70,0,0,1,1
F2/F10,F2F10_071,CHEMBL265315,1,1,8.82,8.82,6.78,6.78,dual,dual,0,1,1999,8.82,6.78,0,0,1,1
F2/F10,F2F10_072,CHEMBL299009,1,1,6.92,6.92,9.3,9.3,dual,dual,0,1,2001,6.92,9.30,0,0,1,1
F2/F10,F2F10_073,CHEMBL3091512,1,1,7.14,7.14,8.85,8.85,dual,dual,0,1,2013,7.14,8.85,0,0,1,1
F2/F10,F2F10_074,CHEMBL316334,1,1,6.62,6.62,7.11,7.11,dual,dual,0,1,2001,6.62,7.11,0,0,1,1
F2/F10,F2F10_075,CHEMBL332121,1,1,6.58,6.58,8.1,8.1,dual,dual,0,1,1999,6.58,8.10,0,0,1,1
F2/F10,F2F10_076,CHEMBL332157,1,1,6.52,6.52,10.43,10.43,dual,dual,0,1,2003,6.52,10.43,0,0,1,1
F2/F10,F2F10_077,CHEMBL343805,1,1,9.15,9.15,7.69,7.69,dual,dual,0,1,1996,9.15,7.69,0,0,1,1
F2/F10,F2F10_078,CHEMBL358918,1,1,6.52,6.52,8.34,8.34,dual,dual,0,1,1999,6.52,8.34,0,0,1,1
F2/F10,F2F10_079,CHEMBL3659625,1,1,6.7,6.7,7.68,7.68,dual,dual,0,1,2013,6.70,7.68,0,0,1,1
F2/F10,F2F10_081,CHEMBL379036,1,1,6.6,6.6,10.0,10.0,dual,dual,0,1,2006,6.60,10.00,0,0,1,1
F2/F10,F2F10_082,CHEMBL379588,1,1,6.92,6.92,9.51,9.51,dual,dual,0,1,2006,6.92,9.51,0,0,1,1
F2/F10,F2F10_083,CHEMBL387856,1,1,6.8,6.8,10.92,10.92,dual,dual,0,1,2007,6.80,10.92,0,0,1,1
F2/F10,F2F10_084,CHEMBL422321,1,1,6.7,6.7,6.89,6.89,dual,dual,0,1,1999,6.70,6.89,0,0,1,1
F2/F10,F2F10_085,CHEMBL422688,1,1,6.64,6.64,10.7,10.7,dual,dual,0,1,2001,6.64,10.70,0,0,1,1
F2/F10,F2F10_086,CHEMBL425132,1,1,7.32,7.32,10.34,10.34,dual,dual,0,1,2000,7.32,10.34,0,0,1,1
F2/F10,F2F10_087,CHEMBL502292,1,1,7.3,7.3,9.19,9.19,dual,dual,0,1,2009,7.30,9.19,0,0,1,1
F2/F10,F2F10_088,CHEMBL506771,1,1,7.79,7.79,9.92,9.92,dual,dual,0,1,2009,7.79,9.92,0,0,1,1
F2/F10,F2F10_089,CHEMBL6188485,2,2,8.7,8.26,9.09,8.65,dual,dual,0,1,2025,8.70,9.09,0,0,1,1
F2/F10,F2F10_090,CHEMBL6188682,2,2,8.89,8.405,9.09,8.59,dual,dual,0,1,2025,8.89,9.09,0,0,1,1
F2/F10,F2F10_091,CHEMBL6189551,2,2,8.31,7.985,9.17,8.675,dual,dual,0,1,2025,8.31,9.17,0,0,1,1
F2/F10,F2F10_092,CHEMBL6190657,2,2,9.72,8.745,9.02,8.155,dual,dual,0,1,2025,9.72,9.02,0,0,1,1
F2/F10,F2F10_093,CHEMBL73737,1,1,8.38,8.38,9.3,9.3,dual,dual,0,1,2001,8.38,9.30,0,0,1,1
F2/F10,F2F10_094,CHEMBL7860,1,1,10.7,10.7,6.7,6.7,dual,dual,0,1,2002,10.70,6.70,0,0,1,1
F2/F10,F2F10_095,CHEMBL96231,1,1,6.57,6.57,7.0,7.0,dual,dual,0,1,2002,6.57,7.00,0,0,1,1
F2/F10,F2F10_096,CHEMBL99630,1,1,7.12,7.12,7.54,7.54,dual,dual,0,1,2003,7.12,7.54,0,0,1,1
F2/F10,F2F10_097,CHEMBL210189,1,1,4.92,4.92,4.62,4.62,neither,neither,0,1,2006,4.92,4.62,0,0,1,1
F2/F10,F2F10_098,CHEMBL212031,1,1,4.7,4.7,5.3,5.3,neither,neither,0,1,2006,4.70,5.30,0,0,1,1
F2/F10,F2F10_099,CHEMBL213180,1,1,4.0,4.0,4.52,4.52,neither,neither,0,1,2006,4.00,4.52,0,0,1,1
F2/F10,F2F10_100,CHEMBL321895,1,1,5.16,5.16,4.06,4.06,neither,neither,0,1,2003,5.16,4.06,0,0,1,1
F2/F10,F2F10_101,CHEMBL339902,1,1,4.22,4.22,4.72,4.72,neither,neither,0,1,2001,4.22,4.72,0,0,1,1
F2/F10,F2F10_102,CHEMBL377956,1,1,4.36,4.36,5.46,5.46,neither,neither,0,1,2006,4.36,5.46,0,0,1,1
F2/F10,F2F10_103,CHEMBL416674,1,1,4.7,4.7,4.47,4.47,neither,neither,0,1,2002,4.70,4.47,0,0,1,1
F2/F10,F2F10_104,CHEMBL54311,1,1,4.64,4.64,5.37,5.37,neither,neither,0,1,2001,4.64,5.37,0,0,1,1
F2/F10,F2F10_107,CHEMBL6103254,1,1,4.38,4.38,4.32,4.32,neither,neither,0,1,2025,4.38,4.32,0,0,1,1
F2/F10,F2F10_108,CHEMBL61791,1,1,4.3,4.3,4.03,4.03,neither,neither,0,1,2002,4.30,4.03,0,0,1,1
F2/F10,F2F10_109,CHEMBL62836,1,1,4.64,4.64,4.51,4.51,neither,neither,0,1,2002,4.64,4.51,0,0,1,1
F2/F10,F2F10_110,CHEMBL99951,1,1,4.51,4.51,5.35,5.35,neither,neither,0,1,2006,4.51,5.35,0,0,1,1
JAK1/TYK2,J1TYK2_001,CHEMBL1235315,2,1,6.6,6.6,5.36,5.36,A_only,A_only,0,2,2011,6.60,5.36,0,0,1,1
JAK1/TYK2,J1TYK2_002,CHEMBL3655087,2,2,7.51,7.51,5.28,5.28,A_only,A_only,0,2,2015,7.51,5.28,0,0,1,1
JAK1/TYK2,J1TYK2_003,CHEMBL3658855,2,2,6.62,6.62,5.1,5.1,A_only,A_only,0,2,2015,6.62,5.10,0,0,1,1
JAK1/TYK2,J1TYK2_004,CHEMBL3658861,2,2,7.17,7.17,5.44,5.44,A_only,A_only,0,2,2015,7.17,5.44,0,0,1,1
JAK1/TYK2,J1TYK2_005,CHEMBL3745954,2,1,7.31,7.215,4.94,4.94,A_only,A_only,0,1,2016,7.31,4.94,0,0,1,1
JAK1/TYK2,J1TYK2_006,CHEMBL3752910,1,1,8.29,8.29,4.44,4.44,A_only,A_only,0,1,2018,8.29,4.44,0,0,1,1
JAK1/TYK2,J1TYK2_007,CHEMBL4276860,2,1,7.02,6.545,5.5,5.5,A_only,A_only,0,1,2018,7.02,5.50,0,0,1,1
JAK1/TYK2,J1TYK2_008,CHEMBL4286963,2,1,7.04,6.5,5.47,5.47,A_only,A_only,0,1,2018,7.04,5.47,0,0,1,1
JAK1/TYK2,J1TYK2_009,CHEMBL5556990,1,1,7.94,7.94,5.38,5.38,A_only,A_only,0,1,2024,7.94,5.38,0,0,1,1
JAK1/TYK2,J1TYK2_010,CHEMBL5754673,1,1,7.38,7.38,5.38,5.38,A_only,A_only,0,1,2020,7.38,5.38,0,0,1,1
JAK1/TYK2,J1TYK2_011,CHEMBL5758787,1,1,7.92,7.92,5.29,5.29,A_only,A_only,0,1,2016,7.92,5.29,0,0,1,1
JAK1/TYK2,J1TYK2_012,CHEMBL5764984,1,1,7.38,7.38,5.43,5.43,A_only,A_only,0,1,2016,7.38,5.43,0,0,1,1
JAK1/TYK2,J1TYK2_013,CHEMBL5767696,1,1,7.11,7.11,5.26,5.26,A_only,A_only,0,1,2021,7.11,5.26,0,0,1,1
JAK1/TYK2,J1TYK2_014,CHEMBL5779019,1,1,6.52,6.52,5.24,5.24,A_only,A_only,0,1,2020,6.52,5.24,0,0,1,1
JAK1/TYK2,J1TYK2_015,CHEMBL5789204,2,2,7.38,7.38,5.21,5.21,A_only,A_only,0,2,2016,7.38,5.21,0,0,1,1
JAK1/TYK2,J1TYK2_016,CHEMBL5790283,1,1,7.21,7.21,5.32,5.32,A_only,A_only,0,1,2021,7.21,5.32,0,0,1,1
JAK1/TYK2,J1TYK2_017,CHEMBL5821303,1,1,7.02,7.02,5.07,5.07,A_only,A_only,0,1,2021,7.02,5.07,0,0,1,1
JAK1/TYK2,J1TYK2_018,CHEMBL5821443,1,1,7.38,7.38,5.43,5.43,A_only,A_only,0,1,2018,7.38,5.43,0,0,1,1
JAK1/TYK2,J1TYK2_019,CHEMBL5878280,1,1,7.04,7.04,5.27,5.27,A_only,A_only,0,1,2021,7.04,5.27,0,0,1,1
JAK1/TYK2,J1TYK2_020,CHEMBL5898638,1,1,7.03,7.03,5.15,5.15,A_only,A_only,0,1,2021,7.03,5.15,0,0,1,1
JAK1/TYK2,J1TYK2_021,CHEMBL5913000,1,1,7.25,7.25,5.38,5.38,A_only,A_only,0,1,2021,7.25,5.38,0,0,1,1
JAK1/TYK2,J1TYK2_022,CHEMBL5932349,1,1,7.7,7.7,5.44,5.44,A_only,A_only,0,1,2021,7.70,5.44,0,0,1,1
JAK1/TYK2,J1TYK2_023,CHEMBL5937222,1,1,6.69,6.69,5.37,5.37,A_only,A_only,0,1,2020,6.69,5.37,0,0,1,1
JAK1/TYK2,J1TYK2_024,CHEMBL5943119,1,1,7.3,7.3,5.25,5.25,A_only,A_only,0,1,2018,7.30,5.25,0,0,1,1
JAK1/TYK2,J1TYK2_025,CHEMBL5950866,1,1,8.15,8.15,5.09,5.09,A_only,A_only,0,1,2021,8.15,5.09,0,0,1,1
JAK1/TYK2,J1TYK2_026,CHEMBL5971061,1,1,7.07,7.07,5.44,5.44,A_only,A_only,0,1,2021,7.07,5.44,0,0,1,1
JAK1/TYK2,J1TYK2_027,CHEMBL5973654,1,1,7.25,7.25,5.32,5.32,A_only,A_only,0,1,2021,7.25,5.32,0,0,1,1
JAK1/TYK2,J1TYK2_028,CHEMBL5976567,2,2,7.59,7.59,5.0,5.0,A_only,A_only,0,2,2016,7.59,5.00,0,0,1,1
JAK1/TYK2,J1TYK2_029,CHEMBL5984591,1,1,7.66,7.66,5.45,5.45,A_only,A_only,0,1,2021,7.66,5.45,0,0,1,1
JAK1/TYK2,J1TYK2_030,CHEMBL6011213,2,2,7.17,7.17,5.2,5.2,A_only,A_only,0,2,2016,7.17,5.20,0,0,1,1
JAK1/TYK2,J1TYK2_031,CHEMBL6055152,1,1,7.16,7.16,5.22,5.22,A_only,A_only,0,1,2021,7.16,5.22,0,0,1,1
JAK1/TYK2,J1TYK2_032,CHEMBL6060475,2,2,7.26,7.26,5.06,5.06,A_only,A_only,0,2,2016,7.26,5.06,0,0,1,1
JAK1/TYK2,J1TYK2_033,CHEMBL2035043,1,1,5.32,5.32,6.82,6.82,B_only,B_only,0,1,2012,5.32,6.82,0,0,1,1
JAK1/TYK2,J1TYK2_034,CHEMBL2181323,1,1,5.44,5.44,6.72,6.72,B_only,B_only,0,1,2011,5.44,6.72,0,0,1,1
JAK1/TYK2,J1TYK2_035,CHEMBL482967,1,2,5.27,5.27,7.1,6.545,B_only,B_only,0,2,2017,5.27,7.10,0,0,1,1
JAK1/TYK2,J1TYK2_036,CHEMBL5394367,1,2,5.47,5.47,8.4,8.01,B_only,B_only,0,1,2023,5.47,8.40,0,0,1,1
JAK1/TYK2,J1TYK2_037,CHEMBL5401070,1,2,5.26,5.26,8.3,7.76,B_only,B_only,0,1,2023,5.26,8.30,0,0,1,1
JAK1/TYK2,J1TYK2_038,CHEMBL5403272,1,2,4.75,4.75,8.05,7.54,B_only,B_only,0,1,2023,4.75,8.05,0,0,1,1
JAK1/TYK2,J1TYK2_039,CHEMBL5419439,1,1,5.44,5.44,7.15,7.15,B_only,B_only,0,1,2024,5.44,7.15,0,0,1,1
JAK1/TYK2,J1TYK2_040,CHEMBL572878,1,3,5.23,5.23,6.7,6.29,B_only,B_only,0,2,2011,5.23,6.70,0,0,1,1
JAK1/TYK2,J1TYK2_041,CHEMBL5745046,1,1,5.06,5.06,6.63,6.63,B_only,B_only,0,1,2022,5.06,6.63,0,0,1,1
JAK1/TYK2,J1TYK2_042,CHEMBL5753698,1,1,5.39,5.39,7.38,7.38,B_only,B_only,0,1,2022,5.39,7.38,0,0,1,1
JAK1/TYK2,J1TYK2_043,CHEMBL5765175,1,1,5.26,5.26,7.26,7.26,B_only,B_only,0,1,2020,5.26,7.26,0,0,1,1
JAK1/TYK2,J1TYK2_044,CHEMBL5792195,3,3,5.26,5.26,7.26,6.26,B_only,B_only,0,3,2019,5.26,7.26,0,0,1,1
JAK1/TYK2,J1TYK2_045,CHEMBL5805758,1,1,5.01,5.01,6.54,6.54,B_only,B_only,0,1,2022,5.01,6.54,0,0,1,1
JAK1/TYK2,J1TYK2_046,CHEMBL5807692,1,1,5.16,5.16,7.15,7.15,B_only,B_only,0,1,2022,5.16,7.15,0,0,1,1
JAK1/TYK2,J1TYK2_047,CHEMBL5839380,3,4,5.07,5.07,7.09,7.09,B_only,B_only,0,4,2017,5.07,7.09,0,0,1,1
JAK1/TYK2,J1TYK2_048,CHEMBL5842551,1,1,5.48,5.48,6.76,6.76,B_only,B_only,0,1,2022,5.48,6.76,0,0,1,1
JAK1/TYK2,J1TYK2_049,CHEMBL5846204,3,3,5.26,5.26,7.26,7.26,B_only,B_only,0,3,2019,5.26,7.26,0,0,1,1
JAK1/TYK2,J1TYK2_050,CHEMBL5906308,1,1,5.25,5.25,6.75,6.75,B_only,B_only,0,1,2022,5.25,6.75,0,0,1,1
JAK1/TYK2,J1TYK2_051,CHEMBL5921362,3,3,5.26,5.26,7.26,7.26,B_only,B_only,0,3,2019,5.26,7.26,0,0,1,1
JAK1/TYK2,J1TYK2_052,CHEMBL5928297,1,1,5.2,5.2,6.71,6.71,B_only,B_only,0,1,2022,5.20,6.71,0,0,1,1
JAK1/TYK2,J1TYK2_053,CHEMBL5932251,4,4,5.06,5.06,7.28,7.28,B_only,B_only,0,3,2018,5.06,7.28,0,0,1,1
JAK1/TYK2,J1TYK2_054,CHEMBL5939221,3,3,5.26,5.26,7.26,7.26,B_only,B_only,0,3,2019,5.26,7.26,0,0,1,1
JAK1/TYK2,J1TYK2_055,CHEMBL5951989,2,2,5.26,5.26,7.26,6.76,B_only,B_only,0,2,2019,5.26,7.26,0,0,1,1
JAK1/TYK2,J1TYK2_056,CHEMBL5966507,1,1,5.2,5.2,7.11,7.11,B_only,B_only,0,1,2022,5.20,7.11,0,0,1,1
JAK1/TYK2,J1TYK2_057,CHEMBL5988129,1,1,5.23,5.23,6.62,6.62,B_only,B_only,0,1,2022,5.23,6.62,0,0,1,1
JAK1/TYK2,J1TYK2_058,CHEMBL5997386,1,1,5.4,5.4,6.95,6.95,B_only,B_only,0,1,2022,5.40,6.95,0,0,1,1
JAK1/TYK2,J1TYK2_059,CHEMBL5999588,1,2,5.43,5.43,6.78,6.28,B_only,B_only,0,1,2022,5.43,6.78,0,0,1,1
JAK1/TYK2,J1TYK2_060,CHEMBL6011153,1,1,5.3,5.3,7.12,7.12,B_only,B_only,0,1,2022,5.30,7.12,0,0,1,1
JAK1/TYK2,J1TYK2_061,CHEMBL6025350,1,1,5.19,5.19,6.51,6.51,B_only,B_only,0,1,2022,5.19,6.51,0,0,1,1
JAK1/TYK2,J1TYK2_062,CHEMBL6039711,3,3,5.26,5.26,7.26,7.26,B_only,B_only,0,3,2019,5.26,7.26,0,0,1,1
JAK1/TYK2,J1TYK2_063,CHEMBL6062880,1,1,5.17,5.17,6.77,6.77,B_only,B_only,0,1,2022,5.17,6.77,0,0,1,1
JAK1/TYK2,J1TYK2_064,CHEMBL6063674,1,1,5.18,5.18,6.63,6.63,B_only,B_only,0,1,2022,5.18,6.63,0,0,1,1
JAK1/TYK2,J1TYK2_065,CHEMBL2035055,1,1,6.7,6.7,7.39,7.39,dual,dual,0,1,2012,6.70,7.39,0,0,1,1
JAK1/TYK2,J1TYK2_066,CHEMBL2152305,2,1,8.62,7.845,7.07,7.07,dual,dual,0,1,2012,8.62,7.07,0,0,1,1
JAK1/TYK2,J1TYK2_067,CHEMBL2392480,2,1,8.23,7.505,7.1,7.1,dual,dual,0,1,2013,8.23,7.10,0,0,1,1
JAK1/TYK2,J1TYK2_068,CHEMBL3670391,1,1,7.82,7.82,7.36,7.36,dual,dual,0,1,2014,7.82,7.36,0,0,1,1
JAK1/TYK2,J1TYK2_069,CHEMBL3899650,3,3,8.37,7.8,6.92,6.33,dual,dual,0,2,2015,8.37,6.92,0,0,1,1
JAK1/TYK2,J1TYK2_070,CHEMBL3924902,1,1,7.96,7.96,6.7,6.7,dual,dual,0,1,2016,7.96,6.70,0,0,1,1
JAK1/TYK2,J1TYK2_071,CHEMBL3963443,2,2,8.72,8.72,7.0,7.0,dual,dual,0,2,2015,8.72,7.00,0,0,1,1
JAK1/TYK2,J1TYK2_072,CHEMBL3977718,1,1,9.0,9.0,8.15,8.15,dual,dual,0,1,2016,9.00,8.15,0,0,1,1
JAK1/TYK2,J1TYK2_073,CHEMBL3983344,2,2,8.0,8.0,6.54,6.54,dual,dual,0,2,2015,8.00,6.54,0,0,1,1
JAK1/TYK2,J1TYK2_074,CHEMBL3983594,1,1,8.72,8.72,7.35,7.35,dual,dual,0,1,2016,8.72,7.35,0,0,1,1
JAK1/TYK2,J1TYK2_075,CHEMBL4071255,1,1,9.3,9.3,7.68,7.68,dual,dual,0,1,2017,9.30,7.68,0,0,1,1
