repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3
REP_05133,CHEMBL244138,HEXAPROFEN,CC(C(=O)O)c1ccc(C2CCCCC2)cc1,YTUMWOBUZOYYJQ-UHFFFAOYSA-N,232.32,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc(C2CCCCC2)cc1,7575
REP_05131,CHEMBL2435707,SQUARIC ACID DIBUTYL ESTER,CCCCOc1c(OCCCC)c(=O)c1=O,XBRWELTXMQSEIN-UHFFFAOYSA-N,226.27,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=c1ccc1=O,7576
REP_05128,CHEMBL2424780,VESATOLIMOD,CCCCOc1nc(N)c2c(n1)N(Cc1cccc(CN3CCCC3)c1)CC(=O)N2,VFOKSTCIRGDTBR-UHFFFAOYSA-N,410.52,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C1CN(Cc2cccc(CN3CCCC3)c2)c2ncncc2N1,7577
REP_05127,CHEMBL242341,FORMONONETIN,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,268.27,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=c1c(-c2ccccc2)coc2ccccc12,7578
REP_05126,CHEMBL241782,DILMEFONE,COc1ccc(C(=O)/C=C/c2ccncc2)c(OC)c1,HIPIFFZGPOCRPX-ZZXKWVIFSA-N,269.3,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C(C=Cc1ccncc1)c1ccccc1,7579
REP_05124,CHEMBL240773,QUINPIROLE,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@H]21,FTSUPYGMFAPCFZ-ZWNOBZJWSA-N,219.33,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1[nH]nc2c1CC1NCCCC1C2,7580
REP_05084,CHEMBL2347597,ASNUCICLIB,CNc1nc(C)c(-c2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2F)s1,GAIOPWBQKZMUNO-UHFFFAOYSA-N,394.46,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc(Nc2nccc(-c3cncs3)n2)cc1,7581
REP_05114,CHEMBL238465,SOFINICLINE,Clc1cc(N2C[C@@H]3CN[C@@H]3C2)cnc1Cl,MBQYQLWSBRANKQ-IMTBSYHQSA-N,244.12,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1cncc(N2CC3CNC3C2)c1,7582
REP_04111,CHEMBL2106662,ALIPAMIDE,CN(C)NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,NJYBZXINKWROMG-UHFFFAOYSA-N,277.73,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccccc1,7583
REP_04110,CHEMBL2106661,ALIMADOL,C=CCNCCC(OC)(c1ccccc1)c1ccccc1,QFSWEWNANAHUNE-UHFFFAOYSA-N,281.4,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc(Cc2ccccc2)cc1,7584
REP_04109,CHEMBL2106658,BACMECILLINAM,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,XHKFBADIZIDYBU-MLFVOLAISA-N,441.55,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C1C(N=CN2CCCCCC2)C2SCCN12,7585
REP_04108,CHEMBL2106654,ETISAZOLE,CCNc1nsc2ccccc12,CPYSWRYVSINXMC-UHFFFAOYSA-N,178.26,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc2sncc2c1,7586
REP_04107,CHEMBL2106650,MOSAPRAMINE,O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,PXUIZULXJVRBPC-UHFFFAOYSA-N,479.07,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccccc31)CC2,7587
REP_04124,CHEMBL2106684,OCTAFONIUM CHLORIDE,CC[N+](CC)(CCOc1ccc(CC(C)(C)CC(C)C)cc1)Cc1ccccc1,DEQFVDUZSNMHQX-UHFFFAOYSA-N,396.64,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc(C[NH2+]CCOc2ccccc2)cc1,7588
REP_04123,CHEMBL2106681,FLUPROQUAZONE,Cc1ccc2c(-c3ccc(F)cc3)nc(=O)n(C(C)C)c2c1,ZWOUXWWGKJBAHQ-UHFFFAOYSA-N,296.35,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=c1nc(-c2ccccc2)c2ccccc2[nH]1,7589
REP_04122,CHEMBL2106680,NIFURVIDINE,Cc1nc(=O)cc(/C=C/c2ccc([N+](=O)[O-])o2)[nH]1,BRTOIRPXZSVHKA-NSCUHMNNSA-N,247.21,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=c1cc(C=Cc2ccco2)[nH]cn1,7590
REP_04120,CHEMBL2106676,DAMOTEPINE,CN(C)CC1=Cc2ccccc2Sc2ccccc21,BRCYAOFSVFIBPV-UHFFFAOYSA-N,267.4,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,C1=Cc2ccccc2Sc2ccccc21,7591
REP_04119,CHEMBL2106671,AMAFOLONE,C[C@]12C[C@H](O)[C@@H](N)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,QPRBHGIRKWZUFJ-PPMYXAGCSA-N,305.46,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C1CCC2C1CCC1C3CCCCC3CCC21,7592
REP_02015,CHEMBL164447,CLOBUZARIT,CC(C)(OCc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,UGOFYAXVVVXMQT-UHFFFAOYSA-N,304.77,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc(-c2ccccc2)cc1,7593
REP_04116,CHEMBL2106667,AMEZINIUM METILSULFATE,COS(=O)(=O)[O-].COc1cc(N)cn[n+]1-c1ccccc1,ZEASXVYVFFXULL-UHFFFAOYSA-N,313.33,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc(-[n+]2ccccn2)cc1,7594
REP_04115,CHEMBL2106666,FAZARABINE,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,NMUSYJAQQFHJEW-ARQDHWQXSA-N,244.21,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=c1ncncn1C1CCCO1,7595
REP_04132,CHEMBL2106696,PROLIGESTONE,CCC1O[C@]2(C(C)=O)CC[C@@]3(O1)[C@@H]1CCC4=CC(=O)CC[C@]4(C)[C@H]1CC[C@]23C,MQSDUYIXZDSLSZ-QSDCUGRSSA-N,386.53,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C1C=C2CCC3C(CCC4C5CCC43OCO5)C2CC1,7596
REP_04131,CHEMBL2106695,FUBROGONIUM IODIDE,CC[N+](C)(CC)CCC(C)OC(=O)c1ccc(Br)o1,BARVHWUQZBZQAP-UHFFFAOYSA-N,333.25,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccoc1,7597
