panel_id,molecule_chembl_id,class,target,pdb,pchembl_MCL1,pchembl_BCL2L1,status,vina_mode1,n_modes,reason,torsdof,exhaustiveness_used
MXA024,CHEMBL4868913,A_only,BCL2L1,3WIZ,6.44,5.64,success,-8.982,9,,8,8
MXA024,CHEMBL4868913,A_only,MCL1,3WIY,6.44,5.64,success,-10.59,9,,8,8
MXA019,CHEMBL3735206,A_only,BCL2L1,3WIZ,6.28,5.66,success,-8.152,9,,14,8
MXA019,CHEMBL3735206,A_only,MCL1,3WIY,6.28,5.66,success,-8.666,9,,14,8
MXB001,CHEMBL3900077,B_only,BCL2L1,3WIZ,5.8,6.85,success,-9.146,9,,12,8
MXB001,CHEMBL3900077,B_only,MCL1,3WIY,5.8,6.85,success,-7.911,9,,12,8
MXB002,CHEMBL376408,B_only,BCL2L1,3WIZ,4.68,9.89,success,-9.538,9,,16,8
MXB003,CHEMBL3342191,B_only,MCL1,3WIY,5.7,7.91,success,-9.723,9,,10,8
MXB003,CHEMBL3342191,B_only,BCL2L1,3WIZ,5.7,7.91,success,-8.72,9,,10,8
MXB002,CHEMBL376408,B_only,MCL1,3WIY,4.68,9.89,success,-7.842,9,,16,8
MXB005,CHEMBL3971226,B_only,BCL2L1,3WIZ,5.16,6.5,success,-9.143,9,,13,8
MXB005,CHEMBL3971226,B_only,MCL1,3WIY,5.16,6.5,success,-8.668,9,,13,8
MXB006,CHEMBL3947409,B_only,MCL1,3WIY,5.4,6.48,success,-9.032,9,,11,8
MXB006,CHEMBL3947409,B_only,BCL2L1,3WIZ,5.4,6.48,success,-8.886,9,,11,8
MXB007,CHEMBL3902269,B_only,BCL2L1,3WIZ,5.27,6.54,success,-8.609,9,,13,8
MXB004,CHEMBL4228713,B_only,BCL2L1,3WIZ,5.69,7.85,success,-9.742,9,,14,8
MXB007,CHEMBL3902269,B_only,MCL1,3WIY,5.27,6.54,success,-8.337,9,,13,8
MXB008,CHEMBL3960600,B_only,MCL1,3WIY,5.77,6.29,success,-8.081,9,,13,8
MXB008,CHEMBL3960600,B_only,BCL2L1,3WIZ,5.77,6.29,success,-8.886,9,,13,8
MXB004,CHEMBL4228713,B_only,MCL1,3WIY,5.69,7.85,success,-8.373,9,,14,8
MXB010,CHEMBL3960206,B_only,BCL2L1,3WIZ,5.57,6.68,success,-9.077,9,,12,8
