panel_id,molecule_chembl_id,class,vina_3WIY,vina_3WIZ,score_mean,score_worst
MXB005,CHEMBL3971226,B_only,-8.668,-9.143,8.9055,8.668
MXB006,CHEMBL3947409,B_only,-9.032,-8.886,8.959,8.886
MXB007,CHEMBL3902269,B_only,-8.337,-8.609,8.472999999999999,8.337
MXB008,CHEMBL3960600,B_only,-8.081,-8.886,8.4835,8.081
MXB009,CHEMBL3342332,B_only,-8.56,-9.208,8.884,8.56
MXB010,CHEMBL3960206,B_only,-8.597,-9.077,8.837,8.597
MXB011,CHEMBL3126118,B_only,-10.07,-9.044,9.557,9.044
MXB014,CHEMBL4474764,B_only,-8.349,-8.891,8.620000000000001,8.349
MXB015,CHEMBL3980363,B_only,-7.99,-8.915,8.4525,7.99
MXB016,CHEMBL3287301,B_only,-8.882,-8.782,8.832,8.782
MXB017,CHEMBL3933727,B_only,-8.303,-9.062,8.682500000000001,8.303
MXB018,CHEMBL1824812,B_only,-9.761,-9.386,9.5735,9.386
MXB019,CHEMBL4584015,B_only,-8.799,-9.149,8.974,8.799
MXB020,CHEMBL1940668,B_only,-8.866,-9.042,8.954,8.866
MXB021,CHEMBL3976674,B_only,-9.409,-8.743,9.076,8.743
MXB022,CHEMBL554545,B_only,-9.03,-10.04,9.535,9.03
MXB023,CHEMBL4077940,B_only,-8.164,-7.513,7.8385,7.513
MXB024,CHEMBL3961198,B_only,-8.679,-8.678,8.6785,8.678
MXD001,CHEMBL2312483,dual,-9.469,-8.695,9.082,8.695
MXD002,CHEMBL5285186,dual,-8.98,-7.81,8.395,7.81
MXD003,CHEMBL3401800,dual,-8.355,-8.682,8.5185,8.355
MXD004,CHEMBL3401816,dual,-9.254,-8.55,8.902000000000001,8.55
MXD005,CHEMBL3926515,dual,-7.529,-9.273,8.401,7.529
MXD006,CHEMBL443684,dual,-7.933,-9.737,8.835,7.933
MXD007,CHEMBL538616,dual,-8.993,-10.3,9.6465,8.993
MXD008,CHEMBL4165406,dual,-8.203,-7.322,7.762499999999999,7.322
MXD009,CHEMBL1269110,dual,-9.338,-9.081,9.209499999999998,9.081
MXD010,CHEMBL1272224,dual,-8.898,-7.686,8.292,7.686
MXD011,CHEMBL3781669,dual,-10.1,-8.365,9.2325,8.365
MXD012,CHEMBL1272170,dual,-8.949,-7.039,7.994,7.039
MXD013,CHEMBL2312484,dual,-8.831,-7.715,8.273,7.715
MXD014,CHEMBL1824813,dual,-9.618,-9.651,9.6345,9.618
MXD015,CHEMBL541004,dual,-8.906,-10.28,9.593,8.906
MXD016,CHEMBL2312481,dual,-7.623,-6.902,7.2625,6.902
MXD017,CHEMBL3780803,dual,-8.878,-8.418,8.648,8.418
MXD018,CHEMBL1269012,dual,-8.46,-9.533,8.996500000000001,8.46
MXD019,CHEMBL2312475,dual,-8.862,-8.453,8.657499999999999,8.453
MXD020,CHEMBL541496,dual,-8.109,-9.053,8.581,8.109
MXD021,CHEMBL1269077,dual,-9.644,-10.09,9.867,9.644
MXD023,CHEMBL3818394,dual,-9.823,-9.61,9.7165,9.61
MXD024,CHEMBL3126120,dual,-9.939,-10.22,10.0795,9.939
MXN001,CHEMBL3298852,neither,-9.417,-7.666,8.5415,7.666
MXN002,CHEMBL3426318,neither,-10.97,-7.828,9.399000000000001,7.828
MXN003,CHEMBL3358689,neither,-8.56,-8.221,8.3905,8.221
MXN004,CHEMBL1940671,neither,-8.232,-9.213,8.7225,8.232
MXN005,CHEMBL5192774,neither,-9.272,-9.358,9.315000000000001,9.272
MXN006,CHEMBL4472592,neither,-8.743,-8.391,8.567,8.391
MXN007,CHEMBL5282021,neither,-9.758,-7.544,8.651,7.544
MXN008,CHEMBL5266994,neither,-9.354,-7.826,8.59,7.826
MXN009,CHEMBL3197662,neither,-8.574,-6.512,7.542999999999999,6.512
MXN010,CHEMBL1824831,neither,-10.72,-9.375,10.0475,9.375
MXN011,CHEMBL1940670,neither,-8.869,-9.514,9.1915,8.869
MXN012,CHEMBL3298853,neither,-9.43,-7.154,8.292,7.154
MXN013,CHEMBL1490685,neither,-8.317,-7.483,7.9,7.483
MXN014,CHEMBL4456249,neither,-8.226,-7.38,7.803000000000001,7.38
MXN015,CHEMBL1940665,neither,-8.085,-8.629,8.357,8.085
MXN016,CHEMBL1966952,neither,-8.733,-7.825,8.279,7.825
MXN017,CHEMBL1401406,neither,-7.864,-6.039,6.951499999999999,6.039
MXN018,CHEMBL3781059,neither,-9.03,-6.825,7.9275,6.825
MXN019,CHEMBL4443675,neither,-7.542,-6.578,7.0600000000000005,6.578
MXN020,CHEMBL1574133,neither,-8.308,-6.782,7.545,6.782
MXN021,CHEMBL5181405,neither,-9.026,-9.467,9.246500000000001,9.026
MXN022,CHEMBL3629660,neither,-10.55,-10.5,10.525,10.5
MXN023,CHEMBL1940662,neither,-7.49,-8.348,7.9190000000000005,7.49
MXN024,CHEMBL1824817,neither,-10.31,-9.082,9.696000000000002,9.082
