pair,ligand,cls,murcko_scaffold,heavy,pA,pB
EGFR/HER2,EH40_33,B_only,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,39.0,5.69,7.72
EGFR/HER2,EH40_34,B_only,O=C1Cc2ccc(Oc3ccc(Nc4ncnc5cc[nH]c45)cc3)cc2N1,31.0,5.64,6.89
EGFR/HER2,EH40_35,B_only,O=C(OC1CNC(C#Cc2cc3ncnc(Nc4ccc(OCc5ccccc5)nc4)c3s2)C1)N1CCOCC1,41.0,5.58,6.35
EGFR/HER2,EH40_36,B_only,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4ccn5ncnc5c4)cc3)ncnc2c1,39.0,5.51,7.97
EGFR/HER2,EH40_37,B_only,c1ncc2c(-c3ccc(Oc4ccc5[nH]cnc5c4)cc3)nn(C3CC4CCC(C3)N4)c2n1,40.0,5.34,7.08
EGFR/HER2,EH40_38,neither,O=C(Nc1ccccc1)Nc1ccc(-c2csc3ccncc23)cc1,32.0,5.8,5.9
EGFR/HER2,EH40_39,neither,c1ccc(COc2ccc(Nc3cc(-c4ccccc4)ncn3)cc2)cc1,29.0,5.92,5.2
EGFR/HER2,EH40_40,neither,c1ccc(CSCc2ccccc2)cc1,26.0,4.8,5.7
EGFR/HER2,EH120_041,dual,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,37.0,9.96,10.22
EGFR/HER2,EH120_042,dual,O=C(CNc1n[nH]c2ncccc12)Nc1cc2c(s1)CCCC2,25.0,9.33,9.85
EGFR/HER2,EH120_043,dual,O=C1CCCC2=C1C(c1ccc(S(=O)(=O)c3ccccc3)cc1)C=CN2,37.0,9.66,9.22
EGFR/HER2,EH120_044,dual,O=C(C#CCCN1CCNCC1)Nc1cc2c(Nc3ccccc3)ncnc2cn1,33.0,9.3,9.15
EGFR/HER2,EH120_045,dual,c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1,33.0,9.3,9.12
EGFR/HER2,EH120_046,dual,c1ccc(Nc2ncnc3cc(OC4CCOC4)c(OC4CCNCC4)cc23)cc1,37.0,10.28,9.02
EGFR/HER2,EH120_047,dual,c1ccc(COc2ccc(Nc3ccnc4ccccc34)cc2)nc1,40.0,10.7,9.0
EGFR/HER2,EH120_048,dual,c1ccc(Nc2ncnc3cnccc23)cc1,25.0,9.52,8.96
EGFR/HER2,EH120_049,dual,O=C(C#CCCN1CCNCC1)Nc1cc2c(Nc3ccccc3)ncnc2cn1,33.0,8.96,9.3
EGFR/HER2,EH120_050,dual,O=C(C=CC1CCCN1)Nc1ccc2ncnc(Nc3ccc(Oc4cc5nccn5cn4)cc3)c2c1,40.0,8.96,8.97
EGFR/HER2,EH120_051,dual,c1ccc(Nc2ncnc3cnccc23)cc1,24.0,9.14,8.96
EGFR/HER2,EH120_052,dual,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccccc3)ncnc2cn1,32.0,8.89,9.1
EGFR/HER2,EH120_053,dual,c1ccc(CNc2cnc(-c3ccccc3)c(-c3ccc4[nH]ncc4c3)c2)cc1,34.0,8.89,9.0
EGFR/HER2,EH120_054,A_only,c1ccc(Nc2ncnc3ccccc23)cc1,22.0,10.6,5.27
EGFR/HER2,EH120_055,A_only,c1ccc(Nc2ncnc3ccccc23)cc1,24.0,9.26,4.04
EGFR/HER2,EH120_056,A_only,c1ccc(Nc2ncnc3ccccc23)cc1,35.0,9.52,5.22
EGFR/HER2,EH120_057,A_only,c1ccc(Nc2ncnc3cnccc23)cc1,20.0,7.89,4.28
EGFR/HER2,EH120_058,A_only,O=C(C=CCN1CCOCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,34.0,9.28,5.81
EGFR/HER2,EH120_059,A_only,O=C1Nc2ncnc(Nc3ccccc3)c2C1=Cc1ccc[nH]1,29.0,7.54,4.31
EGFR/HER2,EH120_060,A_only,c1ccc(N=c2nc[nH]c3cc(OCC4CCNCC4)ccc23)cc1,30.0,8.32,5.58
EGFR/HER2,EH120_061,A_only,c1ccc(Oc2ccc(Nc3ncnc4sc(-c5ccccc5)cc34)cc2)cc1,39.0,7.33,4.72
EGFR/HER2,EH120_062,A_only,O=C(Nc1ccc(-c2cc3c(Nc4ccc(Oc5ccccc5)cc4)ncnc3s2)cc1)NC1CC1,41.0,6.95,4.43
EGFR/HER2,EH120_063,A_only,c1ccc(Nc2ncnc3cc(OCc4csc5ccccc45)ccc23)cc1,33.0,7.3,4.98
EGFR/HER2,EH120_064,A_only,c1ccc(OCCNc2ncnc3ccccc23)cc1,25.0,7.36,5.06
EGFR/HER2,EH120_065,A_only,c1ccc(Nc2ccnc3ccccc23)cc1,25.0,8.01,5.79
EGFR/HER2,EH120_066,A_only,c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1,36.0,7.75,5.6
EGFR/HER2,EH120_067,A_only,O=C(C=Cc1ccccc1)NCc1ccccc1,22.0,7.0,4.87
EGFR/HER2,EH120_068,A_only,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,44.0,7.58,5.5
EGFR/HER2,EH120_069,A_only,c1ccc(Nc2ccnc3ccccc23)cc1,29.0,7.43,5.38
EGFR/HER2,EH120_070,A_only,O=C(C=Cc1ccccc1)NCc1ccccc1,23.0,6.4,4.43
EGFR/HER2,EH120_071,A_only,c1ccc(Oc2ccc(-c3nn(C4CCCCC4)c4ncncc34)cc2)cc1,34.0,7.69,5.81
EGFR/HER2,EH120_072,A_only,c1ccc(Oc2ccc(Nc3ncnc4sc(-c5ccccc5)cc34)cc2)cc1,35.0,7.67,5.82
EGFR/HER2,EH120_073,A_only,O=C(C=CCN1CCNCC1)N1CCOc2cc3ncnc(Nc4ccccc4)c3cc21,35.0,7.8,5.96
EGFR/HER2,EH120_074,A_only,c1ccc(COc2ccc(Nc3ccncn3)cc2)cc1,23.0,6.5,4.68
EGFR/HER2,EH120_075,A_only,c1cc2c(Nc3ccc4[nH]ncc4c3)ncnn2c1,26.0,7.3,5.48
EGFR/HER2,EH120_076,A_only,O=C(C=Cc1ccccc1)Nc1ccccc1,21.0,6.16,4.38
EGFR/HER2,EH120_077,A_only,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,27.0,6.47,4.72
EGFR/HER2,EH120_078,A_only,c1cncc(CNc2ccc(Nc3ccnc4ccccc34)cc2)c1,39.0,7.14,5.41
EGFR/HER2,EH120_079,A_only,c1ccc(Nc2ncnn3cccc23)cc1,24.0,7.22,5.52
EGFR/HER2,EH120_080,B_only,O=C(NCCN1CCOCC1)c1cc2c(Nc3ccc(OCc4ccccc4)cc3)nncc2[nH]1,38.0,5.3,8.4
EGFR/HER2,EH120_081,B_only,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4cc5ncnn5cn4)cc3)ncnc2c1,40.0,4.92,8.02
EGFR/HER2,EH120_082,B_only,c1cncc(Oc2ccc(Nc3ncnc4ccccc34)cc2)c1,36.0,5.7,8.7
EGFR/HER2,EH120_083,B_only,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4ccn5ncnc5c4)cc3)ncnc2c1,40.0,5.29,7.99
EGFR/HER2,EH120_084,B_only,c1nc(Nc2ccc(Oc3ccn4ncnc4c3)cc2)c2nc(N3CCNCC3)ncc2n1,38.0,5.66,8.24
EGFR/HER2,EH120_085,B_only,c1ccc2oc(Nc3ccc(-c4nn(C5CCC(N6CCNCC6)CC5)c5ncncc45)cc3)nc2c1,40.0,5.64,8.12
EGFR/HER2,EH120_086,B_only,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4ccn5ccnc5c4)cc3)ncnc2c1,40.0,5.74,8.16
EGFR/HER2,EH120_087,B_only,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4ccn5ncnc5c4)cc3)ncnc2c1,41.0,5.54,7.94
EGFR/HER2,EH120_088,B_only,c1ccc2oc(Nc3ccc(-c4nn(C5CCC(N6CCNCC6)CC5)c5ncncc45)cc3)nc2c1,41.0,5.54,7.8
EGFR/HER2,EH120_089,B_only,c1ccc(COc2ccc(Nc3nncc4[nH]ccc34)cc2)cc1,37.0,5.94,8.15
EGFR/HER2,EH120_090,B_only,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)nc1,36.0,5.59,7.72
EGFR/HER2,EH120_091,B_only,c1ccc(COc2ccc(Nc3ncnc4cccc(OC5CCOCC5)c34)cc2)nc1,33.0,5.62,7.62
EGFR/HER2,EH120_092,B_only,c1ncc2c(-c3ccc(Oc4ccc5[nH]cnc5c4)cc3)nn(C3CC4CCC(C3)N4)c2n1,41.0,5.34,7.31
EGFR/HER2,EH120_093,B_only,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4ccn5ncnc5c4)cc3)ncnc2c1,41.0,5.86,7.71
EGFR/HER2,EH120_094,B_only,c1ccc(CSc2nc3ccccc3s2)cc1,27.0,4.73,6.46
EGFR/HER2,EH120_095,B_only,c1cncc(Oc2ccc(Nc3ncnc4ccccc34)cc2)c1,34.0,5.96,7.64
EGFR/HER2,EH120_096,B_only,c1ncc2c(-c3ccc(Oc4ccc5[nH]cnc5c4)cc3)nn(C34CNC(C3)C4)c2n1,38.0,5.67,7.28
EGFR/HER2,EH120_097,B_only,c1ccc(COc2ccc(Nc3ncnc4cccc(OC5CCNCC5)c34)cc2)nc1,33.0,5.68,7.16
EGFR/HER2,EH120_098,B_only,c1ncc2c(-c3ccc(Oc4ccc5[nH]cnc5c4)cc3)nn(C3CCNC3)c2n1,37.0,5.33,6.8
EGFR/HER2,EH120_099,B_only,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4ccccc4)cc3)c2[nH]1,36.0,4.82,6.21
EGFR/HER2,EH120_100,B_only,c1ncc2c(-c3ccc(Oc4ccn5ncnc5c4)cc3)nn(C3CCCNC3)c2n1,37.0,5.86,7.23
EGFR/HER2,EH120_101,B_only,c1ncc2c(-c3ccc(Oc4ccc5[nH]cnc5c4)cc3)nn(C3CC4CNC3C4)c2n1,39.0,5.38,6.67
EGFR/HER2,EH120_102,neither,c1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)cc1,25.0,4.16,4.18
EGFR/HER2,EH120_103,neither,c1ccc(OCc2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,23.0,4.33,4.28
EGFR/HER2,EH120_104,neither,c1ccc(C(c2ccccc2)c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,28.0,4.35,4.24
EGFR/HER2,EH120_105,neither,c1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,24.0,4.35,4.28
EGFR/HER2,EH120_106,neither,c1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,22.0,4.4,4.33
EGFR/HER2,EH120_107,neither,N=C1N=CC(=CCCNC(=O)c2ccc[nH]2)N1,27.0,4.35,4.42
EGFR/HER2,EH120_108,neither,N=C1N=CC(=CCCNC(=O)c2ccc[nH]2)N1,26.0,4.35,4.42
EGFR/HER2,EH120_109,neither,O=C1CSC(NN=C2CCCCCC2)=N1,15.0,4.44,4.33
EGFR/HER2,EH120_110,neither,O=C(NC1CCCC1)c1ccccc1,21.0,4.45,4.32
AChE/BChE,AB_002,dual,O=C(NCCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc2[nH]c(Cc3ccccc3)nc2c1,46.0,8.0,6.8
AChE/BChE,AB_003,dual,c1ccc2c(c1)NC1NCCC21,18.0,7.96,8.62
AChE/BChE,AB_004,dual,C1=CC2Cc3nc4ccccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,45.0,8.88,6.88
AChE/BChE,AB_005,dual,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,36.0,7.35,7.53
AChE/BChE,AB_006,dual,O=c1c2ccccc2oc2cc(OCCCCCCCCNCc3ccccc3)ccc12,39.0,8.17,7.6
AChE/BChE,AB_007,dual,O=C(CCCCCCCCNC(=O)c1ccccc1)NNc1c2c(cc3ccccc13)CCCC2,41.0,8.29,8.86
AChE/BChE,AB_008,dual,c1ccc2c(c1)OCC1CCNC21,19.0,7.52,7.23
AChE/BChE,AB_009,dual,c1ccc(NCCCCCCCCNc2ccnc3ccccc23)cc1,34.0,6.8,7.15
AChE/BChE,AB_010,dual,O=S(=O)(c1ccccc1)N1CCN(c2nccc(-c3ccccc3)n2)CC1,38.0,6.84,6.81
AChE/BChE,AB_011,dual,O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,43.0,6.51,6.67
AChE/BChE,AB_012,dual,O=c1c2ccccc2nc2n1CCC2,22.0,7.33,7.91
AChE/BChE,AB_013,dual,c1ccc(CN2c3ccccc3C3CCNC32)cc1,26.0,6.79,7.66
AChE/BChE,AB_014,dual,O=C(NCCCCCCCCCNc1c2c(nc3ccccc13)CC1C=CCC2C1)c1ccc[nH]c1=O,39.0,8.74,7.5
AChE/BChE,AB_015,dual,O=C(CCNC1CCCCC1)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1,35.0,9.5,7.2
AChE/BChE,AB_016,dual,O=C(CON=[NH+]N1CCCC1)NCCCNc1c2c(nc3ccccc13)CCCC2,31.0,7.45,7.82
AChE/BChE,AB_017,dual,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2o1,35.0,7.61,7.99
AChE/BChE,AB_018,dual,C1=CC23CCNCc4cccc(c42)OC3CC1,21.0,7.21,7.29
AChE/BChE,AB_019,dual,O=C(NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)Oc1ccc2[nH]ccc2c1,42.0,8.34,9.6
AChE/BChE,AB_020,dual,c1ccc(-c2nc[nH]n2)cc1,21.0,6.52,7.0
AChE/BChE,AB_021,dual,c1ccc(CNc2c3c(nc4ccccc24)CCCC3)cc1,24.0,7.0,7.13
AChE/BChE,AB_022,dual,O=C(NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(=O)c2ccccc2o1,42.0,9.0,8.82
AChE/BChE,AB_023,dual,O=C(CNCc1ccccc1)Nc1ccc2nc3n(c(=O)c2c1)CCC3,28.0,8.12,8.63
AChE/BChE,AB_024,dual,O=c1cc(-c2ccccc2)oc2cc(OCCN3CCOCC3)ccc12,28.0,7.96,7.26
AChE/BChE,AB_025,dual,c1ccc(NCCCCCCCCNc2ccnc3ccccc23)cc1,33.0,6.85,7.44
AChE/BChE,AB_026,dual,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1CCN(CCc3ccccc3)C1N2,35.0,8.22,8.22
AChE/BChE,AB_027,dual,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,39.0,7.25,7.51
AChE/BChE,AB_028,dual,O=C1CC2C(CNCc3ccccc3)CCC2C2CCC3C4CSC=NC4CCC34CC124,43.0,8.05,6.66
AChE/BChE,AB_029,A_only,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,29.0,7.39,5.09
AChE/BChE,AB_030,A_only,C(=Cc1ccc2ccccc2[nH+]1)c1ccc2[nH]c3ccccc3c2c1,29.0,6.52,5.46
AChE/BChE,AB_031,A_only,c1ccc(CN2CCC(CCCNc3ccccn3)CC2)cc1,28.0,7.27,5.08
AChE/BChE,AB_032,A_only,c1ccc(-[n+]2ccc3c(c2)[nH]c2ccccc23)cc1,21.0,6.52,4.5
AChE/BChE,AB_033,A_only,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,31.0,6.77,5.19
AChE/BChE,AB_034,A_only,O=C(c1ccc(CNCc2ccccc2)cc1)c1ccc(OCCCCCN2CCCCC2)cc1,36.0,6.84,4.98
AChE/BChE,AB_035,A_only,c1ccc(C[n+]2ccc(CCNc3nc4ccccc4s3)cc2)cc1,27.0,6.57,5.09
AChE/BChE,AB_036,A_only,O=C(c1ccc(CNCc2ccccc2)cc1)c1ccc(OCCCCCCN2CCCCC2)cc1,37.0,6.68,5.01
AChE/BChE,AB_037,A_only,O=C1C(=Cc2ccc(CNCc3ccccc3)cc2)CCc2ccccc21,30.0,6.96,4.04
AChE/BChE,AB_038,A_only,O=C1C(=Cc2ccc(CNCc3ccccc3)cc2)CCc2cc(OCCCCCN3CCCCC3)ccc21,40.0,7.28,5.3
AChE/BChE,AB_039,A_only,O=C1C(=Cc2ccc(CNCc3ccccc3)cc2)CCc2ccccc21,39.0,7.25,5.09
AChE/BChE,AB_040,A_only,O=C(CCCCCNCc1ccccc1)N1CCC(C2CCN(C(=O)CCCCCNCc3ccccc3)CC2)CC1,56.0,8.48,5.07
AChE/BChE,AB_041,A_only,O=c1cc(-c2ccccc2)oc2ccccc12,23.0,7.92,4.15
AChE/BChE,AB_042,A_only,O=C1c2ccccc2CC1CC1CCN(Cc2ccccn2)CC1,28.0,6.83,4.41
AChE/BChE,AB_043,A_only,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,29.0,7.94,5.14
AChE/BChE,AB_044,A_only,c1ccc(C[n+]2ccc(CCNc3nc4ccccc4s3)cc2)cc1,29.0,7.02,4.92
AChE/BChE,AB_045,A_only,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1CCOC1O2,24.0,7.44,4.44
AChE/BChE,AB_046,A_only,O=C(CCCCCNCc1ccccc1)N1CCC(C2CCN(C(=O)CCCCCNCc3ccccc3)CC2)CC1,50.0,8.48,5.07
AChE/BChE,AB_047,A_only,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,30.0,7.39,5.37
AChE/BChE,AB_048,A_only,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,29.0,7.01,4.73
AChE/BChE,AB_049,A_only,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1COC(C1)O2,24.0,7.42,4.28
AChE/BChE,AB_050,A_only,c1cc[n+](CCCCCCCC[n+]2ccc3ccccc3c2)cc1,26.0,6.85,5.11
AChE/BChE,AB_051,A_only,c1ccc(CCn2c3ccccc3c3cc[nH+]cc32)cc1,22.0,9.3,5.3
AChE/BChE,AB_052,A_only,c1ccc(-c2ncno2)cc1,18.0,7.8,4.32
AChE/BChE,AB_055,A_only,O=C(CCCCC1CCSS1)NCCCNC1=CC(=O)C(NCCCCCCNCc2ccccc2)=CC1=O,43.0,6.82,4.68
AChE/BChE,AB_057,B_only,c1ccc2oc(CN(CCCCCCNc3c4c(nc5ccccc35)CCC4)Cc3cc4ccccc4o3)cc2c1,45.0,5.12,8.64
AChE/BChE,AB_058,B_only,c1ccc(CN2CCC(CCNCc3ccc4ccccc4n3)CC2)cc1,31.0,5.39,7.1
AChE/BChE,AB_059,B_only,c1ccc2c(CNCCC3CCCCCC3)c[nH]c2c1,29.0,5.25,7.88
AChE/BChE,AB_060,B_only,O=c1c2ccccc2oc2cc(OCCCCCCCCNCc3ccccc3)ccc12,33.0,4.99,7.1
AChE/BChE,AB_061,B_only,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1CCOC1N2,27.0,5.41,7.77
AChE/BChE,AB_062,B_only,c1ccc(-c2ccc(NCCCCCN3CCc4ccccc4C3)nn2)cc1,29.0,4.33,6.51
AChE/BChE,AB_063,B_only,c1ccc(C[n+]2cn(C(c3ccccc3)c3ccccc3)c3ccccc32)cc1,33.0,5.38,6.82
AChE/BChE,AB_064,B_only,c1ccc(CNCCCCCCCCCCCCn2ccc3ccccc32)cc1,35.0,4.22,6.58
AChE/BChE,AB_065,B_only,O=C(CCc1ccccc1)NCCC1CCN(Cc2ccccc2)CC1,29.0,5.27,6.54
AChE/BChE,AB_066,B_only,O=C(OC1CN2Cc3cc4c(cc3C13C=CCCC23)OCO4)c1ccccc1,33.0,4.26,6.55
AChE/BChE,AB_067,B_only,c1ccc2c(CNCCC3CCCCCC3)c[nH]c2c1,31.0,5.27,7.09
AChE/BChE,AB_068,B_only,O=C(C=Cc1ccc(OCCCCN2CCc3ccccc3C2)cc1)N1CCC(Cc2ccccc2)CC1,40.0,5.42,7.16
AChE/BChE,AB_069,B_only,c1ccc(Cc2nc3ccccc3[nH]2)cc1,28.0,5.42,8.19
AChE/BChE,AB_070,B_only,c1ccc(CN2CCC(CCNCCCc3c[nH]c4ccccc34)CC2)cc1,32.0,5.11,7.53
AChE/BChE,AB_071,B_only,O=C(NCCCCCCN1CCc2ccccc2C1)Oc1ccc(Cc2nc3ccccc3[nH]2)cc1,48.0,5.02,7.12
AChE/BChE,AB_072,B_only,O=C(CC1CCN(Cc2ccccc2)CC1)NCCc1c[nH]c2ccccc12,29.0,5.31,6.54
AChE/BChE,AB_073,B_only,c1ccc(Cc2nc3ccccc3n2CCN2CCCCC2)cc1,42.0,5.0,7.04
AChE/BChE,AB_074,B_only,c1ccc2c(CCC[NH2+]CCC3CCCCCC3)c[nH]c2c1,28.0,4.63,8.64
AChE/BChE,AB_075,B_only,c1ccc(CNCCCCCCCOc2ccc(-c3cc4ccccc4o3)cc2)cc1,32.0,4.49,6.55
AChE/BChE,AB_076,B_only,c1ccc(CNc2c3c(nc4ccccc24)CCCC3)nc1,22.0,5.17,7.16
AChE/BChE,AB_077,B_only,c1ccccc1,22.0,4.7,7.3
AChE/BChE,AB_078,B_only,c1ccc2c(CNCCC3CCCCCC3)c[nH]c2c1,30.0,5.12,7.66
AChE/BChE,AB_079,B_only,O=C(Cc1c[nH]c2ccccc12)NCCC1CCN(Cc2ccccc2)CC1,29.0,5.14,8.96
AChE/BChE,AB_080,B_only,O=C(Nc1ccccc1)OCC1CCCN(Cc2ccccc2)C1,27.0,4.82,6.93
AChE/BChE,AB_081,B_only,O=C(CCc1c[nH]c2ccccc12)NC1CCN(Cc2ccccc2)CC1,27.0,5.08,6.92
AChE/BChE,AB_082,B_only,c1ccc2c(CCCN(CCC3CCCCCC3)CCC3CCCCC3)c[nH]c2c1,33.0,5.07,8.72
AChE/BChE,AB_083,B_only,S=C(NCCCCCCCNc1c2c(nc3ccccc13)CCCC2)NC12CC3CC(CC(C3)C1)C2,38.0,5.46,6.82
AChE/BChE,AB_084,B_only,c1ccc(CN2CCC(CCNCc3ccc4ccccc4n3)CC2)cc1,33.0,5.48,8.7
AChE/BChE,AB_085,neither,O=C(C=Cc1ccccc1)c1ccccc1,24.0,5.12,4.5
AChE/BChE,AB_086,neither,O=C(c1ccccc1)N1c2ccccc2Sc2ccccc21,23.0,5.0,5.03
AChE/BChE,AB_087,neither,C1CCC2C(C1)CCC1C3CCCC3CCC21,34.0,5.19,5.47
AChE/BChE,AB_088,neither,c1ccc(CNc2ncnc3ccccc23)cc1,21.0,5.12,4.82
AChE/BChE,AB_089,neither,O=C(C=Cc1ccccc1)N1CCC(Cc2ccccc2)CC1,31.0,4.78,5.12
