ligand,class,pref_name,molecule_chembl_id,4JT6_affinity,4L23_affinity,rtm_4L23,rtm_4JT6,vina_4L23_hb,vina_4JT6_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_4L23_z,rtm_4JT6_z,rtm_min_z,prep
PM48_23,A_only,,CHEMBL2058166,-7.804,-7.713,74.18261103252664,60.12911809060135,7.713,7.804,7.7585,7.713,67.15586456156399,60.12911809060135,1.045615286847195,1.2024774677831191,1.045615286847195,rdkit_meeko
PM48_24,A_only,,CHEMBL2017653,-6.8,-7.537,47.58550425347273,29.602535330312023,7.537,6.8,7.1685,6.8,38.59401979189238,29.602535330312023,-0.5743692782242003,-1.3228701798936977,-1.3228701798936977,rdkit_meeko
PM48_25,A_only,SONOLISIB,CHEMBL411907,-6.736,-6.082,27.88579059251632,22.502339409707936,6.082,6.736,6.409,6.082,25.19406500111213,22.502339409707936,-1.774245352422173,-1.910242281348401,-1.910242281348401,rdkit_meeko
PM48_26,A_only,,CHEMBL3646543,-8.879,-9.116,92.972944499855,61.51082425730527,9.116,8.879,8.997499999999999,8.879,77.24188437858014,61.51082425730527,2.1901025591842362,1.31678074389057,1.31678074389057,rdkit_meeko
PM48_27,A_only,,CHEMBL3646517,-8.08,-8.501,40.29827130659338,29.84404089123609,8.501,8.08,8.2905,8.08,35.071156098914734,29.84404089123609,-1.0182222504324885,-1.3028913468559613,-1.3028913468559613,rdkit_meeko
PM48_28,A_only,,CHEMBL2087493,-9.343,-8.226,75.72995349518713,55.40057041323644,8.226,9.343,8.784500000000001,8.226,65.56526195421179,55.40057041323644,1.1398612861287278,0.811302771036683,0.811302771036683,rdkit_meeko
PM48_29,A_only,,CHEMBL3357868,-7.718,-8.311,83.94493205643363,36.81528110261909,8.311,7.718,8.0145,7.718,60.380106579526355,36.81528110261909,1.6402216667582608,-0.7261872588993035,-0.7261872588993035,rdkit_meeko
PM48_30,A_only,AZD-6482,CHEMBL2165191,-8.12,-7.6,44.58545863155498,40.411083822596495,7.6,8.12,7.859999999999999,7.6,42.49827122707573,40.411083822596495,-0.7570969576815839,-0.42872022789518277,-0.7570969576815839,rdkit_meeko
PM48_31,A_only,,CHEMBL1086377,-10.737,-9.315,40.048533349334456,43.33445639992733,9.315,10.737,10.026,9.315,41.69149487463089,40.048533349334456,-1.0334333649132006,-0.18688077539514886,-1.0334333649132006,rdkit_meeko
PM48_32,A_only,,CHEMBL4072637,-8.194,-7.58,31.914076964434614,37.83156262523855,7.58,8.194,7.8870000000000005,7.58,34.87281979483658,31.914076964434614,-1.5288892766502646,-0.6421141684824141,-1.5288892766502646,rdkit_meeko
PM48_33,B_only,,CHEMBL600447,-9.271,-7.841,40.66807638948436,50.17399626393247,7.841,9.271,8.556000000000001,7.841,45.42103632670842,40.66807638948436,-0.9956980514154684,0.37892824562720584,-0.9956980514154684,rdkit_meeko
PM48_34,B_only,WYE-132,CHEMBL601661,-9.074,-8.363,44.94966091309182,35.27849204568749,8.363,9.074,8.718499999999999,8.363,40.11407647938965,35.27849204568749,-0.7349140157715972,-0.8533199504413848,-0.8533199504413848,rdkit_meeko
PM48_35,B_only,OSI-027,CHEMBL3120215,-8.775,-8.295,67.72220573502216,52.24927427679133,8.295,8.775,8.535,8.295,59.98574000590675,52.24927427679133,0.6521229813493332,0.550608072655407,0.550608072655407,rdkit_meeko
PM48_36,B_only,,CHEMBL594793,-9.298,-8.316,44.38820835975695,36.91159899438664,8.316,9.298,8.807,8.316,40.64990367707179,36.91159899438664,-0.7691111364576225,-0.7182192474348568,-0.7691111364576225,rdkit_meeko
PM48_37,B_only,,CHEMBL573202,-7.888,-7.835,44.52509519925906,41.6136801308318,7.835,7.888,7.8614999999999995,7.835,43.06938766504543,41.6136801308318,-0.7607735917390569,-0.3292340265750166,-0.7607735917390569,rdkit_meeko
PM48_38,B_only,,CHEMBL590104,-9.412,-8.752,50.51484821015234,59.59976969064372,8.752,9.412,9.082,8.752,55.057308950398024,50.51484821015234,-0.39594791702023024,1.1586864955956437,-0.39594791702023024,rdkit_meeko
PM48_39,B_only,,CHEMBL1945953,-8.309,-8.129,44.56325994506477,46.77469350202508,8.129,8.309,8.219,8.129,45.66897672354493,44.56325994506477,-0.7584490419431441,0.09771690595864549,-0.7584490419431441,rdkit_meeko
PM48_40,B_only,,CHEMBL4279703,-8.02,-7.547,58.635993262206,31.21320751188885,7.547,8.02,7.7835,7.547,44.92460038704743,31.21320751188885,0.09869722405931566,-1.1896254195199698,-1.1896254195199698,rdkit_meeko
PM48_41,B_only,,CHEMBL2418349,-6.877,-8.435,47.35491388393493,27.335740893158032,8.435,6.877,7.656000000000001,6.877,37.34532738854648,27.335740893158032,-0.5884141456832253,-1.5103934295343486,-1.5103934295343486,rdkit_meeko
PM48_42,B_only,AZD-8055,CHEMBL1801204,-8.239,-7.898,52.356886119107976,27.65295750918178,7.898,8.239,8.0685,7.898,40.00492181414488,27.65295750918178,-0.28375251901797166,-1.4841513099571235,-1.4841513099571235,rdkit_meeko
PM48_43,B_only,,CHEMBL575539,-9.834,-7.995,48.82294808344475,50.22959771246123,7.995,9.834,8.9145,7.995,49.52627289795299,48.82294808344475,-0.4989986779047615,0.3835279411893364,-0.4989986779047615,rdkit_meeko
PM48_44,B_only,Ku-0063794,CHEMBL1078983,-8.35,-8.013,43.277656657159504,46.6818607376615,8.013,8.35,8.1815,8.013,44.9797586974105,43.277656657159504,-0.8367529529855185,0.09003720577884468,-0.8367529529855185,rdkit_meeko
PM48_45,neither,,CHEMBL1234815,-9.339,-9.596,78.90981480007521,47.95191031650485,9.596,9.339,9.467500000000001,9.339,63.43086255829003,47.95191031650485,1.3335412331913652,0.19510355865399315,0.19510355865399315,rdkit_meeko
PM48_46,neither,,CHEMBL1241482,-9.174,-8.583,58.86611977551196,48.65564151022044,8.583,9.174,8.878499999999999,8.583,53.7608806428662,48.65564151022044,0.11271383882370604,0.25332055361218087,0.11271383882370604,rdkit_meeko
PM48_47,neither,,CHEMBL1241485,-8.408,-7.99,52.35387230379831,43.95615255879388,7.99,8.408,8.199,7.99,48.1550124312961,43.95615255879388,-0.2839360853857044,-0.13545022567748796,-0.2839360853857044,rdkit_meeko
PM48_48,neither,,CHEMBL1241858,-8.14,-8.535,70.75812956324583,44.15586748616737,8.535,8.14,8.3375,8.14,57.4569985247066,44.15586748616737,0.8370359413682785,-0.118928572205529,-0.118928572205529,rdkit_meeko
