compound_id,folder,compound_name,group,anchor,iptm,ptm,ranking_score,best_sample_ranking_score,protein_ligand_pae_min,has_clash,mpae_token,ligand_chain_ptm,protein_chain_ptm,ligand_chain_iptm
DEC_56d_027,8ELC_DEC_56d_027,DEC_56d_027,decoy,56d,0.6,0.75,0.7,0.7039544528676924,2.32,0.0,2.3,0.33,0.76,0.6
DEC_56d_028,8ELC_DEC_56d_028,DEC_56d_028,decoy,56d,0.84,0.81,0.91,0.9063139266634792,2.15,0.0,2.1,0.4,0.8,0.84
DEC_56d_029,8ELC_DEC_56d_029,DEC_56d_029,decoy,56d,0.83,0.81,0.9,0.8990944507353037,1.93,0.0,1.9,0.37,0.8,0.83
DEC_56d_030,8ELC_DEC_56d_030,DEC_56d_030,decoy,56d,0.7,0.79,0.8,0.797414385410627,2.19,0.0,2.2,0.47,0.79,0.7
DEC_56d_031,8ELC_DEC_56d_031,DEC_56d_031,decoy,56d,0.86,0.81,0.92,0.9236544177075754,1.67,0.0,1.7,0.4,0.8,0.86
DEC_56d_032,8ELC_DEC_56d_032,DEC_56d_032,decoy,56d,0.94,0.83,0.99,0.9949722521882712,1.25,0.0,1.3,0.53,0.82,0.94
DEC_56d_033,8ELC_DEC_56d_033,DEC_56d_033,decoy,56d,0.81,0.8,0.88,0.8834479965201609,2.25,0.0,2.3,0.46,0.8,0.81
DEC_56d_034,8ELC_DEC_56d_034,DEC_56d_034,decoy,56d,0.67,0.79,0.77,0.7742950908647019,2.15,0.0,2.2,0.37,0.8,0.67
DEC_56d_035,8ELC_DEC_56d_035,DEC_56d_035,decoy,56d,0.63,0.73,0.73,0.7279163500276514,2.16,0.0,2.2,0.39,0.74,0.63
DEC_56d_036,8ELC_DEC_56d_036,DEC_56d_036,decoy,56d,0.58,0.73,0.68,0.6823018674525527,2.45,0.0,2.4,0.42,0.74,0.58
DEC_56d_037,8ELC_DEC_56d_037,DEC_56d_037,decoy,56d,0.77,0.8,0.85,0.851441938013253,2.3,0.0,2.3,0.39,0.8,0.77
DEC_56d_038,8ELC_DEC_56d_038,DEC_56d_038,decoy,56d,0.61,0.75,0.71,0.7124540195739995,2.23,0.0,2.2,0.36,0.76,0.61
DEC_56d_039,8ELC_DEC_56d_039,DEC_56d_039,decoy,56d,0.65,0.78,0.75,0.7514761036720314,2.35,0.0,2.4,0.35,0.79,0.65
DEC_56d_040,8ELC_DEC_56d_040,DEC_56d_040,decoy,56d,0.64,0.77,0.74,0.738771896496063,2.15,0.0,2.2,0.44,0.78,0.64
DEC_56d_041,8ELC_DEC_56d_041,DEC_56d_041,decoy,56d,0.65,0.77,0.75,0.7468563788770815,2.16,0.0,2.2,0.36,0.78,0.65
DEC_56d_042,8ELC_DEC_56d_042,DEC_56d_042,decoy,56d,0.82,0.81,0.9,0.8962043836653845,2.02,0.0,2.0,0.38,0.8,0.82
DEC_56d_043,8ELC_DEC_56d_043,DEC_56d_043,decoy,56d,0.64,0.74,0.74,0.7386833950914795,2.11,0.0,2.1,0.36,0.75,0.64
DEC_56d_044,8ELC_DEC_56d_044,DEC_56d_044,decoy,56d,0.88,0.82,0.95,0.9457991217456284,1.28,0.0,1.3,0.46,0.81,0.88
DEC_56d_045,8ELC_DEC_56d_045,DEC_56d_045,decoy,56d,0.57,0.73,0.68,0.67518127905239,2.21,0.0,2.2,0.38,0.74,0.57
DEC_56d_046,8ELC_DEC_56d_046,DEC_56d_046,decoy,56d,0.85,0.81,0.92,0.9209650761606554,1.48,0.0,1.5,0.37,0.8,0.85
DEC_56d_047,8ELC_DEC_56d_047,DEC_56d_047,decoy,56d,0.63,0.75,0.73,0.731956156831915,2.26,0.0,2.3,0.47,0.76,0.63
DEC_56d_048,8ELC_DEC_56d_048,DEC_56d_048,decoy,56d,0.86,0.81,0.93,0.9269036195289172,2.02,0.0,2.0,0.4,0.8,0.86
DEC_56d_049,8ELC_DEC_56d_049,DEC_56d_049,decoy,56d,0.64,0.75,0.74,0.740810753775918,2.17,0.0,2.2,0.45,0.75,0.64
DEC_56d_050,8ELC_DEC_56d_050,DEC_56d_050,decoy,56d,0.85,0.79,0.91,0.914323602902964,2.41,0.0,2.4,0.59,0.78,0.85
DEC_JNKIN8_001,8ELC_DEC_JNKIN8_001,DEC_JNKIN8_001,decoy,JNK-IN-8,0.72,0.76,0.81,0.8072587256739236,2.09,0.0,2.1,0.43,0.76,0.72
DEC_JNKIN8_002,8ELC_DEC_JNKIN8_002,DEC_JNKIN8_002,decoy,JNK-IN-8,0.81,0.8,0.89,0.8859405726917773,1.66,0.0,1.7,0.56,0.8,0.81
DEC_JNKIN8_003,8ELC_DEC_JNKIN8_003,DEC_JNKIN8_003,decoy,JNK-IN-8,0.9,0.8,0.96,0.9575976945803318,1.66,0.0,1.7,0.49,0.79,0.9
DEC_JNKIN8_004,8ELC_DEC_JNKIN8_004,DEC_JNKIN8_004,decoy,JNK-IN-8,0.61,0.74,0.71,0.7121702657774001,2.25,0.0,2.3,0.41,0.75,0.61
DEC_JNKIN8_005,8ELC_DEC_JNKIN8_005,DEC_JNKIN8_005,decoy,JNK-IN-8,0.72,0.76,0.8,0.8032352043936741,2.09,0.0,2.1,0.41,0.76,0.72
DEC_JNKIN8_006,8ELC_DEC_JNKIN8_006,DEC_JNKIN8_006,decoy,JNK-IN-8,0.67,0.78,0.77,0.76594667340884,2.29,0.0,2.3,0.41,0.78,0.67
DEC_JNKIN8_007,8ELC_DEC_JNKIN8_007,DEC_JNKIN8_007,decoy,JNK-IN-8,0.63,0.76,0.73,0.730168540082062,2.17,0.0,2.2,0.41,0.76,0.63
DEC_JNKIN8_008,8ELC_DEC_JNKIN8_008,DEC_JNKIN8_008,decoy,JNK-IN-8,0.63,0.75,0.73,0.7323919996106792,2.14,0.0,2.1,0.4,0.76,0.63
DEC_JNKIN8_009,8ELC_DEC_JNKIN8_009,DEC_JNKIN8_009,decoy,JNK-IN-8,0.59,0.76,0.7,0.7010966687619482,2.32,0.0,2.3,0.46,0.77,0.59
DEC_JNKIN8_010,8ELC_DEC_JNKIN8_010,DEC_JNKIN8_010,decoy,JNK-IN-8,0.67,0.78,0.77,0.7653540156470693,2.16,0.0,2.2,0.42,0.78,0.67
DEC_JNKIN8_011,8ELC_DEC_JNKIN8_011,DEC_JNKIN8_011,decoy,JNK-IN-8,0.69,0.77,0.78,0.7829203674817038,2.04,0.0,2.0,0.42,0.78,0.69
DEC_JNKIN8_012,8ELC_DEC_JNKIN8_012,DEC_JNKIN8_012,decoy,JNK-IN-8,0.76,0.78,0.84,0.8385591206841903,1.96,0.0,2.0,0.45,0.78,0.76
DEC_JNKIN8_013,8ELC_DEC_JNKIN8_013,DEC_JNKIN8_013,decoy,JNK-IN-8,0.73,0.8,0.82,0.8154032893884772,2.07,0.0,2.1,0.45,0.8,0.73
DEC_JNKIN8_014,8ELC_DEC_JNKIN8_014,DEC_JNKIN8_014,decoy,JNK-IN-8,0.57,0.72,0.68,0.6757372429222157,2.29,0.0,2.3,0.31,0.73,0.57
DEC_JNKIN8_015,8ELC_DEC_JNKIN8_015,DEC_JNKIN8_015,decoy,JNK-IN-8,0.76,0.8,0.84,0.8404047852543269,2.0,0.0,2.0,0.42,0.8,0.76
DEC_JNKIN8_016,8ELC_DEC_JNKIN8_016,DEC_JNKIN8_016,decoy,JNK-IN-8,0.78,0.8,0.85,0.8538273434642213,2.34,0.0,2.3,0.44,0.79,0.78
DEC_JNKIN8_017,8ELC_DEC_JNKIN8_017,DEC_JNKIN8_017,decoy,JNK-IN-8,0.62,0.76,0.72,0.7211436758997234,2.34,0.0,2.3,0.41,0.76,0.62
DEC_JNKIN8_018,8ELC_DEC_JNKIN8_018,DEC_JNKIN8_018,decoy,JNK-IN-8,0.58,0.74,0.69,0.6911944333626012,2.26,0.0,2.3,0.35,0.75,0.58
DEC_JNKIN8_019,8ELC_DEC_JNKIN8_019,DEC_JNKIN8_019,decoy,JNK-IN-8,0.85,0.81,0.92,0.9168126984250295,1.99,0.0,2.0,0.4,0.8,0.85
DEC_JNKIN8_020,8ELC_DEC_JNKIN8_020,DEC_JNKIN8_020,decoy,JNK-IN-8,0.68,0.77,0.78,0.7753900978110531,2.18,0.0,2.2,0.43,0.77,0.68
DEC_JNKIN8_021,8ELC_DEC_JNKIN8_021,DEC_JNKIN8_021,decoy,JNK-IN-8,0.68,0.79,0.78,0.7790072939138895,2.17,0.0,2.2,0.5,0.8,0.68
DEC_JNKIN8_022,8ELC_DEC_JNKIN8_022,DEC_JNKIN8_022,decoy,JNK-IN-8,0.62,0.75,0.72,0.7234021143747408,2.26,0.0,2.3,0.4,0.75,0.62
DEC_JNKIN8_023,8ELC_DEC_JNKIN8_023,DEC_JNKIN8_023,decoy,JNK-IN-8,0.64,0.75,0.74,0.7411881919070316,2.32,0.0,2.3,0.42,0.76,0.64
DEC_JNKIN8_024,8ELC_DEC_JNKIN8_024,DEC_JNKIN8_024,decoy,JNK-IN-8,0.64,0.72,0.73,0.7283386505866138,2.16,0.0,2.2,0.39,0.72,0.64
DEC_JNKIN8_025,8ELC_DEC_JNKIN8_025,DEC_JNKIN8_025,decoy,JNK-IN-8,0.74,0.8,0.83,0.830903651071252,2.28,0.0,2.3,0.46,0.8,0.74
DEC_JNKIN8_026,8ELC_DEC_JNKIN8_026,DEC_JNKIN8_026,decoy,JNK-IN-8,0.63,0.77,0.73,0.7337318701186415,2.19,0.0,2.2,0.43,0.77,0.63
DEC_JNKIN8_027,8ELC_DEC_JNKIN8_027,DEC_JNKIN8_027,decoy,JNK-IN-8,0.69,0.76,0.78,0.7778930360720768,2.29,0.0,2.3,0.4,0.76,0.69
DEC_JNKIN8_028,8ELC_DEC_JNKIN8_028,DEC_JNKIN8_028,decoy,JNK-IN-8,0.9,0.81,0.96,0.9611048233960358,1.67,0.0,1.7,0.51,0.8,0.9
DEC_JNKIN8_029,8ELC_DEC_JNKIN8_029,DEC_JNKIN8_029,decoy,JNK-IN-8,0.61,0.78,0.72,0.7196618524400528,2.21,0.0,2.2,0.45,0.79,0.61
DEC_JNKIN8_030,8ELC_DEC_JNKIN8_030,DEC_JNKIN8_030,decoy,JNK-IN-8,0.9,0.82,0.96,0.9564342101220548,1.54,0.0,1.5,0.57,0.81,0.9
DEC_JNKIN8_031,8ELC_DEC_JNKIN8_031,DEC_JNKIN8_031,decoy,JNK-IN-8,0.89,0.81,0.95,0.9514450570528966,1.61,0.0,1.6,0.58,0.8,0.89
DEC_JNKIN8_032,8ELC_DEC_JNKIN8_032,DEC_JNKIN8_032,decoy,JNK-IN-8,0.66,0.71,0.74,0.74475642714077,2.22,0.0,2.2,0.38,0.73,0.66
DEC_JNKIN8_033,8ELC_DEC_JNKIN8_033,DEC_JNKIN8_033,decoy,JNK-IN-8,0.65,0.72,0.74,0.7365458287921914,2.24,0.0,2.2,0.4,0.73,0.65
DEC_JNKIN8_034,8ELC_DEC_JNKIN8_034,DEC_JNKIN8_034,decoy,JNK-IN-8,0.64,0.75,0.74,0.7376710782439783,2.39,0.0,2.4,0.38,0.77,0.64
DEC_JNKIN8_035,8ELC_DEC_JNKIN8_035,DEC_JNKIN8_035,decoy,JNK-IN-8,0.67,0.77,0.76,0.7627794759608166,2.14,0.0,2.1,0.39,0.77,0.67
DEC_JNKIN8_036,8ELC_DEC_JNKIN8_036,DEC_JNKIN8_036,decoy,JNK-IN-8,0.68,0.76,0.77,0.7710195483239086,2.26,0.0,2.3,0.37,0.76,0.68
DEC_JNKIN8_037,8ELC_DEC_JNKIN8_037,DEC_JNKIN8_037,decoy,JNK-IN-8,0.64,0.72,0.73,0.7328129273175021,2.24,0.0,2.2,0.4,0.74,0.64
DEC_JNKIN8_038,8ELC_DEC_JNKIN8_038,DEC_JNKIN8_038,decoy,JNK-IN-8,0.6,0.74,0.7,0.7033156905024905,2.23,0.0,2.2,0.37,0.75,0.6
DEC_JNKIN8_039,8ELC_DEC_JNKIN8_039,DEC_JNKIN8_039,decoy,JNK-IN-8,0.65,0.72,0.74,0.7381899377591002,2.28,0.0,2.3,0.42,0.73,0.65
DEC_JNKIN8_040,8ELC_DEC_JNKIN8_040,DEC_JNKIN8_040,decoy,JNK-IN-8,0.61,0.77,0.71,0.7136291279362702,2.27,0.0,2.3,0.34,0.78,0.61
DEC_JNKIN8_041,8ELC_DEC_JNKIN8_041,DEC_JNKIN8_041,decoy,JNK-IN-8,0.66,0.76,0.76,0.7572296987333109,2.17,0.0,2.2,0.42,0.76,0.66
DEC_JNKIN8_042,8ELC_DEC_JNKIN8_042,DEC_JNKIN8_042,decoy,JNK-IN-8,0.69,0.78,0.79,0.7873105794637874,2.16,0.0,2.2,0.42,0.78,0.69
DEC_JNKIN8_043,8ELC_DEC_JNKIN8_043,DEC_JNKIN8_043,decoy,JNK-IN-8,0.8,0.8,0.87,0.8715215396751064,2.09,0.0,2.1,0.43,0.79,0.8
DEC_JNKIN8_044,8ELC_DEC_JNKIN8_044,DEC_JNKIN8_044,decoy,JNK-IN-8,0.66,0.78,0.76,0.757821006304652,2.42,0.0,2.4,0.4,0.78,0.66
DEC_JNKIN8_045,8ELC_DEC_JNKIN8_045,DEC_JNKIN8_045,decoy,JNK-IN-8,0.64,0.77,0.74,0.7400411230740406,2.31,0.0,2.3,0.37,0.78,0.64
DEC_JNKIN8_046,8ELC_DEC_JNKIN8_046,DEC_JNKIN8_046,decoy,JNK-IN-8,0.64,0.71,0.73,0.730387103583836,2.24,0.0,2.2,0.38,0.73,0.64
DEC_JNKIN8_047,8ELC_DEC_JNKIN8_047,DEC_JNKIN8_047,decoy,JNK-IN-8,0.59,0.76,0.7,0.6965001470422049,2.28,0.0,2.3,0.4,0.77,0.59
DEC_JNKIN8_048,8ELC_DEC_JNKIN8_048,DEC_JNKIN8_048,decoy,JNK-IN-8,0.62,0.75,0.72,0.7216362031924389,2.27,0.0,2.3,0.4,0.76,0.62
DEC_JNKIN8_049,8ELC_DEC_JNKIN8_049,DEC_JNKIN8_049,decoy,JNK-IN-8,0.89,0.82,0.95,0.9495505707968416,1.5,0.0,1.5,0.52,0.81,0.89
DEC_JNKIN8_050,8ELC_DEC_JNKIN8_050,DEC_JNKIN8_050,decoy,JNK-IN-8,0.63,0.78,0.73,0.7346484188729766,2.16,0.0,2.2,0.4,0.79,0.63
DEC_YL5084_001,8ELC_DEC_YL5084_001,DEC_YL5084_001,decoy,YL5084,0.63,0.75,0.73,0.7324387706251292,2.31,0.0,2.3,0.45,0.76,0.63
DEC_YL5084_002,8ELC_DEC_YL5084_002,DEC_YL5084_002,decoy,YL5084,0.62,0.73,0.71,0.7142757000319168,2.25,0.0,2.3,0.35,0.74,0.62
DEC_YL5084_003,8ELC_DEC_YL5084_003,DEC_YL5084_003,decoy,YL5084,0.64,0.76,0.74,0.7424187857935335,2.32,0.0,2.3,0.39,0.77,0.64
DEC_YL5084_004,8ELC_DEC_YL5084_004,DEC_YL5084_004,decoy,YL5084,0.65,0.7,0.74,0.7381280499963201,2.15,0.0,2.2,0.38,0.71,0.65
DEC_YL5084_005,8ELC_DEC_YL5084_005,DEC_YL5084_005,decoy,YL5084,0.66,0.72,0.75,0.7484824427091566,2.11,0.0,2.1,0.43,0.74,0.66
DEC_YL5084_006,8ELC_DEC_YL5084_006,DEC_YL5084_006,decoy,YL5084,0.55,0.74,0.66,0.6637901449551565,2.3,0.0,2.3,0.42,0.76,0.55
DEC_YL5084_007,8ELC_DEC_YL5084_007,DEC_YL5084_007,decoy,YL5084,0.79,0.79,0.87,0.8673926230094536,2.21,0.0,2.2,0.56,0.79,0.79
DEC_YL5084_008,8ELC_DEC_YL5084_008,DEC_YL5084_008,decoy,YL5084,0.6,0.73,0.7,0.7021366367852354,2.56,0.0,2.6,0.39,0.75,0.6
DEC_YL5084_009,8ELC_DEC_YL5084_009,DEC_YL5084_009,decoy,YL5084,0.59,0.76,0.7,0.7013501942704292,2.32,0.0,2.3,0.37,0.77,0.59
DEC_YL5084_010,8ELC_DEC_YL5084_010,DEC_YL5084_010,decoy,YL5084,0.63,0.76,0.73,0.7299190304562309,2.29,0.0,2.3,0.46,0.77,0.63
DEC_YL5084_011,8ELC_DEC_YL5084_011,DEC_YL5084_011,decoy,YL5084,0.66,0.7,0.74,0.7400315386654135,2.1,0.0,2.1,0.41,0.72,0.66
DEC_YL5084_012,8ELC_DEC_YL5084_012,DEC_YL5084_012,decoy,YL5084,0.65,0.72,0.74,0.7368937847783517,2.18,0.0,2.2,0.41,0.74,0.65
DEC_YL5084_013,8ELC_DEC_YL5084_013,DEC_YL5084_013,decoy,YL5084,0.6,0.75,0.71,0.7089741863969118,2.31,0.0,2.3,0.38,0.76,0.6
DEC_YL5084_014,8ELC_DEC_YL5084_014,DEC_YL5084_014,decoy,YL5084,0.59,0.77,0.7,0.703752075248615,2.29,0.0,2.3,0.41,0.78,0.59
DEC_YL5084_015,8ELC_DEC_YL5084_015,DEC_YL5084_015,decoy,YL5084,0.69,0.78,0.78,0.7845508091429412,2.1,0.0,2.1,0.47,0.78,0.69
DEC_YL5084_016,8ELC_DEC_YL5084_016,DEC_YL5084_016,decoy,YL5084,0.68,0.78,0.78,0.7764762960370044,2.22,0.0,2.2,0.39,0.78,0.68
DEC_YL5084_017,8ELC_DEC_YL5084_017,DEC_YL5084_017,decoy,YL5084,0.63,0.71,0.72,0.7219306228483282,2.33,0.0,2.3,0.36,0.72,0.63
DEC_YL5084_018,8ELC_DEC_YL5084_018,DEC_YL5084_018,decoy,YL5084,0.64,0.75,0.74,0.7415511225300888,2.36,0.0,2.4,0.43,0.76,0.64
DEC_YL5084_019,8ELC_DEC_YL5084_019,DEC_YL5084_019,decoy,YL5084,0.57,0.74,0.68,0.6831979431711992,2.4,0.0,2.4,0.51,0.75,0.57
DEC_YL5084_020,8ELC_DEC_YL5084_020,DEC_YL5084_020,decoy,YL5084,0.87,0.81,0.93,0.932285623249036,1.62,0.0,1.6,0.45,0.8,0.87
DEC_YL5084_021,8ELC_DEC_YL5084_021,DEC_YL5084_021,decoy,YL5084,0.65,0.71,0.74,0.737691256636291,2.27,0.0,2.3,0.42,0.72,0.65
DEC_YL5084_022,8ELC_DEC_YL5084_022,DEC_YL5084_022,decoy,YL5084,0.66,0.71,0.74,0.7441258543118179,2.18,0.0,2.2,0.43,0.73,0.66
DEC_YL5084_023,8ELC_DEC_YL5084_023,DEC_YL5084_023,decoy,YL5084,0.64,0.72,0.73,0.7311528467878945,2.32,0.0,2.3,0.41,0.74,0.64
DEC_YL5084_024,8ELC_DEC_YL5084_024,DEC_YL5084_024,decoy,YL5084,0.8,0.8,0.87,0.8737389386286892,2.04,0.0,2.0,0.5,0.8,0.8
DEC_YL5084_025,8ELC_DEC_YL5084_025,DEC_YL5084_025,decoy,YL5084,0.62,0.75,0.73,0.7251120739966482,2.37,0.0,2.4,0.47,0.75,0.62
DEC_YL5084_026,8ELC_DEC_YL5084_026,DEC_YL5084_026,decoy,YL5084,0.76,0.79,0.84,0.8384146026297862,2.18,0.0,2.2,0.46,0.79,0.76
DEC_YL5084_027,8ELC_DEC_YL5084_027,DEC_YL5084_027,decoy,YL5084,0.85,0.8,0.91,0.914202842672284,1.5,0.0,1.5,0.48,0.79,0.85
DEC_YL5084_028,8ELC_DEC_YL5084_028,DEC_YL5084_028,decoy,YL5084,0.64,0.75,0.74,0.7417652811261222,2.35,0.0,2.3,0.4,0.76,0.64
DEC_YL5084_029,8ELC_DEC_YL5084_029,DEC_YL5084_029,decoy,YL5084,0.59,0.72,0.69,0.6942708188941821,2.22,0.0,2.2,0.45,0.73,0.59
DEC_YL5084_030,8ELC_DEC_YL5084_030,DEC_YL5084_030,decoy,YL5084,0.7,0.78,0.79,0.7871689904473711,2.28,0.0,2.3,0.39,0.78,0.7
DEC_YL5084_031,8ELC_DEC_YL5084_031,DEC_YL5084_031,decoy,YL5084,0.59,0.75,0.7,0.700885152097492,2.24,0.0,2.2,0.34,0.76,0.59
DEC_YL5084_032,8ELC_DEC_YL5084_032,DEC_YL5084_032,decoy,YL5084,0.71,0.79,0.8,0.7982405201505234,2.33,0.0,2.3,0.4,0.79,0.71
DEC_YL5084_033,8ELC_DEC_YL5084_033,DEC_YL5084_033,decoy,YL5084,0.59,0.72,0.7,0.6954781409177333,2.19,0.0,2.2,0.42,0.73,0.59
DEC_YL5084_034,8ELC_DEC_YL5084_034,DEC_YL5084_034,decoy,YL5084,0.86,0.81,0.92,0.9241361626592738,1.83,0.0,1.8,0.49,0.8,0.86
DEC_YL5084_035,8ELC_DEC_YL5084_035,DEC_YL5084_035,decoy,YL5084,0.76,0.79,0.84,0.8393670698782464,2.38,0.0,2.4,0.39,0.79,0.76
DEC_YL5084_036,8ELC_DEC_YL5084_036,DEC_YL5084_036,decoy,YL5084,0.68,0.78,0.78,0.7790053354512037,2.18,0.0,2.2,0.31,0.78,0.68
DEC_YL5084_037,8ELC_DEC_YL5084_037,DEC_YL5084_037,decoy,YL5084,0.57,0.74,0.68,0.6800754333881842,2.32,0.0,2.3,0.4,0.75,0.57
DEC_YL5084_038,8ELC_DEC_YL5084_038,DEC_YL5084_038,decoy,YL5084,0.87,0.81,0.93,0.9325031902148324,1.83,0.0,1.8,0.53,0.8,0.87
DEC_YL5084_039,8ELC_DEC_YL5084_039,DEC_YL5084_039,decoy,YL5084,0.83,0.79,0.89,0.8929127895465586,1.98,0.0,2.0,0.43,0.79,0.83
DEC_YL5084_040,8ELC_DEC_YL5084_040,DEC_YL5084_040,decoy,YL5084,0.65,0.78,0.75,0.7531300842760024,2.26,0.0,2.3,0.54,0.78,0.65
DEC_YL5084_041,8ELC_DEC_YL5084_041,DEC_YL5084_041,decoy,YL5084,0.83,0.79,0.9,0.8990248035677175,2.22,0.0,2.2,0.46,0.78,0.83
DEC_YL5084_042,8ELC_DEC_YL5084_042,DEC_YL5084_042,decoy,YL5084,0.54,0.73,0.65,0.6500536975764482,2.53,0.0,2.5,0.35,0.74,0.54
DEC_YL5084_043,8ELC_DEC_YL5084_043,DEC_YL5084_043,decoy,YL5084,0.63,0.76,0.73,0.7310446863903513,2.04,0.0,2.0,0.48,0.77,0.63
