molecule_chembl_id,target_name,target_chembl_id,assay_chembl_id,assay_type,standard_type,standard_value,standard_units,standard_relation,pchembl_value,bao_format,assay_description,mutant_variant_keywords,organism,panel_id
CHEMBL1614725,HER2,CHEMBL1824,CHEMBL4670947,B,IC50,9.1,nM,=,8.04,BAO_0000219,Inhibition of C-terminal His6-tagged HER2 (703 to 1029 residues) (unknown origin) expressed in Sf9 insect cells using TK as substrate preincubated for 30 mins followed by substrate addition and measured after 60 mins in presence of XL665-labeled streptavidin by HTRF assay,cell,Homo sapiens,EH40_01
CHEMBL554,EGFR,CHEMBL203,CHEMBL674106,B,IC50,10.0,nM,=,8.00,BAO_0000357,Inhibitory activity against epidermal growth factor receptor,WT,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL859867,B,Kd,5.5,nM,=,8.26,BAO_0000357,Average Binding Constant for EGFR; NA=Not Active at 10 uM,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL861550,B,IC50,10.0,nM,=,8.00,BAO_0000357,Inhibition of EGFR,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL910357,B,IC50,12.0,nM,=,7.92,BAO_0000357,Inhibition of ErbB1,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL944274,B,Inhibition,100.0,%,=,,BAO_0000357,Inhibition of human recombinant EGFR at 100 uM,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL944276,B,IC50,17.0,nM,=,7.77,BAO_0000357,Inhibition of human recombinant EGFR,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1060182,B,Kd,2.4,nM,=,8.62,BAO_0000357,Binding constant for EGFR kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1061143,B,Kd,8.6,nM,=,8.07,BAO_0000357,Binding constant for EGFR(E746-A750del) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1061068,B,Kd,0.92,nM,=,9.04,BAO_0000357,Binding constant for EGFR(G719C) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1060190,B,Kd,2.1,nM,=,8.68,BAO_0000357,Binding constant for EGFR(G719S) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1063796,B,Kd,2.2,nM,=,8.66,BAO_0000357,"Binding constant for EGFR(L747-E749del, A750P) kinase domain",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1063797,B,Kd,3.9,nM,=,8.41,BAO_0000357,"Binding constant for EGFR(L747-S752del, P753S) kinase domain",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1051285,B,Kd,3.5,nM,=,8.46,BAO_0000357,"Binding constant for EGFR(L747-T751del,Sins) kinase domain",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1062839,B,Kd,2.8,nM,=,8.55,BAO_0000357,Binding constant for EGFR(L858R) kinase domain,L858R,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1051286,B,Kd,1.2,nM,=,8.92,BAO_0000357,Binding constant for EGFR(L861Q) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1050839,B,Kd,4.2,nM,=,8.38,BAO_0000357,Binding constant for EGFR(S752-I759del) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1044055,B,IC50,52.0,nM,=,7.28,BAO_0000357,Inhibition of Her1 by fluorescence polarization assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1044057,B,IC50,1000.0,nM,>,,BAO_0000019,Inhibition of Her1 T790M mutant by fluorescence polarization assay,"T790M,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1064921,B,IC50,11.2,nM,=,7.95,BAO_0000357,Inhibition of EGFR,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1111474,B,IC50,10.0,nM,=,8.00,BAO_0000357,Inhibition of EGFR,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1108835,B,IC50,52.0,nM,=,7.28,BAO_0000219,Inhibition of EGFR intracellular phosphorylation in human A431 cells by ELISA,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1246995,B,Inhibition,99.2,%,=,,BAO_0000357,Inhibition of EGFR at 10 uM after 1 hr by ELISA,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1260610,B,IC50,433.0,nM,=,6.36,BAO_0000219,Inhibition of EGFR phosphorylation in human MIAPaCa cells by ELISA,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1640839,B,IC50,32.0,nM,<,,BAO_0000219,Inhibition of EGF-induced EGFR phosphorylation in human CAL27 cells overexpressing EGFR after 16 hrs by Western blot,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1640694,B,IC50,2.9,nM,=,8.54,BAO_0000357,Inhibition of EGFR by flash plate based radioactive enzyme assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908693,B,Kd,2.4,nM,=,8.62,BAO_0000357,Binding constant for EGFR kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908694,B,Kd,8.6,nM,=,8.07,BAO_0000357,Binding constant for EGFR(E746-A750del) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908695,B,Kd,0.92,nM,=,9.04,BAO_0000357,Binding constant for EGFR(G719C) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908696,B,Kd,2.1,nM,=,8.68,BAO_0000357,Binding constant for EGFR(G719S) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908697,B,Kd,2.2,nM,=,8.66,BAO_0000357,"Binding constant for EGFR(L747-E749del, A750P) kinase domain",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908698,B,Kd,3.9,nM,=,8.41,BAO_0000357,"Binding constant for EGFR(L747-S752del, P753S) kinase domain",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908699,B,Kd,3.5,nM,=,8.46,BAO_0000357,"Binding constant for EGFR(L747-T751del,Sins) kinase domain",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908700,B,Kd,2.8,nM,=,8.55,BAO_0000357,Binding constant for EGFR(L858R) kinase domain,L858R,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908701,B,Kd,10000.0,nM,>,,BAO_0000357,"Binding constant for EGFR(L858R,T790M) kinase domain","L858R,T790M",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908702,B,Kd,1.2,nM,=,8.92,BAO_0000357,Binding constant for EGFR(L861Q) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908703,B,Kd,4.2,nM,=,8.38,BAO_0000357,Binding constant for EGFR(S752-I759del) kinase domain,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1908704,B,Kd,860.0,nM,=,6.07,BAO_0000357,Binding constant for EGFR(T790M) kinase domain,T790M,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1932747,B,IC50,9.0,nM,=,8.05,BAO_0000357,Inhibition of human EGFR preincubated 2 hrs prior addition of ATP by HTRF assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1930721,B,IC50,8.9,nM,=,8.05,BAO_0000357,"Inhibition of EGFR using poly(Glu,Tyr)4:1 as substrate and [gamma33P]ATP after 60 mins by scintillation counting",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1937679,B,Inhibition,97.7,%,=,,BAO_0000357,Inhibition of EGFR at 10 uM,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1935838,B,IC50,10.0,nM,=,8.00,BAO_0000357,Inhibition of EGFR by time-resolved fluorescence assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1947770,B,IC50,8.0,nM,=,8.10,BAO_0000019,Inhibition of wild-type EGFR expressed using baculovirus expression system by ELISA,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL1947771,B,IC50,,,,,BAO_0000019,Inhibition of EGFR T790M/L858R mutant expressed using baculovirus expression system by ELISA,"L858R,T790M,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL2034605,B,Inhibition,100.0,%,=,,BAO_0000357,Inhibition of EGFR at 100 uM after 50 mins by HTRF assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL2034606,B,Inhibition,99.9,%,=,,BAO_0000357,Inhibition of EGFR at 10 uM after 50 mins by HTRF assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL2034705,B,IC50,9.0,nM,=,8.05,BAO_0000357,Inhibition of EGFR after 50 mins by HTRF assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL2038916,B,IC50,52.2,nM,=,7.28,BAO_0000357,Inhibition of wild-type EGFR preincubated for 10 mins followed by incubation for 30 mins by fluorescence polarization assay,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL2038917,B,IC50,1000.0,nM,>,,BAO_0000224,Inhibition of EGFR T790M mutant preincubated for 10 mins followed by incubation for 30 mins by fluorescence polarization assay,"T790M,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL2185483,B,Inhibition,96.0,%,=,,BAO_0000357,"Inhibition of EGFR at 10 uM incubated for 60 mins using poly(Glu,Tyr)4:1 substrate and 10 uM ATP by ELISA",,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3100584,B,Inhibition,,%,,,BAO_0000219,Inhibition of EGFR autophosphorylation at Y1068 in human MCF7 cells expressing HER2delta16 at 10 uM after 2 hrs by Western blotting,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3100585,B,Inhibition,,%,,,BAO_0000219,Inhibition of EGFR autophosphorylation at Y1068 in human MCF7 cells expressing HER2 at 10 uM after 2 hrs by Western blotting,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3100586,B,Inhibition,,%,,,BAO_0000219,Inhibition of EGFR autophosphorylation at Y1068 in human MCF7 cells expressing pcDNA3 at 10 uM after 2 hrs by Western blotting,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3386303,B,Inhibition,,%,,,BAO_0000219,Inhibition of HER1 phosphorylation (unknown origin) expressed in human A431 cells at 0.001 to 10 uM incubated for 2 hrs by Western blot method,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3385740,B,IC50,7.9,nM,=,8.10,BAO_0000357,Inhibition of HER1 (unknown origin) assessed as reduction in autophosphorylation by ELISA method,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3386305,B,Inhibition,,%,,,BAO_0000219,Inhibition of HER1 (unknown origin) expressed in human A431 cells assessed as reduction in ERK1/2 phosphorylation at 0.001 to 10 uM incubated for 2 hrs by Western blot method,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3386306,B,Inhibition,,%,,,BAO_0000219,Inhibition of HER1 (unknown origin) expressed in human A431 cells assessed as reduction in AKT phosphorylation at 0.001 to 10 uM incubated for 2 hrs by Western blot method,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3418214,B,IC50,11.0,nM,=,7.96,BAO_0000357,Inhibition of EGFR (unknown origin) after 40 mins by scintillation proximity assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3418211,B,IC50,5.5,nM,=,8.26,BAO_0000357,Inhibition of EGFR (unknown origin) by Z'-LYTE assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3616083,B,IC50,10.8,nM,=,7.97,BAO_0000357,Inhibition of epidermal growth factor receptor kinase (unknown origin) using [33P]-ATP after 20 to 30 mins by radiometric assay,WT,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3616088,B,Inhibition,-99.0,%,=,,BAO_0000357,Inhibition of epidermal growth factor receptor kinase (unknown origin) using [33P]-ATP at 10 uM after 20 to 30 mins by radiometric assay,WT,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3636784,B,IC50,10.0,nM,=,8.00,BAO_0000357,Inhibition of EGFR (unknown origin) after 120 mins by HotSpot assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3750872,B,IC50,280.0,nM,=,6.55,BAO_0000357,Inhibition of His-tagged EGFR cytoplasmic domain (645-1186 aa) (unknown origin) assessed as inhibition of autophosphorylation by TR-fluorometry,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3854309,B,IC50,26.0,nM,=,7.58,BAO_0000019,Inhibition of GST-tagged wild type recombinant human EGFR (668 to 1210 residues) expressed in baculovirus after 1 hr by Z-lyte assay,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3870715,B,IC50,10.8,nM,=,7.97,BAO_0000019,Inhibition of EGFR (unknown origin) expressed in baculovirus expression system using Biotin-(amino hexonoic acid)-EEEEYFELVAKKKCONH2 as substrate and [gamma32]-ATP measured after 10 mins by Topcount scintillation counting method,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3870704,B,IC50,,,,,BAO_0000357,Inhibition of wild-type EGFR (unknown origin) assessed as remaining ATP level measured after 15 mins by luminescence analysis,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3882125,B,IC50,21.0,nM,=,7.68,BAO_0000219,"Inhibition of N-terminal GST-tagged human EGFR (696 to end residues) expressed in baculovirus infected Sf21 cells using poly (Glu,Tyr)4:1 as substrate preincubated for 10 mins followed by substrate addition measured after 1 hr by fluorescence polarization assay",cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3882126,B,IC50,5000.0,nM,>,,BAO_0000219,"Inhibition of N-terminal GST-tagged recombinant human EGFR T790M mutant expressed in baculovirus infected Sf21 cells using poly (Glu,Tyr)4:1 as substrate preincubated for 10 mins followed by substrate addition measured after 1 hr by fluorescence polarization assay","T790M,cell,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL3991696,B,Kd,51.0,nM,=,7.29,BAO_0000220,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4007059,B,IC50,27.06,nM,=,7.57,BAO_0000357,"Inhibition of wild type recombinant EGFR (unknown origin) using poly (Glu,Tyr) 4:1 as substrate after 60 mins by ELISA",wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4007062,B,Inhibition,,%,,,BAO_0000219,Inhibition of EGFR phosphorylation at Tyr residue in human A549 cells at 50 uM preincubated for 2 hrs followed by EGF induction measured after 10 mins by Western blot method,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4007063,B,Inhibition,,%,,,BAO_0000219,Inhibition of EGFR phosphorylation at Y1068 in human A549 cells at 50 uM preincubated for 2 hrs followed by EGF induction measured after 10 mins by Western blot method,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4046770,B,IC50,27.06,nM,=,7.57,BAO_0000357,Inhibition of wild type recombinant EGFR (unknown origin) by ELISA,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4046772,B,Inhibition,73.32,%,=,,BAO_0000357,Inhibition of wild type recombinant EGFR (unknown origin) at 50 nM by ELISA relative to control,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4148356,B,IC50,27.1,nM,=,7.57,BAO_0000219,Inhibition of recombinant human N-terminal His-tagged EGFR (1 to 645 residues) expressed in HEK293 cells by ELISA,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4148357,B,IC50,,,,,BAO_0000357,Inhibition of EGFR L858R mutant (unknown origin) using ULight-poly GT as substrate preincubated for 120 mins followed by substrate addition measured after 2 hrs by spectrophotometric method,"L858R,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4148358,B,IC50,,,,,BAO_0000357,Inhibition of EGFR L858R/T790M double mutant (unknown origin) using ULight-poly GT as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by spectrophotometric method,"L858R,T790M,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4148359,B,IC50,,,,,BAO_0000357,Inhibition of EGFR T790M mutant (unknown origin) preincubated for 10 mins followed by TK substrate-botion addition measured after 1 hr by spectrophotometric method,"T790M,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4192705,B,IC50,27.06,nM,=,7.57,BAO_0000219,Inhibition of recombinant human C-terminal His-tagged EGFR (1 to 645 residues) expressed in HEK293 cells by ELISA,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4253972,B,IC50,10.8,nM,=,7.97,BAO_0000357,Inhibition of EGFR (unknown origin),,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4271176,B,IC50,10.8,nM,=,7.97,BAO_0000357,Inhibition of EGFR (unknown origin),,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4271178,B,TIME,5.0,hr,=,,BAO_0000357,Binding affinity to human EGFR assessed as residence time,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4274200,B,IC50,27.1,nM,=,7.57,BAO_0000219,Inhibition of EGFR in human HepG2 cells,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4274201,B,IC50,37.55,nM,=,7.42,BAO_0000219,Inhibition of recombinant human EGFR L858R mutant expressed in baculovirus infected insect cells preincubated for 5 mins followed by ATP addition and measured after 30 mins by HTRF assay,"L858R,cell,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4274202,B,IC50,224.89,nM,=,6.65,BAO_0000219,Inhibition of N-terminal GST-tagged recombinant human EGFR T790M mutant expressed in baculovirus infected Sf21 insect cells preincubated for 5 mins followed by ATP addition and measured after 30 mins by HTRF assay,"T790M,cell,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4322135,B,Ki,3.0,nM,=,8.52,BAO_0000357,Inhibition of EGFR (unknown origin),,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4329616,B,IC50,10.85,nM,=,7.96,BAO_0000019,Inhibition of wild type human N-terminal GST-tagged EGFR cytoplasmic domain (669 to 1210 residues) expressed in baculovirus expression system after 1 hr in presence of ULight-labeled peptide substrate and ATP by LANCE ultra kinase assay,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4329618,B,IC50,2500.0,nM,>,,BAO_0000019,Inhibition of human N-terminal GST-tagged EGFR cytoplasmic domain (669 to 1210 residues) T790M mutant expressed in baculovirus expression system after 1 hr in presence of ULight-labeled peptide substrate and ATP by LANCE ultra kinase assay,"T790M,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4332284,B,IC50,10.0,nM,=,8.00,BAO_0000219,Inhibition of EGF-induced EGFR phosphorylation at Tyr-residue in human HN5 cells preincubated for 24 hrs followed by EGF-stimulation and measured after 15 mins by Western blot analysis,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4342865,B,IC50,10.2,nM,=,7.99,BAO_0000019,Inhibition of EGFR (unknown origin) expressed in baculovirus system assessed as reduction in phosphorylation of Peptide A incubated for 10 mins by scintillation counting,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4353429,B,Inhibition,,%,,,BAO_0000219,"Inhibition of human recombinant GST-tagged EGFR (catalytic domain 695 to end residues) autophosphorylation expressed in baculovirus infected Sf9 cells using poly( Glu,Tyr) 4:1 as substrate at 1 to 10 uM incubated for 60 mins by ELISA",cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4388527,B,IC50,1.8,nM,=,8.74,BAO_0000019,Inhibition of probe binding to EGFR L858R mutant (unknown origin) using rabbit reticulate lysate system after 1 hr by luminescence assay,"L858R,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4394506,B,Kd,11.0,nM,=,7.96,BAO_0000019,Binding affinity to wild-type human partial length EGFR (R669 to V1011 residues) expressed in bacterial expression system by Kinomescan method,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4394508,B,IC50,21.0,nM,=,7.68,BAO_0000219,Inhibition of EGFR in human A431 cells assessed as reduction in EGF-stimulated EGFR autophosphorylation preincuabted for 90 mins followed by EGF-stimulation by sandwich-ELISA,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4625049,B,IC50,3.0,nM,=,8.52,BAO_0000357,Inhibition of wild type EGFR (unknown origin) in presence of radiolabelled gammaATP by radioisotope filter binding assay,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4625053,B,IC50,8.0,nM,=,8.10,BAO_0000357,Inhibition of EGFR L858R mutant (unknown origin) in presence of radiolabelled gammaATP by radioisotope filter binding assay,"L858R,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4625054,B,IC50,4000.0,nM,>,,BAO_0000357,Inhibition of EGFR L858R/T790M mutant (unknown origin) in presence of radiolabelled gammaATP by radioisotope filter binding assay,"L858R,T790M,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4625060,B,Kd,,,,,BAO_0000019,Inhibition of recombinant human wild type partial length EGFR (669 to 1011 residues) expressed in bacterial expression system by competitive binding assay,wild,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4625061,B,Kd,2.8,nM,=,8.55,BAO_0000019,Inhibition of recombinant human partial length EGFR L858R mutant (669 to 1011 residues) expressed in bacterial expression system by competitive binding assay,"L858R,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4628612,B,IC50,62.0,nM,=,7.21,BAO_0000219,Inhibition of EGFR in human KB cells assessed as reduction in EGF-stimulated EGFR phosphorylation preincubated for 1 hr followed by EGF stimulation and measured after 6 mins by ELISA,cell,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4628613,B,IC50,22.0,nM,=,7.66,BAO_0000357,Inhibition of EGFR (unknown origin) using FAM-labeled peptide as substrate preincubated for 10 mins followed by substrate addition measured after 40 mins in presence of ATP by caliper mobility shift assay,,Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4670927,B,IC50,14781.0,nM,=,4.83,BAO_0000219,Inhibiton of EGFR L858R/T790M mutant (unknown origin) expressed in human NCI-H1975 cells assessed as reduction in EGFR induced cell viability after 96 hrs by CellTiter-Glo assay,"L858R,T790M,cell,mutant",Homo sapiens,EH40_02
CHEMBL554,EGFR,CHEMBL203,CHEMBL4670928,B,IC50,2685.0,nM,=,5.57,BAO_0000219,Inhibiton of EGFR (unknown origin) expressed in human A431 cells assessed as reduction in EGFR induced cell viability after 96 hrs by CellTiter-Glo assay,cell,Homo sapiens,EH40_02
