idx,year,journal,title,doi,url,pmid,note
44,"2024","J Med Chem","Discovery of Novel 2-Aminopyridine-Based and 2-Aminopyrimidine-Based Derivatives as Potent CDK/HDAC Dual Inhibitors for the Treatment of Refractory Solid Tumors and Hematological Malignancies.","10.1021/acs.jmedchem.4c00837","https://doi.org/10.1021/acs.jmedchem.4c00837","39178382","原创双靶小分子(标题层面)"
45,"2024","J Med Chem","Discovery of a Potent and Orally Bioavailable Xanthine Oxidase/Urate Transporter 1 Dual Inhibitor as a Potential Treatment for Hyperuricemia and Gout.","10.1021/acs.jmedchem.4c01480","https://doi.org/10.1021/acs.jmedchem.4c01480","39108024","原创双靶小分子(标题层面)"
46,"2024","J Med Chem","Discovery of Indolo[3,2-c]isoquinoline Derivatives as Novel Top1/2 Dual Inhibitors with Orally Efficacious Antitumor Activity and Low Toxicity.","10.1021/acs.jmedchem.4c00982","https://doi.org/10.1021/acs.jmedchem.4c00982","39106476","原创双靶小分子(标题层面)"
47,"2024","J Med Chem","Discovery and Optimization of Hsp110 and sGC Dual-Target Regulators for the Treatment of Pulmonary Arterial Hypertension.","10.1021/acs.jmedchem.4c01364","https://doi.org/10.1021/acs.jmedchem.4c01364","39058542","原创双靶小分子(标题层面)"
48,"2024","J Med Chem","Discovery of a Highly Potent Lysine Methyltransferases G9a/NSD2 Dual Inhibitor to Treat Solid Tumors.","10.1021/acs.jmedchem.4c00640","https://doi.org/10.1021/acs.jmedchem.4c00640","39008565","原创双靶小分子(标题层面)"
49,"2024","J Med Chem","Design, Synthesis, and Activity Evaluation of Novel Benzazole Bifunctional Antifungal Inhibitors with an LDH Carrier.","10.1021/acs.jmedchem.4c01057","https://doi.org/10.1021/acs.jmedchem.4c01057","38888292","原创双靶小分子(标题层面)"
50,"2024","J Med Chem","Systematic Investigation of Dual-Target-Directed Ligands.","10.1021/acs.jmedchem.4c00838","https://doi.org/10.1021/acs.jmedchem.4c00838","38843874","原创双靶小分子(标题层面)"
51,"2024","J Med Chem","Discovery of Novel Small-Molecule-Based Potential PD-L1/EGFR Dual Inhibitors with High Druggability for Glioblastoma Immunotherapy.","10.1021/acs.jmedchem.4c00128","https://doi.org/10.1021/acs.jmedchem.4c00128","38739112","原创双靶小分子(标题层面)"
52,"2024","J Med Chem","Construction and Activity Evaluation of Novel Bifunctional Inhibitors and a COF Carrier Based on a Fungal Infection Microenvironment.","10.1021/acs.jmedchem.4c00710","https://doi.org/10.1021/acs.jmedchem.4c00710","38718180","原创双靶小分子(标题层面)"
53,"2024","J Med Chem","Discovery and Mechanistic Studies of Dual-Target Hits for Carbonic Anhydrase IX and VEGFR-2 as Potential Agents for Solid Tumors: X-ray, In Vitro, In Vivo, and In Silico Investigations of Coumarin-Based Thiazoles.","10.1021/acs.jmedchem.4c00239","https://doi.org/10.1021/acs.jmedchem.4c00239","38642371","原创双靶小分子(标题层面)"
54,"2024","J Med Chem","Discovery of a Novel Thienopyrimidine Compound as a Urate Transporter 1 and Glucose Transporter 9 Dual Inhibitor with Improved Efficacy and Favorable Druggability.","10.1021/acs.jmedchem.4c00136","https://doi.org/10.1021/acs.jmedchem.4c00136","38482820","原创双靶小分子(标题层面)"
55,"2024","J Med Chem","Rational Design of PARP1/c-Met Dual Inhibitors for Overcoming PARP1 Inhibitor Resistance Induced by c-Met Overexpression.","10.1021/acs.jmedchem.4c00077","https://doi.org/10.1021/acs.jmedchem.4c00077","38477575","原创双靶小分子(标题层面)"
56,"2024","J Med Chem","Design, Synthesis, and Structure-Activity Relationship of Novel Pyridazinone-Based PARP7/HDACs Dual Inhibitors for Elucidating the Relationship between Antitumor Immunity and HDACs Inhibition.","10.1021/acs.jmedchem.4c00090","https://doi.org/10.1021/acs.jmedchem.4c00090","38456618","原创双靶小分子(标题层面)"
57,"2024","J Med Chem","Design and Synthesis of Dual-Target Inhibitors Targeting Androgen Receptors and Glucocorticoid Receptors to Overcome Antiandrogen Resistance in Castration-Resistant Prostate Cancer.","10.1021/acs.jmedchem.3c01668","https://doi.org/10.1021/acs.jmedchem.3c01668","38385428","原创双靶小分子(标题层面)"
58,"2024","J Med Chem","Glycan-Modified Peptides for Dual Inhibition of Human Immunodeficiency Virus Entry into Dendritic Cells and T Cells.","10.1021/acs.jmedchem.4c00116","https://doi.org/10.1021/acs.jmedchem.4c00116","38364308","原创双靶小分子(标题层面)"
59,"2024","J Med Chem","Design, Synthesis, and Biological Evaluation of Dual Inhibitors of EGFR(L858R/T790M)/ACK1 to Overcome Osimertinib Resistance in Nonsmall Cell Lung Cancers.","10.1021/acs.jmedchem.3c01934","https://doi.org/10.1021/acs.jmedchem.3c01934","38323982","原创双靶小分子(标题层面)"
60,"2024","J Med Chem","First-in-Class Dual EZH2-HSP90 Inhibitor Eliciting Striking Antiglioblastoma Activity In Vitro and In Vivo.","10.1021/acs.jmedchem.3c02053","https://doi.org/10.1021/acs.jmedchem.3c02053","38285511","原创双靶小分子(标题层面)"
61,"2023","J Med Chem","Discovery of a Dual Tubulin and Neuropilin-1 (NRP1) Inhibitor with Potent In Vivo Anti-Tumor Activity via Pharmacophore-based Docking Screening, Structure Optimization, and Biological Evaluation.","10.1021/acs.jmedchem.3c01572","https://doi.org/10.1021/acs.jmedchem.3c01572","38093696","原创双靶小分子(标题层面)"
62,"2023","J Med Chem","Construction and Evaluation of Novel Dual-function Antifungal Inhibitors and Covalent Organic Framework Carriers Based on the Infection Microenvironment.","10.1021/acs.jmedchem.3c01372","https://doi.org/10.1021/acs.jmedchem.3c01372","37752076","原创双靶小分子(标题层面)"
63,"2023","J Med Chem","Design, Synthesis, and Activity Evaluation of Novel Dual-Target Inhibitors with Antifungal and Immunoregulatory Properties.","10.1021/acs.jmedchem.3c00942","https://doi.org/10.1021/acs.jmedchem.3c00942","37705322","原创双靶小分子(标题层面)"
64,"2023","J Med Chem","Identification of Novel Dual-Target Estrogen Receptor α Degraders with Tubulin Inhibitory Activity for the Treatment of Endocrine-Resistant Breast Cancer.","10.1021/acs.jmedchem.3c00465","https://doi.org/10.1021/acs.jmedchem.3c00465","37584263","降解剂/PROTAC类"
65,"2023","J Med Chem","Pharmacological and Physicochemical Properties Optimization for Dual-Target Dopamine D(3) (D(3)R) and μ-Opioid (MOR) Receptor Ligands as Potentially Safer Analgesics.","10.1021/acs.jmedchem.3c00417","https://doi.org/10.1021/acs.jmedchem.3c00417","37467430","原创双靶小分子(标题层面)"
66,"2023","J Med Chem","Discovery of the First-in-Class Intestinal Restricted FXR and FABP1 Dual Modulator ZLY28 for the Treatment of Nonalcoholic Fatty Liver Disease.","10.1021/acs.jmedchem.2c01918","https://doi.org/10.1021/acs.jmedchem.2c01918","37079895","原创双靶小分子(标题层面)"
67,"2023","J Med Chem","Imidazo[1,2-a]Pyridine Derivatives as Novel Dual-Target Inhibitors of ABCB1 and ABCG2 for Reversing Multidrug Resistance.","10.1021/acs.jmedchem.2c01862","https://doi.org/10.1021/acs.jmedchem.2c01862","36780419","原创双靶小分子(标题层面)"
68,"2022","J Med Chem","Discovery of Potent OTUB1/USP8 Dual Inhibitors Targeting Proteostasis in Non-Small-Cell Lung Cancer.","10.1021/acs.jmedchem.2c00408","https://doi.org/10.1021/acs.jmedchem.2c00408","36221183","原创双靶小分子(标题层面)"
69,"2022","J Med Chem","Development of MAO-A and 5-HT(2A)R Dual Inhibitors with Improved Antidepressant Activity.","10.1021/acs.jmedchem.2c01271","https://doi.org/10.1021/acs.jmedchem.2c01271","36173886","原创双靶小分子(标题层面)"
70,"2022","J Med Chem","Discovery of Novel Src Homology-2 Domain-Containing Phosphatase 2 and Histone Deacetylase Dual Inhibitors with Potent Antitumor Efficacy and Enhanced Antitumor Immunity.","10.1021/acs.jmedchem.2c00866","https://doi.org/10.1021/acs.jmedchem.2c00866","36097406","原创双靶小分子(标题层面)"
71,"2022","J Med Chem","Design, Synthesis, and Biological Evaluation of Dual-Target COX-2/CYP51 Inhibitors for the Treatment of Fungal Infectious Diseases.","10.1021/acs.jmedchem.2c00878","https://doi.org/10.1021/acs.jmedchem.2c00878","36074863","原创双靶小分子(标题层面)"
72,"2022","J Med Chem","Discovery, Optimization, and Evaluation of Potent and Selective PI3Kδ-γ Dual Inhibitors for the Treatment of B-cell Malignancies.","10.1021/acs.jmedchem.2c00568","https://doi.org/10.1021/acs.jmedchem.2c00568","35831917","原创双靶小分子(标题层面)"
73,"2022","J Med Chem","Discovery of a Novel Src Homology-2 Domain Containing Protein Tyrosine Phosphatase-2 (SHP2) and Cyclin-Dependent Kinase 4 (CDK4) Dual Inhibitor for the Treatment of Triple-Negative Breast Cancer.","10.1021/acs.jmedchem.2c00063","https://doi.org/10.1021/acs.jmedchem.2c00063","35447031","原创双靶小分子(标题层面)"
74,"2022","J Med Chem","Development of Dual Inhibitors Targeting Epidermal Growth Factor Receptor in Cancer Therapy.","10.1021/acs.jmedchem.1c01714","https://doi.org/10.1021/acs.jmedchem.1c01714","35311289","原创双靶小分子(标题层面)"
75,"2022","J Med Chem","Discovery and In Vivo Proof of Concept of a Highly Potent Dual Inhibitor of Soluble Epoxide Hydrolase and Acetylcholinesterase for the Treatment of Alzheimer's Disease.","10.1021/acs.jmedchem.1c02150","https://doi.org/10.1021/acs.jmedchem.1c02150","35271276","原创双靶小分子(标题层面)"
76,"2021","J Med Chem","Discovery of Novel Dual-Target Inhibitor of Bromodomain-Containing Protein 4/Casein Kinase 2 Inducing Apoptosis and Autophagy-Associated Cell Death for Triple-Negative Breast Cancer Therapy.","10.1021/acs.jmedchem.1c01382","https://doi.org/10.1021/acs.jmedchem.1c01382","34908415","原创双靶小分子(标题层面)"
