idx,year,journal,title,doi,url,pmid,has_synthesis_and_activity,synthesis,activity,design_type,design_confidence,targets_guess,synth_snippet,activity_snippet,abstract,design_bucket
15,2026,J Med Chem,Development of Novel Estradiol-Indole Hybrids Targeting SERT and ER&#x3b2; as Potential Antidepressants.,10.1021/acs.jmedchem.6c00446,https://doi.org/10.1021/acs.jmedchem.6c00446,42154662,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,SERT/ER,"R&#x3b2;). Among 18 synthesized compounds, I11 exhibited potent SERT inhibition (IC50 = 16.92 &#xb1; 1.71 nM), strong ER&","hibited potent SERT inhibition (IC50 = 16.92 &#xb1; 1.71 nM), strong ER&#x3b2; agonism (EC50 = 3.66 &#xb1; 0.55 nM, appr","Major depressive disorder (MDD) remains a global concern, with current treatments often showing delayed or limited efficacy. This research describes the development of novel estradiol-indole hybrids designed to inhibit the serotonin transporter (SERT) and activate the estrogen receptor &#x3b2; (ER&#x3b2;). Among 18 synthesized compounds, I11 exhibited potent SERT inhibition (IC50 = 16.92 &#xb1; 1.71 nM), strong ER&#x3b2; agonism (EC50 = 3.66 &#xb1; 0.55 nM, approximately 6-fold selectivity over ER&#x3b1;), and favorable oral absorption and brain penetration. Notably, I11 reduced immobility in forced swim and tail suspension tests in chronic unpredictable mild stress (CUMS) mice and improved social interaction while reducing inactivity in chronic social defeat stress (CSDS) models. Consistent with coordinated involvement of ER&#x3b2; signaling and SERT regulation, I11 increased hippocampal serotonin levels and altered ER&#x3b2;/SERT expression and downstream markers such as phosphorylated cAMP response element-binding protein (p-CREB) and brain-derived neurotrophic factor (BDNF). These results position I11 as a promising dual-target antidepressant candidate with superior efficacy.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
16,2026,J Med Chem,"Structural Modification of Tranilast against Poxvirus Based on &#x3b1;, &#x3b2;-Unsaturated Acrylamide Covalent Warhead and Confirmation of the Targets and Mode of Action.",10.1021/acs.jmedchem.6c00193,https://doi.org/10.1021/acs.jmedchem.6c00193,42062233,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,设计类型摘要未明说,摘要未明说,见题目/摘要,"A), we designed and synthesized 24 new TRA derivatives and evaluated their anti-orthopoxvirus activity using a VTT-Fluc a","pox clade IIb, with EC50 values of 6.1 and 47.1 &#x3bc;M, respectively, significantly outperformed TRA. In a VTT-F","The recurrent mpox outbreak has raised widespread global concern, yet specific antiviral therapies remain unavailable. Based on the &#x3b1;, &#x3b2;-unsaturated acrylamide covalent warhead of tranilast (TRA), we designed and synthesized 24 new TRA derivatives and evaluated their anti-orthopoxvirus activity using a VTT-Fluc assay. Compound 8l exhibited the most potent antipoxvirus activity and moderate activity against monkeypox clade IIb, with EC50 values of 6.1 and 47.1 &#x3bc;M, respectively, significantly outperformed TRA. In a VTT-Fluc nude mouse model, oral administration of 8l at 90 mg/kg achieved an 88.2% viral inhibition rate. Mechanistic studies revealed 8l exerted dual-target inhibition by acting on viral A17L and mRNA methyltransferase, thereby blocking membrane fusion and intracellular biosynthesis. The acrylamide warhead in 8l forms covalent adducts with serine residues of both targets via Michael addition. This work provides a promising covalent lead and identifies potential targets for the development of broad-spectrum anti-orthopoxvirus agents.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
17,2025,J Med Chem,Rational Design of Methylene Blue-Raloxifene Conjugates for Efficient Breast Tumor Elimination Triggered by ER&#x3b1; Degradation.,10.1021/acs.jmedchem.5c00490,https://doi.org/10.1021/acs.jmedchem.5c00490,40213902,是：摘要可见合成+活性,有（发现/构效/类似物用语，JMC发现文常见）,有（含具体浓度/IC50等数字）,PROTAC/降解剂(连接型双功能),摘要明示,见题目/摘要,,"cer cells after 660 nm irradiation (0.4 W/cm2) for 1 min. Owing to the ER&#x3b1; degradation merit, MR3 displaye","Small molecules capable of degrading estrogen receptor &#x3b1; (ER&#x3b1;) are of significant interest in breast cancer treatment. Herein, we rationally designed a series of ER&#x3b1; degraders (MR1-MR3) by conjugating methylene blue, a bifunctional photosensitizer, with the raloxifene pharmacophore. The lead compound MR3 exhibited high affinity to ER&#x3b1;, and it can induce a complete depletion of ER&#x3b1; in MCF7 breast cancer cells after 660 nm irradiation (0.4 W/cm2) for 1 min. Owing to the ER&#x3b1; degradation merit, MR3 displayed a 45-fold boosted anticancer activity (IC50 = 0.55 &#x3bc;M) after irradiation. In the breast cancer xenograft mouse model, MR3 induced an obvious tumor regression (tumor growth inhibition = 118%), which was superior to that of the FDA-approved ER&#x3b1; degrader Faslodex. These important features make MR3 extremely intriguing for breast cancer treatment.",D. PROTAC/降解剂（连接型双功能）
18,2025,J Med Chem,Discovery of Novel and Highly Potent Dual PD-L1/Histone Deacetylase 6 Inhibitors with Favorable Pharmacokinetics for Cancer Immunotherapy.,10.1021/acs.jmedchem.4c02510,https://doi.org/10.1021/acs.jmedchem.4c02510,39979078,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,PD-L1/Histone; PD-L1/HDAC6,"s were designed and synthesized, and compound HP29 was identified as the most potent candidate, which demonstrated excell","and selective HDAC6 inhibitory activity (IC50 = 78 nM, SI &gt; 1282), and high anti-PD-1/PD-L1 activity (IC50 = 26.8 nM)","A series of novel PD-L1/HDAC6 dual inhibitors were designed and synthesized, and compound HP29 was identified as the most potent candidate, which demonstrated excellent and selective HDAC6 inhibitory activity (IC50 = 78 nM, SI &gt; 1282), and high anti-PD-1/PD-L1 activity (IC50 = 26.8 nM). Further studies showed that HP29 could bind with high affinity to PD-L1 and HDAC6 protein. Furthermore, HP29 possessed favorable in vivo pharmacokinetic properties, such as decent oral bioavailability (F = 15.3%). Moreover, HP29 exhibited significant in vivo antitumor efficacy in a melanoma tumor model with a greater tumor growth inhibition (TGI) (65.5%) than that of NP19 (43.2%), ACY-1215 (45.6%), and the combination group (53.9%). Mechanistically, the percentages of tumor-infiltrating lymphocytes (TILs) in the HP29-treated tumor tissues were significantly higher than the combination group or PD-L1 inhibitor monotherapy group, suggesting potential synergistic antitumor immune effects. Collectively, HP29 represents a novel PD-L1/HDAC6 dual inhibitor deserving further investigation as a potential cancer immunomodulating agent.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
19,2025,J Med Chem,"Discovery of FHD-286, a First-in-Class, Orally Bioavailable, Allosteric Dual Inhibitor of the Brahma Homologue (BRM) and Brahma-Related Gene 1 (BRG1) ATPase Activity for the Treatment of SWItch/Sucrose Non-Fermentable (SWI/SNF) Dependent Cancers.",10.1021/acs.jmedchem.4c02535,https://doi.org/10.1021/acs.jmedchem.4c02535,39801091,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,"rein, we report the discovery of compound 1 (FHD-286) as a potent allosteric inhibitor of the dual ATPase subunits from a",ning hit with a BRM IC50 of &#x223c;27 &#x3bc;M. FHD-286 is an orally bioavailable compound with antitumor activit,"BRM (SMARCA2) and BRG1 (SMARCA4) are mutually exclusive ATPase subunits of the mSWI/SNF (BAF) chromatin remodeling complex. BAF is an attractive therapeutic target because of its role in transcription, and mutations in the subunits of BAF are common in cancer and neurological disorders. Herein, we report the discovery of compound 1 (FHD-286) as a potent allosteric inhibitor of the dual ATPase subunits from a high-throughput screening hit with a BRM IC50 of &#x223c;27 &#x3bc;M. FHD-286 is an orally bioavailable compound with antitumor activity in mouse xenograft models of uveal melanoma and acute myeloid leukemia and is being evaluated in Phase 1 clinical trials.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
20,2024,J Med Chem,"Design, Synthesis, and Biological Evaluation of Dual Inhibitors of EGFRL858R/T790M/ACK1 to Overcome Osimertinib Resistance in Nonsmall Cell Lung Cancers.",10.1021/acs.jmedchem.3c01934,https://doi.org/10.1021/acs.jmedchem.3c01934,38323982,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,T790M/ACK1,,ed resistance. Dual inhibition of EGFRL858R/T790M and ACK1 might improve therapeutic efficacy and overcome resistance in,"Activation of the alternative pathways and abnormal signaling transduction are frequently observed in third-generation EGFR-TKIs (epidermal growth factor receptor tyrosine kinase inhibitors)-resistant patients. Wherein, hyperphosphorylation of ACK1 contributes to EGFR-TKIs acquired resistance. Dual inhibition of EGFRL858R/T790M and ACK1 might improve therapeutic efficacy and overcome resistance in lung cancers treatment. Here, we identified a EGFRL858R/T790M/ACK1 dual-targeting compound 21a with aminoquinazoline scaffold, which showed excellent inhibitory activities against EGFRL858R/T790M (IC50 = 23 nM) and ACK1 (IC50 = 263 nM). The cocrystal and docking analysis showed that 21a occupied the ATP binding pockets of EGFRL858R/T790M and ACK1. Moreover, 21a showed potent antiproliferative activities against the H1975 cells, MCF-7 cells and osimertinib-resistant cells AZDR. Further, 21a showed significant antitumor effects and good safety in ADZR xenograft-bearing mice. Taken together, 21a was a potent dual inhibitor of EGFRL858R/T790M/ACK1, which is deserved as a potential lead for overcoming acquired resistance to osimertinib during the EGFR-targeted therapy.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
21,2025,J Med Chem,Discovery of 3-(Arylamido)pyrazolopyridine HIF-2&#x3b1; Agonists and a Codrug Strategy with Prolyl Hydroxylase Inhibition for Synergistic Treatment of Renal Anemia.,10.1021/acs.jmedchem.5c02719,https://doi.org/10.1021/acs.jmedchem.5c02719,41267442,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,"gy, we designed and synthesized the bifunctional codrug 50 (ZG-2688), linking 48 with Vadadustat. Notably, codrug 50 indu","375.7 &#xb1; 9.7%, EC50 = 0.25 &#xb1; 0.05 &#x3bc;M). Molecular dynamics (MD) simulations provided detailed insig","Activation of the hypoxia-inducible factor-2 (HIF-2) pathway represents a promising strategy for the treatment of renal anemia. Here, we identify compound 48 (ZG-2686), a 3-(benzamido)pyrazolopyridine derivative, as a novel and potent HIF-2&#x3b1; agonist (Emax = 375.7 &#xb1; 9.7%, EC50 = 0.25 &#xb1; 0.05 &#x3bc;M). Molecular dynamics (MD) simulations provided detailed insights into the binding mode of 48 with the HIF-2&#x3b1;/&#x3b2; complex. In cellular assays, 48 synergistically enhanced HIF-2&#x3b1;-dependent EPO gene expression when combined with the clinically approved prolyl hydroxylase domain (PHD) inhibitor Vadadustat. To further exploit this synergy, we designed and synthesized the bifunctional codrug 50 (ZG-2688), linking 48 with Vadadustat. Notably, codrug 50 induced superior upregulation of EPO levels in vivo compared to coadministration of the two individual agents. Together, these findings demonstrate the first rationally designed codrug integrating an HIF-2&#x3b1; agonist and a PHD inhibitor, highlighting a new direction for the development of renal anemia therapies.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
22,2024,J Med Chem,"Design and Synthesis of 7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic Acid Derivatives as PP5 Inhibitors To Reverse Temozolomide Resistance in Glioblastoma Multiforme.",10.1021/acs.jmedchem.4c01304,https://doi.org/10.1021/acs.jmedchem.4c01304,39136241,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,,"ly is important in tumor progression and survival. Due to the high conserved catalytic domain, designing selecti","The serine/threonine phosphatase family is important in tumor progression and survival. Due to the high conserved catalytic domain, designing selective inhibitors is challenging. Herein, we obtained compound 28a with 38-fold enhanced PP5 selectivity (PP2A/5 IC50 = 33.8/0.9 &#x3bc;M) and improved drug-like properties (favorable stability and safety, F = 82.0%) by rational drug design based on a phase II PP2A/5 dual target inhibitor LB-100. Importantly, we found the spatial conformational restriction of the 28a indole fragment was responsible for the selectivity of PP5. Thus, 28a activated p53 and downregulated cyclin D1 and MGMT, which showed potency in cell cycle arrest and reverse temozolomide (TMZ) resistance in the U87 MG cell line. Furthermore, oral administration of 28a and TMZ was well tolerated to effectively inhibit tumor growth (TGI = 87.7%) in the xenograft model. Collectively, these results implicate 28a could be a drug candidate by reversing TMZ resistance with a selective PP5 inhibition manner.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
23,2024,J Med Chem,Discovery of a Potent and Orally Bioavailable Xanthine Oxidase/Urate Transporter 1 Dual Inhibitor as a Potential Treatment for Hyperuricemia and Gout.,10.1021/acs.jmedchem.4c01480,https://doi.org/10.1021/acs.jmedchem.4c01480,39108024,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,XO/URAT1,"ivity relationship (SAR) studies, we identified compound 27 as a potent dual inhibitor of XO and URAT1. Compound",enhance therapeutic potency and reduce toxicity compared with single-target inhibitors. Through scaffold hopping from,"The main uric acid-lowering agents in clinical use for hyperuricemia and gout are xanthine oxidase (XO) inhibitors or urate transporter 1 (URAT1) inhibitors. While these therapies can partially control the disease, they have various limitations. The development of XO/URAT1 dual inhibitors offers the potential to enhance therapeutic potency and reduce toxicity compared with single-target inhibitors. Through scaffold hopping from the XO inhibitor febuxostat (2) and the URAT1 inhibitor probenecid (3), followed by structure-activity relationship (SAR) studies, we identified compound 27 as a potent dual inhibitor of XO and URAT1. Compound 27 demonstrated significant dual inhibition in vitro (XO IC50 = 35 nM; URAT1 IC50 = 31 nM) and exhibited favorable pharmacology and pharmacokinetic (PK) profiles in multiple species including monkeys. Furthermore, toxicity studies in rats and monkeys revealed general safety profiles, supporting that compound 27 emerges as a promising novel drug candidate with potent XO/URAT1 dual inhibition for the treatment of gout.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
24,2024,J Med Chem,Discovery of Novel Small-Molecule-Based Potential PD-L1/EGFR Dual Inhibitors with High Druggability for Glioblastoma Immunotherapy.,10.1021/acs.jmedchem.4c00128,https://doi.org/10.1021/acs.jmedchem.4c00128,38739112,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,EGFR/PD-L1; PD-L1/EGFR,"M), we designed and synthesized a series of small molecules as potential dual inhibitors of EGFR and PD-L1. Among them, c",hibited the highest inhibitory activity against EGFR (IC50 = 37.5 nM) and PD-1/PD-L1 interaction (IC50 = 1.77 &#x3bc;M).,"Based on the close relationship between programmed death protein ligand 1 (PD-L1) and epidermal growth factor receptor (EGFR) in glioblastoma (GBM), we designed and synthesized a series of small molecules as potential dual inhibitors of EGFR and PD-L1. Among them, compound EP26 exhibited the highest inhibitory activity against EGFR (IC50 = 37.5 nM) and PD-1/PD-L1 interaction (IC50 = 1.77 &#x3bc;M). In addition, EP26 displayed superior in vitro antiproliferative activities and in vitro immunomodulatory effects by promoting U87MG cell death in a U87MG/Jurkat cell coculture model. Furthermore, EP26 possessed favorable pharmacokinetic properties (F = 22%) and inhibited tumor growth (TGI = 92.0%) in a GBM mouse model more effectively than Gefitinib (77.2%) and NP19 (82.8%). Moreover, EP26 increased CD4+ cells and CD8+ cells in tumor microenvironment. Collectively, these results suggest that EP26 represents the first small-molecule-based PD-L1/EGFR dual inhibitor deserving further investigation as an immunomodulating agent for cancer treatment.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
25,2024,J Med Chem,Rational Design of PARP1/c-Met Dual Inhibitors for Overcoming PARP1 Inhibitor Resistance Induced by c-Met Overexpression.,10.1021/acs.jmedchem.4c00077,https://doi.org/10.1021/acs.jmedchem.4c00077,38477575,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,PARP1/c-Met,,"xhibiting excellent inhibitory activities against PARP1 (IC50 = 3.3 nM) and c-Met (IC50 = 32.2 nM), as well as demonstra","The emergence of resistance to PARP1 inhibitors poses a current therapeutic challenge, necessitating the development of novel strategies to overcome this obstacle. The present study describes the design and synthesis of a series of small molecules that target both PARP1 and c-Met. Among them, compound 16 is identified as a highly potent dual inhibitor, exhibiting excellent inhibitory activities against PARP1 (IC50 = 3.3 nM) and c-Met (IC50 = 32.2 nM), as well as demonstrating good antiproliferative effects on HR-proficient cancer cell lines and those resistant to PARP1 inhibitors. Importantly, compound 16 demonstrates superior antitumor potency compared to the PARP1 inhibitor Olaparib and the c-Met inhibitor Crizotinib, either alone or in combination, in MDA-MB-231 and HCT116OR xenograft models. These findings highlight the potential of PARP1/c-Met dual inhibitors for expanding the indications of PARP1 inhibitors and overcoming tumor cells' resistance to them.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
26,2023,J Med Chem,"Discovery of a Dual Tubulin and Neuropilin-1 (NRP1) Inhibitor with Potent In Vivo Anti-Tumor Activity via Pharmacophore-based Docking Screening, Structure Optimization, and Biological Evaluation.",10.1021/acs.jmedchem.3c01572,https://doi.org/10.1021/acs.jmedchem.3c01572,38093696,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,tubulin/NRP1-targeting; Tubulin/Neuropilin-1,,Dual inhibition of tubulin and neuropilin-1 (NRP1) may become an effective method for cancer treatment by,"Dual inhibition of tubulin and neuropilin-1 (NRP1) may become an effective method for cancer treatment by simultaneously killing tumor cells and inhibiting tumor angiogenesis. Herein, we identified dual tubulin/NRP1-targeting inhibitor TN-2, which exhibited good inhibitory activity against both tubulin polymerization (IC50 = 0.71 &#xb1; 0.03 &#x3bc;M) and NRP1 (IC50 = 0.85 &#xb1; 0.04 &#x3bc;M). Importantly, it significantly inhibited the viability of several human prostate tumor cell lines. Further mechanism studies indicated that TN-2 could inhibit tubulin polymerization and cause G2/M arrest, thereby inducing cell apoptosis. It could also suppress cell tube formation, migration, and invasion. Moreover, TN-2 showed obvious antitumor effects on the PC-3 cell-derived xenograft model with negligible side effects and good pharmacokinetic profiles. These data demonstrate that TN-2 could be a promising dual-target chemotherapeutic agent for the treatment of prostate cancer.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
27,2024,J Med Chem,Novel Bifunctional Conjugates Targeting PD-L1/PARP7 as Dual Immunotherapy for Potential Cancer Treatment.,10.1021/acs.jmedchem.4c00296,https://doi.org/10.1021/acs.jmedchem.4c00296,38912753,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,"ARP7 were designed, synthesized, and evaluated for the first time. Compounds B3 and C6 showed potent activity against PD-","/PD-L1 interaction (IC50 = 0.426 and 0.342 &#x3bc;M, respectively) and PARP7 (IC50 = 2.50 and 7.05 nM, respectivel","Bifunctional conjugates targeting PD-L1/PARP7 were designed, synthesized, and evaluated for the first time. Compounds B3 and C6 showed potent activity against PD-1/PD-L1 interaction (IC50 = 0.426 and 0.342 &#x3bc;M, respectively) and PARP7 (IC50 = 2.50 and 7.05 nM, respectively). They also displayed excellent binding affinity with hPD-L1, approximately 100-200-fold better than that of hPD-1. Both compounds restored T-cell function, leading to the increase of IFN-&#x3b3; secretion. In the coculture assay, B3 and C6 enhanced the killing activity of MDA-MB-231 cells by Jurkat T cells in a concentration-dependent manner. Furthermore, B3 and C6 displayed significant in vivo antitumor efficacy in a melanoma B16-F10 tumor mouse model, more than 5.3-fold better than BMS-1 (a PD-L1 inhibitor) and RBN-2397 (a PARP7i clinical candidate) at the dose of 25 mg/kg, without observable side effects. These results provide valuable insight and understanding for developing bifunctional conjugates for potential anticancer therapy.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
28,2024,J Med Chem,Discovery of Small and Bifunctional Molecules Targeting PD-L1/CD73 for Cancer Dual Immunotherapy.,10.1021/acs.jmedchem.4c00553,https://doi.org/10.1021/acs.jmedchem.4c00553,38748913,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,PD-L1/CD73,"s were designed and synthesized. Among them, CC-5 showed the strongest PD-L1 inhibitory effects with an IC50 of 6 nM and",the strongest PD-L1 inhibitory effects with an IC50 of 6 nM and potent anti-CD73 activity with an IC50 of 0.773 &#x3bc;M,"In this work, a series of bifunctional PD-L1/CD73 (cluster of differentiation 73) small-molecule inhibitors were designed and synthesized. Among them, CC-5 showed the strongest PD-L1 inhibitory effects with an IC50 of 6 nM and potent anti-CD73 activity with an IC50 of 0.773 &#x3bc;M. The high PD-L1/CD73 inhibitory activity of CC-5 was further confirmed by SPR assays with KD of 182 nM for human PD-L1 and 101 nM for CD73, respectively. Importantly, CC-5 significantly suppressed tumor growth in a CT26 and B16-F10 tumor model with TGI of 64.3% and 39.6%, respectively. Immunohistochemical (IHC) and flow cytometry analysis of tumor-infiltrating lymphocytes (TILs) indicated that CC-5 exerted anticancer effects via activating the tumor immune microenvironment. Collectively, CC-5 represents the first dual PD-L1/CD73 inhibitor worthy of further research as a bifunctional immunotherapeutic agent.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
29,2021,J Med Chem,Efficient Synthesis and Bioevaluation of Novel Dual Tubulin/Histone Deacetylase 3 Inhibitors as Potential Anticancer Agents.,10.1021/acs.jmedchem.1c00413,https://doi.org/10.1021/acs.jmedchem.1c00413,34097389,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个紧凑分子(双同工酶/双激酶；通常非长链linker),摘要推断,Tubulin/Histone; HDAC3/tubulin,"ned and efficiently synthesized by combining the pharmacophores of SMART (tubulin inhibitor) and MS-275 (HDAC inhibitor),",igh HDAC3 activity (IC50 = 30 nM) and selectivity (SI &gt; 1000) as well as excellent antiproliferative potency ag,"Novel dual HDAC3/tubulin inhibitors were designed and efficiently synthesized by combining the pharmacophores of SMART (tubulin inhibitor) and MS-275 (HDAC inhibitor), among which compound 15c was found to be the most potent and balanced HDAC3/tubulin dual inhibitor with high HDAC3 activity (IC50 = 30 nM) and selectivity (SI &gt; 1000) as well as excellent antiproliferative potency against various cancer cell lines, including an HDAC-resistant gastric cancer cell line (YCC3/7) with IC50 values in the range of 30-144 nM. Compound 15c inhibited B16-F10 cancer cell migration and colony formation. In addition, 15c demonstrated significant in vivo antitumor efficacy in a B16-F10 melanoma tumor model with a better TGI (70.00%, 10 mg/kg) than that of the combination of MS-275 and SMART. Finally, 15c presented a safe cardiotoxicity profile and did not cause nephro-/hepatotoxicity. Collectively, this work shows that compound 15c represents a novel tubulin/HDAC3 dual-targeting agent deserving further investigation as a potential anticancer agent.",A. 单个紧凑分子（双同工酶/双激酶，通常非长linker）
30,2023,J Med Chem,Exploration of Janus Kinase (JAK) and Histone Deacetylase (HDAC) Bispecific Inhibitors Based on the Moiety of Fedratinib for Treatment of Both Hematologic Malignancies and Solid Cancers.,10.1021/acs.jmedchem.3c00036,https://doi.org/10.1021/acs.jmedchem.3c00036,37057760,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,设计类型摘要未明说,摘要未明说,JAK/HDAC,"b were designed and synthesized. Among them, 21 and 30 potently inhibited HDAC3/6 and JAK1/2 at nanomolar levels and exhi",AC3/6 and JAK1/2 at nanomolar levels and exhibited splendid selectivity for the JAK2 against a panel of 76 kinases. 21,"The feedback activation of the Janus kinase (JAK)-STAT pathway leads to the fact that solid cancers are not sensitive to histone deacetylase (HDAC) inhibitors. Herein, a series of novel 2-amino-4-phenylaminopyrimidine JAK/HDAC dual-target inhibitors based on the moiety of fedratinib were designed and synthesized. Among them, 21 and 30 potently inhibited HDAC3/6 and JAK1/2 at nanomolar levels and exhibited splendid selectivity for the JAK2 against a panel of 76 kinases. 21 and 30 presented remarkable antiproliferative activity in both hematological malignancies and solid cancers, which was endorsed by JAK-STAT and HDAC pathway blockade and proapoptotic activity. On the basis of great plasma stability and oral bioavailability, 21 and 30 effectively suppressed the tumor growth of HEL and A549 xenograft models. Collectively, the above results validate that JAK/HDAC dual-target inhibitors provide valuable clues for targeted treatment of hematological malignancies and solid cancers.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
31,2021,J Med Chem,4-Acyl Pyrrole Capped HDAC Inhibitors: A New Scaffold for Hybrid Inhibitors of BET Proteins and Histone Deacetylases as Antileukemia Drug Leads.,10.1021/acs.jmedchem.1c01119,https://doi.org/10.1021/acs.jmedchem.1c01119,34582215,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,连接型/杂合型(linked/hybrid),摘要明示,HDAC/BET,"iterative cycles of design, synthesis, and biological evaluation, we developed a novel type of potent hybrid inhibitors of brom","nd 61, displayed submicromolar inhibitory activity against HDAC1-3 and 6, and BRD4(1), and possess potent antileukemia a","Multitarget drugs are an emerging alternative to combination therapies. In three iterative cycles of design, synthesis, and biological evaluation, we developed a novel type of potent hybrid inhibitors of bromodomain, and extra-terminal (BET) proteins and histone deacetylases (HDACs) based on the BET inhibitor XD14 and well-established HDAC inhibitors. The most promising new hybrids, 49 and 61, displayed submicromolar inhibitory activity against HDAC1-3 and 6, and BRD4(1), and possess potent antileukemia activity. 49 induced apoptosis more effectively than the combination of ricolinostat and birabresib (1:1). The most balanced dual inhibitor, 61, induced significantly more apoptosis than the related control compounds 62 (no BRD4(1) affinity) and 63 (no HDAC inhibition) as well as the 1:1 combination of both. Additionally, 61 was well tolerated in an in vivo zebrafish toxicity model. Overall, our data suggest an advantage of dual HDAC/BET inhibitors over the combination of two single targeted compounds.",C. 连接型/杂合型（linked/hybrid）
32,2022,J Med Chem,Discovery of a Novel Src Homology-2 Domain Containing Protein Tyrosine Phosphatase-2 (SHP2) and Cyclin-Dependent Kinase 4 (CDK4) Dual Inhibitor for the Treatment of Triple-Negative Breast Cancer.,10.1021/acs.jmedchem.2c00063,https://doi.org/10.1021/acs.jmedchem.2c00063,35447031,是：摘要可见合成+活性,有（发现/构效/类似物用语，JMC发现文常见）,有（含具体浓度/IC50等数字）,融合/拼合型(fused/merged),摘要明示,见题目/摘要,,ith excellent SHP2 (IC50 = 4.3 nM) and CDK4 (IC50 = 18.2 nM) inhibitory activities effectively induced G0/G1 arres,"The treatment of triple-negative breast cancer (TNBC) remains a huge clinical challenge and dual-targeted small-molecule drugs might provide new therapeutic options for this type of breast cancer. In this work, we discovered a series of SHP2 and CDK4 dual inhibitors through a fused pharmacophore strategy and structural optimization. Notably, lead compound 10 with excellent SHP2 (IC50 = 4.3 nM) and CDK4 (IC50 = 18.2 nM) inhibitory activities effectively induced G0/G1 arrest to prevent the proliferation of TNBC cell lines. Furthermore, compound 10 showed great in vivo pharmacokinetic properties (F = 45.8%) and exerted significant antitumor efficacy in the EMT6 syngeneic mouse model. Western blotting and immunohistochemical analysis confirmed that 10 effectively targeted on both SHP2 and CDK4 and activated the immune response in tumors. These results indicate that lead compound 10, as the first SHP2 and CDK4 dual inhibitor, merits further development for treating TNBC.",B. 融合/拼合型（fused/merged）
