ligand_id,seed,urat1_sdf,nlrp3_sdf,urat1_sha256,nlrp3_sha256,urat1_nposes,nlrp3_nposes,urat1_a2_pass,nlrp3_structural_pass
REP_07837,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07837_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07837_out.sdf,0c63a3b60f0b6e88e677be9a7f1906c4464b4ee049a81e67ffb55698c1607863,2edcb1590ec47d8e433f70bfa404b216aa5b9afb1deed330f7cd0d689b11417d,9,9,True,False
REP_07838,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07838_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07838_out.sdf,a24310de2af5ee8d4322c00fc660747a5f2d2bff8276d4e7ffe9829ff448f731,8aacac57486f929423ab1cf746cb56d476ef98cd541dbe0ba1388e877bb6a6d1,9,9,True,True
REP_07775,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07775_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07775_out.sdf,a4edf1f50fdda1863e23ebaa784db4822089c4296e30b3248127c2edb139cd56,661265937499638b29dd72676a5f250b9cc977b2b791b3ceea3032cb908a9358,9,9,True,False
REP_07735,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07735_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07735_out.sdf,9cc0a060064884bf22b8567bf29d3dcbfda53c38aeaded564cc9bdcb37a61e00,b4b9fd7303614ef34951ee809ad40d59ce055deaa77a4c8431dbd9d9eb8cbd2e,9,9,True,False
REP_00600,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_00600_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_00600_out.sdf,5a51ba97551a00f2276c25fe88dbca7588e084e47f5b4e3e9d11f21a085c87fb,77c03fb0b9213c6b3645549f59a0ca77bc5b18a6c33d8241d92f85c5e9bd5c71,9,9,False,False
REP_01131,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_01131_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_01131_out.sdf,858ae2b2679c56b7f711197bbadb5b1e042e900742eeacd96cb2ab7096b9465f,72d7b4dbe5b816dbd40ea66dd44f48b3871cf4cf5d1f0982615d1d7c7a0d5f68,9,9,True,False
REP_06524,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06524_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06524_out.sdf,816086cef9bfe2271c4098914f25dc39a614203a9f83f7aa410287d4f16e7a0b,10321fcf466f6f21d4179718646d1d8953337271ece65930729f8fadc808ad0c,9,9,True,True
REP_05288,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05288_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05288_out.sdf,a667ba527b92bce850e6e188fdb206c6f4654e5e8441ac6a9866dcd65b729913,1dfe6931867dc526b4adafe61db1bb290c0d3bf03acb0f0eb1bc82dd450feef6,9,9,True,True
REP_02721,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_02721_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_02721_out.sdf,01b095c0a1359144a238795d8556ba15f25ca5c83c5e8d6c6358d0f296fa9b30,bb1b9b803ecc7422ea3a5dcbd103648f86c54e851bf051d1dc8c4a7e1ff71824,9,9,True,True
REP_05460,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05460_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05460_out.sdf,9b3c6b0e91e85623b585fe3a2dc7e6496d4141bb5460494e68b10c21bdfb4ec3,b9b660deba086948eb5d7354dbfd7efa08a876c18cd9951a0c628165d2f74e26,9,9,True,True
