repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,dock_score,glide_score_xp,docking_status,pdb_id,nlrp3_dock_score,nlrp3_glide_score_xp,nlrp3_docking_status,nlrp3_pdb_id,s_u_percentile,s_n_ml_percentile,s_n_dock_percentile,s_n_percentile,pareto_front
REP_02349,CHEMBL1908325,SELAMECTIN,CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)[C@@H]1O,AFJYYKSVHJGXSN-XHKIUTQPSA-N,769.97,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,N=C1C=CC2C(=O)OC3CC(CC=CC(OC4CCCCO4)CC=CC=C4COC1C42)OC1(CCCC(C2CCCCC2)O1)C3,318,-8.656,-8.656,docked,9DKB,-7.727,-7.727,docked,7ALV,98.67088607594937,75.31645569620254,97.78481012658227,97.78481012658227,False
REP_07302,CHEMBL6068034,TALORASIB,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CO[C@H](c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,DOUDKPJUSUTSCJ-LXWOLXCRSA-N,605.11,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,c1ccc2c(C3Cc4nc(OCC5CCCN5)nc(N5CCNCC5)c4CO3)cccc2c1,245,-8.644,-8.644,docked,9DKB,-7.486,-7.486,docked,7ALV,98.60759493670886,91.36075949367088,95.31645569620252,95.31645569620252,False
REP_00971,CHEMBL4297262,ICOMIDOCHOLIC ACID,CCCCCCCCCCCCCCCCCCCC(=O)N[C@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](O)[C@@H]1[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]12,SHKXZIQNFMOPBS-OOMQYRRCSA-N,702.12,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,C1CCC2C(C1)CCC1C3CCCC3CCC21,64,-8.629,-8.629,docked,9DKB,-7.135,-7.135,docked,7ALV,98.54430379746836,91.36075949367088,85.31645569620252,91.36075949367088,False
REP_07946,CHEMBL4297393,KOSN-1724,C/C1=C/C[C@@H](/C(C)=C/c2cc(C)on2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C\C1,JAYGOFBXDFAXBW-CYEKYUJNSA-N,473.61,1.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C1CCCC=CCC=CCC(C=Cc2ccon2)OC(=O)CCC1,102,-8.623,-8.623,docked,9DKB,-6.906,-6.906,docked,7ALV,98.48101265822785,91.36075949367088,73.16455696202532,91.36075949367088,False
REP_03350,CHEMBL2105140,OCTOTIAMINE,COC(=O)CCCCC(CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N)SC(C)=O,VJTXQHYNRDGLON-PGMHBOJBSA-N,544.77,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,c1cncnc1,1127,-8.61,-8.61,docked,9DKB,-7.042,-7.042,docked,7ALV,98.41772151898735,23.734177215189874,80.5379746835443,80.5379746835443,False
REP_07867,CHEMBL3939295,H3B-6527,C=CC(=O)Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1,MBWRLLRCTIYXDW-UHFFFAOYSA-N,629.55,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Nc1ccccc1)Nc1cc(Nc2ccc(N3CCNCC3)cc2)ncn1,826,-8.608,-8.608,docked,9DKB,-7.342,-7.342,docked,7ALV,98.35443037974684,49.68354430379747,92.08860759493672,92.08860759493672,False
REP_05621,CHEMBL3357685,ZELENIRSTAT,Cc1c(NS(=O)(=O)c2c(Cl)cc(-c3ccnc(N4CCNCC4)c3)cc2Cl)c(CC(C)C)nn1C,WKTSLVQYGBHNRV-UHFFFAOYSA-N,537.52,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=S(=O)(Nc1cn[nH]c1)c1ccc(-c2ccnc(N3CCNCC3)c2)cc1,693,-8.584,-8.584,docked,9DKB,-7.477,-7.477,docked,7ALV,98.29113924050633,49.68354430379747,95.12658227848101,95.12658227848101,False
REP_07152,CHEMBL5414447,ATUMELNANT,CCOc1ccccc1-c1ccc(N2CCN(C(=O)C3(C(F)(F)F)CCC3)C[C@H]2CC)c(C(=O)N[C@@H]2CN3CCC2CC3)n1,QJRFBKYETDVAJQ-ZEQKJWHPSA-N,613.72,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NC1CN2CCC1CC2)c1nc(-c2ccccc2)ccc1N1CCN(C(=O)C2CCC2)CC1,622,-8.578,-8.578,docked,9DKB,-7.452,-7.452,docked,7ALV,98.22784810126582,49.68354430379747,94.49367088607595,94.49367088607595,False
REP_05942,CHEMBL396290,NCX 1000,COc1ccc(/C=C/C(=O)OCCCCO[N+](=O)[O-])cc1OC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,RISQVQFWBQSZQE-OBOLPPCUSA-N,685.85,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,O=C(CCCC1CCC2C1CCC1C3CCCCC3CCC21)Oc1ccccc1,442,-8.567,-8.567,docked,9DKB,-7.001,-7.001,docked,7ALV,98.16455696202532,75.31645569620254,78.51265822784809,78.51265822784809,False
REP_00845,CHEMBL35228,PYRONARIDINE,COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(CN4CCCC4)c(O)c(CN4CCCC4)c3)c2n1,DJUFPMUQJKWIJB-UHFFFAOYSA-N,518.06,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.64463556,82.18535881716552,True,,c1ccc2c(Nc3cc(CN4CCCC4)cc(CN4CCCC4)c3)c3ncccc3nc2c1,1483,-8.541,-8.541,docked,9DKB,-6.304,-6.304,docked,7ALV,98.10126582278481,6.70886075949367,35.28481012658228,35.28481012658228,False
