ligand,target,vina_mode,rtmscore
EH40_37,3POZ,8,24.147086435267077
EH40_39,3POZ,1,24.05421120700337
EH40_10,3POZ,7,24.04302647488524
EH40_17,3POZ,2,23.98432196134924
EH40_18,3POZ,9,23.753426177940995
EH40_13,3POZ,9,23.681635162270176
EH40_13,3POZ,2,23.671130126188075
EH40_12,3POZ,7,23.57100948087609
EH40_06,3POZ,7,23.41987152186376
EH40_15,3POZ,9,23.394760857435656
EH40_32,3POZ,2,23.38641765874409
EH40_26,3POZ,9,23.26048203691392
EH40_12,3POZ,8,23.06308016867427
EH40_10,3POZ,9,23.016167401179366
EH40_19,3POZ,7,22.991971067252887
EH40_07,3POZ,4,22.939057868060694
EH40_23,3POZ,2,22.931823929375444
EH40_33,3POZ,8,22.89789433861584
EH40_22,3POZ,9,22.76953999754242
EH40_39,3POZ,3,22.6375358612109
EH40_27,3POZ,3,22.631863274635904
EH40_23,3POZ,3,22.28098653400269
EH40_19,3POZ,5,22.21274921793884
EH40_08,3POZ,6,22.20729883913889
EH40_05,3POZ,2,22.012291138319533
EH40_11,3POZ,2,22.00976556708637
EH40_14,3POZ,2,21.94007695812084
EH40_31,3POZ,2,21.846093929873494
EH40_01,3POZ,5,21.805169307362885
EH40_01,3POZ,8,21.79100807731543
EH40_37,3POZ,1,21.73344728714627
EH40_38,3POZ,8,21.704915352504205
EH40_31,3POZ,4,21.423622113541047
EH40_04,3POZ,8,21.365884570787077
EH40_17,3POZ,7,21.319844516441503
EH40_08,3POZ,2,21.19808620404296
EH40_23,3POZ,8,21.1119392312885
EH40_24,3POZ,8,21.070613912939365
EH40_32,3POZ,6,21.05762811261897
EH40_36,3POZ,4,20.98391437973505
EH40_40,3POZ,6,20.92200627301102
EH40_32,3POZ,3,20.894400937055117
EH40_30,3POZ,3,20.787131875579327
EH40_03,3POZ,7,20.785482291258184
EH40_37,3POZ,3,20.731934003548535
EH40_29,3POZ,1,20.6250646180821
EH40_22,3POZ,6,20.620596716485355
EH40_33,3POZ,7,20.615411928927085
EH40_35,3POZ,2,20.483453683955226
EH40_32,3POZ,8,20.4784988996546
EH40_10,3POZ,1,20.43872900899696
EH40_34,3POZ,7,20.3817857871882
EH40_36,3POZ,9,20.260515320885588
EH40_01,3POZ,2,20.18825432044004
EH40_14,3POZ,3,20.14426473519012
EH40_36,3POZ,8,20.054740082599665
EH40_30,3POZ,1,20.01986329262893
EH40_07,3POZ,3,19.939031747541797
EH40_25,3POZ,6,19.896400047697373
EH40_26,3POZ,8,19.81319093926288
EH40_21,3POZ,7,19.80967759164562
EH40_11,3POZ,6,19.65889250898853
EH40_17,3POZ,9,19.62858399603272
EH40_37,3POZ,4,19.54664885313965
EH40_34,3POZ,4,19.44454200786592
EH40_07,3POZ,1,19.38889207024215
EH40_03,3POZ,2,19.351753098915868
EH40_15,3POZ,6,19.253070996390075
EH40_37,3POZ,6,19.204488783032136
EH40_26,3POZ,1,19.15981701696749
EH40_02,3POZ,2,19.03067498630111
EH40_34,3POZ,1,18.6861794912248
EH40_14,3POZ,6,18.412926621383733
EH40_34,3POZ,2,18.30409447306318
EH40_35,3POZ,4,18.16067346077335
EH40_06,3POZ,8,18.0966976884094
EH40_10,3POZ,4,17.845226631624275
EH40_05,3POZ,1,17.79988054796257
EH40_30,3POZ,9,17.69703154061863
EH40_24,3POZ,9,17.567925532224645
EH40_19,3POZ,9,17.12593351077844
EH40_03,3POZ,9,17.11840852863915
EH40_12,3POZ,5,17.039572962851963
EH40_10,3POZ,5,16.921754776389577
EH40_30,3POZ,5,16.917585955666045
EH40_21,3POZ,8,16.562774130145083
EH40_03,3POZ,4,16.54992129276073
EH40_10,3POZ,2,16.540415897927975
EH40_32,3POZ,4,16.47113317455439
EH40_24,3POZ,3,16.383734651500063
EH40_28,3POZ,4,16.33525522086887
EH40_03,3POZ,6,16.287763736320258
EH40_21,3POZ,6,16.285260090247906
EH40_27,3POZ,7,16.150635282795538
EH40_21,3POZ,3,16.105271231769095
EH40_18,3POZ,3,16.07980117345042
EH40_17,3POZ,3,15.98067824966268
EH40_11,3POZ,7,15.85664377540419
EH40_27,3POZ,9,15.58719268503036
EH40_29,3POZ,3,15.51800759020053
EH40_40,3POZ,9,15.492991330171112
EH40_40,3POZ,2,15.358111393945062
EH40_31,3POZ,6,15.220564632650053
EH40_05,3POZ,7,15.172284883854164
EH40_29,3POZ,9,15.170788752971806
EH40_18,3POZ,2,15.078214145081557
EH40_15,3POZ,3,14.546864011995517
EH40_22,3POZ,8,14.206903872554232
EH40_15,3POZ,2,13.531063908502318
EH40_30,3POZ,4,13.466818135365942
EH40_03,3POZ,3,13.420612190316112
EH40_03,3POZ,5,13.26617122798934
EH40_26,3POZ,2,12.910563042980485
EH40_21,3POZ,2,12.864089970566877
EH40_21,3POZ,1,12.736782194556351
EH40_39,3POZ,7,12.6589940208427
EH40_23,3POZ,5,12.6351373706484
EH40_29,3POZ,4,12.57196054870484
EH40_15,3POZ,1,12.389782735867373
EH40_14,3POZ,7,12.38856632759478
EH40_32,3POZ,1,12.377820176157783
EH40_39,3POZ,8,12.309511766094758
EH40_35,3POZ,6,12.300591360947596
EH40_26,3POZ,3,12.202631566097796
EH40_17,3POZ,8,12.068522276957516
EH40_10,3POZ,6,12.00732189385411
EH40_33,3POZ,4,11.717487297518824
EH40_38,3POZ,1,11.682591542781145
EH40_10,3POZ,3,11.64848140259164
EH40_14,3POZ,5,11.254898886755068
EH40_25,3POZ,8,10.823648873158405
EH40_30,3POZ,8,10.75260219082656
EH40_40,3POZ,1,10.722106537914083
