ligand,target,vina_mode,vina_score
EH40_21,3RCD,4,-8.451
EH40_21,3RCD,5,-8.403
EH40_21,3RCD,6,-8.38
EH40_21,3RCD,7,-8.312
EH40_21,3RCD,8,-8.234
EH40_21,3RCD,9,-8.065
EH40_22,3POZ,1,-10.18
EH40_22,3POZ,2,-9.774
EH40_22,3POZ,3,-9.7
EH40_22,3POZ,4,-9.667
EH40_22,3POZ,5,-9.583
EH40_22,3POZ,6,-9.5
EH40_22,3POZ,7,-9.345
EH40_22,3POZ,8,-9.2
EH40_22,3POZ,9,-9.181
EH40_22,3RCD,1,-9.946
EH40_22,3RCD,2,-9.761
EH40_22,3RCD,3,-9.684
EH40_22,3RCD,4,-9.538
EH40_22,3RCD,5,-9.481
EH40_22,3RCD,6,-9.473
EH40_22,3RCD,7,-9.376
EH40_22,3RCD,8,-9.194
EH40_22,3RCD,9,-9.109
EH40_23,3POZ,1,-11.352
EH40_23,3POZ,2,-10.201
EH40_23,3POZ,3,-10.177
EH40_23,3POZ,4,-9.85
EH40_23,3POZ,5,-9.747
EH40_23,3POZ,6,-9.669
EH40_23,3POZ,7,-9.649
EH40_23,3POZ,8,-9.452
EH40_23,3POZ,9,-9.429
EH40_23,3RCD,1,-10.945
EH40_23,3RCD,2,-10.941
EH40_23,3RCD,3,-10.58
EH40_23,3RCD,4,-10.313
EH40_23,3RCD,5,-9.907
EH40_23,3RCD,6,-9.88
EH40_23,3RCD,7,-9.649
EH40_23,3RCD,8,-9.614
EH40_23,3RCD,9,-9.462
EH40_24,3POZ,1,-7.308
EH40_24,3POZ,2,-6.82
EH40_24,3POZ,3,-6.703
EH40_24,3POZ,4,-6.652
EH40_24,3POZ,5,-6.573
EH40_24,3POZ,6,-6.549
EH40_24,3POZ,7,-6.53
EH40_24,3POZ,8,-6.527
EH40_24,3POZ,9,-6.51
EH40_24,3RCD,1,-7.395
EH40_24,3RCD,2,-7.366
EH40_24,3RCD,3,-7.044
EH40_24,3RCD,4,-7.024
EH40_24,3RCD,5,-6.941
EH40_24,3RCD,6,-6.921
EH40_24,3RCD,7,-6.608
EH40_24,3RCD,8,-6.371
EH40_24,3RCD,9,-6.292
EH40_25,3POZ,1,-7.892
EH40_25,3POZ,2,-7.754
EH40_25,3POZ,3,-7.72
EH40_25,3POZ,4,-7.719
EH40_25,3POZ,5,-7.537
EH40_25,3POZ,6,-7.442
EH40_25,3POZ,7,-7.431
EH40_25,3POZ,8,-7.356
EH40_25,3POZ,9,-7.304
EH40_25,3RCD,1,-8.151
EH40_25,3RCD,2,-7.957
EH40_25,3RCD,3,-7.481
EH40_25,3RCD,4,-7.351
EH40_25,3RCD,5,-7.243
EH40_25,3RCD,6,-7.23
EH40_25,3RCD,7,-7.205
EH40_25,3RCD,8,-6.944
EH40_25,3RCD,9,-6.651
EH40_26,3POZ,1,-7.499
EH40_26,3POZ,2,-7.383
EH40_26,3POZ,3,-7.355
EH40_26,3POZ,4,-7.3
EH40_26,3POZ,5,-7.162
EH40_26,3POZ,6,-7.068
EH40_26,3POZ,7,-7.041
EH40_26,3POZ,8,-6.997
EH40_26,3POZ,9,-6.938
EH40_26,3RCD,1,-7.817
EH40_26,3RCD,2,-7.729
EH40_26,3RCD,3,-7.586
EH40_26,3RCD,4,-7.532
EH40_26,3RCD,5,-7.489
EH40_26,3RCD,6,-7.448
EH40_26,3RCD,7,-7.446
EH40_26,3RCD,8,-7.321
EH40_26,3RCD,9,-7.275
EH40_27,3POZ,1,-8.734
EH40_27,3POZ,2,-8.641
EH40_27,3POZ,3,-8.465
EH40_27,3POZ,4,-8.434
EH40_27,3POZ,5,-8.373
EH40_27,3POZ,6,-8.224
EH40_27,3POZ,7,-8.134
EH40_27,3POZ,8,-8.043
EH40_27,3POZ,9,-8.026
EH40_27,3RCD,1,-9.297
EH40_27,3RCD,2,-8.826
EH40_27,3RCD,3,-8.746
EH40_27,3RCD,4,-8.263
EH40_27,3RCD,5,-8.192
EH40_27,3RCD,6,-7.802
EH40_27,3RCD,7,-7.774
EH40_27,3RCD,8,-7.69
EH40_27,3RCD,9,-7.14
EH40_28,3POZ,1,-11.307
EH40_28,3POZ,2,-10.73
EH40_28,3POZ,3,-10.265
EH40_28,3POZ,4,-10.114
EH40_28,3POZ,5,-10.105
EH40_28,3POZ,6,-9.833
EH40_28,3POZ,7,-9.768
EH40_28,3POZ,8,-9.738
EH40_28,3POZ,9,-9.717
