molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL6056512,,COc1c2n(cc(C(=O)NCc3c(F)cc(F)cc3F)c1=O)C[C@@H]1O[C@H]3CC[C@H](C3)N1C2=O,6.86,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL6028654,,COc1c2n(cc(C(=O)NCc3c(F)cc(F)cc3F)c1=O)C[C@H]1O[C@@H]3CC[C@@H](C3)N1C2=O,6.31,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL603,ZAFIRLUKAST,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,5.01,1,O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1,OCT2,CHEMBL1743122
CHEMBL97453,WEDELOLACTONE,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,4.76,1,O=c1oc2ccccc2c2oc3ccccc3c12,OCT2,CHEMBL1743122
CHEMBL339427,TUBOCURARINE,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,4.1,1,c1cc2cc(c1)Oc1ccc3c(c1)C(Cc1ccc(cc1)Oc1cccc4c1C(C2)[NH2+]CC4)NCC3,OCT2,CHEMBL1743122
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,4.87,1,O=C(c1ccco1)N1CCN(c2ncc3ccccc3n2)CC1,OCT2,CHEMBL1743122
CHEMBL356036,TETRAMETHYLKAEMPFEROL,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OC)cc1,4.4,1,O=c1cc(-c2ccccc2)oc2ccccc12,OCT2,CHEMBL1743122
CHEMBL67,COMBRETASTATIN A4,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,4.21,1,C(=Cc1ccccc1)c1ccccc1,OCT2,CHEMBL1743122
CHEMBL364713,NOSCAPINE,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,5.58,1,O=C1OC(C2NCCc3cc4c(cc32)OCO4)c2ccccc21,OCT2,CHEMBL1743122
CHEMBL6146403,,COc1cccc(NC(=O)Cn2nc(C(=O)Nc3cccc(OC)c3)c3ccccc32)c1,4.68,1,O=C(Cn1nc(C(=O)Nc2ccccc2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
