name,chembl_id,max_phase,canonical_smiles,scaffold,mw,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,pains_any,brenk,qed,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok,mw_oral_ok,structurally_clean,druglike,clean_candidate,preferred_candidate,has_carboxylic_acid,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance,chemistry_rank_score
LESINURAD,CHEMBL2105720,4.0,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,404.29,91.592005513439,95.03790489317711,4.893177119228119,95.03790489317711,0.59704274,False,False,0.645,True,True,True,True,True,True,True,True,True,False,True,False,True,91.592005513439,0.6401375
SLV-334,CHEMBL4297432,2.0,O=C(O)CN1C(=O)[C@@H](NC(=O)C2(C[C@@H](CCc3cccc4ccccc34)C(=O)O)CCCC2)CCc2ccccc21,O=C1Nc2ccccc2CCC1NC(=O)C1(CCCCc2cccc3ccccc23)CCCC1,556.66,99.93108201240524,92.1433494141971,50.137835975189525,92.1433494141971,0.9166667,False,False,0.324,True,True,False,True,False,True,True,True,False,True,True,False,False,92.1433494141971,0.2796
RINETERKIB,CHEMBL3909517,1.0,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,O=C(NCc1ccccc1)c1ccc(-c2cncc(C3CCCCC3)n2)cc1,578.43,99.2419021364576,91.38525155065471,91.38525155065471,38.59407305306684,1.0,False,False,0.33,True,True,False,True,False,True,True,True,False,False,False,True,False,38.59407305306684,0.132
GDC-0917,CHEMBL4297282,1.0,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1sc(-c2ncco2)nc1-c1ccccc1)C1CCCCC1,O=C(Nc1sc(-c2ncco2)nc1-c1ccccc1)C1CCCN1C(=O)CC1CCCCC1,564.71,96.3473466574776,91.38525155065471,91.38525155065471,35.01033769813922,1.0,False,False,0.357,True,True,False,True,False,True,True,True,False,False,False,True,False,35.01033769813922,0.1428
EPIGALOCATECHIN GALLATE,CHEMBL297453,3.0,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1,458.38,99.17298414886284,99.72432804962096,11.922811853893869,99.72432804962096,0.7658788,True,True,0.212,False,False,True,False,True,False,False,False,False,False,True,False,False,99.17298414886284,0.39932500000000004
VERCIRNON SODIUM,CHEMBL3039505,3.0,CC(C)(C)c1ccc(S(=O)(=O)[N-]c2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,O=C(c1cc[nH+]cc1)c1ccccc1[N-]S(=O)(=O)c1ccccc1,443.93,97.03652653342525,91.17849758787044,50.137835975189525,91.17849758787044,0.9166667,False,True,0.318,True,True,True,True,True,False,True,False,False,False,True,False,False,91.17849758787044,0.4597875
SEPETAPROST,CHEMBL4297633,3.0,CC(C)OC(=O)CCC[C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](O)COc3cc(F)ccc3F)[C@H](O)C[C@@H]2OC1,C(=CC1CCC2OCCCCC12)CCOc1ccccc1,482.56,92.90144727773948,90.144727773949,50.137835975189525,90.144727773949,0.9166667,False,True,0.385,True,True,False,True,True,False,True,False,False,False,True,False,False,90.144727773949,0.2383
FOSRAVUCONAZOLE,CHEMBL333325,2.0,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F,c1ccc(-c2csc(CC(Cn3cncn3)c3ccccc3)n2)cc1,547.48,96.8986905582357,99.93108201240524,50.137835975189525,99.93108201240524,0.9166667,False,True,0.219,True,False,False,False,True,False,False,False,False,False,True,False,False,96.8986905582357,0.09075
LANPROSTON,CHEMBL2105063,2.0,O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/C2(COc3cccc(Cl)c3)OCCO2)[C@H](O)C[C@@H]1O,C(=CC1(COc2ccccc2)OCCO1)C1CCCC1,466.96,99.86216402481048,96.82977257064094,50.137835975189525,96.82977257064094,0.9166667,False,True,0.338,True,False,True,False,True,False,False,False,False,False,True,False,False,96.82977257064094,0.43900000000000006
VERLUKAST,CHEMBL280481,2.0,CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,C(=Cc1ccc2ccccc2n1)c1ccccc1,515.1,96.55410062026188,96.48518263266712,24.01791867677464,96.48518263266712,0.9166666,False,True,0.295,False,False,False,False,True,False,False,False,False,True,True,False,False,96.48518263266712,0.31162499999999993
