id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason
CHEMBL3621662_ACR0,CHEMBL3621662,chembl,C=CC(=O)N(C)C1=NC(c2cccc(NC(=O)c3ccco3)c2)CN1C(=O)OC(C)(C)C,AQSWFMBQIRRBPA-UHFFFAOYSA-N,CNC1=NC(c2cccc(NC(=O)c3ccco3)c2)CN1C(=O)OC(C)(C)C,438.48,3.82,4,3.468,ok,0,1,0.2300,0.2043,56d,56d,0.7808,YL5084,O=C(Nc1cccc(C2CNC=N2)c1)c1ccco1,,0,0.1707,0.1509,0.7808,0.1626,0.1321,0.7808,0.2000,0.1895,0.6678,0.2300,0.2043,0.6891,novel,novel,
CHEMBL3354692_ACR0,CHEMBL3354692,chembl,C=CC(=O)NC1=N[C@]2(CO1)c1cc(C#CC(C)(C)OC)ccc1Oc1ccc(-c3cncnc3)cc12,XWBDPQAGTUWFQX-MUUNZHRXSA-N,COC(C)(C)C#Cc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,480.52,3.96,3,4.361,ok,0,1,0.1905,0.1429,56d,JNK-IN-8,0.7808,YL5084,C1=N[C@]2(CO1)c1ccccc1Oc1ccc(-c3cncnc3)cc12,,0,0.1231,0.0901,0.7808,0.1240,0.0818,0.7808,0.1754,0.1429,0.6895,0.1905,0.0882,0.6991,novel,novel,
CHEMBL236394_ACR0,CHEMBL236394,chembl,C=CC(=O)NCc1ccc(Oc2ccc(CCNCc3ccccc3)cc2)nc1,AHWMOMZSTARHDE-UHFFFAOYSA-N,NCc1ccc(Oc2ccc(CCNCc3ccccc3)cc2)nc1,387.48,4.01,10,2.137,ok,0,1,0.2159,0.1176,56d,56d,0.7807,JNK-IN-8,c1ccc(CNCCc2ccc(Oc3ccccn3)cc2)cc1,,1,0.1327,0.1053,0.6723,0.1339,0.1075,0.6723,0.1373,0.1034,0.7807,0.2159,0.1176,0.6638,novel,novel,
CHEMBL1703152_ACR0,CHEMBL1703152,chembl,C=CC(=O)Nn1c(SCc2ccc(OC)cc2)nnc1-c1ccncc1,LQICSEVCZHPHNH-UHFFFAOYSA-N,COc1ccc(CSc2nnc(-c3ccncc3)n2N)cc1,367.43,2.90,7,2.536,ok,0,1,0.1596,0.1294,56d,JNK-IN-8,0.7807,YL5084,c1ccc(CSc2nnc(-c3ccncc3)[nH]2)cc1,,1,0.1304,0.0938,0.7807,0.1416,0.0842,0.7807,0.1569,0.1294,0.7185,0.1596,0.0674,0.6699,novel,novel,
CHEMBL1476584_ACR0,CHEMBL1476584,chembl,C=CC(=O)Nn1c(SCc2cccc(OC)c2)nnc1-c1ccncc1,RZXZNLRABAKLCJ-UHFFFAOYSA-N,COc1cccc(CSc2nnc(-c3ccncc3)n2N)c1,367.43,2.90,7,2.582,ok,0,1,0.1895,0.1628,56d,JNK-IN-8,0.7807,YL5084,c1ccc(CSc2nnc(-c3ccncc3)[nH]2)cc1,,1,0.1356,0.1010,0.7807,0.1466,0.0918,0.7807,0.1845,0.1628,0.7185,0.1895,0.1000,0.6699,novel,novel,
CHEMBL3931507_ACR0,CHEMBL3931507,chembl,C=CC(=O)N1CCN=C1c1ccc(-c2nc3ccc(C4=NCCN4)cc3[nH]2)s1,CDWHVERGSJWJIT-UHFFFAOYSA-N,c1cc2nc(-c3ccc(C4=NCCN4)s3)[nH]c2cc1C1=NCCN1,390.47,2.42,4,3.312,ok,0,1,0.1485,0.0909,56d,JNK-IN-8,0.7807,JNK-IN-8,c1cc2nc(-c3ccc(C4=NCCN4)s3)[nH]c2cc1C1=NCCN1,,1,0.1322,0.0825,0.7641,0.1429,0.0842,0.7641,0.1261,0.0909,0.7807,0.1485,0.0674,0.7508,novel,novel,
CHEMBL1824341_ACR0,CHEMBL1824341,chembl,C=CC(=O)NC1=NC(c2cccc(-c3cccnc3F)c2)(c2cnn(CCC(C)C)c2)C(=O)N1C,KOSRTTZXPBAVOZ-UHFFFAOYSA-N,CC(C)CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,474.54,3.50,7,3.673,ok,0,1,0.2330,0.1735,56d,JNK-IN-8,0.7807,YL5084,O=C1NC=NC1(c1cn[nH]c1)c1cccc(-c2cccnc2)c1,,1,0.1746,0.1376,0.7807,0.1855,0.1402,0.7807,0.2143,0.1735,0.7040,0.2330,0.1400,0.6780,novel,novel,
CHEMBL1824342_ACR0,CHEMBL1824342,chembl,C=CC(=O)NC1=NC(c2cccc(-c3cccnc3F)c2)(c2cnn(CCC(C)(C)C)c2)C(=O)N1C,LTWQYTHDTDXXKW-UHFFFAOYSA-N,CN1C(=O)C(c2cccc(-c3cccnc3F)c2)(c2cnn(CCC(C)(C)C)c2)N=C1N,488.57,3.89,6,3.741,ok,0,1,0.2330,0.1735,56d,JNK-IN-8,0.7807,YL5084,O=C1NC=NC1(c1cn[nH]c1)c1cccc(-c2cccnc2)c1,,1,0.1654,0.1273,0.7807,0.1760,0.1296,0.7807,0.2143,0.1735,0.7040,0.2330,0.1400,0.6780,novel,novel,
CHEMBL1933189_ACR0,CHEMBL1933189,chembl,C=CC(=O)N1CCC2(CNC(=O)c3cc(-c4ccnc(NC(=O)c5ccc6ccccc6c5)c4)[nH]c32)C1,HSOSWOFKVOBDMB-UHFFFAOYSA-N,O=C(Nc1cc(-c2cc3c([nH]2)C2(CCNC2)CNC3=O)ccn1)c1ccc2ccccc2c1,491.55,3.88,4,3.898,ok,0,1,0.2233,0.2062,56d,JNK-IN-8,0.7807,56d,O=C(Nc1cc(-c2cc3c([nH]2)C2(CCNC2)CNC3=O)ccn1)c1ccc2ccccc2c1,,1,0.1855,0.1667,0.6891,0.1967,0.1810,0.6891,0.1842,0.2062,0.7177,0.2233,0.1837,0.7807,novel,novel,
CHEMBL26470_ACR0,CHEMBL26470,chembl,C=CC(=O)NCC(=O)Nc1ccc(S(=O)(=O)Nc2onc(C)c2C)cc1,DXTUQTLXJWTFRC-UHFFFAOYSA-N,Cc1noc(NS(=O)(=O)c2ccc(NC(=O)CN)cc2)c1C,378.41,1.33,7,2.373,ok,0,1,0.1889,0.1807,56d,JNK-IN-8,0.7807,56d,O=S(=O)(Nc1ccno1)c1ccccc1,,0,0.1429,0.1031,0.6720,0.1441,0.0938,0.6720,0.1717,0.1807,0.7649,0.1889,0.1279,0.7807,novel,novel,
