pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file
PIK3CA/mTOR,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,18,14,,0.7142857142857143,0.7142857142857143,0.5058874700179048,0.8993066829004329,2000,2000,PM48_01;PM48_02;PM48_03;PM48_04;PM48_05;PM48_06;PM48_07;PM48_08;PM48_09;PM48_10;PM48_11;PM48_12;PM48_13;PM48_14;PM48_15;PM48_16;PM48_17;PM48_18,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PIK3CA/mTOR,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,18,12,,0.6921296296296297,0.6921296296296297,0.49473105841526893,0.8738075196408526,2000,2000,PM48_01;PM48_02;PM48_03;PM48_04;PM48_05;PM48_06;PM48_07;PM48_08;PM48_09;PM48_10;PM48_11;PM48_12;PM48_13;PM48_14;PM48_15;PM48_16;PM48_17;PM48_18,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PIK3CA/mTOR,main,summary_min,"min(D/A,D/B)",weaker directional arm,18,12,,0.6921296296296297,0.6921296296296297,0.47021053791887124,0.8133373015873016,2000,2000,PM48_01;PM48_02;PM48_03;PM48_04;PM48_05;PM48_06;PM48_07;PM48_08;PM48_09;PM48_10;PM48_11;PM48_12;PM48_13;PM48_14;PM48_15;PM48_16;PM48_17;PM48_18,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PIK3CA/mTOR,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,18,12,4,-0.21990740740740744,,-0.5115740740740741,0.018576388888888653,,,,independent boot_delta shared dual draw
PIK3CA/mTOR,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,18,14,4,-0.13095238095238093,,,,,,,independent boot_delta shared dual draw
PIK3CA/mTOR,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,18,4,,0.5138888888888888,0.514,,,,,,independent complete-case vina_mean
PIK3CA/mTOR,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,18,26,,0.6987179487179487,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint
PIK3CA/mTOR,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,18,26,,-0.18482905982905984,,,,,,,secondary diagnostic
PIK3CA/mTOR,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,18,26,,0.09027777777777779,,-0.11723607588992208,0.2861458333333331,,,,independent paired ligand resample
AChE/BChE,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,27,25,,0.6503703703703704,0.6503703703703704,0.4826968236311952,0.8013357142857143,2000,2000,AB_002;AB_003;AB_004;AB_005;AB_006;AB_007;AB_008;AB_009;AB_010;AB_011;AB_012;AB_013;AB_014;AB_015;AB_016;AB_017;AB_018;AB_019;AB_020;AB_021;AB_022;AB_023;AB_024;AB_025;AB_026;AB_027;AB_028,independent recompute; cross-check primary_directional_intervals_review_v1.csv
