name,chembl_id,max_phase,canonical_smiles,scaffold,mw,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,dock_score,nlrp3_dock_score,pains_any,brenk,qed,lipinski_pass,veber_pass,ghose_pass,ro5_props_ok,oral_absorption_ok,mw_oral_ok,macro_scaffold_risk,structurally_clean,druglike,clean_candidate,preferred_candidate,has_carboxylic_acid,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance,chemistry_rank_score
CETHROMYCIN,CHEMBL3989904,3.0,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@@]21C,O=C1CCC(OCC=Cc2cnc3ccccc3c2)C(OC2CCCCO2)CC(=O)CC(=O)OCC2OC(=O)NC2C1,765.945,99.49367088607596,99.9367088607595,75.31645569620254,99.9367088607595,0.91666675,-8.909,-8.547,False,True,0.2703662615414226,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,99.49367088607596,0.2581465046165691
MILVEXIAN,CHEMBL4112929,3.0,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,O=C1CCCCC(n2cnc(-c3ccccc3-n3ccnn3)cc2=O)c2cc(ccn2)-c2[nH]ncc2N1,626.4550000000002,97.8481012658228,99.49367088607596,75.31645569620254,99.49367088607596,0.91666675,-8.492,-8.023,False,False,0.2674302716776641,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,97.8481012658228,0.10697210867106564
BIMATOPROST GRENOD,CHEMBL5314597,3.0,CCNC(=O)CCC/C=C/C[C@@H]1[C@@H](/C=C/[C@H](CCc2ccccc2)OC(=O)CCCCCO[N+](=O)[O-])[C@H](O)C[C@@H]1O,C(=CC1CCCC1)CCCc1ccccc1,574.7150000000005,92.31012658227849,93.82911392405065,75.31645569620254,93.82911392405065,0.91666675,-8.187,-7.429,False,True,0.0679388715769309,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,92.31012658227849,0.027175548630772362
TIRILAZAD,CHEMBL1630578,3.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,O=C1C=CC2C(=C1)CCC1C2=CCC2C(C(=O)CN3CCN(c4cc(N5CCCC5)nc(N5CCCC5)n4)CC3)CCC12,624.8739999999999,90.25316455696203,93.22784810126582,49.68354430379747,93.22784810126582,0.9166667,-8.106,-7.404,False,True,0.3868790579281535,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,90.25316455696203,0.15475162317126143
ICOMIDOCHOLIC ACID,CHEMBL4297262,3.0,CCCCCCCCCCCCCCCCCCCC(=O)N[C@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](O)[C@@H]1[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]12,C1CCC2C(C1)CCC1C3CCCC3CCC21,702.1179999999999,98.54430379746836,91.36075949367088,91.36075949367088,85.31645569620252,1.0,-8.629,-7.135,False,True,0.0793508911184264,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,85.31645569620252,0.18174035644737055
MANIDIPINE 6300,CHEMBL1085699,3.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,O=C(OCCN1CCN(C(c2ccccc2)c2ccccc2)CC1)C1=CNC=CC1c1ccccc1,610.7110000000002,85.25316455696202,97.1518987341772,3.2911392405063293,97.1518987341772,0.570118,-7.946,-7.625,False,True,0.1934475153249032,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,85.25316455696202,0.2273790061299613
ELINZANETANT,CHEMBL4802157,3.0,Cc1cc(F)ccc1-c1cc(N2C[C@H]3COCCN3C[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,O=C(Cc1ccccc1)Nc1cnc(N2CCN3CCOCC3C2)cc1-c1ccccc1,668.6540000000005,83.60759493670886,96.64556962025316,91.36075949367088,96.64556962025316,1.0,-7.924,-7.59,False,False,0.322750707711386,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,83.60759493670886,0.1291002830845544
SUNVOZERTINIB,CHEMBL5314564,3.0,C=CC(=O)Nc1cc(Nc2nccc(Nc3cc(Cl)c(F)cc3C(C)(C)O)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,c1ccc(Nc2ccnc(Nc3ccc(N4CCCC4)cc3)n2)cc1,584.0960000000001,93.60759493670886,83.35443037974683,49.68354430379747,83.35443037974683,0.9166667,-8.232,-7.088,False,True,0.2373212691852154,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,83.35443037974683,0.09492850767408617
CENICRIVIROC,CHEMBL2110727,3.0,CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@+]([O-])Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,O=C(Nc1ccc([SH+]Cc2cnc[nH]2)cc1)C1=Cc2cc(-c3ccccc3)ccc2NCCC1,696.9579999999999,90.0632911392405,80.82278481012658,49.68354430379747,80.82278481012658,0.9166667,-8.104,-7.048,False,True,0.0877292512857614,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,80.82278481012658,0.03509170051430456
BRIGIMADLIN,CHEMBL5314455,3.0,Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,O=C1Nc2ccccc2C12C(c1ccccc1)C1C(Cc3c4ccccc4nn31)N2CC1CC1,591.4700000000001,80.03164556962025,94.36708860759494,75.31645569620254,94.36708860759494,0.91666675,-7.836,-7.451,False,False,0.2905864184452955,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,80.03164556962025,0.2662345673781182
