ligand,gnina_cnn_3POZ,gnina_aff_3POZ,gnina_cnn_3RCD,gnina_aff_3RCD
EH120_097,0.3726523817,6.789457798,0.9557675123,8.2635202408
EH120_098,0.8975047469,8.2703962326,0.9450237751,8.7873296738
EH120_099,0.1515661031,6.5499520302,0.856760025,8.1376113892
EH120_100,0.9458272457,8.3425340652,0.9403778315,8.3499555588
EH120_101,0.8755021095,8.251748085,0.2194239795,7.7701582909
EH120_102,0.1564479768,5.116994381,0.1528326273,6.2277655602
EH120_103,0.419916451,5.5715327263,0.3205364645,5.4704375267
EH120_104,0.2035960704,6.2737650871,0.2214023173,6.214407444
EH120_105,0.1514668316,5.770072937,0.2495893687,6.413942337
EH120_106,0.2224147916,5.7913098335,0.2217948735,5.5156669617
EH120_107,0.0800567493,4.9688196182,0.1287598908,6.0365080833
EH120_108,0.4084221721,5.8975329399,0.067036435,5.5652832985
EH120_109,0.8339758515,4.6453232765,0.5695940256,4.5998325348
EH120_110,0.3175040483,5.3324465752,0.1485329419,4.7975225449
EH40_01,0.1327618212,6.1755867004,0.7316694856,8.1117334366
EH40_02,0.7038944364,7.8263411522,0.8697142601,8.5330839157
EH40_03,0.3229377866,6.9188294411,0.0439803153,5.3877105713
EH40_04,0.1273794323,6.6692137718,0.2035463154,7.8626251221
EH40_05,0.2568681836,6.3172211647,0.772803843,7.8803906441
EH40_06,0.0550996065,6.5297775269,0.9532748461,9.2417526245
EH40_07,0.2034539431,6.2920417786,0.1521191299,6.1653647423
EH40_08,0.2107915729,7.457464695,0.5702927113,7.9693961143
EH40_09,0.2998540998,7.3311524391,0.0565288849,7.0985445976
EH40_10,0.1458131373,6.0555033684,0.8553891778,7.9080352783
EH40_11,0.4323726296,6.986641407,0.4509849548,7.4414558411
EH40_12,0.9035314322,8.0571298599,0.4998507798,7.7311463356
EH40_13,0.4303296804,6.998313427,0.09741918,4.6730804443
EH40_14,0.5501207113,6.445628643,0.5663816333,6.9061141014
EH40_15,0.0797948316,4.7227253914,0.8935677409,7.3736858368
EH40_16,0.3996699154,6.7242941856,0.115249075,5.8528161049
EH40_17,0.1910826564,6.3872299194,0.1827307642,6.6398978233
EH40_18,0.6061468124,7.2440438271,0.3953896165,7.4391169548
EH40_19,0.2546689808,6.1452689171,0.2485249788,6.2417564392
EH40_20,0.1435985714,6.7050132751,0.177113995,6.8134055138
EH40_21,0.1290981472,6.0325164795,0.1362098902,6.2268815041
EH40_22,0.0765448883,5.9119334221,0.7678081989,8.4115400314
EH40_23,0.2068231255,6.3155760765,0.7162888646,7.9366188049
