ligand,gnina_cnn_4UDW,gnina_aff_4UDW,gnina_cnn_2JKH,gnina_aff_2JKH,gnina_cnn_6N7A,gnina_aff_6N7A,gnina_cnn_3LXP,gnina_aff_3LXP,gnina_cnn_8BXH,gnina_aff_8BXH,gnina_cnn_9V8H,gnina_aff_9V8H,gnina_cnn_6LXA,gnina_aff_6LXA,gnina_cnn_5U3Q,gnina_aff_5U3Q
J1J2_019,,,,,0.5131410956,8.0776538849,,,0.7793999314,8.4912071228,,,,,,
J1J2_020,,,,,0.393686235,7.7092208862,,,0.1483425796,7.384115696,,,,,,
J1J2_021,,,,,0.6829485297,8.486582756,,,0.2005849332,7.8673548698,,,,,,
J1J2_022,,,,,0.8562368751,7.2623062134,,,0.8455150127,7.4867024422,,,,,,
J1J2_023,,,,,0.2899572849,7.567024231,,,0.1608177274,7.2939019203,,,,,,
J1J2_024,,,,,0.74993366,8.0425987244,,,0.3228212297,7.7227540016,,,,,,
J1J2_025,,,,,0.9637382627,8.3640089035,,,0.9005838037,8.1245203018,,,,,,
J1J2_026,,,,,0.8125690222,8.5386686325,,,0.5886733532,8.2700309753,,,,,,
J1J2_027,,,,,0.9066810012,8.6726350784,,,0.4786967933,8.0824956894,,,,,,
J1J2_028,,,,,0.2915750742,7.771876812,,,0.5260906219,8.3232545853,,,,,,
J1J2_029,,,,,0.3427971601,7.8449778557,,,0.6297584176,8.3014326096,,,,,,
J1J2_030,,,,,0.9446441531,7.2307476997,,,0.7334888577,6.939851284,,,,,,
J1J2_031,,,,,0.8597242832,8.6509628296,,,0.7767671943,8.4803495407,,,,,,
J1J2_032,,,,,0.1515867412,5.3509488106,,,0.2088630795,6.9767990112,,,,,,
J1J2_033,,,,,0.2597781122,5.8415126801,,,0.3168596327,6.6642131805,,,,,,
J1J2_034,,,,,0.4772385955,6.3537693024,,,0.6635121107,7.056166172,,,,,,
J1J2_035,,,,,0.8607593179,7.1877913475,,,0.9641942382,7.6571240425,,,,,,
J1J2_036,,,,,0.9459059834,7.8497104645,,,0.643984735,7.4112524986,,,,,,
J1J2_037,,,,,0.2422911525,6.2658691406,,,0.9474983811,8.0284032822,,,,,,
J1J2_038,,,,,0.2472638935,6.3144187927,,,0.9348785877,8.0438156128,,,,,,
J1J2_039,,,,,0.3057659864,6.8318686485,,,0.1575314552,6.5690407753,,,,,,
J1J2_040,,,,,0.6691995263,6.6760230064,,,0.3334260881,6.489636898,,,,,,
J1J2_041,,,,,0.1923678666,6.1613249779,,,0.952267468,8.0226392746,,,,,,
J1J2_042,,,,,0.5353119373,7.4559288025,,,0.3421338499,7.2286515236,,,,,,
J1J2_043,,,,,0.5765489936,7.984172821,,,0.8280420303,8.4602270126,,,,,,
J1J2_044,,,,,0.2900652587,6.7047839165,,,0.2551648021,6.2623143196,,,,,,
J1J2_045,,,,,0.3963539004,7.0514569283,,,0.3812002838,7.0117058754,,,,,,
J1J2_046,,,,,0.5884163976,7.3644852638,,,0.2938502431,6.6900367737,,,,,,
J1J2_047,,,,,0.2631870806,6.9671134949,,,0.7647249103,7.894973278,,,,,,
J1J2_048,,,,,0.6805281639,7.9172081947,,,0.4618428349,7.8100533485,,,,,,
J1J2_049,,,,,0.6858609319,7.7322983742,,,0.7962929606,7.710545063,,,,,,
J1J2_050,,,,,0.6096169949,7.4437980652,,,0.7194464803,7.552924633,,,,,,
J1J2_051,,,,,0.5816521049,7.5967259407,,,0.5707557797,7.6231226921,,,,,,
J1J2_052,,,,,0.6722775698,7.9721770287,,,0.7930719256,8.0520238876,,,,,,
J1J2_053,,,,,0.5865352154,7.6638350487,,,0.639087081,7.8355641365,,,,,,
J1J2_054,,,,,0.808070302,7.6709961891,,,0.916120708,8.1186094284,,,,,,
J1J2_055,,,,,0.4499850571,7.2886357307,,,0.3690084815,6.7728095055,,,,,,
J1J2_056,,,,,0.586169064,7.4484877586,,,0.9620711803,8.1824541092,,,,,,
J1J2_057,,,,,0.7715566754,7.8488273621,,,0.271355629,7.2868614197,,,,,,
J1J2_058,,,,,0.5646347404,7.4942879677,,,0.8275079727,7.7970809937,,,,,,
J1J2_059,,,,,0.5950320363,7.5159816742,,,0.8580357432,8.1060609818,,,,,,
J1J2_060,,,,,0.6034787893,7.3119950294,,,0.6588829756,7.7259259224,,,,,,
J1J2_061,,,,,0.7886090875,7.5975875854,,,0.4043191671,7.4306988716,,,,,,
J1J2_062,,,,,0.8639029264,7.9134907722,,,0.222681269,6.5392432213,,,,,,
J1J2_063,,,,,0.5094000101,7.3399906158,,,0.8685706854,8.0113735199,,,,,,
J1J2_064,,,,,0.6563530564,7.6881260872,,,0.6250141859,7.572971344,,,,,,
J1J2_065,,,,,0.9535759091,7.6286463737,,,0.8973412514,7.5746612549,,,,,,
J1J2_066,,,,,0.8999871016,7.5769953728,,,0.9107943177,7.8925557137,,,,,,
