pair_hint,target,ligand,cnn_score,cnn_affinity
F2/F10,2JKH,F2F10_078,0.7476702332,7.3103346825
F2/F10,4UDW,F2F10_078,0.7027121186,7.1645541191
F2/F10,2JKH,F2F10_079,0.8040081859,7.4316806793
F2/F10,4UDW,F2F10_079,0.8166549206,7.9151229858
F2/F10,2JKH,F2F10_081,0.8791825175,8.4436674118
F2/F10,4UDW,F2F10_081,0.5352740884,8.3364562988
F2/F10,2JKH,F2F10_082,0.83201015,8.1962614059
F2/F10,4UDW,F2F10_082,0.4066692889,7.9929766655
F2/F10,2JKH,F2F10_083,0.7836467624,8.3105115891
F2/F10,4UDW,F2F10_083,0.7562984824,8.4077415466
F2/F10,2JKH,F2F10_084,0.5922271609,6.7821507454
F2/F10,4UDW,F2F10_084,0.2897842228,6.7183265686
F2/F10,2JKH,F2F10_085,0.8539656401,8.2349529266
F2/F10,4UDW,F2F10_085,0.722209692,7.9291667938
F2/F10,2JKH,F2F10_086,0.727453649,7.9114794731
F2/F10,4UDW,F2F10_086,0.574984014,8.1105394363
F2/F10,2JKH,F2F10_087,0.3693818748,7.0427498817
F2/F10,4UDW,F2F10_087,0.2697785497,7.445909977
F2/F10,2JKH,F2F10_088,0.370110184,6.9851279259
F2/F10,4UDW,F2F10_088,0.5196507573,7.7522850037
F2/F10,2JKH,F2F10_089,0.9473319054,8.372300148
F2/F10,4UDW,F2F10_089,0.9356617928,8.2630243301
F2/F10,2JKH,F2F10_090,0.970484674,8.1823730469
F2/F10,4UDW,F2F10_090,0.8783021569,7.9533004761
F2/F10,2JKH,F2F10_091,0.862523675,8.36323452
F2/F10,4UDW,F2F10_091,0.8331000209,8.2055015564
F2/F10,2JKH,F2F10_092,0.9666178823,8.5557546616
F2/F10,4UDW,F2F10_092,0.8739768863,7.9375815392
F2/F10,2JKH,F2F10_093,0.3769223392,6.018632412
F2/F10,4UDW,F2F10_093,0.388725698,6.8161244392
F2/F10,2JKH,F2F10_094,0.9230679274,8.0969171524
F2/F10,4UDW,F2F10_094,0.8638632298,8.6005887985
F2/F10,2JKH,F2F10_095,0.8423740864,8.2399721146
F2/F10,4UDW,F2F10_095,0.8778702617,8.4290390015
F2/F10,2JKH,F2F10_096,0.9652425647,8.1419801712
F2/F10,4UDW,F2F10_096,0.8991811275,7.7590312958
F2/F10,2JKH,F2F10_097,0.4924534559,7.0682892799
F2/F10,4UDW,F2F10_097,0.5218786597,7.8450279236
F2/F10,2JKH,F2F10_098,0.2514130771,7.5191597939
F2/F10,4UDW,F2F10_098,0.4539926648,8.3052778244
F2/F10,2JKH,F2F10_099,0.8815528154,7.98285532
F2/F10,4UDW,F2F10_099,0.946634531,7.8706374168
F2/F10,2JKH,F2F10_100,0.7971767187,7.4857177734
F2/F10,4UDW,F2F10_100,0.654052794,7.8060746193
F2/F10,2JKH,F2F10_101,0.309889704,6.4403815269
F2/F10,4UDW,F2F10_101,0.664937377,7.2099394798
F2/F10,2JKH,F2F10_102,0.2167386562,5.8334555626
F2/F10,4UDW,F2F10_102,0.4627943635,6.7002792358
F2/F10,2JKH,F2F10_103,0.6086683869,6.0683465004
F2/F10,4UDW,F2F10_103,0.4603197873,6.7110600471
F2/F10,2JKH,F2F10_104,0.8023523092,6.6183648109
F2/F10,4UDW,F2F10_104,0.6261700392,6.12560606
F2/F10,2JKH,F2F10_105,0.6688967347,7.2605686188
F2/F10,2JKH,F2F10_106,0.1789607257,7.8915343285
F2/F10,2JKH,F2F10_107,0.2525804639,7.4025034904
F2/F10,4UDW,F2F10_107,0.3130677044,8.18064785
F2/F10,2JKH,F2F10_108,0.6547452211,5.6867527962
F2/F10,4UDW,F2F10_108,0.625528276,6.7854075432
F2/F10,2JKH,F2F10_109,0.5855317116,5.765586853
F2/F10,4UDW,F2F10_109,0.516622901,6.8298530579
F2/F10,2JKH,F2F10_110,0.4073794782,6.7971920967
F2/F10,4UDW,F2F10_110,0.3766650259,7.0047225952
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_001,0.1327799112,4.7105183601
JAK1/JAK2,8BXH,J1J2_001,0.099228844,5.9089488983
