canonical_smiles,scaffold,max_tc_active
O=C1NCC(C(=O)N[C@H]2C[C@H](c3cccc(C(F)(F)F)c3)C2)c2ccccc21,O=C1NCC(C(=O)NC2CC(c3ccccc3)C2)c2ccccc21,0.2345679012345679
Cc1cc(C(=O)N2C[C@@H](c3ccc(F)cc3)[C@@]3(CCCCC(=O)N3)C2)nc(N2CCCCC2)n1,O=C1CCCCC2(CN(C(=O)c3ccnc(N4CCCCC4)n3)CC2c2ccccc2)N1,0.19607843137254902
Cc1cccc(NC(=O)c2cc(NC(=O)c3cccs3)ccc2N2CCCCC2)n1,O=C(Nc1ccc(N2CCCCC2)c(C(=O)Nc2ccccn2)c1)c1cccs1,0.19540229885057472
O=C(Nc1cccc(-c2cccc(-c3ccc4c(c3)OCCO4)n2)c1)N1c2ccccc2Sc2ccccc21,O=C(Nc1cccc(-c2cccc(-c3ccc4c(c3)OCCO4)n2)c1)N1c2ccccc2Sc2ccccc21,0.18072289156626506
Cn1ccn2ncc(C(=O)N3CCCC(C(=O)c4ccccn4)C3)c12,O=C(c1ccccn1)C1CCCN(C(=O)c2cnn3cc[nH]c23)C1,0.21505376344086022
CC(C)C(C(=O)OCc1nc(COc2ccc(F)cc2)no1)N1C(=O)c2ccccc2C1=O,O=C(CN1C(=O)c2ccccc2C1=O)OCc1nc(COc2ccccc2)no1,0.1875
CC(=O)Nc1sc(NC(=O)C2C(C=C(Cl)Cl)C2(C)C)nc1-c1cccs1,O=C(Nc1nc(-c2cccs2)cs1)C1CC1,0.2
Cc1ccsc1C1CC1C(=O)N1CCC(Nc2ccc3nccn3n2)C1,O=C(C1CC1c1cccs1)N1CCC(Nc2ccc3nccn3n2)C1,0.1744186046511628
Cc1ccc(CSc2c(Cc3ccccc3)c(C)nc3c(-c4ccccc4)c(C)nn23)cc1,c1ccc(CSc2c(Cc3ccccc3)cnc3c(-c4ccccc4)cnn23)cc1,0.22972972972972974
COc1ccc(CCN2CC(C(=O)OCC(=O)NCCc3ccccc3)CC2=O)cc1OC,O=C(COC(=O)C1CC(=O)N(CCc2ccccc2)C1)NCCc1ccccc1,0.2345679012345679
Cc1cccc(=O)n1CC(C)(O)C(=O)N1CCOC(C)(c2cnn(C)c2)C1,O=C(CCn1ccccc1=O)N1CCOC(c2cn[nH]c2)C1,0.20481927710843373
C=C1C(=O)O[C@@H]2[C@H]3C(CO)=CC(=O)C3=C(C)C[C@H](O)[C@@H]12,C=C1C(=O)OC2C3C=CC(=O)C3=CCCC12,0.1917808219178082
O=C(CN1CC(c2ccccc2)CC1=O)NCC1Cc2cc(F)cc(-c3cnccn3)c2O1,O=C(CN1CC(c2ccccc2)CC1=O)NCC1Cc2cccc(-c3cnccn3)c2O1,0.1941747572815534
C=CCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,O=C(CSc1nnc(Cc2ccccc2)[nH]1)Nc1ncc(Cc2cccc3ccccc23)s1,0.3132530120481928
Cc1cc(Sc2nnc(-c3ccccc3)n2-c2ccccc2)n2c(nc3ccccc32)c1C#N,c1ccc(-c2nnc(Sc3cccc4nc5ccccc5n34)n2-c2ccccc2)cc1,0.20238095238095238
COc1cc(OC)c(NC(=O)CN2CCCN(Cc3ccccc3)S2(=O)=O)cc1Cl,O=C(CN1CCCN(Cc2ccccc2)S1(=O)=O)Nc1ccccc1,0.23684210526315788
CCOC1(CNC(=O)CN(C)S(=O)(=O)[N-]C(=O)c2cc3cccnc3cc2F)CCSCC1,O=C(CNS(=O)(=O)[N-]C(=O)c1ccc2ncccc2c1)NCC1CCSCC1,0.20909090909090908
O=S(=O)(Cc1cccc(Cl)c1)N1CCC(n2cc(-c3ccccc3)nn2)C1,O=S(=O)(Cc1ccccc1)N1CCC(n2cc(-c3ccccc3)nn2)C1,0.24
O=C([O-])c1ccc(C(=O)NCC2(Cn3cc(-c4ccc(C(O)C(F)(F)F)cc4)nn3)CC2)nc1,O=C(NCC1(Cn2cc(-c3ccccc3)nn2)CC1)c1ccccn1,0.20224719101123595
Cn1nc(C(F)F)c2cc(C(=O)N3CCCC3C3COCCC3(C)O)sc21,O=C(c1cc2cn[nH]c2s1)N1CCCC1C1CCCOC1,0.19791666666666666
O=C(Cc1ccc(F)cc1)N1CCC(c2nc(O)c3c(n2)CC[NH+](C2CCCC2)C3)C1,O=C(Cc1ccccc1)N1CCC(c2ncc3c(n2)CC[NH+](C2CCCC2)C3)C1,0.20833333333333334
COc1cc(Cl)ccc1NC(=O)COc1ccc(C[NH2+]CC2CCCN2C)cc1OC,O=C(COc1ccc(C[NH2+]CC2CCCN2)cc1)Nc1ccccc1,0.24752475247524752
O=C(Cn1nnnc1-c1ccccc1F)N1CCN(S(=O)(=O)c2ccccc2)CC1,O=C(Cn1nnnc1-c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.22784810126582278
c1ccc(-n2ncc3c2ncn2nc(Cn4c5c(c6ccccc64)CCCC5)nc32)cc1,c1ccc(-n2ncc3c2ncn2nc(Cn4c5c(c6ccccc64)CCCC5)nc32)cc1,0.1927710843373494
CC(C)n1cc(C#N)c(NC(=O)c2coc3c2C(=O)NCC(C)(C)C3)n1,O=C(Nc1cc[nH]n1)c1coc2c1C(=O)NCCC2,0.20430107526881722
CCOc1ccc(-n2ncc(C(=O)Nc3cc4c(cc3Sc3ccccc3)OCCO4)c2C)nn1,O=C(Nc1cc2c(cc1Sc1ccccc1)OCCO2)c1cnn(-c2cccnn2)c1,0.18947368421052632
Cc1cccc(N2CC[NH+](CCC(C)NC(=O)c3ccccc3-n3cccn3)CC2)c1,O=C(NCCC[NH+]1CCN(c2ccccc2)CC1)c1ccccc1-n1cccn1,0.21686746987951808
O=C(Nc1ccc(NCc2cccc3nsnc23)cn1)C1CC1,O=C(Nc1ccc(NCc2cccc3nsnc23)cn1)C1CC1,0.19047619047619047
