pair,score,dual_percentile,threshold,n_library,n_dual_library,n_pass,n_dual_pass,n_A_only_pass,n_B_only_pass,precision_dual,recall_dual,hardneg_fraction_pass,note
F2/F10,vina_worst,10,6.948,95,31,92,28,32,32,0.3043,0.9032,0.6957,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_worst,90,9.4296,95,32,5,4,1,0,0.8,0.125,0.2,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_mean,10,8.6685,95,32,65,28,18,19,0.4308,0.875,0.5692,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_mean,25,8.8109,95,32,57,24,14,19,0.4211,0.75,0.5789,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_mean,50,9.0695,95,32,35,16,10,9,0.4571,0.5,0.5429,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_mean,75,9.4574,95,32,12,8,4,0,0.6667,0.25,0.3333,AND-like filter on Dual+A-only+B-only; neither excluded
PPARG/PPARA,vina_mean,90,9.667,95,32,6,4,2,0,0.6667,0.125,0.3333,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_worst,10,6.7568,96,32,88,28,32,28,0.3182,0.875,0.6818,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_worst,25,8.219,96,32,77,24,28,25,0.3117,0.75,0.6883,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_worst,50,8.7145,96,32,58,16,22,20,0.2759,0.5,0.7241,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_worst,75,9.3875,96,32,24,8,6,10,0.3333,0.25,0.6667,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_worst,90,10.0874,96,32,6,4,1,1,0.6667,0.125,0.3333,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_mean,10,8.3169,96,32,85,28,30,27,0.3294,0.875,0.6706,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_mean,25,8.83,96,32,77,24,26,27,0.3117,0.75,0.6883,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_mean,50,9.5225,96,32,42,16,13,13,0.381,0.5,0.619,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_mean,75,9.8297,96,32,25,8,5,12,0.32,0.25,0.68,AND-like filter on Dual+A-only+B-only; neither excluded
PPARA/PPARD,vina_mean,90,10.3054,96,32,9,4,2,3,0.4444,0.125,0.5556,AND-like filter on Dual+A-only+B-only; neither excluded
