assay_id,assay_description,system,organism,cell_type,inferred_cell_type_source,cell_type_from_description,system_from_description,tissue,assay_type,endpoint,standard_type,n_records,n_molecules,evidence_class,classification_basis,missing_system_or_cell,source_file,source_url
CHEMBL5122649,Inhibition of NLRP3 inflammasome activation in PMA differentiated LPS-primed human THP-1 cells assessed as reduction in nigericin-induced IL-1beta level pretreated for 2 hrs followed by nigericin addition and measured after 30 mins by ELISA,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,14,14,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5122649
CHEMBL5149834,Inhibition of NLRP3 inflammasome in LPS-pretreated PBMC (unknown origin) assessed as reduction in IL-1beta release pretreated for 30 mins followed by ATP stimulated and measured after 1 hr by ELISA,cell-based format,Homo sapiens,PBMC,PBMC,PBMC,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,34,34,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5149834
CHEMBL5217806,Inhibition of NLRP3 inflammasome activation in LPS and nigericin-stimulated human PBMC cells assessed as reduction in IL-1beta release preincubated with LPS for 3 hrs followed by compound addition for 30 mins and further stimulated with nigericin for 1.5 hrs by ELISA analysis,cell-based format,Homo sapiens,PBMC,PBMC,PBMC,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,24,24,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5217806
CHEMBL5358951,Inhibition of NLRP3 in LPS/nigericin-induced human THP-1 cells assessed as inhibition of IL-1beta production pretreated with LPS for 3 hrs followed by incubation with compound for 15 mins and later stimulated with nigericin for 90 mins by AlphaLISA assay,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,24,24,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5358951
CHEMBL5358952,Inhibition of NLRP3 in human whole blood assessed as inhibition of IL-1beta production pretreated with LPS for 3 hrs followed by incubation with compound for 0.5 hrs and later incubated with ATP for 1.5 hrs by AlphaLISA assay,tissue-based format,Homo sapiens,,unknown,whole blood,ex_vivo_whole_blood,Blood,B,IL-1beta-related readout; see verbatim assay description,IC50,14,14,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5358952
CHEMBL5365232,Inhibition of NLRP3 in human whole blood assessed as reduction in IL-1beta release preincubated with compound for 3 hrs followed by nigericin stimulation and measured after 1 hrs by AlphaLISA assay,tissue-based format,Homo sapiens,,unknown,whole blood,ex_vivo_whole_blood,Blood,B,IL-1beta-related readout; see verbatim assay description,IC50,6,6,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5365232
CHEMBL5369907,Inhibition of NLRP3 inflammasome in PMA-differentiated human THP-1 cells assessed as inhibition of LPS/nigericin-induced IL-1 beta secretion pretreated with LPS for 3 hrs followed by incubation with compound for 40 mins and later stimulated with nigericin for 35 mins by ELISA,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,27,27,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5369907
CHEMBL5374758,Inhibition of NLRP3 inflammasome activation in LPS-activated human PBMC cells assessed as inhibition of ATP/nigericin induced IL-1beta secretion preincubated with LPS for 3 hrs followed by compound addition for 30 mins and further stimulated with ATP for 1 hr by ELISA,cell-based format,Homo sapiens,PBMC,PBMC,PBMC,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,31,31,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5374758
CHEMBL5374759,Inhibition of NLRP3 inflammasome activation in human whole blood assessed as inhibition of LPS/ATP induced IL-1beta secretion preincubated with LPS for 3 hrs followed by compound addition for 30 mins and further stimulated with ATP for 60 mins by ELISA,tissue-based format,Homo sapiens,,unknown,whole blood,ex_vivo_whole_blood,Blood,B,IL-1beta-related readout; see verbatim assay description,IC50,29,29,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5374759
CHEMBL5392108,Inhibition of NLRP3 in human THP-1 cells assessed as reduction in IL-1beta production,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,9,9,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5392108
CHEMBL5392136,Inhibition of NLRP3 in human PBMC cells assessed as reduction in IL-1beta production preincubated for 30 mins followed by LPS addition measured after 6 hrs,cell-based format,Homo sapiens,PBMC,PBMC,PBMC,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,10,10,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5392136
CHEMBL5392138,Inhibition of NLRP3 in human PBMC cells assessed as reduction in Il-1beta production preincubated for 0.5 hrs followed by LPS treatment for 3.5 hrs and further addition of ATP measured after 45 mins,cell-based format,Homo sapiens,PBMC,PBMC,PBMC,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,6,6,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5392138
CHEMBL5392140,Inhibition of NLRP3 in human THP-1 cells assessed as reduction in IL-1beta production measured after 1 hrs by ELISA assay,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,8,8,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5392140
CHEMBL5392143,Inhibition of NLRP3 in human THP-1 cells assessed as reduction in IL-1beta production preincubated for 1 hrs followed by nigericin addition measured after 30 mins by ELISA assay,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,5,5,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5392143
CHEMBL5504345,Inhibition of LRR domain of NLRP3 inflammasome in LPS/ATP-induced human THP-1 cells assessed as inhibition of IL-1beta level pretreated for 24 hrs followed by stimulated with LPS for 3 hrs and ATP for 1 hr by ELISA relative to control,cell-based format,Homo sapiens,THP-M,THP-M,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,12,12,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5504345
CHEMBL5517289,Inhibition of NLRP3 inflammasome activation in LPS primed human differentiated THP-M cells derived PMA induced THP-1 cells assessed as inhibition of IL-1 beta level preincubated with compound for 24 hrs followed by LPS stimulation for 3 hrs and further incubated with ATP for 1 hr by ELISA method,cell-based format,Homo sapiens,THP-M,THP-M,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,8,8,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5517289
CHEMBL5539793,Inhibition of NLRP3 in PMA-differentiated human THP-1 cells assessed as reduction in IL-1beta release preincubated with compound for 1 hrs followed by nigericin addition and measured after 3 hrs by HTRF assay,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,21,21,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5539793
CHEMBL5539794,Inhibition of NLRP3 in human whole blood assessed as reduction in IL-1beta release preincubated with compound for 60 mins followed by LPS addition for 5 hrs and measured 30 mins after ATP addition by HTRF assay,tissue-based format,Homo sapiens,,unknown,whole blood,ex_vivo_whole_blood,Blood,B,IL-1beta-related readout; see verbatim assay description,IC50,14,14,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5539794
CHEMBL5549264,Inhibition of NLRP3 inflammasome activation in LPS-activated human THP-1 cells assessed as inhibition of nigericin induced IL-1beta secretion preincubated with LPS for 3 hrs followed by compound addition for 40 mins and further stimulated with nigericin for 40 mins by ELISA method,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,35,35,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5549264
CHEMBL5580427,Inhibition of NLRP3 activation in PMA-differentiated LPS-stimulated human THP-1 cells assessed as reduction in IL-1beta release preincubated for 30 mins followed by nigericin addition and measured after 60 mins by ELISA,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,19,19,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5580427
CHEMBL5583272,Inhibition of NLRP3 in PMA-differentiated human THP-1 cells assessed as inhibition of LPS/nigericin induced IL-1beta production by ELISA,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,24,24,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5583272
CHEMBL6076313,Inhibition of NLRP3 inflammasome in human THP-1 cells assessed as reduction in nigericin induced IL-1beta secretion preincubated for 1 hr followed by nigericin addition and measured after 3 hrs by HTRF method,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,16,16,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6076313
CHEMBL6076320,Inhibition of NLRP3 inflammasome in human whole blood assessed as reduction in LPS/ATP induced IL-1beta secretion preincubated for 60 mins followed by LPS addition for 5 hrs prior to ATP addition for 30 mins by HTRF method,tissue-based format,Homo sapiens,,unknown,whole blood,ex_vivo_whole_blood,Blood,B,IL-1beta-related readout; see verbatim assay description,IC50,10,10,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6076320
CHEMBL6095601,Inhibition of NLRP3 inflammasome activation in PMA-differentiated human THP-1 cells assessed as reduction in LPS/MSU-induced IL-1beta secretion preincubated with LPS for 3 hrs followed by compound addition for 30 mins prior to MSU addition and measured after 4 hrs by ELISA method,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,21,21,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6095601
CHEMBL6118453,Antagonist activity against NLRP3 in PMA-primed human THP-1 cells assessed as inhibition of gramicidin-induced IL-1beta release measured after 1 hr incubation by HTRF analysis,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,22,22,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6118453
CHEMBL6118454,Antagonist activity against NLRP3 in human Whole blood cells assessed as inhibition of LPS-induced IL-1beta secretion pretreated for 1 hr followed by LPS stimulation measured after 18 hrs by HTRF analysis,cell-based format,Homo sapiens,Whole blood cell,Whole blood cell,whole blood,ex_vivo_whole_blood,,B,IL-1beta-related readout; see verbatim assay description,IC50,9,9,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6118454
CHEMBL6121754,Inhibition of NLRP3 inflammasome pathway in human THP-1 cells assessed as LPS-stimulated IL-1beta release pretreated with LPS for 3 hrs followed by compound addition for 30 mins prior to MSU addition and measured after 30 mins by ELISA,cell-based format,Homo sapiens,THP-1,THP-1,THP-1 / differentiated derivative,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,13,13,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6121754
CHEMBL6157329,Inhibition of NLRP3 in LPS-induced human PBMC cells assessed as inhibition of IL-1beta secretion pretreated with compound for 30 mins followed by LPS stimulation and measured after 6 hrs by MSD assay,cell-based format,Homo sapiens,PBMC,PBMC,PBMC,cell_based_functional,,B,IL-1beta-related readout; see verbatim assay description,IC50,31,31,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,False,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6157329
CHEMBL6185649,Inhibition of NLRP3 in human whole blood assessed as decrease in IL-1beta level incubated for 3 hrs followed by nigericin stimulation for 1 hr by AlphaLisa assay,tissue-based format,Homo sapiens,,unknown,whole blood,ex_vivo_whole_blood,Blood,B,IL-1beta-related readout; see verbatim assay description,IC50,6,6,NLRP3-related activity; not direct binding,curated endpoint and source description; ChEMBL assay type B alone is not binding proof,True,data/processed/nlrp3_records.csv,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6185649
