pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
JAK1/TYK2,dual_vs_neither,31,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.836,0.0117091,0.751523
JAK1/TYK2,summary_min,31,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.886,0.0100501,0.714261
PIK3CA/mTOR,dual_vs_A_only,18,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.054,0.00714731,0.498726
PIK3CA/mTOR,dual_vs_B_only,18,12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.052,0.00702111,0.501208
PIK3CA/mTOR,dual_vs_neither,18,4,0.50,class_stratified_shared_dual,20260729,1000,2000,0.101,0.00952885,0.504653
PIK3CA/mTOR,summary_min,18,14/12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.115,0.0100884,0.442024
PIK3CA/mTOR,dual_vs_A_only,18,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.087,0.00891241,0.552274
PIK3CA/mTOR,dual_vs_B_only,18,12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.092,0.0091398,0.551972
PIK3CA/mTOR,dual_vs_neither,18,4,0.55,class_stratified_shared_dual,20260729,1000,2000,0.131,0.0106695,0.561056
PIK3CA/mTOR,summary_min,18,14/12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.032,0.00556561,0.489729
PIK3CA/mTOR,dual_vs_A_only,18,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.16,0.0115931,0.601329
PIK3CA/mTOR,dual_vs_B_only,18,12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.158,0.0115341,0.596083
PIK3CA/mTOR,dual_vs_neither,18,4,0.60,class_stratified_shared_dual,20260729,1000,2000,0.138,0.0109067,0.592375
PIK3CA/mTOR,summary_min,18,14/12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.022,0.00463853,0.545247
PIK3CA/mTOR,dual_vs_A_only,18,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.286,0.01429,0.646758
PIK3CA/mTOR,dual_vs_B_only,18,12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.286,0.01429,0.647366
PIK3CA/mTOR,dual_vs_neither,18,4,0.65,class_stratified_shared_dual,20260729,1000,2000,0.222,0.0131421,0.644667
PIK3CA/mTOR,summary_min,18,14/12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.075,0.00832917,0.594774
PIK3CA/mTOR,dual_vs_A_only,18,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.541,0.0157581,0.706147
PIK3CA/mTOR,dual_vs_B_only,18,12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.481,0.0158,0.701741
PIK3CA/mTOR,dual_vs_neither,18,4,0.70,class_stratified_shared_dual,20260729,1000,2000,0.341,0.0149906,0.704611
PIK3CA/mTOR,summary_min,18,14/12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.204,0.012743,0.642984
PIK3CA/mTOR,dual_vs_A_only,18,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.717,0.0142447,0.750306
PIK3CA/mTOR,dual_vs_B_only,18,12,0.75,class_stratified_shared_dual,20260729,1000,2000,0.676,0.0147995,0.749495
PIK3CA/mTOR,dual_vs_neither,18,4,0.75,class_stratified_shared_dual,20260729,1000,2000,0.451,0.0157353,0.749778
PIK3CA/mTOR,summary_min,18,14/12,0.75,class_stratified_shared_dual,20260729,1000,2000,0.466,0.0157748,0.69978
AChE/BChE,dual_vs_A_only,27,26,0.50,class_stratified_shared_dual,20260729,1000,2000,0.056,0.00727076,0.498415
AChE/BChE,dual_vs_B_only,27,28,0.50,class_stratified_shared_dual,20260729,1000,2000,0.044,0.00648568,0.501765
AChE/BChE,dual_vs_neither,27,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.065,0.00779583,0.502021
AChE/BChE,summary_min,27,26/28,0.50,class_stratified_shared_dual,20260729,1000,2000,0.118,0.0102018,0.457041
AChE/BChE,dual_vs_A_only,27,26,0.55,class_stratified_shared_dual,20260729,1000,2000,0.08,0.00857904,0.546413
AChE/BChE,dual_vs_B_only,27,28,0.55,class_stratified_shared_dual,20260729,1000,2000,0.09,0.00904986,0.549634
AChE/BChE,dual_vs_neither,27,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.096,0.00931579,0.551209
AChE/BChE,summary_min,27,26/28,0.55,class_stratified_shared_dual,20260729,1000,2000,0.019,0.00431729,0.508816
AChE/BChE,dual_vs_A_only,27,26,0.60,class_stratified_shared_dual,20260729,1000,2000,0.247,0.0136379,0.598815
AChE/BChE,dual_vs_B_only,27,28,0.60,class_stratified_shared_dual,20260729,1000,2000,0.267,0.0139897,0.604238
AChE/BChE,dual_vs_neither,27,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.189,0.0123806,0.601746
AChE/BChE,summary_min,27,26/28,0.60,class_stratified_shared_dual,20260729,1000,2000,0.06,0.00750999,0.556103
AChE/BChE,dual_vs_A_only,27,26,0.65,class_stratified_shared_dual,20260729,1000,2000,0.462,0.0157657,0.646801
AChE/BChE,dual_vs_B_only,27,28,0.65,class_stratified_shared_dual,20260729,1000,2000,0.536,0.0157704,0.653745
AChE/BChE,dual_vs_neither,27,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.361,0.0151881,0.650222
AChE/BChE,summary_min,27,26/28,0.65,class_stratified_shared_dual,20260729,1000,2000,0.203,0.0127197,0.60635
AChE/BChE,dual_vs_A_only,27,26,0.70,class_stratified_shared_dual,20260729,1000,2000,0.739,0.0138881,0.701835
AChE/BChE,dual_vs_B_only,27,28,0.70,class_stratified_shared_dual,20260729,1000,2000,0.785,0.0129913,0.704948
AChE/BChE,dual_vs_neither,27,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.586,0.0155758,0.699
AChE/BChE,summary_min,27,26/28,0.70,class_stratified_shared_dual,20260729,1000,2000,0.521,0.0157974,0.660416
AChE/BChE,dual_vs_A_only,27,26,0.75,class_stratified_shared_dual,20260729,1000,2000,0.908,0.0091398,0.748349
AChE/BChE,dual_vs_B_only,27,28,0.75,class_stratified_shared_dual,20260729,1000,2000,0.922,0.00848033,0.749556
AChE/BChE,dual_vs_neither,27,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.783,0.013035,0.7475
AChE/BChE,summary_min,27,26/28,0.75,class_stratified_shared_dual,20260729,1000,2000,0.813,0.0123301,0.70897
F2/F10,dual_vs_A_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.052,0.00702111,0.500298
