pair_id,name_A,name_B,j0_notes,j0_auditable_now,resolved_A,resolved_B,in_universe,chembl_A,chembl_B,uniprot_A,uniprot_B,n_A,n_B,u_n_both_measured,u_theta_dual,u_theta_A_only,u_theta_B_only,u_theta_neither,u_strict_A_only,u_strict_B_only,u_min_strict_hardneg,u_directional_n10,u_formulation_n10,u_supports_strict_panel,u_metal_either
P18,EGFR,PARP1,,True,1,1,1,CHEMBL203,CHEMBL3105,P00533,P09874,11198,4576,5,2,1,0,2,1,0,0,0,0,0,0
P19,EGFR,HDAC1,metal_Zn_HDAC,True,1,1,1,CHEMBL203,CHEMBL325,P00533,Q13547,11198,8348,43,35,4,3,1,2,1,1,0,0,0,1
P20,EGFR,JAK2,,True,1,1,1,CHEMBL203,CHEMBL2971,P00533,O60674,11198,12711,115,69,17,14,15,5,2,2,1,1,0,0
P21,HER2,PIK3CA,,True,1,1,1,CHEMBL1824,CHEMBL4005,P04626,P42336,2619,7732,4,2,1,1,0,1,0,0,0,0,0,0
P22,HER2,MTOR,,True,1,1,1,CHEMBL1824,CHEMBL2842,P04626,P42345,2619,5209,17,1,4,4,8,2,1,1,0,0,0,0
P23,HER2,CDK6,,True,1,1,1,CHEMBL1824,CHEMBL2508,P04626,Q00534,2619,838,4,3,0,1,0,0,1,0,0,0,0,0
P24,HER2,HDAC6,metal_Zn_HDAC,True,1,1,1,CHEMBL1824,CHEMBL1865,P04626,Q9UBN7,2619,6554,17,13,2,1,1,1,1,1,0,0,0,1
P25,HER2,PARP1,,True,1,1,1,CHEMBL1824,CHEMBL3105,P04626,P09874,2619,4576,1,1,0,0,0,0,0,0,0,0,0,0
P26,PIK3CA,AKT1,,True,1,1,1,CHEMBL4005,CHEMBL4282,P42336,P31749,7732,3699,190,81,60,22,27,22,8,8,1,1,0,0
P27,PIK3CB,MTOR,,True,1,1,1,CHEMBL3145,CHEMBL2842,P42338,P42345,2786,5209,497,188,73,96,140,25,42,25,1,1,0,0
P28,PIK3CB,AKT1,,True,1,1,1,CHEMBL3145,CHEMBL4282,P42338,P31749,2786,3699,56,48,6,1,1,5,0,0,0,0,0,0
P29,MTOR,AKT1,,True,1,1,1,CHEMBL2842,CHEMBL4282,P42345,P31749,5209,3699,130,65,13,11,41,1,2,1,1,1,0,0
P30,MTOR,RPS6KB1_p70S6K,,True,1,1,1,CHEMBL2842,CHEMBL4501,P42345,P23443,5209,1918,4,0,1,2,1,1,1,1,0,0,0,0
P31,AKT1,MTOR,alias_of_P29,True,1,1,1,CHEMBL4282,CHEMBL2842,P31749,P42345,3699,5209,130,65,13,11,41,1,2,1,1,1,0,0
P32,JAK2,BRD4,,True,1,1,1,CHEMBL2971,CHEMBL1163125,O60674,O60885,12711,9338,190,107,49,11,23,17,5,5,1,1,0,0
P33,JAK2,CDK6,,True,1,1,1,CHEMBL2971,CHEMBL2508,O60674,Q00534,12711,838,13,5,2,5,1,2,1,1,0,0,0,0
P34,JAK2,PIK3CA,,True,1,1,1,CHEMBL2971,CHEMBL4005,O60674,P42336,12711,7732,17,9,6,1,1,1,0,0,0,0,0,0
P35,CDK6,PARP1,,True,1,1,1,CHEMBL2508,CHEMBL3105,Q00534,P09874,838,4576,18,16,0,0,2,0,0,0,0,0,0,0
P36,CDK6,HDAC1,metal_Zn_HDAC,True,1,1,1,CHEMBL2508,CHEMBL325,Q00534,Q13547,838,8348,3,0,1,1,1,0,1,0,0,0,0,1
P37,CDK6,PIK3CA,,True,1,1,1,CHEMBL2508,CHEMBL4005,Q00534,P42336,838,7732,7,5,0,1,1,0,0,0,0,0,0,0
P38,BRD4,PARP1,,True,1,1,1,CHEMBL1163125,CHEMBL3105,O60885,P09874,9338,4576,21,20,0,1,0,0,0,0,0,0,0,0
P39,BRD4,HDAC2,metal_Zn_HDAC,True,1,1,1,CHEMBL1163125,CHEMBL1937,O60885,Q92769,9338,2866,24,15,9,0,0,1,0,0,0,0,0,1
P40,BRD4,PIK3CA,,True,1,1,1,CHEMBL1163125,CHEMBL4005,O60885,P42336,9338,7732,26,12,8,5,1,4,3,3,0,0,0,0
P41,PARP1,HDAC1,metal_Zn_HDAC,True,1,1,1,CHEMBL3105,CHEMBL325,P09874,Q13547,4576,8348,12,10,1,0,1,0,0,0,0,0,0,1
P42,PARP1,EGFR,alias_of_P18,True,1,1,1,CHEMBL3105,CHEMBL203,P09874,P00533,4576,11198,5,2,1,0,2,1,0,0,0,0,0,0
P43,MET,EGFR,alias_of_P13,True,1,1,1,CHEMBL3717,CHEMBL203,P08581,P00533,4658,11198,201,92,38,35,36,17,10,10,1,1,0,0
P44,MET,PIK3CA,,True,1,1,1,CHEMBL3717,CHEMBL4005,P08581,P42336,4658,7732,11,5,1,1,4,0,0,0,0,0,0,0
P45,MET,AKT1,,True,1,1,1,CHEMBL3717,CHEMBL4282,P08581,P31749,4658,3699,41,8,10,4,19,5,0,0,0,0,0,0
P46,HDAC1,HDAC6,metal_both;isozyme,True,1,1,1,CHEMBL325,CHEMBL1865,Q13547,Q9UBN7,8348,6554,3987,2231,1133,223,400,494,93,93,1,1,1,1
P47,HDAC1,PIK3CA,metal_Zn_HDAC,True,1,1,1,CHEMBL325,CHEMBL4005,Q13547,P42336,8348,7732,106,90,13,3,0,7,3,3,0,0,0,1
P48,HDAC6,PIK3CA,metal_Zn_HDAC,True,1,1,1,CHEMBL1865,CHEMBL4005,Q9UBN7,P42336,6554,7732,54,45,1,7,1,1,0,0,0,0,0,1
P49,BCL2,BCL2L1_BclxL,,True,1,1,1,CHEMBL4860,CHEMBL4625,P10415,Q07817,3171,1612,1077,690,52,230,105,15,87,15,1,1,0,0
P50,MCL1,AKT1,,True,1,1,1,CHEMBL4361,CHEMBL4282,Q07820,P31749,3412,3699,0,0,0,0,0,0,0,0,0,0,0,0
P51,ACHE,HDAC1,metal_Zn_HDAC;weak_lit,True,1,1,1,CHEMBL220,CHEMBL325,P22303,Q13547,6197,8348,2,2,0,0,0,0,0,0,0,0,0,1
P52,BCHE,EGFR,weak_lit,True,1,1,1,CHEMBL1914,CHEMBL203,P06276,P00533,3798,11198,1,0,1,0,0,0,0,0,0,0,0,0
X01,NLRP3,JNK1,EXCLUDED_private_holdout,False,1,1,1,CHEMBL1741208,CHEMBL2276,Q96P20,P45983,782,1917,0,0,0,0,0,0,0,0,0,0,0,0
