target_A_chembl,target_B_chembl,uniprot_A,uniprot_B,gene_A,gene_B,pref_A,pref_B,class_A,class_B,n_A,n_B,n_both_measured,theta_dual,theta_A_only,theta_B_only,theta_neither,strict_dual,strict_A_only,strict_B_only,strict_neither,strict_gray,min_strict_hardneg,directional_n10,formulation_n10,supports_strict_panel,supports_thin_panel,metal_either,metal_both,same_class
CHEMBL1293232,CHEMBL1293277,Q16637,O15118,SMN1,NPC1,Survival motor neuron protein,NPC intracellular cholesterol transporter 1,Tudor domain,Transporter,33450,18552,7387,237,196,962,5992,31,60,83,3401,3812,60,1,1,1,1,0,0,0
CHEMBL5162,CHEMBL1293232,Q6W5P4,Q16637,NPSR1,SMN1,Neuropeptide S receptor,Survival motor neuron protein,Neuropeptide receptor,Tudor domain,15047,33450,2931,22,118,238,2553,3,60,158,2318,392,60,1,1,1,1,0,0,0
CHEMBL1963,CHEMBL3577,P16473,P00352,TSHR,ALDH1A1,Thyrotropin receptor,Aldehyde dehydrogenase 1A1,Glycohormone receptor,Oxidoreductase,16315,75664,6595,10,373,133,6079,1,175,58,5717,644,58,1,1,1,1,0,0,0
CHEMBL1963,CHEMBL4040,P16473,P28482,TSHR,MAPK1,Thyrotropin receptor,Mitogen-activated protein kinase 1,Glycohormone receptor,CMGC protein kinase ERK subfamily,16315,18719,2495,23,120,183,2169,16,58,123,1991,307,58,1,1,1,1,0,0,0
CHEMBL268,CHEMBL2954,P43235,P25774,CTSK,CTSS,Cathepsin K,Cathepsin S,Cysteine protease C1A family,Cysteine protease C1A family,2228,2540,1058,685,161,171,41,471,58,71,19,439,58,1,1,1,1,0,0,1
CHEMBL233,CHEMBL237,P35372,P41145,OPRM1,OPRK1,Mu-type opioid receptor,Kappa-type opioid receptor,Opioid receptor,Opioid receptor,7422,6370,3581,2506,305,413,357,1877,56,104,122,1422,56,1,1,1,1,0,0,1
CHEMBL4005,CHEMBL3145,P42336,P42338,PIK3CA,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Transferase,Transferase,7732,2786,1990,988,299,213,490,602,56,67,189,1076,56,1,1,1,1,0,0,1
CHEMBL3192,CHEMBL1937,Q9BY41,Q92769,HDAC8,HDAC2,Histone deacetylase 8,Histone deacetylase 2,HDAC class I,HDAC class I,3084,2866,1098,394,183,305,216,243,56,163,68,568,56,1,1,1,1,1,1,1
CHEMBL1963,CHEMBL1293235,P16473,P02545,TSHR,LMNA,Thyrotropin receptor,Prelamin-A/C,Glycohormone receptor,Structural protein,16315,36154,3324,33,145,284,2862,14,55,169,2635,451,55,1,1,1,1,0,0,0
CHEMBL3892,CHEMBL4333,Q99500,P21453,S1PR3,S1PR1,Sphingosine 1-phosphate receptor 3,Sphingosine 1-phosphate receptor 1,EDG receptor,EDG receptor,1561,3424,1158,535,140,417,66,287,55,201,19,596,55,1,1,1,1,0,0,1
CHEMBL1963,CHEMBL1293224,P16473,P10636,TSHR,MAPT,Thyrotropin receptor,Microtubule-associated protein tau,Glycohormone receptor,Other cytosolic protein,16315,67208,3221,7,134,122,2958,1,61,54,2688,417,54,0,0,1,1,0,0,0
CHEMBL3524,CHEMBL1865,P56524,Q9UBN7,HDAC4,HDAC6,Histone deacetylase 4,Protein deacetylase HDAC6,HDAC class IIa,HDAC class IIb,1204,6554,609,217,135,204,53,119,54,115,19,302,54,1,1,1,1,1,1,0
CHEMBL3577,CHEMBL4159,P00352,Q99714,ALDH1A1,HSD17B10,Aldehyde dehydrogenase 1A1,3-hydroxyacyl-CoA dehydrogenase type-2,Oxidoreductase,Oxidoreductase,75664,15273,9844,42,137,285,9380,8,53,88,8891,804,53,1,1,1,1,0,0,1
CHEMBL2835,CHEMBL2971,P23458,O60674,JAK1,JAK2,Tyrosine-protein kinase JAK1,Tyrosine-protein kinase JAK2,Tyrosine protein kinase JakA family,Tyrosine protein kinase JakA family,10506,12711,8513,7399,522,286,306,6316,113,53,104,1927,53,1,1,1,1,0,0,1
CHEMBL4040,CHEMBL4159,P28482,Q99714,MAPK1,HSD17B10,Mitogen-activated protein kinase 1,3-hydroxyacyl-CoA dehydrogenase type-2,CMGC protein kinase ERK subfamily,Oxidoreductase,18719,15273,2615,15,207,106,2287,10,127,53,2108,317,53,1,1,1,1,0,0,0
CHEMBL1963,CHEMBL4159,P16473,Q99714,TSHR,HSD17B10,Thyrotropin receptor,3-hydroxyacyl-CoA dehydrogenase type-2,Glycohormone receptor,Oxidoreductase,16315,15273,4014,16,208,130,3660,5,99,52,3417,441,52,1,1,1,1,0,0,0
CHEMBL1963,CHEMBL289,P16473,P10635,TSHR,CYP2D6,Thyrotropin receptor,Cytochrome P450 2D6,Glycohormone receptor,Cytochrome P450 2D6,16315,6368,1263,14,109,182,958,5,52,106,822,278,52,1,1,1,1,0,0,0
