panel_id,pair,class,status,reason,pdbqt
F2F10_077,F2/F10,dual,ok,,F2F10_077.pdbqt
F2F10_078,F2/F10,dual,ok,,F2F10_078.pdbqt
F2F10_079,F2/F10,dual,ok,,F2F10_079.pdbqt
F2F10_080,F2/F10,dual,ok,,F2F10_080.pdbqt
F2F10_081,F2/F10,dual,ok,,F2F10_081.pdbqt
F2F10_082,F2/F10,dual,ok,,F2F10_082.pdbqt
F2F10_083,F2/F10,dual,ok,,F2F10_083.pdbqt
F2F10_084,F2/F10,dual,ok,,F2F10_084.pdbqt
F2F10_085,F2/F10,dual,ok,,F2F10_085.pdbqt
F2F10_086,F2/F10,dual,ok,,F2F10_086.pdbqt
F2F10_087,F2/F10,dual,ok,,F2F10_087.pdbqt
F2F10_088,F2/F10,dual,ok,,F2F10_088.pdbqt
F2F10_089,F2/F10,dual,ok,,F2F10_089.pdbqt
F2F10_090,F2/F10,dual,ok,,F2F10_090.pdbqt
F2F10_091,F2/F10,dual,ok,,F2F10_091.pdbqt
F2F10_092,F2/F10,dual,ok,,F2F10_092.pdbqt
F2F10_093,F2/F10,dual,ok,,F2F10_093.pdbqt
F2F10_094,F2/F10,dual,ok,,F2F10_094.pdbqt
F2F10_095,F2/F10,dual,ok,,F2F10_095.pdbqt
F2F10_096,F2/F10,dual,ok,,F2F10_096.pdbqt
F2F10_097,F2/F10,neither,ok,,F2F10_097.pdbqt
F2F10_098,F2/F10,neither,ok,,F2F10_098.pdbqt
F2F10_099,F2/F10,neither,ok,,F2F10_099.pdbqt
F2F10_100,F2/F10,neither,ok,,F2F10_100.pdbqt
F2F10_101,F2/F10,neither,ok,,F2F10_101.pdbqt
F2F10_102,F2/F10,neither,ok,,F2F10_102.pdbqt
F2F10_103,F2/F10,neither,ok,,F2F10_103.pdbqt
F2F10_104,F2/F10,neither,ok,,F2F10_104.pdbqt
F2F10_105,F2/F10,neither,ok,,F2F10_105.pdbqt
F2F10_106,F2/F10,neither,ok,,F2F10_106.pdbqt
F2F10_107,F2/F10,neither,ok,,F2F10_107.pdbqt
F2F10_108,F2/F10,neither,ok,,F2F10_108.pdbqt
F2F10_109,F2/F10,neither,ok,,F2F10_109.pdbqt
F2F10_110,F2/F10,neither,ok,,F2F10_110.pdbqt
J1J2_001,JAK1/JAK2,A_only,ok,,J1J2_001.pdbqt
J1J2_002,JAK1/JAK2,A_only,ok,,J1J2_002.pdbqt
J1J2_003,JAK1/JAK2,A_only,ok,,J1J2_003.pdbqt
J1J2_004,JAK1/JAK2,A_only,ok,,J1J2_004.pdbqt
J1J2_005,JAK1/JAK2,A_only,ok,,J1J2_005.pdbqt
J1J2_006,JAK1/JAK2,A_only,ok,,J1J2_006.pdbqt
J1J2_007,JAK1/JAK2,A_only,ok,,J1J2_007.pdbqt
J1J2_008,JAK1/JAK2,A_only,ok,,J1J2_008.pdbqt
J1J2_009,JAK1/JAK2,A_only,ok,,J1J2_009.pdbqt
J1J2_010,JAK1/JAK2,A_only,ok,,J1J2_010.pdbqt
J1J2_011,JAK1/JAK2,A_only,ok,,J1J2_011.pdbqt
J1J2_012,JAK1/JAK2,A_only,ok,,J1J2_012.pdbqt
J1J2_013,JAK1/JAK2,A_only,ok,,J1J2_013.pdbqt
J1J2_014,JAK1/JAK2,A_only,ok,,J1J2_014.pdbqt
J1J2_015,JAK1/JAK2,A_only,ok,,J1J2_015.pdbqt
J1J2_016,JAK1/JAK2,A_only,ok,,J1J2_016.pdbqt
J1J2_017,JAK1/JAK2,A_only,ok,,J1J2_017.pdbqt
J1J2_018,JAK1/JAK2,A_only,ok,,J1J2_018.pdbqt
J1J2_019,JAK1/JAK2,A_only,ok,,J1J2_019.pdbqt
J1J2_020,JAK1/JAK2,A_only,ok,,J1J2_020.pdbqt
J1J2_021,JAK1/JAK2,A_only,ok,,J1J2_021.pdbqt
J1J2_022,JAK1/JAK2,A_only,ok,,J1J2_022.pdbqt
J1J2_023,JAK1/JAK2,A_only,ok,,J1J2_023.pdbqt
J1J2_024,JAK1/JAK2,A_only,ok,,J1J2_024.pdbqt
J1J2_025,JAK1/JAK2,A_only,ok,,J1J2_025.pdbqt
J1J2_026,JAK1/JAK2,A_only,ok,,J1J2_026.pdbqt
J1J2_027,JAK1/JAK2,A_only,ok,,J1J2_027.pdbqt
J1J2_028,JAK1/JAK2,A_only,ok,,J1J2_028.pdbqt
J1J2_029,JAK1/JAK2,A_only,ok,,J1J2_029.pdbqt
J1J2_030,JAK1/JAK2,A_only,ok,,J1J2_030.pdbqt
J1J2_031,JAK1/JAK2,A_only,ok,,J1J2_031.pdbqt
J1J2_032,JAK1/JAK2,A_only,ok,,J1J2_032.pdbqt
J1J2_033,JAK1/JAK2,B_only,ok,,J1J2_033.pdbqt
J1J2_034,JAK1/JAK2,B_only,ok,,J1J2_034.pdbqt
J1J2_035,JAK1/JAK2,B_only,ok,,J1J2_035.pdbqt
J1J2_036,JAK1/JAK2,B_only,ok,,J1J2_036.pdbqt
J1J2_037,JAK1/JAK2,B_only,ok,,J1J2_037.pdbqt
J1J2_038,JAK1/JAK2,B_only,ok,,J1J2_038.pdbqt
J1J2_039,JAK1/JAK2,B_only,ok,,J1J2_039.pdbqt
J1J2_040,JAK1/JAK2,B_only,ok,,J1J2_040.pdbqt
J1J2_041,JAK1/JAK2,B_only,ok,,J1J2_041.pdbqt
J1J2_042,JAK1/JAK2,B_only,ok,,J1J2_042.pdbqt
J1J2_043,JAK1/JAK2,B_only,ok,,J1J2_043.pdbqt
J1J2_044,JAK1/JAK2,B_only,ok,,J1J2_044.pdbqt
J1J2_045,JAK1/JAK2,B_only,ok,,J1J2_045.pdbqt
J1J2_046,JAK1/JAK2,B_only,ok,,J1J2_046.pdbqt
J1J2_047,JAK1/JAK2,B_only,ok,,J1J2_047.pdbqt
J1J2_048,JAK1/JAK2,B_only,ok,,J1J2_048.pdbqt
J1J2_049,JAK1/JAK2,B_only,ok,,J1J2_049.pdbqt
J1J2_050,JAK1/JAK2,B_only,ok,,J1J2_050.pdbqt
J1J2_051,JAK1/JAK2,B_only,ok,,J1J2_051.pdbqt
J1J2_052,JAK1/JAK2,B_only,ok,,J1J2_052.pdbqt
J1J2_053,JAK1/JAK2,B_only,ok,,J1J2_053.pdbqt
J1J2_054,JAK1/JAK2,B_only,ok,,J1J2_054.pdbqt
J1J2_055,JAK1/JAK2,B_only,ok,,J1J2_055.pdbqt
J1J2_056,JAK1/JAK2,B_only,ok,,J1J2_056.pdbqt
J1J2_057,JAK1/JAK2,B_only,ok,,J1J2_057.pdbqt
J1J2_058,JAK1/JAK2,B_only,ok,,J1J2_058.pdbqt
J1J2_059,JAK1/JAK2,B_only,ok,,J1J2_059.pdbqt
J1J2_060,JAK1/JAK2,B_only,ok,,J1J2_060.pdbqt
J1J2_061,JAK1/JAK2,B_only,ok,,J1J2_061.pdbqt
J1J2_062,JAK1/JAK2,B_only,ok,,J1J2_062.pdbqt
J1J2_063,JAK1/JAK2,B_only,ok,,J1J2_063.pdbqt
J1J2_064,JAK1/JAK2,B_only,ok,,J1J2_064.pdbqt
J1J2_065,JAK1/JAK2,dual,ok,,J1J2_065.pdbqt
J1J2_066,JAK1/JAK2,dual,ok,,J1J2_066.pdbqt
J1J2_067,JAK1/JAK2,dual,ok,,J1J2_067.pdbqt
J1J2_068,JAK1/JAK2,dual,ok,,J1J2_068.pdbqt
J1J2_069,JAK1/JAK2,dual,ok,,J1J2_069.pdbqt
J1J2_070,JAK1/JAK2,dual,ok,,J1J2_070.pdbqt
J1J2_071,JAK1/JAK2,dual,ok,,J1J2_071.pdbqt
J1J2_072,JAK1/JAK2,dual,ok,,J1J2_072.pdbqt
J1J2_073,JAK1/JAK2,dual,ok,,J1J2_073.pdbqt
J1J2_074,JAK1/JAK2,dual,ok,,J1J2_074.pdbqt
J1J2_075,JAK1/JAK2,dual,ok,,J1J2_075.pdbqt
J1J2_076,JAK1/JAK2,dual,ok,,J1J2_076.pdbqt
J1J2_077,JAK1/JAK2,dual,ok,,J1J2_077.pdbqt
J1J2_078,JAK1/JAK2,dual,ok,,J1J2_078.pdbqt
J1J2_079,JAK1/JAK2,dual,ok,,J1J2_079.pdbqt
J1J2_080,JAK1/JAK2,dual,ok,,J1J2_080.pdbqt
J1J2_081,JAK1/JAK2,dual,ok,,J1J2_081.pdbqt
J1J2_082,JAK1/JAK2,dual,ok,,J1J2_082.pdbqt
J1J2_083,JAK1/JAK2,dual,ok,,J1J2_083.pdbqt
J1J2_084,JAK1/JAK2,dual,ok,,J1J2_084.pdbqt
J1J2_085,JAK1/JAK2,dual,ok,,J1J2_085.pdbqt
J1J2_086,JAK1/JAK2,dual,ok,,J1J2_086.pdbqt
J1J2_087,JAK1/JAK2,dual,ok,,J1J2_087.pdbqt
J1J2_088,JAK1/JAK2,dual,ok,,J1J2_088.pdbqt
J1J2_089,JAK1/JAK2,dual,ok,,J1J2_089.pdbqt
J1J2_090,JAK1/JAK2,dual,ok,,J1J2_090.pdbqt
J1J2_091,JAK1/JAK2,dual,ok,,J1J2_091.pdbqt
J1J2_092,JAK1/JAK2,dual,ok,,J1J2_092.pdbqt
J1J2_093,JAK1/JAK2,dual,ok,,J1J2_093.pdbqt
J1J2_094,JAK1/JAK2,dual,ok,,J1J2_094.pdbqt
J1J2_095,JAK1/JAK2,dual,ok,,J1J2_095.pdbqt
J1J2_096,JAK1/JAK2,dual,ok,,J1J2_096.pdbqt
J1J2_097,JAK1/JAK2,neither,ok,,J1J2_097.pdbqt
J1J2_098,JAK1/JAK2,neither,ok,,J1J2_098.pdbqt
J1J2_099,JAK1/JAK2,neither,ok,,J1J2_099.pdbqt
J1J2_100,JAK1/JAK2,neither,ok,,J1J2_100.pdbqt
J1J2_101,JAK1/JAK2,neither,ok,,J1J2_101.pdbqt
J1J2_102,JAK1/JAK2,neither,ok,,J1J2_102.pdbqt
J1J2_103,JAK1/JAK2,neither,ok,,J1J2_103.pdbqt
J1J2_104,JAK1/JAK2,neither,ok,,J1J2_104.pdbqt
J1J2_105,JAK1/JAK2,neither,ok,,J1J2_105.pdbqt
J1J2_106,JAK1/JAK2,neither,ok,,J1J2_106.pdbqt
J1J2_107,JAK1/JAK2,neither,ok,,J1J2_107.pdbqt
J1J2_108,JAK1/JAK2,neither,ok,,J1J2_108.pdbqt
J1J2_109,JAK1/JAK2,neither,ok,,J1J2_109.pdbqt
J1J2_110,JAK1/JAK2,neither,ok,,J1J2_110.pdbqt
J1TYK2_001,JAK1/TYK2,A_only,ok,,J1TYK2_001.pdbqt
J1TYK2_002,JAK1/TYK2,A_only,ok,,J1TYK2_002.pdbqt
J1TYK2_003,JAK1/TYK2,A_only,ok,,J1TYK2_003.pdbqt
J1TYK2_004,JAK1/TYK2,A_only,ok,,J1TYK2_004.pdbqt
J1TYK2_005,JAK1/TYK2,A_only,ok,,J1TYK2_005.pdbqt
J1TYK2_006,JAK1/TYK2,A_only,ok,,J1TYK2_006.pdbqt
J1TYK2_007,JAK1/TYK2,A_only,ok,,J1TYK2_007.pdbqt
J1TYK2_008,JAK1/TYK2,A_only,ok,,J1TYK2_008.pdbqt
J1TYK2_009,JAK1/TYK2,A_only,ok,,J1TYK2_009.pdbqt
J1TYK2_010,JAK1/TYK2,A_only,ok,,J1TYK2_010.pdbqt
J1TYK2_011,JAK1/TYK2,A_only,ok,,J1TYK2_011.pdbqt
J1TYK2_012,JAK1/TYK2,A_only,ok,,J1TYK2_012.pdbqt
J1TYK2_013,JAK1/TYK2,A_only,ok,,J1TYK2_013.pdbqt
J1TYK2_014,JAK1/TYK2,A_only,ok,,J1TYK2_014.pdbqt
J1TYK2_015,JAK1/TYK2,A_only,ok,,J1TYK2_015.pdbqt
J1TYK2_016,JAK1/TYK2,A_only,ok,,J1TYK2_016.pdbqt
J1TYK2_017,JAK1/TYK2,A_only,ok,,J1TYK2_017.pdbqt
J1TYK2_018,JAK1/TYK2,A_only,ok,,J1TYK2_018.pdbqt
J1TYK2_019,JAK1/TYK2,A_only,ok,,J1TYK2_019.pdbqt
J1TYK2_020,JAK1/TYK2,A_only,ok,,J1TYK2_020.pdbqt
J1TYK2_021,JAK1/TYK2,A_only,ok,,J1TYK2_021.pdbqt
J1TYK2_022,JAK1/TYK2,A_only,ok,,J1TYK2_022.pdbqt
J1TYK2_023,JAK1/TYK2,A_only,ok,,J1TYK2_023.pdbqt
J1TYK2_024,JAK1/TYK2,A_only,ok,,J1TYK2_024.pdbqt
J1TYK2_025,JAK1/TYK2,A_only,ok,,J1TYK2_025.pdbqt
J1TYK2_026,JAK1/TYK2,A_only,ok,,J1TYK2_026.pdbqt
J1TYK2_027,JAK1/TYK2,A_only,ok,,J1TYK2_027.pdbqt
J1TYK2_028,JAK1/TYK2,A_only,ok,,J1TYK2_028.pdbqt
J1TYK2_029,JAK1/TYK2,A_only,ok,,J1TYK2_029.pdbqt
J1TYK2_030,JAK1/TYK2,A_only,ok,,J1TYK2_030.pdbqt
J1TYK2_031,JAK1/TYK2,A_only,ok,,J1TYK2_031.pdbqt
J1TYK2_032,JAK1/TYK2,A_only,ok,,J1TYK2_032.pdbqt
J1TYK2_033,JAK1/TYK2,B_only,ok,,J1TYK2_033.pdbqt
J1TYK2_034,JAK1/TYK2,B_only,ok,,J1TYK2_034.pdbqt
J1TYK2_035,JAK1/TYK2,B_only,ok,,J1TYK2_035.pdbqt
J1TYK2_036,JAK1/TYK2,B_only,ok,,J1TYK2_036.pdbqt
J1TYK2_037,JAK1/TYK2,B_only,ok,,J1TYK2_037.pdbqt
J1TYK2_038,JAK1/TYK2,B_only,ok,,J1TYK2_038.pdbqt
J1TYK2_039,JAK1/TYK2,B_only,ok,,J1TYK2_039.pdbqt
J1TYK2_040,JAK1/TYK2,B_only,ok,,J1TYK2_040.pdbqt
J1TYK2_041,JAK1/TYK2,B_only,ok,,J1TYK2_041.pdbqt
J1TYK2_042,JAK1/TYK2,B_only,ok,,J1TYK2_042.pdbqt
J1TYK2_043,JAK1/TYK2,B_only,ok,,J1TYK2_043.pdbqt
J1TYK2_044,JAK1/TYK2,B_only,ok,,J1TYK2_044.pdbqt
J1TYK2_045,JAK1/TYK2,B_only,ok,,J1TYK2_045.pdbqt
J1TYK2_046,JAK1/TYK2,B_only,ok,,J1TYK2_046.pdbqt
J1TYK2_047,JAK1/TYK2,B_only,ok,,J1TYK2_047.pdbqt
J1TYK2_048,JAK1/TYK2,B_only,ok,,J1TYK2_048.pdbqt
J1TYK2_049,JAK1/TYK2,B_only,ok,,J1TYK2_049.pdbqt
J1TYK2_050,JAK1/TYK2,B_only,ok,,J1TYK2_050.pdbqt
J1TYK2_051,JAK1/TYK2,B_only,ok,,J1TYK2_051.pdbqt
J1TYK2_052,JAK1/TYK2,B_only,ok,,J1TYK2_052.pdbqt
J1TYK2_053,JAK1/TYK2,B_only,ok,,J1TYK2_053.pdbqt
J1TYK2_054,JAK1/TYK2,B_only,ok,,J1TYK2_054.pdbqt
J1TYK2_055,JAK1/TYK2,B_only,ok,,J1TYK2_055.pdbqt
J1TYK2_056,JAK1/TYK2,B_only,ok,,J1TYK2_056.pdbqt
J1TYK2_057,JAK1/TYK2,B_only,ok,,J1TYK2_057.pdbqt
J1TYK2_058,JAK1/TYK2,B_only,ok,,J1TYK2_058.pdbqt
J1TYK2_059,JAK1/TYK2,B_only,ok,,J1TYK2_059.pdbqt
J1TYK2_060,JAK1/TYK2,B_only,ok,,J1TYK2_060.pdbqt
J1TYK2_061,JAK1/TYK2,B_only,ok,,J1TYK2_061.pdbqt
J1TYK2_062,JAK1/TYK2,B_only,ok,,J1TYK2_062.pdbqt
J1TYK2_063,JAK1/TYK2,B_only,ok,,J1TYK2_063.pdbqt
J1TYK2_064,JAK1/TYK2,B_only,ok,,J1TYK2_064.pdbqt
J1TYK2_065,JAK1/TYK2,dual,ok,,J1TYK2_065.pdbqt
J1TYK2_066,JAK1/TYK2,dual,ok,,J1TYK2_066.pdbqt
J1TYK2_067,JAK1/TYK2,dual,ok,,J1TYK2_067.pdbqt
J1TYK2_068,JAK1/TYK2,dual,ok,,J1TYK2_068.pdbqt
J1TYK2_069,JAK1/TYK2,dual,ok,,J1TYK2_069.pdbqt
J1TYK2_070,JAK1/TYK2,dual,ok,,J1TYK2_070.pdbqt
J1TYK2_071,JAK1/TYK2,dual,ok,,J1TYK2_071.pdbqt
J1TYK2_072,JAK1/TYK2,dual,ok,,J1TYK2_072.pdbqt
J1TYK2_073,JAK1/TYK2,dual,ok,,J1TYK2_073.pdbqt
J1TYK2_074,JAK1/TYK2,dual,ok,,J1TYK2_074.pdbqt
J1TYK2_075,JAK1/TYK2,dual,ok,,J1TYK2_075.pdbqt
J1TYK2_076,JAK1/TYK2,dual,ok,,J1TYK2_076.pdbqt
J1TYK2_077,JAK1/TYK2,dual,ok,,J1TYK2_077.pdbqt
J1TYK2_078,JAK1/TYK2,dual,ok,,J1TYK2_078.pdbqt
J1TYK2_079,JAK1/TYK2,dual,ok,,J1TYK2_079.pdbqt
J1TYK2_080,JAK1/TYK2,dual,ok,,J1TYK2_080.pdbqt
J1TYK2_081,JAK1/TYK2,dual,ok,,J1TYK2_081.pdbqt
J1TYK2_082,JAK1/TYK2,dual,ok,,J1TYK2_082.pdbqt
J1TYK2_083,JAK1/TYK2,dual,ok,,J1TYK2_083.pdbqt
J1TYK2_084,JAK1/TYK2,dual,ok,,J1TYK2_084.pdbqt
J1TYK2_085,JAK1/TYK2,dual,ok,,J1TYK2_085.pdbqt
J1TYK2_086,JAK1/TYK2,dual,ok,,J1TYK2_086.pdbqt
J1TYK2_087,JAK1/TYK2,dual,ok,,J1TYK2_087.pdbqt
J1TYK2_088,JAK1/TYK2,dual,ok,,J1TYK2_088.pdbqt
J1TYK2_089,JAK1/TYK2,dual,ok,,J1TYK2_089.pdbqt
J1TYK2_090,JAK1/TYK2,dual,ok,,J1TYK2_090.pdbqt
J1TYK2_091,JAK1/TYK2,dual,ok,,J1TYK2_091.pdbqt
J1TYK2_092,JAK1/TYK2,dual,ok,,J1TYK2_092.pdbqt
J1TYK2_093,JAK1/TYK2,dual,ok,,J1TYK2_093.pdbqt
J1TYK2_094,JAK1/TYK2,dual,ok,,J1TYK2_094.pdbqt
J1TYK2_095,JAK1/TYK2,dual,ok,,J1TYK2_095.pdbqt
J1TYK2_096,JAK1/TYK2,dual,ok,,J1TYK2_096.pdbqt
J1TYK2_097,JAK1/TYK2,neither,ok,,J1TYK2_097.pdbqt
J1TYK2_098,JAK1/TYK2,neither,ok,,J1TYK2_098.pdbqt
J1TYK2_099,JAK1/TYK2,neither,ok,,J1TYK2_099.pdbqt
J1TYK2_100,JAK1/TYK2,neither,ok,,J1TYK2_100.pdbqt
J1TYK2_101,JAK1/TYK2,neither,ok,,J1TYK2_101.pdbqt
J1TYK2_102,JAK1/TYK2,neither,ok,,J1TYK2_102.pdbqt
J1TYK2_103,JAK1/TYK2,neither,ok,,J1TYK2_103.pdbqt
J1TYK2_104,JAK1/TYK2,neither,ok,,J1TYK2_104.pdbqt
J1TYK2_105,JAK1/TYK2,neither,ok,,J1TYK2_105.pdbqt
J1TYK2_106,JAK1/TYK2,neither,ok,,J1TYK2_106.pdbqt
J1TYK2_107,JAK1/TYK2,neither,ok,,J1TYK2_107.pdbqt
J1TYK2_108,JAK1/TYK2,neither,ok,,J1TYK2_108.pdbqt
J1TYK2_109,JAK1/TYK2,neither,ok,,J1TYK2_109.pdbqt
J1TYK2_110,JAK1/TYK2,neither,ok,,J1TYK2_110.pdbqt
PAPD_001,PPARA/PPARD,A_only,ok,,PAPD_001.pdbqt
PAPD_002,PPARA/PPARD,A_only,ok,,PAPD_002.pdbqt
PAPD_003,PPARA/PPARD,A_only,ok,,PAPD_003.pdbqt
PAPD_004,PPARA/PPARD,A_only,ok,,PAPD_004.pdbqt
PAPD_005,PPARA/PPARD,A_only,ok,,PAPD_005.pdbqt
PAPD_006,PPARA/PPARD,A_only,ok,,PAPD_006.pdbqt
PAPD_007,PPARA/PPARD,A_only,ok,,PAPD_007.pdbqt
PAPD_008,PPARA/PPARD,A_only,ok,,PAPD_008.pdbqt
PAPD_009,PPARA/PPARD,A_only,ok,,PAPD_009.pdbqt
PAPD_010,PPARA/PPARD,A_only,ok,,PAPD_010.pdbqt
PAPD_011,PPARA/PPARD,A_only,ok,,PAPD_011.pdbqt
PAPD_012,PPARA/PPARD,A_only,ok,,PAPD_012.pdbqt
PAPD_013,PPARA/PPARD,A_only,ok,,PAPD_013.pdbqt
PAPD_014,PPARA/PPARD,A_only,ok,,PAPD_014.pdbqt
PAPD_015,PPARA/PPARD,A_only,ok,,PAPD_015.pdbqt
PAPD_016,PPARA/PPARD,A_only,ok,,PAPD_016.pdbqt
PAPD_017,PPARA/PPARD,A_only,ok,,PAPD_017.pdbqt
PAPD_018,PPARA/PPARD,A_only,ok,,PAPD_018.pdbqt
PAPD_019,PPARA/PPARD,A_only,ok,,PAPD_019.pdbqt
PAPD_020,PPARA/PPARD,A_only,ok,,PAPD_020.pdbqt
PAPD_021,PPARA/PPARD,A_only,ok,,PAPD_021.pdbqt
PAPD_022,PPARA/PPARD,A_only,ok,,PAPD_022.pdbqt
PAPD_023,PPARA/PPARD,A_only,ok,,PAPD_023.pdbqt
PAPD_024,PPARA/PPARD,A_only,ok,,PAPD_024.pdbqt
PAPD_025,PPARA/PPARD,A_only,ok,,PAPD_025.pdbqt
PAPD_026,PPARA/PPARD,A_only,ok,,PAPD_026.pdbqt
PAPD_027,PPARA/PPARD,A_only,ok,,PAPD_027.pdbqt
PAPD_028,PPARA/PPARD,A_only,ok,,PAPD_028.pdbqt
PAPD_029,PPARA/PPARD,A_only,ok,,PAPD_029.pdbqt
PAPD_030,PPARA/PPARD,A_only,ok,,PAPD_030.pdbqt
PAPD_031,PPARA/PPARD,A_only,ok,,PAPD_031.pdbqt
PAPD_032,PPARA/PPARD,A_only,ok,,PAPD_032.pdbqt
PAPD_033,PPARA/PPARD,B_only,ok,,PAPD_033.pdbqt
PAPD_034,PPARA/PPARD,B_only,ok,,PAPD_034.pdbqt
PAPD_035,PPARA/PPARD,B_only,ok,,PAPD_035.pdbqt
PAPD_036,PPARA/PPARD,B_only,ok,,PAPD_036.pdbqt
PAPD_037,PPARA/PPARD,B_only,ok,,PAPD_037.pdbqt
PAPD_038,PPARA/PPARD,B_only,ok,,PAPD_038.pdbqt
PAPD_039,PPARA/PPARD,B_only,ok,,PAPD_039.pdbqt
PAPD_040,PPARA/PPARD,B_only,ok,,PAPD_040.pdbqt
