target_chembl,uniprot,gene_symbol,pref_name,protein_class,n_mols,metal_enzyme_risk
CHEMBL2998,P56373,P2RX3,P2X purinoceptor 3,P2X receptor,5020,0
CHEMBL2147,P11309,PIM1,Serine/threonine-protein kinase pim-1,CAMK protein kinase PIM family,4999,0
CHEMBL3242,O43570,CA12,Carbonic anhydrase 12,Lyase,4966,1
CHEMBL2815,P04629,NTRK1,High affinity nerve growth factor receptor,Tyrosine protein kinase Trk family,4940,0
CHEMBL2039,P27338,MAOB,Amine oxidase [flavin-containing] B,Oxidoreductase,4938,0
CHEMBL5023,Q00987,MDM2,E3 ubiquitin-protein ligase Mdm2,Other nuclear protein,4930,0
CHEMBL256,P0DMS8,ADORA3,Adenosine receptor A3,Adenosine receptor,4922,0
CHEMBL236,P41143,OPRD1,Delta-type opioid receptor,Opioid receptor,4901,0
CHEMBL4805,Q99572,P2RX7,P2X purinoceptor 7,P2X receptor,4819,0
CHEMBL3717,P08581,MET,Hepatocyte growth factor receptor,Tyrosine protein kinase Met family,4658,0
CHEMBL1744525,P43490,NAMPT,Nicotinamide phosphoribosyltransferase,Enzyme,4655,0
CHEMBL1293236,P46063,RECQL,ATP-dependent DNA helicase Q1,Enzyme,4588,0
CHEMBL3105,P09874,PARP1,Poly [ADP-ribose] polymerase 1,Transferase,4576,0
CHEMBL206,P03372,ESR1,Estrogen receptor,Nuclear hormone receptor subfamily 3 group A member 1,4482,0
CHEMBL1974,P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3,Tyrosine protein kinase PDGFR family,4435,0
CHEMBL2041,P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,Tyrosine protein kinase Ret family,4425,0
CHEMBL284,P27487,DPP4,Dipeptidyl peptidase 4,Serine protease S9B subfamily,4421,0
CHEMBL264,Q9Y5N1,HRH3,Histamine H3 receptor,Histamine receptor,4420,0
CHEMBL230,P35354,PTGS2,Prostaglandin G/H synthase 2,Oxidoreductase,4403,0
CHEMBL3371,P50406,HTR6,5-hydroxytryptamine receptor 6,Serotonin receptor,4392,0
CHEMBL235,P37231,PPARG,Peroxisome proliferator-activated receptor gamma,Nuclear hormone receptor subfamily 1 group C member 3,4337,0
CHEMBL2007625,O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,Oxidoreductase,4300,0
CHEMBL3650,P11362,FGFR1,Fibroblast growth factor receptor 1,Tyrosine protein kinase FGFR family,4163,0
CHEMBL5805,Q9NR97,TLR8,Toll-like receptor 8,Toll-like and Il-1 receptors,4092,0
CHEMBL2292,Q13627,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,CMGC protein kinase Dyrk1 subfamily,4088,0
CHEMBL5464,Q13546,RIPK1,Receptor-interacting serine/threonine-protein kinase 1,TKL protein kinase RIPK family,4038,0
CHEMBL225,P28335,HTR2C,5-hydroxytryptamine receptor 2C,Serotonin receptor,4034,0
CHEMBL267,P12931,SRC,Proto-oncogene tyrosine-protein kinase Src,Tyrosine protein kinase Src family,4027,0
CHEMBL4829,O00763,ACACB,Acetyl-CoA carboxylase 2,Ligase,4003,0
CHEMBL6136,O60341,KDM1A,Lysine-specific histone demethylase 1A,Lysine-specific demethylase,3950,0
CHEMBL333,P08253,MMP2,72 kDa type IV collagenase,Metallo protease M10A subfamily,3916,0
CHEMBL3267,P48736,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Transferase,3914,0
CHEMBL1914,P06276,BCHE,Cholinesterase,Hydrolase,3798,0
CHEMBL3797,Q13315,ATM,Serine-protein kinase ATM,Atypical protein kinase PIKK family,3759,0
CHEMBL2000,P03952,KLKB1,Plasma kallikrein,Serine protease S1A subfamily,3757,0
CHEMBL222,P23975,SLC6A2,Sodium-dependent noradrenaline transporter,SLC06 neurotransmitter transporter family,3740,0
CHEMBL4282,P31749,AKT1,RAC-alpha serine/threonine-protein kinase,AGC protein kinase AKT family,3699,0
CHEMBL4685,P14902,IDO1,"Indoleamine 2,3-dioxygenase 1",Oxidoreductase,3682,0
CHEMBL335,P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,Tyrosine protein phosphatase,3669,0
CHEMBL344,Q99705,MCHR1,Melanin-concentrating hormone receptor 1,MCH receptor,3669,0
CHEMBL4794,Q8NER1,TRPV1,Transient receptor potential cation channel subfamily V member 1,Transient receptor potential channel,3663,0
CHEMBL5804,Q9NR96,TLR9,Toll-like receptor 9,Toll-like and Il-1 receptors,3652,0
CHEMBL4801,P29466,CASP1,Caspase-1,Cysteine protease C14 family,3615,0
CHEMBL1075104,Q5S007,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,TKL protein kinase LRRK family,3490,0
CHEMBL4722,O14965,AURKA,Aurora kinase A,Other protein kinase AUR family,3462,0
CHEMBL238,Q01959,SLC6A3,Sodium-dependent dopamine transporter,SLC06 neurotransmitter transporter family,3459,0
CHEMBL4333,P21453,S1PR1,Sphingosine 1-phosphate receptor 1,EDG receptor,3424,0
CHEMBL4361,Q07820,MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1,Other cytosolic protein,3412,0
CHEMBL4235,P28845,HSD11B1,11-beta-hydroxysteroid dehydrogenase 1,Oxidoreductase,3383,0
CHEMBL1628481,P35414,APLNR,Apelin receptor,Neuropeptide receptor,3363,0
CHEMBL255,P29275,ADORA2B,Adenosine receptor A2b,Adenosine receptor,3336,0
CHEMBL5071,Q9Y5Y4,PTGDR2,Prostaglandin D2 receptor 2,Prostanoid receptor,3278,0
CHEMBL2047,Q96RI1,NR1H4,Bile acid receptor,Nuclear hormone receptor subfamily 1 group H member 4,3267,0
CHEMBL259,P32245,MC4R,Melanocortin receptor 4,Melanocortin receptor,3258,0
CHEMBL5749,Q92918,MAP4K1,Mitogen-activated protein kinase kinase kinase kinase 1,STE protein kinase KHS subfamily,3228,0
CHEMBL287,Q99720,SIGMAR1,Sigma non-opioid intracellular receptor 1,Membrane receptor,3202,0
CHEMBL1951,P21397,MAOA,Amine oxidase [flavin-containing] A,Oxidoreductase,3193,0
CHEMBL3155,P34969,HTR7,5-hydroxytryptamine receptor 7,Serotonin receptor,3189,0
CHEMBL1936,P10721,KIT,Mast/stem cell growth factor receptor Kit,Tyrosine protein kinase PDGFR family,3186,0
CHEMBL4860,P10415,BCL2,Apoptosis regulator Bcl-2,Bcl-2 family,3171,0
CHEMBL1862,P00519,ABL1,Tyrosine-protein kinase ABL1,Tyrosine protein kinase Abl family,3125,0
CHEMBL3192,Q9BY41,HDAC8,Histone deacetylase 8,HDAC class I,3084,1
CHEMBL2034,P04150,NR3C1,Glucocorticoid receptor,Nuclear hormone receptor subfamily 3 group C member 1,3045,0
CHEMBL2820,P03951,F11,Coagulation factor XI,Serine protease S1A subfamily,3020,0
CHEMBL219,P21917,DRD4,D(4) dopamine receptor,Dopamine receptor,3016,0
CHEMBL1978,P11511,CYP19A1,Aromatase,Cytochrome P450 19A1,2991,0
CHEMBL5747,Q92793,CREBBP,CREB-binding protein,p300/CBP family,2990,0
CHEMBL286,P00797,REN,Renin,Aspartic protease A1A subfamily,2982,0
CHEMBL3227,P41594,GRM5,Metabotropic glutamate receptor 5,Metabotropic glutamate receptor,2957,0
CHEMBL1871,P10275,AR,Androgen receptor,Nuclear hormone receptor subfamily 3 group C member 4,2954,0
CHEMBL2524,P06280,GLA,Alpha-galactosidase A,Hydrolase,2900,0
CHEMBL4895,P30530,AXL,Tyrosine-protein kinase receptor UFO,Tyrosine protein kinase Axl family,2894,0
CHEMBL4261,Q16665,HIF1A,Hypoxia-inducible factor 1-alpha,Transcription factor,2893,0
CHEMBL4523,Q9P1W9,PIM2,Serine/threonine-protein kinase pim-2,CAMK protein kinase PIM family,2879,0
CHEMBL1937,Q92769,HDAC2,Histone deacetylase 2,HDAC class I,2866,1
CHEMBL239,Q07869,PPARA,Peroxisome proliferator-activated receptor alpha,Nuclear hormone receptor subfamily 1 group C member 1,2836,0
CHEMBL280,P45452,MMP13,Collagenase 3,Metallo protease M10A subfamily,2829,0
CHEMBL4630,O14757,CHEK1,Serine/threonine-protein kinase Chk1,CAMK protein kinase CHK1 subfamily,2819,0
CHEMBL1906,P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase,TKL protein kinase RAF family,2812,0
CHEMBL3145,P42338,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Transferase,2786,0
CHEMBL3231,Q13464,ROCK1,Rho-associated protein kinase 1,AGC protein kinase ROCK subfamily,2776,0
CHEMBL321,P14780,MMP9,Matrix metalloproteinase-9,Metallo protease M10A subfamily,2775,1
CHEMBL2409,P34913,EPHX2,Bifunctional epoxide hydrolase 2,Serine protease S33 family,2766,0
CHEMBL216,P11229,CHRM1,Muscarinic acetylcholine receptor M1,Acetylcholine receptor,2765,0
CHEMBL3468,P55210,CASP7,Caspase-7,Cysteine protease C14 family,2746,0
CHEMBL2189121,P01116,KRAS,GTPase KRas,Hydrolase,2741,0
CHEMBL2014,P41146,OPRL1,Nociceptin receptor,Opioid receptor,2736,0
CHEMBL3687,P18054,ALOX12,Polyunsaturated fatty acid lipoxygenase ALOX12,Enzyme,2704,0
CHEMBL2652,O00408,PDE2A,"cGMP-dependent 3',5'-cyclic phosphodiesterase",Phosphodiesterase 2A,2690,0
CHEMBL4439,P36897,TGFBR1,TGF-beta receptor type-1,TKL protein kinase STKR Type 1 subfamily,2690,0
CHEMBL245,P20309,CHRM3,Muscarinic acetylcholine receptor M3,Acetylcholine receptor,2684,0
CHEMBL2185,Q96GD4,AURKB,Aurora kinase B,Other protein kinase AUR family,2665,0
CHEMBL301,P24941,CDK2,Cyclin-dependent kinase 2,CMGC protein kinase CDC2 subfamily,2646,0
CHEMBL1844,P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,Tyrosine protein kinase PDGFR family,2639,0
CHEMBL1824,P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,Tyrosine protein kinase EGFR family,2619,0
CHEMBL1829,O15379,HDAC3,Histone deacetylase 3,HDAC class I,2596,1
CHEMBL332,P03956,MMP1,Interstitial collagenase,Metallo protease M10A subfamily,2585,0
CHEMBL1293237,P54132,BLM,RecQ-like DNA helicase BLM,Enzyme,2558,0
CHEMBL249,P25103,TACR1,Substance-P receptor,Neurokinin receptor,2549,0
CHEMBL2954,P25774,CTSS,Cathepsin S,Cysteine protease C1A family,2540,0
CHEMBL248,P08246,ELANE,Neutrophil elastase,Serine protease S1A subfamily,2534,0
CHEMBL1957,P08069,IGF1R,Insulin-like growth factor 1 receptor,Tyrosine protein kinase InsR family,2522,0
CHEMBL4302,P08183,ABCB1,ATP-dependent translocase ABCB1,ABCB subfamily,2514,0
CHEMBL4247,Q9UM73,ALK,ALK tyrosine kinase receptor,TKL protein kinase STKR Type 1 subfamily,2512,0
CHEMBL3864,Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,Tyrosine protein phosphatase,2427,0
CHEMBL275,Q07343,PDE4B,"3',5'-cyclic-AMP phosphodiesterase 4B",Phosphodiesterase 4B,2386,0
CHEMBL258,P06239,LCK,Tyrosine-protein kinase Lck,Tyrosine protein kinase Src family,2380,0
CHEMBL215,P09917,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,Oxidoreductase,2375,0
CHEMBL2742,P22607,FGFR3,Fibroblast growth factor receptor 3,Tyrosine protein kinase FGFR family,2362,0
CHEMBL4422,O14842,FFAR1,Free fatty acid receptor 1,Free fatty acid receptor,2350,0
CHEMBL5331,Q12866,MERTK,Tyrosine-protein kinase Mer,Tyrosine protein kinase Axl family,2338,0
CHEMBL5408,Q9UHD2,TBK1,Serine/threonine-protein kinase TBK1,Other protein kinase IKK family,2315,0
CHEMBL242,Q92731,ESR2,Estrogen receptor beta,Nuclear hormone receptor subfamily 3 group A member 2,2312,0
CHEMBL211,P08172,CHRM2,Muscarinic acetylcholine receptor M2,Acetylcholine receptor,2311,0
CHEMBL274,P51681,CCR5,C-C chemokine receptor type 5,CC chemokine receptor,2306,0
CHEMBL4550,P20292,ALOX5AP,Arachidonate 5-lipoxygenase-activating protein,Other cytosolic protein,2244,0
CHEMBL268,P43235,CTSK,Cathepsin K,Cysteine protease C1A family,2228,0
CHEMBL2525,Q9Y5Z0,BACE2,Beta-secretase 2,Aspartic protease A1A subfamily,2217,0
CHEMBL2695,Q05397,PTK2,Focal adhesion kinase 1,Tyrosine protein kinase Fak family,2216,0
CHEMBL2722,P19099,CYP11B2,"Cytochrome P450 11B2, mitochondrial",Cytochrome P450 11B2,2212,0
CHEMBL2581,P07339,CTSD,Cathepsin D,Aspartic protease A1A subfamily,2205,0
CHEMBL1827,O76074,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",Phosphodiesterase 5A,2185,0
CHEMBL4227,P25090,FPR2,N-formyl peptide receptor 2,N-formyl methionyl peptide receptor,2172,0
CHEMBL1833,P41595,HTR2B,5-hydroxytryptamine receptor 2B,Serotonin receptor,2163,0
CHEMBL3691,Q13822,ENPP2,Autotaxin,Enzyme,2152,0
CHEMBL210,P07550,ADRB2,Beta-2 adrenergic receptor,Adrenergic receptor,2151,0
CHEMBL3973,P22455,FGFR4,Fibroblast growth factor receptor 4,Tyrosine protein kinase FGFR family,2126,0
CHEMBL4191,Q99685,MGLL,Monoglyceride lipase,Hydrolase,2114,0
CHEMBL3837,P07711,CTSL,Procathepsin L,Cysteine protease C1A family,2089,0
CHEMBL4015,P41597,CCR2,C-C chemokine receptor type 2,CC chemokine receptor,2084,0
CHEMBL1904,Q13224,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B",NMDA receptor,2018,0
CHEMBL1913,P09619,PDGFRB,Platelet-derived growth factor receptor beta,Tyrosine protein kinase PDGFR family,1995,0
CHEMBL2243,O00519,FAAH,Fatty-acid amide hydrolase 1,Hydrolase,1983,0
CHEMBL4203,Q9HAZ1,CLK4,Dual specificity protein kinase CLK4,CMGC protein kinase CLK family,1972,0
CHEMBL5024,Q13535,ATR,Serine/threonine-protein kinase ATR,Atypical protein kinase PIKK family,1970,0
CHEMBL2334,P42574,CASP3,Caspase-3,Cysteine protease C14 family,1967,0
CHEMBL283,P08254,MMP3,Stromelysin-1,Metallo protease M10A subfamily,1963,0
CHEMBL208,P06401,PGR,Progesterone receptor,Nuclear hormone receptor subfamily 3 group C member 3,1950,0
CHEMBL4198,P98170,XIAP,E3 ubiquitin-protein ligase XIAP,Other cytosolic protein,1942,0
CHEMBL1800,P34998,CRHR1,Corticotropin-releasing factor receptor 1,Corticotropin releasing factor receptor,1938,0
CHEMBL1821,P08173,CHRM4,Muscarinic acetylcholine receptor M4,Acetylcholine receptor,1937,0
CHEMBL5697,Q9GZT9,EGLN1,Egl nine homolog 1,Oxidoreductase,1923,0
CHEMBL1966,Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Oxidoreductase,1918,0
CHEMBL3706,P78536,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,Metallo protease M12B subfamily,1918,0
CHEMBL4501,P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1,AGC protein kinase p70 subfamily,1918,0
CHEMBL2276,P45983,MAPK8,Mitogen-activated protein kinase 8,CMGC protein kinase JNK subfamily,1917,0
CHEMBL229,P35348,ADRA1A,Alpha-1A adrenergic receptor,Adrenergic receptor,1908,0
CHEMBL5314,Q06418,TYRO3,Tyrosine-protein kinase receptor TYRO3,Tyrosine protein kinase Axl family,1899,0
CHEMBL2487,P05067,APP,Amyloid-beta precursor protein,Membrane receptor,1890,0
CHEMBL4616,Q92847,GHSR,Growth hormone secretagogue receptor type 1,GRP-related receptor,1879,0
CHEMBL1825,P01375,TNF,Tumor necrosis factor,Secreted protein,1876,0
CHEMBL5137,Q14416,GRM2,Metabotropic glutamate receptor 2,Metabotropic glutamate receptor,1874,0
CHEMBL3979,Q03181,PPARD,Peroxisome proliferator-activated receptor delta,Nuclear hormone receptor subfamily 1 group C member 2,1865,0
CHEMBL5658,O14684,PTGES,Prostaglandin E synthase,Isomerase,1840,0
CHEMBL6007,O75762,TRPA1,Transient receptor potential cation channel subfamily A member 1,Transient receptor potential channel,1822,0
CHEMBL4142,P21802,FGFR2,Fibroblast growth factor receptor 2,Tyrosine protein kinase FGFR family,1807,0
CHEMBL4441,P49682,CXCR3,C-X-C chemokine receptor type 3,CXC chemokine receptor,1787,0
CHEMBL3116,P50750,CDK9,Cyclin-dependent kinase 9,CMGC protein kinase CDK9 subfamily,1781,0
CHEMBL231,P35367,HRH1,Histamine H1 receptor,Histamine receptor,1746,0
CHEMBL3351214,Q13541,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Other nuclear protein,1744,0
CHEMBL2176771,P00746,CFD,Complement factor D,Serine protease,1738,0
CHEMBL3880,P07900,HSP90AA1,Heat shock protein HSP 90-alpha,Other cytosolic protein,1720,0
CHEMBL4204,Q9HBH9,MKNK2,MAP kinase-interacting serine/threonine-protein kinase 2,CAMK protein kinase MNK subfamily,1711,0
CHEMBL1075317,P61964,WDR5,WD repeat-containing protein 5,WDR domain,1706,0
CHEMBL1908,P15538,CYP11B1,"Cytochrome P450 11B1, mitochondrial",Cytochrome P450 11B1,1695,0
CHEMBL2637,P53779,MAPK10,Mitogen-activated protein kinase 10,CMGC protein kinase JNK subfamily,1684,0
CHEMBL5407,Q86V86,PIM3,Serine/threonine-protein kinase pim-3,CAMK protein kinase PIM family,1671,0
CHEMBL221,P23219,PTGS1,Prostaglandin G/H synthase 1,Oxidoreductase,1666,0
CHEMBL5652,Q8TDV5,GPR119,Glucose-dependent insulinotropic receptor,Lipid-like ligand receptor (family A GPCR),1661,0
CHEMBL4225,P49760,CLK2,Dual specificity protein kinase CLK2,CMGC protein kinase CLK family,1660,0
CHEMBL5319,Q08345,DDR1,Epithelial discoidin domain-containing receptor 1,Tyrosine protein kinase DDR family,1646,0
CHEMBL3729,P22748,CA4,Carbonic anhydrase 4,Lyase,1640,1
CHEMBL2850,P49840,GSK3A,Glycogen synthase kinase-3 alpha,CMGC protein kinase GSK family,1617,0
CHEMBL3356,P05177,CYP1A2,Cytochrome P450 1A2,Cytochrome P450 1A2,1617,0
CHEMBL4625,Q07817,BCL2L1,Bcl-2-like protein 1,Bcl-2 family,1612,0
CHEMBL246,P13945,ADRB3,Beta-3 adrenergic receptor,Adrenergic receptor,1607,0
CHEMBL1855,P30968,GNRHR,Gonadotropin-releasing hormone receptor,GnRH receptor,1588,0
CHEMBL2492,P36544,CHRNA7,Neuronal acetylcholine receptor subunit alpha-7,Nicotinic acetylcholine receptor alpha subunit,1586,0
CHEMBL2326,P43166,CA7,Carbonic anhydrase 7,Lyase,1586,1
CHEMBL288,Q08499,PDE4D,"3',5'-cyclic-AMP phosphodiesterase 4D",Phosphodiesterase 4D,1572,0
CHEMBL1889,P37288,AVPR1A,Vasopressin V1a receptor,Vasopressin and oxytocin receptor,1567,0
CHEMBL3892,Q99500,S1PR3,Sphingosine 1-phosphate receptor 3,EDG receptor,1561,0
CHEMBL1784,P43220,GLP1R,Glucagon-like peptide 1 receptor,Glucagon-like peptide receptor,1561,0
CHEMBL2056,P21728,DRD1,D(1A) dopamine receptor,Dopamine receptor,1555,0
CHEMBL3024,P53350,PLK1,Serine/threonine-protein kinase PLK1,Other protein kinase PLK family,1550,0
CHEMBL213,P08588,ADRB1,Beta-1 adrenergic receptor,Adrenergic receptor,1546,0
CHEMBL3759,Q9H3N8,HRH4,Histamine H4 receptor,Histamine receptor,1546,0
CHEMBL252,P25101,EDNRA,Endothelin-1 receptor,Endothelin receptor,1540,0
CHEMBL3713062,P10646,TFPI,Tissue factor pathway inhibitor,Unclassified protein,1513,0
CHEMBL298,P32239,CCKBR,Gastrin/cholecystokinin type B receptor,Cholecystokinin receptor,1501,0
CHEMBL308,P06493,CDK1,Cyclin-dependent kinase 1,CMGC protein kinase CDC2 subfamily,1500,0
CHEMBL1868,P17948,FLT1,Vascular endothelial growth factor receptor 1,Tyrosine protein kinase VEGFR family,1483,0
CHEMBL232,P35368,ADRA1B,Alpha-1B adrenergic receptor,Adrenergic receptor,1475,0
CHEMBL2828,P48730,CSNK1D,Casein kinase I isoform delta,CK1 protein kinase CK1 family,1468,0
