id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason,stepA_keep
CHEMBL2413718_ACR0,CHEMBL2413718,chembl,C=CC(=O)N1CCN(CCNC(=O)c2cc3c4ccccc4n(C)c3c3cccnc23)CC1,AZABMJJELHSCJS-UHFFFAOYSA-N,Cn1c2ccccc2c2cc(C(=O)NCCN3CCNCC3)c3ncccc3c21,441.54,2.94,5,2.574,ok,0,1,0.2083,0.1782,56d,YL5084,0.7797,YL5084,O=C(NCCN1CCNCC1)c1cc2c3ccccc3[nH]c2c2cccnc12,,2,0.1913,0.1782,0.7797,0.193,0.17,0.7797,0.1574,0.1579,0.6533,0.2083,0.172,0.6134,novel,novel,,ok,,unsure
CHEMBL292795_ACR0,CHEMBL292795,chembl,C=CC(=O)NC(=N)c1ccc(NC(=O)c2ccc3c(c2)CCN(CC(=O)O)C3=O)cc1,XZKJFKBWNSROLI-UHFFFAOYSA-N,N=C(N)c1ccc(NC(=O)c2ccc3c(c2)CCN(CC(=O)O)C3=O)cc1,420.43,1.65,6,2.69,ok,0,1,0.2556,0.2118,56d,56d,0.7796,56d,O=C(Nc1ccccc1)c1ccc2c(c1)CCNC2=O,,0,0.1652,0.13,0.6271,0.177,0.1443,0.6271,0.1845,0.1954,0.7465,0.2556,0.2118,0.7796,novel,novel,,ok,,unsure
CHEMBL134172_ACR0,CHEMBL134172,chembl,C=CC(=O)NCCNC(=O)[C@H](Cc1ccccc1)NC(=O)CN1C(=O)CCSc2ccccc21,ZBDSDEJUEDRDSF-IBGZPJMESA-N,NCCNC(=O)[C@H](Cc1ccccc1)NC(=O)CN1C(=O)CCSc2ccccc21,480.59,1.66,10,2.936,ok,0,1,0.1939,0.1458,56d,56d,0.7796,56d,O=C(CN1C(=O)CCSc2ccccc21)NCCc1ccccc1,,0,0.1311,0.1321,0.6028,0.1322,0.1346,0.6028,0.125,0.1212,0.6741,0.1939,0.1458,0.7796,novel,novel,,ok,,unsure
CHEMBL172281_ACR0,CHEMBL172281,chembl,C=CC(=O)NC(=N)NC(=O)C1Cc2cc(C(=O)c3cccs3)c(Cl)c(Cl)c2O1,OPEUWIRMUNRANX-UHFFFAOYSA-N,N=C(N)NC(=O)C1Cc2cc(C(=O)c3cccs3)c(Cl)c(Cl)c2O1,438.29,2.94,4,3.731,ok,0,1,0.1616,0.1158,56d,56d,0.7796,56d,O=C(c1ccc2c(c1)CCO2)c1cccs1,,0,0.1057,0.1048,0.6583,0.0976,0.1068,0.6583,0.0973,0.1031,0.6839,0.1616,0.1158,0.7796,novel,novel,,ok,,unsure
CHEMBL4172848_ACR0,CHEMBL4172848,chembl,C=CC(=O)N1CCO[C@H](C(=O)N[C@H]2c3ccccc3C[C@@H]2NC(=O)c2ccc3c(ccn3C)c2)C1,CIVJQUXUSYJSCG-RSEQLOHWSA-N,Cn1ccc2cc(C(=O)N[C@H]3Cc4ccccc4[C@@H]3NC(=O)[C@@H]3CNCCO3)ccc21,472.55,2.1,5,3.782,ok,0,1,0.1967,0.1869,YL2056,YL5084,0.7795,56d,O=C(N[C@H]1Cc2ccccc2[C@@H]1NC(=O)[C@@H]1CNCCO1)c1ccc2[nH]ccc2c1,,0,0.1951,0.1869,0.7326,0.1967,0.1682,0.7326,0.125,0.1346,0.7361,0.1887,0.1584,0.7795,novel,novel,,ok,,unsure
CHEMBL122926_ACR0,CHEMBL122926,chembl,C=CC(=O)N(C)CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,SFWASUVGUXANRT-UHFFFAOYSA-N,CNCC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,452.51,0.72,8,2.246,ok,0,1,0.1562,0.15,JNK-IN-8,JNK-IN-8,0.7793,JNK-IN-8,O=S(=O)(Nc1ccccc1)c1ccccc1,,0,0.1495,0.0978,0.6416,0.1509,0.0879,0.6416,0.1562,0.15,0.7793,0.1461,0.1235,0.7385,novel,novel,,ok,,unsure
CHEMBL121782_ACR0,CHEMBL121782,chembl,C=CC(=O)N(C)CC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(S(N)(=O)=O)c2)cc1,WIALJGQXESFQDZ-UHFFFAOYSA-N,CNCC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(S(N)(=O)=O)c2)cc1,452.51,0.72,8,2.292,ok,0,1,0.1939,0.1807,JNK-IN-8,JNK-IN-8,0.7793,JNK-IN-8,O=S(=O)(Nc1ccccc1)c1ccccc1,,0,0.1518,0.1031,0.6416,0.1532,0.0938,0.6416,0.1939,0.1807,0.7793,0.1868,0.1687,0.7385,novel,novel,,ok,,unsure
CHEMBL3422670_ACR0,CHEMBL3422670,chembl,C=CC(=O)N1CCC[C@H]1C(=O)Nc1ccc(Oc2ccc3c(c2)c(C#N)cn3CC(=O)NC)cc1,GHIFIRQVASPVBX-QHCPKHFHSA-N,CNC(=O)Cn1cc(C#N)c2cc(Oc3ccc(NC(=O)[C@@H]4CCCN4)cc3)ccc21,471.52,3.17,7,3.091,ok,0,1,0.1792,0.1485,56d,56d,0.7793,YL5084,O=C(Nc1ccc(Oc2ccc3[nH]ccc3c2)cc1)[C@@H]1CCCN1,,0,0.1406,0.115,0.7793,0.1694,0.1171,0.7793,0.1167,0.1143,0.7743,0.1792,0.1485,0.7209,novel,novel,,ok,,unsure
CHEMBL64586_ACR0,CHEMBL64586,chembl,C=CC(=O)N[C@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O,ZQKNLFSKRIAHAK-QPPBQGQZSA-N,Cc1cc(COc2ccc(N3CC[C@H]([C@H](N)C(=O)NO)C3=O)cc2)c2ccccc2n1,474.52,2.65,8,3.516,ok,0,1,0.2255,0.2105,56d,56d,0.7792,56d,O=C1CCCN1c1ccc(OCc2ccnc3ccccc23)cc1,,2,0.168,0.1905,0.7282,0.1789,0.1942,0.7282,0.1453,0.16,0.7624,0.2255,0.2105,0.7792,novel,novel,,ok,,unsure
CHEMBL2381247_ACR0,CHEMBL2381247,chembl,C=CC(=O)N1CCN(c2ccccc2NC(=O)c2csc(-n3nnc4ccccc43)n2)CC1,WAKUFFQHIHEYSU-UHFFFAOYSA-N,O=C(Nc1ccccc1N1CCNCC1)c1csc(-n2nnc3ccccc32)n1,459.54,2.96,5,2.573,ok,0,1,0.2083,0.1848,56d,56d,0.7792,YL5084,O=C(Nc1ccccc1N1CCNCC1)c1csc(-n2nnc3ccccc32)n1,,0,0.1709,0.1667,0.7792,0.1826,0.1818,0.7792,0.1261,0.1458,0.7341,0.2083,0.1848,0.6306,novel,novel,,ok,,unsure
