channel,pair,label_rule,bootstrap,n_dual,n_A_only,n_B_only,n_neither,n_scored_both_ends,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,summary_min,ci_lo,ci_hi,n_boot_ok,D_vs_neither_mean,D_vs_neither_ci_lo,D_vs_neither_ci_hi,note
vina_fiveseed_per_ligand_median,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6211,0.4492,0.4492,0.2991,0.5867,2000,0.5446,0.3594,0.7412,per-ligand median of five Vina seeds; not a Table 2 replacement; primary remains 20260727
rtm_best9,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,12,107,0.6079,0.5907,0.5907,0.4295,0.6874,2000,0.7608,0.5995,0.8898,RTMScore model1 best-of-9 on production Vina poses; higher is better; not an engine bake-off
rtm_best9,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.624,0.6099,0.6099,0.449,0.7096,2000,0.7005,0.5207,0.8641,RTMScore model1 best-of-9 on production Vina poses; higher is better; not an engine bake-off
rtm_best9,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6533,0.8125,0.6533,0.5109,0.7857,2000,0.6853,0.5246,0.8371,RTMScore model1 best-of-9 on production Vina poses; higher is better; not an engine bake-off
rtm_best9,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,31,32,14,109,0.4405,0.3691,0.3691,0.233,0.4753,2000,0.817,0.6517,0.9509,RTMScore model1 best-of-9 on production Vina poses; higher is better; not an engine bake-off
rtm_best9,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6504,0.5625,0.5625,0.4113,0.6847,2000,0.7812,0.6138,0.9152,RTMScore model1 best-of-9 on production Vina poses; higher is better; not an engine bake-off
gnina_cnn_affinity,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,12,107,0.5968,0.5756,0.5756,0.4182,0.6887,2000,0.7688,0.6048,0.8952,"PRIMARY CNN readout (pK-like). Joined by ligand ID, not pair_hint."
gnina_cnn_affinity,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.7732,0.499,0.499,0.3463,0.6471,2000,0.7696,0.6013,0.9147,"PRIMARY CNN readout (pK-like). Joined by ligand ID, not pair_hint."
gnina_cnn_affinity,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5801,0.6943,0.5801,0.4393,0.7049,2000,0.6027,0.404,0.7858,"PRIMARY CNN readout (pK-like). Joined by ligand ID, not pair_hint."
gnina_cnn_affinity,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,31,32,14,109,0.5,0.5947,0.5,0.3559,0.6229,2000,0.8839,0.779,0.9643,"PRIMARY CNN readout (pK-like). Joined by ligand ID, not pair_hint."
gnina_cnn_affinity,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6494,0.5947,0.5947,0.4507,0.7024,2000,0.7835,0.6384,0.9062,"PRIMARY CNN readout (pK-like). Joined by ligand ID, not pair_hint."
gnina_cnn_score,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,12,107,0.6724,0.628,0.628,0.4695,0.7343,2000,0.7016,0.5242,0.8629,SENSITIVITY only. Do not replace cnn_affinity because one pair looks better.
gnina_cnn_score,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.7329,0.6694,0.6694,0.5245,0.7723,2000,0.4608,0.2626,0.6498,SENSITIVITY only. Do not replace cnn_affinity because one pair looks better.
gnina_cnn_score,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5996,0.75,0.5996,0.4577,0.7374,2000,0.4844,0.317,0.6675,SENSITIVITY only. Do not replace cnn_affinity because one pair looks better.
