channel,pair,n_dual,n_A_only,n_B_only,n_boot_ok,matched_D_vs_A,matched_D_vs_B,matched_summary_min,matched_ci_lo,matched_ci_hi,wrong_D_vs_A,wrong_D_vs_B,wrong_summary_min,wrong_ci_lo,wrong_ci_hi,delta_matched_minus_wrong,delta_ci_lo,delta_ci_hi,ci_excludes_zero
rtm_best9,JAK1/JAK2,32,32,32,2000,0.6533,0.8125,0.6533,0.5176,0.7853,0.7373,0.582,0.582,0.4294,0.7283,0.0713,-0.081,0.2289,False
rtm_best9,PPARG/PPARA,32,31,32,2000,0.4405,0.3691,0.3691,0.2286,0.4742,0.5141,0.4434,0.4434,0.2954,0.5473,-0.0743,-0.2212,0.0818,False
rtm_best9,PPARA/PPARD,32,32,32,2000,0.6504,0.5625,0.5625,0.4138,0.6835,0.6426,0.4219,0.4219,0.2831,0.5606,0.1406,-0.0284,0.2818,False
gnina_cnn_affinity,F2/F10,31,32,32,2000,0.5968,0.5756,0.5756,0.4206,0.7026,0.5202,0.4496,0.4496,0.3062,0.5866,0.126,0.0294,0.2142,True
gnina_cnn_affinity,JAK1/TYK2,31,32,32,2000,0.7732,0.499,0.499,0.3552,0.6538,0.6966,0.4829,0.4829,0.3346,0.6316,0.0161,-0.1447,0.1709,False
gnina_cnn_affinity,JAK1/JAK2,32,32,32,2000,0.5801,0.6943,0.5801,0.4299,0.7086,0.5889,0.5498,0.5498,0.3893,0.6648,0.0303,-0.0656,0.1702,False
gnina_cnn_affinity,PPARG/PPARA,32,31,32,2000,0.5,0.5947,0.5,0.3475,0.629,0.5938,0.5127,0.5127,0.3615,0.6265,-0.0127,-0.1439,0.1275,False
gnina_cnn_affinity,PPARA/PPARD,32,32,32,2000,0.6494,0.5947,0.5947,0.4459,0.7034,0.6318,0.5732,0.5732,0.4231,0.6929,0.0215,-0.0893,0.1267,False
gnina_cnn_score,F2/F10,31,32,32,2000,0.6724,0.628,0.628,0.4734,0.7353,0.4879,0.5151,0.4879,0.3316,0.6019,0.1401,0.0596,0.2457,True
gnina_cnn_score,JAK1/TYK2,31,32,32,2000,0.7329,0.6694,0.6694,0.5123,0.7771,0.6381,0.5171,0.5171,0.3739,0.6452,0.1523,-0.012,0.2969,False
gnina_cnn_score,JAK1/JAK2,32,32,32,2000,0.5996,0.75,0.5996,0.4534,0.7399,0.6562,0.5029,0.5029,0.3654,0.647,0.0967,-0.0316,0.2284,False
gnina_cnn_score,PPARG/PPARA,32,31,32,2000,0.4395,0.3965,0.3965,0.2552,0.489,0.4869,0.3486,0.3486,0.2246,0.4755,0.0479,-0.1271,0.172,False
gnina_cnn_score,PPARA/PPARD,32,32,32,2000,0.624,0.5635,0.5635,0.4177,0.668,0.6025,0.6426,0.6025,0.4497,0.6962,-0.039,-0.1581,0.0898,False
gnina_independent_jak1_tyk2,JAK1/TYK2,30,32,29,2000,0.6594,0.3172,0.3172,0.1827,0.4591,0.5115,0.4,0.4,0.2533,0.5341,-0.0828,-0.1964,0.0455,False
holdout_vina_20260727,F2/F10,19,20,20,2000,0.3921,0.5513,0.3921,0.2219,0.5723,0.6987,0.4711,0.4711,0.2847,0.6696,-0.079,-0.2508,0.0752,False
holdout_vina_20260727,JAK1/TYK2,20,20,20,2000,0.6438,0.475,0.475,0.2842,0.6498,0.65,0.45,0.45,0.2626,0.6306,0.025,-0.0871,0.1333,False
holdout_vina_20260727,JAK1/JAK2,20,20,18,2000,0.6525,0.6194,0.6194,0.4147,0.75,0.6288,0.6111,0.6111,0.4013,0.7367,0.0083,-0.0725,0.1114,False
holdout_vina_20260727,PPARG/PPARA,20,19,20,2000,0.7026,0.535,0.535,0.3529,0.709,0.5289,0.7037,0.5289,0.3355,0.7037,0.0061,-0.1678,0.1831,False
holdout_vina_20260727,PPARA/PPARD,20,20,20,2000,0.445,0.4575,0.445,0.2305,0.5569,0.295,0.3862,0.295,0.1331,0.4309,0.15,-0.0557,0.294,False
