repurposing_id,canonical_smiles,dock_score,docking_status,pdb_id,docking_engine,pose_file,log_file
REP_08052,Cc1cnc(NC2CCOCC2)nc1-n1cnc(C(=O)N[C@H](CN)c2cc(F)cc(Cl)c2)c1,-6.284,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08052_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08052_out.log
REP_04969,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,-5.941,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04969_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04969_out.log
REP_04971,CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,-6.598,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04971_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04971_out.log
REP_05029,O=C(CNC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(C(F)(F)F)c3)(C(F)(F)F)C2)c2ccccc12)NCC(F)(F)F,-6.872,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05029_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05029_out.log
REP_05024,CCOC(=O)CC(O)CC(O)/C=C/C1=C(c2ccc(F)cc2)c2ccccc2OC12CCCC2,-6.209,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05024_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05024_out.log
REP_05067,C=CC[C@H]1C(=O)C(C)(C)[C@@H](O)CC(=O)O[C@H](c2ccc3sc(C)nc3c2)C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@@H]1O,-7.233,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05067_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05067_out.log
REP_08106,CCOCc1nc(O)c(-c2nnc(Cc3ccc(Cl)cn3)o2)c(O)c1-c1c(OC)cccc1OC,-6.178,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08106_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08106_out.log
REP_01049,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,-7.071,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01049_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01049_out.log
REP_05095,Cc1cc(C2=NOC(c3cc(Cl)cc(Cl)c3)(C(F)(F)F)C2)ccc1C(=O)NCC(=O)NCC(F)(F)F,-7.296,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05095_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05095_out.log
REP_08033,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCOCC3)ccn2)ccn1,-6.656,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08033_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08033_out.log
