ligand_id,old_panel,new_panel,class,reason_selected,scaffold_id,source_document,old_panel_id,new_panel_id
CHEMBL3960861,no,yes,A_only,added: selected after removing ChEMBL-ID prefix cap,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,,,AB_056
CHEMBL3972214,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CN2CCC(CCNCc3ccc4ccccc4n3)CC2)cc1,,AB_084,AB_084
CHEMBL3985059,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,,AB_029,AB_029
CHEMBL4072478,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,S=C(NCCCCCCCNc1c2c(nc3ccccc13)CCCC2)NC12CC3CC(CC(C3)C1)C2,,AB_083,AB_083
CHEMBL4079345,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CNc2ncnc3ccccc23)cc1,,AB_088,AB_088
CHEMBL4084714,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(/C=C/c1ccccc1)Nc1ccccc1,,AB_092,AB_092
CHEMBL4085222,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(/C=C/c1ccc(OCCCCN2CCc3ccccc3C2)cc1)N1CCC(Cc2ccccc2)CC1,,AB_068,AB_068
CHEMBL4101703,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(/C=C/c1ccc(OCCN2CCCC2)cc1)Nc1ccccc1,,AB_096,AB_096
CHEMBL4101886,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CNc2c3c(nc4ccccc24)CCCC3)nc1,,AB_076,AB_076
CHEMBL4207101,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CNCc1ccccc1)Nc1ccc2nc3n(c(=O)c2c1)CCC3,,AB_023,AB_023
CHEMBL4212275,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=c1c2ccccc2nc2n1CCC2,,AB_012,AB_012
CHEMBL4277879,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(Cc1c[nH]c2ccccc12)NCCC1CCN(Cc2ccccc2)CC1,,AB_079,AB_079
CHEMBL4283450,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,,AB_033,AB_033
CHEMBL4292477,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,,AB_047,AB_047
CHEMBL4464883,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc2[nH]c(Cc3ccccc3)nc2c1,,AB_002,AB_002
CHEMBL4535585,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CNc2c3c(nc4ccccc24)CCCC3)cc1,,AB_021,AB_021
CHEMBL4640945,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(O[C@@H]1C[N@@]2Cc3cc4c(cc3[C@@]13C=CCC[C@H]23)OCO4)c1ccccc1,,AB_066,AB_066
CHEMBL4749805,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=S(=O)(c1ccccc1)N1CCN(c2nccc(-c3ccccc3)n2)CC1,,AB_010,AB_010
CHEMBL4761179,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(/C=C/c1ccccc1)N1CCC(Cc2ccccc2)CC1,,AB_094,AB_094
CHEMBL4781117,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,,AB_011,AB_011
CHEMBL4787165,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(/C=C/c1ccccc1)N1CCC(Cc2ccccc2)CC1,,AB_091,AB_091
CHEMBL4788885,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(-[n+]2ccc3ccccc3c2)cc1,,AB_100,AB_100
CHEMBL4792013,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(/C=C/c1ccccc1)N1CCC(Cc2ccccc2)CC1,,AB_089,AB_089
CHEMBL4792208,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(Nc1ccccc1)OCC1CCCN(Cc2ccccc2)C1,,AB_080,AB_080
CHEMBL4796574,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=c1c(-c2ccc(OCCCCN3CCC(Cc4ccccc4)CC3)cc2)coc2cc(OCCCCN3CCC(Cc4ccccc4)CC3)ccc12,,AB_097,AB_097
CHEMBL4866930,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCCCCCCCNc1c2c(nc3ccccc13)CC1C=CCC2C1)c1ccc[nH]c1=O,,AB_014,AB_014
CHEMBL4874487,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(c1ccccc1)c1c(C2CCN(Cc3ccccc3)CC2)oc2ccccc12,,AB_093,AB_093
CHEMBL497755,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CNCCCCCCCOc2ccc(-c3cc4ccccc4o3)cc2)cc1,,AB_075,AB_075
CHEMBL5170719,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCCCCN1CCc2ccccc2C1)Oc1ccc(Cc2nc3ccccc3[nH]2)cc1,,AB_071,AB_071
CHEMBL5178828,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CN2CCC(CCNCCCc3c[nH]c4ccccc34)CC2)cc1,,AB_070,AB_070
CHEMBL5184276,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc2c(CCC[NH2+]CCC3CCCCCC3)c[nH]c2c1,,AB_074,AB_074
