name,canonical_smiles,max_phase,s_u_percentile,s_n_percentile,pareto_front,nn_tanimoto_urat1_active,nn_tanimoto_nlrp3_active,novel_vs_urat1_tc_lt_0.4,novel_vs_nlrp3_tc_lt_0.4
RINETERKIB,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,1.0,99.2419021364576,91.38525155065471,False,0.204,0.204,True,True
EPIGALOCATECHIN GALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,3.0,99.17298414886284,99.72432804962096,True,0.217,0.172,True,True
REMIKIREN,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,2.0,99.1040661612681,24.01791867677464,False,0.212,0.177,True,True
PF-03758309,Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1,1.0,99.03514817367332,50.137835975189525,False,0.278,0.204,True,True
MK-6592,Cc1cc(Nc2cc(N3CC(F)(C4CC4)C3)nc(O[C@H]3CCN(C(=O)c4cc(Cl)ccc4F)C3)n2)n[nH]1,1.0,98.96623018607856,91.38525155065471,False,0.205,0.221,True,True
DRAFLAZINE,NC(=O)C1CN(CCCCC(c2ccc(F)cc2)c2ccc(F)cc2)CCN1CC(=O)Nc1c(Cl)cc(N)cc1Cl,2.0,98.8973121984838,91.38525155065471,False,0.19,0.2,True,True
NACRESERTIB,COc1cc2nn([C@H]3CC[C@](C)(O)CC3)cc2cc1NC(=O)c1cccc(C)[n+]1[O-],2.0,98.82839421088904,51.20606478290834,False,0.269,0.208,True,True
CINTIRORGON,CC(C)(C[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1)C(=O)O,1.0,98.75947622329429,56.85733976567884,False,0.225,0.227,True,True
FOSIGOTIFATOR,O=C(COc1ccc(Cl)c(F)c1)NC12CCC(NC(=O)COc3ccc(Cl)c(F)c3)(CC1)[C@@H](OCOP(=O)(O)O)C2,2.0,98.69055823569953,99.79324603721572,True,0.256,0.187,True,True
TELAGLENASTAT,O=C(Cc1cccc(OC(F)(F)F)c1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccccn3)s2)nn1,2.0,98.62164024810475,88.28394210889043,False,0.253,0.202,True,True
ETALOCIB,CCCc1c(OCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O,2.0,98.55272226051,50.137835975189525,False,0.274,0.267,True,True
NALDEMEDINE,CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1)c1nc(-c2ccccc2)no1,4.0,98.48380427291524,50.137835975189525,False,0.186,0.174,True,True
TAMNORZATINIB,COc1cc2nccc(Oc3ccc(NC(=O)c4cc5c(n(-c6ccccc6)c4=O)CCCC5=O)nc3)c2cc1OC,2.0,98.41488628532046,75.63749138525155,False,0.27,0.215,True,True
BEMFIVASTATIN,CC(C)c1c(C(=O)Nc2ccc(CO)cc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,2.0,98.3459682977257,76.36113025499655,False,0.234,0.204,True,True
CROZBACICLIB,CC1=Nc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc2C12CCCC2,2.0,98.27705031013096,75.63749138525155,False,0.191,0.217,True,True
IOPRONIC ACID,CCC(COCCOc1c(I)cc(I)c(NC(C)=O)c1I)C(=O)O,2.0,98.20813232253616,50.24121295658166,False,0.192,0.226,True,True
TREPROSTINIL PHOSPHATE,CCCCC[C@@H](CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1OP(=O)(O)O)OP(=O)(O)O,1.0,98.1392143349414,97.7946243969676,False,0.194,0.177,True,True
CANAGLIFLOZIN,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,4.0,98.07029634734666,94.00413507925568,False,0.226,0.202,True,True
NARMAFOTINIB,COc1cc(C2CCN(C)CC2)ccc1Nc1ncc(C(F)(F)F)c(CCc2ccccc2CC(N)=O)n1,2.0,98.0013783597519,70.70985527222605,False,0.273,0.226,True,True
HEPRONICATE,CCCCCCC(COC(=O)c1cccnc1)(COC(=O)c1cccnc1)COC(=O)c1cccnc1,2.0,97.93246037215714,85.9407305306685,False,0.218,0.237,True,True
MIOFLAZINE,NC(=O)C1CN(CC(=O)Nc2c(Cl)cccc2Cl)CCN1CCCC(c1ccc(F)cc1)c1ccc(F)cc1,2.0,97.86354238456238,47.27773949000689,False,0.214,0.25,True,True
ALVOCIDIB,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,3.0,97.7946243969676,87.45692625775328,False,0.211,0.247,True,True
BUDIODARONE,CC[C@H](C)OC(=O)Cc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,2.0,97.72570640937283,85.80289455547899,False,0.368,0.175,True,True
ASCORBYL GAMOLENATE,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,2.0,97.65678842177807,93.86629910406616,False,0.183,0.179,True,True
BERVASTATIN,CCOC(=O)CC(O)CC(O)/C=C/C1=C(c2ccc(F)cc2)c2ccccc2OC12CCCC2,2.0,97.58787043418332,91.38525155065471,False,0.209,0.224,True,True
PROSCILLARIDIN,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,2.0,97.51895244658856,87.66368022053757,False,0.137,0.168,True,True
CANLITINIB,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCCCC(=O)O,2.0,97.4500344589938,50.137835975189525,False,0.303,0.204,True,True
INIXACICLIB,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc21,2.0,97.38111647139904,50.137835975189525,False,0.175,0.202,True,True
IFEBEMTINIB,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc1ncc(C(F)(F)F)c(Oc2cccc3c2C(=O)N(C)C3)n1,2.0,97.31219848380428,50.137835975189525,False,0.23,0.228,True,True
VIDUPIPRANT,CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,2.0,97.24328049620952,78.842177808408,False,0.286,0.224,True,True
MERIGOLIX,O=C(O)CCCN[C@@H](Cn1c(=O)c2c(n(Cc3c(F)cccc3C(F)(F)F)c1=O)COC21CCN(Cc2ccc(C(F)(F)F)o2)CC1)c1ccccc1,2.0,97.17436250861476,75.63749138525155,False,0.198,0.168,True,True
PF-06952229,CC(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC(CO)CO,1.0,97.10544452102,94.5554789800138,False,0.244,0.228,True,True
VERCIRNON SODIUM,CC(C)(C)c1ccc(S(=O)(=O)[N-]c2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,3.0,97.03652653342525,91.17849758787044,False,0.262,0.2,True,True
M4344,Nc1nn2cc(F)cnc2c1C(=O)Nc1cncc(F)c1N1CCC(C(=O)N2CCN(C3COC3)CC2)CC1,1.0,96.96760854583046,91.38525155065471,False,0.173,0.206,True,True
FOSRAVUCONAZOLE,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F,2.0,96.8986905582357,99.93108201240524,True,0.253,0.214,True,True
OPIGOLIX,C[C@@H](O)C(=N)NS(=O)(=O)c1cc(C(=O)C(C(=O)c2cc(F)ccc2F)=C2Nc3ccccc3N2)ccc1F,2.0,96.82977257064094,89.80013783597519,False,0.23,0.217,True,True
KIO-100,O=C(Nc1c(F)c(F)c(-c2cccc(OC(F)(F)F)c2)c(F)c1F)c1ccsc1C(=O)O,1.0,96.76085458304615,64.16264645072364,False,0.275,0.292,True,True
BMS-986094,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(N[C@@H](C)C(=O)OCC(C)(C)C)Oc2cccc3ccccc23)[C@@H](O)[C@@]1(C)O,2.0,96.6919365954514,98.07029634734666,False,0.2,0.17,True,True
BEFETUPITANT,Cc1ccccc1-c1cc(N2CCOCC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.0,96.62301860785664,16.953824948311514,False,0.23,0.284,True,True
VERLUKAST,CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,2.0,96.55410062026188,96.48518263266712,False,0.224,0.182,True,True
FASIGLIFAM,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,3.0,96.48518263266712,50.137835975189525,False,0.256,0.26,True,True
SELETALISIB,[O-][n+]1cccc(-c2nc3c(Cl)cccc3cc2[C@@H](Nc2ncnc3cccnc23)C(F)(F)F)c1,2.0,96.41626464507236,80.63404548587181,False,0.188,0.176,True,True
GDC-0917,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1sc(-c2ncco2)nc1-c1ccccc1)C1CCCCC1,1.0,96.3473466574776,91.38525155065471,False,0.209,0.204,True,True
ANIZATRECTINIB,COCCN1C[C@@H](NC(=O)Nc2c(C)c(-c3cnc(C)nc3)nn2-c2ccccc2)[C@H](c2cccc(F)c2)C1,2.0,96.27842866988284,50.137835975189525,False,0.25,0.222,True,True
TARANABANT,C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,3.0,96.20951068228808,91.38525155065471,False,0.253,0.231,True,True
IFETROBAN SODIUM,CCCCCNC(=O)c1coc([C@H]2[C@@H](Cc3ccccc3CCC(=O)[O-])[C@@H]3CC[C@H]2O3)n1,2.0,96.14059269469332,85.42384562370778,False,0.213,0.222,True,True
RUNCACIGUAT,C[C@H]([C@H](C(=O)Nc1cc([C@@H](CC(=O)O)C2CC2)ccc1Cl)c1ccc(Cl)cc1)C(F)(F)F,2.0,96.07167470709857,50.137835975189525,False,0.212,0.196,True,True
ROCILETINIB,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,3.0,96.0027567195038,50.137835975189525,False,0.245,0.245,True,True
DORZAGLIATIN,CC(C)C[C@@H](C(=O)Nc1ccn(C[C@@H](O)CO)n1)N1CC(Oc2ccccc2Cl)=CC1=O,3.0,95.93383873190902,91.38525155065471,False,0.211,0.198,True,True
VLX-1005,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccccc4s3)cc2)c1O,2.0,95.86492074431426,93.4527911784976,False,0.277,0.22,True,True
MITOPODOZIDE,CCNNC(=O)[C@@H]1[C@H](c2cc(OC)c(OC)c(OC)c2)c2cc3c(cc2[C@H](O)[C@H]1CO)OCO3,2.0,95.7960027567195,87.25017229496899,False,0.203,0.175,True,True
TOCOFENOXATE,Cc1c(C)c2c(c(C)c1OC(=O)COc1ccc(Cl)cc1)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,2.0,95.72708476912474,14.266023432115782,False,0.222,0.189,True,True
MK-3577,CCC[C@H](c1ccc(C(=O)NCCC(=O)O)cc1)[C@H](c1ccc(Cl)cc1)c1c[nH]c2c(F)cc(C)cc12,2.0,95.65816678153,50.137835975189525,False,0.231,0.194,True,True
GW-695634,CCC(=O)NS(=O)(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(Cl)cc(C#N)c2)c(C)c1,1.0,95.58924879393524,95.38249483115094,False,0.311,0.233,True,True
BRECANAVIR,Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,2.0,95.52033080634044,45.89937973811165,False,0.168,0.173,True,True
COH-29,O=C(Nc1nc(-c2ccc(O)c(O)c2)c(-c2ccccc2)s1)c1ccc(O)c(O)c1,1.0,95.4514128187457,96.55410062026188,False,0.274,0.198,True,True
BI 653048,CCS(=O)(=O)c1cc2cc(C[C@](O)(CC(C)(C)c3ccc(F)cc3C(N)=O)C(F)(F)F)[nH]c2cn1,1.0,95.38249483115094,66.71261199172984,False,0.205,0.202,True,True
TIANEPTINE,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,3.0,95.31357684355616,40.66161268090972,False,0.262,0.278,True,True
TUBULOZOLE,CCOC(=O)Nc1ccc(SCC2COC(Cn3ccnc3)(c3ccc(Cl)cc3Cl)O2)cc1,2.0,95.2446588559614,80.289455547898,False,0.2,0.259,True,True
DAGLUTRIL,CCOC(=O)[C@H](CCCc1ccccc1)C1(C(=O)N[C@H]2CCc3ccccc3N(CC(=O)O)C2=O)CCCC1,2.0,95.17574086836665,75.63749138525155,False,0.23,0.234,True,True
BIMATOPROST GRENOD,CCNC(=O)CCC/C=C/C[C@@H]1[C@@H](/C=C/[C@H](CCc2ccccc2)OC(=O)CCCCCO[N+](=O)[O-])[C@H](O)C[C@@H]1O,3.0,95.10682288077189,75.63749138525155,False,0.155,0.151,True,True
TP-1287,CN1CC[C@H](c2c(OP(=O)(O)O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,1.0,95.03790489317711,50.137835975189525,False,0.2,0.222,True,True
TIGILANOL TIGLATE,C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@H]([C@@H]3C(C)(C)[C@]13OC(=O)[C@@H](C)CC)[C@@H]1O[C@]1(CO)[C@@H](O)[C@]1(O)C(=O)C(C)=C[C@H]12,2.0,94.96898690558236,19.77946243969676,False,0.133,0.141,True,True
VS-4718,CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F,1.0,94.9000689179876,66.2301860785665,False,0.266,0.263,True,True
TIPELUKAST,CCCc1c(SCCCOc2ccc(C(C)=O)c(OCCCC(=O)O)c2CCC)ccc(C(C)=O)c1O,2.0,94.83115093039282,77.32598208132322,False,0.247,0.153,True,True
H3B-6545 FREE BASE,CN(C)C(=O)/C=C/CNCCOc1ccc(/C(=C(/CC(F)(F)F)c2ccccc2)c2ccc3[nH]nc(F)c3c2)cn1,1.0,94.76223294279808,50.137835975189525,False,0.21,0.231,True,True
RICOLINOSTAT,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,2.0,94.6933149552033,75.63749138525155,False,0.236,0.202,True,True
CANDOXATRIL,COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,2.0,94.62439696760856,60.78566505858029,False,0.244,0.252,True,True
AM-211,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)NCc1ccccc1,1.0,94.5554789800138,50.137835975189525,False,0.292,0.263,True,True
ALTIRATINIB,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1,2.0,94.48656099241902,99.4486560992419,False,0.264,0.202,True,True
STX-478,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12,1.0,94.41764300482426,91.38525155065471,False,0.212,0.213,True,True
CULMERCICLIB,CC(C)c1c2cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)ccc2nn1C,2.0,94.3487250172295,50.137835975189525,False,0.198,0.217,True,True
AZD-9898,COc1nc(N(CC(C)(C)F)c2cc(Cl)c(F)cc2F)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O,1.0,94.27980702963474,51.48173673328738,False,0.208,0.206,True,True
SUSALIMOD,Cc1cccnc1NS(=O)(=O)c1ccc(C#Cc2ccc(O)c(C(=O)O)c2)cc1,2.0,94.21088904203997,75.63749138525155,False,0.408,0.246,False,True
MAX-10181,Cc1c(C=Cc2cc(CNC(C)(CO)C(=O)O)ccc2C(F)(F)F)cccc1-c1ccc2c(c1)OCCO2,1.0,94.1419710544452,96.14059269469332,False,0.253,0.196,True,True
FLUMATINIB,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,3.0,94.07305306685043,27.56719503790489,False,0.231,0.216,True,True
EZATIOSTAT HYDROCHLORIDE,CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)OCC)c1ccccc1,2.0,94.00413507925568,44.45210199862164,False,0.207,0.25,True,True
ATUMELNANT,CCOc1ccccc1-c1ccc(N2CCN(C(=O)C3(C(F)(F)F)CCC3)C[C@H]2CC)c(C(=O)N[C@@H]2CN3CCC2CC3)n1,2.0,93.93521709166092,50.137835975189525,False,0.243,0.211,True,True
TEBITOREXANT,O=C(c1cccc(F)c1-c1ncccn1)N1C[C@H]2C[C@@H](Oc3ccc(C(F)(F)F)cn3)[C@@H]1C2,2.0,93.86629910406616,75.32736044107511,False,0.237,0.232,True,True
DELOXOLONE,CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@]2(C)C3=CC[C@@H]4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,2.0,93.7973811164714,54.51412818745693,False,0.161,0.172,True,True
VAMOTINIB,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nnc2ccccn12,2.0,93.72846312887664,50.137835975189525,False,0.237,0.216,True,True
CEMDOMESPIB,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc(CCNC(C)=O)c(-c3cccc(F)c3)c2)OC1(C)C,2.0,93.65954514128188,68.986905582357,False,0.26,0.274,True,True
AFOXOLANER,O=C(CNC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(C(F)(F)F)c3)(C(F)(F)F)C2)c2ccccc12)NCC(F)(F)F,2.0,93.59062715368712,91.38525155065471,False,0.213,0.212,True,True
CR-3465 FREE ACID,O=C(N[C@@H](Cc1ccc(OCc2ccc3ccc(F)cc3n2)cc1)C(=O)O)c1ccc2ccccc2n1,1.0,93.52170916609236,50.137835975189525,False,0.276,0.209,True,True
XL-418,Cc1c(NCCN2CCCC2)cc(C(=O)CCC(F)(F)F)cc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1,1.0,93.4527911784976,24.01791867677464,False,0.189,0.192,True,True
IOSUMETIC ACID,CCN(C(=O)CCC(=O)O)c1c(I)cc(I)c(NC)c1I,2.0,93.38387319090282,49.00068917987595,False,0.2,0.233,True,True
PF-05089771,Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,2.0,93.31495520330806,96.07167470709857,False,1.0,0.192,False,True
TOLAFENTRINE,COc1cc2c(cc1OC)[C@H]1CN(C)CC[C@H]1N=C2c1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,2.0,93.2460372157133,14.472777394900069,False,0.291,0.228,True,True
DIVARASIB,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c(F)c(-c4nc(N)cc(C)c4C(F)(F)F)c(Cl)cc23)[C@@H](C)C1,2.0,93.17711922811854,91.38525155065471,False,0.2,0.216,True,True
LECIMIBIDE,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,2.0,93.10820124052378,50.137835975189525,False,0.266,0.218,True,True
ETIBENDAZOLE,COC(=O)Nc1nc2ccc(C3(c4ccc(F)cc4)OCCO3)cc2[nH]1,2.0,93.039283252929,81.9434872501723,False,0.23,0.212,True,True
CMS-121,Oc1ccc(-c2cc(OC3CCCC3)c3ccccc3n2)cc1O,1.0,92.97036526533424,80.01378359751895,False,0.25,0.238,True,True
SEPETAPROST,CC(C)OC(=O)CCC[C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](O)COc3cc(F)ccc3F)[C@H](O)C[C@@H]2OC1,3.0,92.90144727773948,90.144727773949,False,0.174,0.186,True,True
SACIBERTINIB,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c(C#N)cnc2cc1O[C@H]1CCOC1,2.0,92.83252929014472,91.38525155065471,False,0.239,0.202,True,True
ANACETRAPIB,COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,3.0,92.76361130254996,75.63749138525155,False,0.194,0.245,True,True
QUEMLICLUSTAT,C[C@H](Nc1cc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1F,2.0,92.6946933149552,97.65678842177807,False,0.184,0.179,True,True
PEMRAMETOSTAT,CC(=O)N1CCC(Nc2cc(C(=O)NC[C@H](O)CN3CCc4ccccc4C3)ncn2)CC1,2.0,92.62577532736044,83.87319090282563,False,0.253,0.206,True,True
IFETROBAN,CCCCCNC(=O)c1coc([C@H]2[C@@H](Cc3ccccc3CCC(=O)O)[C@@H]3CC[C@H]2O3)n1,2.0,92.55685733976568,91.38525155065471,False,0.238,0.213,True,True
CI-988,C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(=O)NC[C@H](NC(=O)CCC(=O)O)c1ccccc1,1.0,92.48793935217093,50.137835975189525,False,0.184,0.154,True,True
SALAFIBRATE,CC(=O)Oc1ccccc1C(=O)OC(COC(=O)C(C)(C)Oc1ccc(Cl)cc1)COC(=O)C(C)(C)Oc1ccc(Cl)cc1,2.0,92.41902136457615,75.63749138525155,False,0.386,0.188,True,True
NELUTROCTIV,CS(=O)(=O)c1cncc(C(=O)N2[C@@H](C(=O)N[C@@H](c3cc(F)c(C(F)(F)F)cc3F)C3CC3)C[C@H]3C[C@H]32)c1,2.0,92.3501033769814,94.41764300482426,False,0.209,0.198,True,True
SALPROTOSIDE,CCCO[C@H]1[C@@H]([C@@H](COC(=O)c2ccccc2O)OC(=O)c2ccccc2O)OC(OCC)[C@@H]1O,2.0,92.28118538938664,95.4514128187457,False,0.178,0.192,True,True
NIKKOMYCIN,C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1,1.0,92.21226740179188,88.62853204686422,False,0.191,0.176,True,True
FOSTRIECIN,C[C@@](O)(/C=C/[C@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)\C=C/C=C\C=C\CO)OP(=O)(O)O,2.0,92.1433494141971,99.51757408683667,False,0.157,0.138,True,True
URSULCHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](OS(=O)(=O)O)C[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,2.0,92.07443142660236,91.38525155065471,False,0.128,0.138,True,True
SARACATINIB,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,3.0,92.0055134390076,58.85596140592695,False,0.167,0.196,True,True
MK-1064,COc1ccc(CNC(=O)c2cc(-c3cncc(Cl)c3)cnc2-c2ccccn2)nc1OC,1.0,91.9365954514128,75.63749138525155,False,0.289,0.204,True,True
FDL169,CCOc1ccc2c(-c3cccc(F)c3)nn(CC(=O)N(C)c3ccc4nc(C)oc4c3)c(=O)c2c1,1.0,91.86767746381804,50.137835975189525,False,0.286,0.293,True,True
PETRICHLORAL,OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.0,91.7987594762233,89.11095796002758,False,0.091,0.085,True,True
RX-518,C=CC(=O)Nc1cccc(-c2cccc3cnc(Nc4ccc(N5CCN(CCO)CC5)c(F)c4F)nc23)c1,2.0,91.72984148862852,50.137835975189525,False,0.202,0.217,True,True
