set,pc1,pc2,name
urat1_active,-0.6049,-0.5072,
urat1_active,4.815,-0.2738,
urat1_active,-1.0997,-0.9685,
urat1_active,-1.0987,-1.0945,
urat1_active,-1.0937,-1.2041,
urat1_active,-0.6293,-1.1385,
urat1_active,-0.4858,-1.4444,
urat1_active,-0.1929,-1.3161,
urat1_active,-0.8553,-1.4198,
urat1_active,-0.8897,-1.4977,
urat1_active,-0.5981,-1.3363,
urat1_active,-0.8847,-1.6074,
urat1_active,-0.9146,-1.6776,
urat1_active,-0.4828,-0.4226,
urat1_active,-0.4578,-0.2931,
urat1_active,-0.9681,-0.2423,
urat1_active,-0.9504,-0.2693,
urat1_active,-0.8882,-0.2229,
urat1_active,-0.52,-0.4495,
urat1_active,-0.4819,-0.4237,
urat1_active,-0.9429,-0.23,
urat1_active,-0.8807,-0.1836,
urat1_active,-0.5058,-0.4121,
urat1_active,-0.4677,-0.3864,
urat1_active,-0.9993,-0.8299,
urat1_active,-1.0906,-0.5805,
urat1_active,-0.9308,0.4027,
urat1_active,-1.0646,0.3441,
urat1_active,5.3405,0.11,
urat1_active,0.9511,-1.4489,
urat1_active,0.7682,-1.6424,
urat1_active,0.7967,-1.835,
urat1_active,0.7914,-1.8423,
urat1_active,0.7914,-1.8423,
urat1_active,0.7041,-1.9879,
urat1_active,0.7636,-1.9088,
urat1_active,0.8307,-1.8691,
urat1_active,0.811,-1.8584,
urat1_active,-0.8999,0.9506,
urat1_active,5.3236,0.1194,
urat1_active,-0.8075,-0.6656,
urat1_active,-0.6146,-0.7121,
urat1_active,-0.3475,-0.3825,
urat1_active,0.6164,-1.2763,
urat1_active,-0.4444,-0.5924,
urat1_active,-0.5729,-0.669,
urat1_active,5.1056,0.2186,
urat1_active,5.2755,0.0778,
urat1_active,-0.5146,-0.1358,
urat1_active,5.1043,0.1899,
urat1_active,0.4029,-0.6218,
urat1_active,-0.4807,0.7134,
urat1_active,-0.33,-0.2577,
urat1_active,-0.2095,-0.5028,
urat1_active,1.2673,-1.8942,
urat1_active,1.3634,-1.7091,
urat1_active,1.6592,-1.9219,
urat1_active,-0.237,-0.5167,
urat1_active,-0.2559,-0.6014,
urat1_active,5.1348,0.3105,
urat1_active,5.3214,0.2515,
urat1_active,5.2619,0.0536,
urat1_active,3.8827,-0.2663,
urat1_active,5.1172,0.2237,
urat1_active,5.1669,0.3263,
urat1_active,5.2554,0.2405,
urat1_active,5.4552,0.0914,
urat1_active,-0.6604,-1.0276,
urat1_active,-0.4534,-0.8735,
urat1_active,-0.0341,-1.4165,
urat1_active,1.1918,-0.0163,
urat1_active,-0.1522,-0.6926,
urat1_active,-0.2955,0.2385,
urat1_active,-0.6099,0.0524,
urat1_active,5.1748,0.4668,
urat1_active,5.0659,0.222,
urat1_active,0.1432,-0.7365,
urat1_active,5.4073,0.105,
urat1_active,5.2588,0.2409,
urat1_active,1.2467,0.218,
urat1_active,-0.0248,-0.302,
urat1_active,5.1551,0.452,
urat1_active,5.4312,0.0764,
urat1_active,5.1978,0.2681,
urat1_active,5.2534,0.2176,
urat1_active,5.4838,0.062,
urat1_active,5.2998,0.2339,
urat1_active,5.1829,0.2477,
urat1_active,1.5278,-1.4939,
urat1_active,1.9921,-1.6724,
urat1_active,0.8348,-1.3307,
urat1_active,-0.1359,-0.432,
urat1_active,-0.5223,-0.9596,
urat1_active,-0.4724,0.4553,
urat1_active,0.8808,-0.19,
urat1_active,4.9201,0.1864,
urat1_active,5.1328,-0.1922,
urat1_active,4.9864,-0.0211,
urat1_active,-0.4062,-1.1104,
urat1_active,-0.2535,-0.8862,
urat1_active,1.3445,-0.3287,
urat1_active,1.0785,-0.341,
urat1_active,5.0151,-0.0749,
urat1_active,2.5852,-0.0623,
urat1_active,4.1774,-0.1297,
urat1_active,1.3146,0.3198,
urat1_active,5.3762,0.0712,
urat1_active,0.1708,-1.0561,
urat1_active,0.9445,0.183,
urat1_active,-1.0255,-0.1971,
urat1_active,0.4319,0.0673,
urat1_active,1.684,-0.8336,
urat1_active,1.3057,-0.3398,
urat1_active,0.5483,0.1446,
urat1_active,0.9064,-0.2697,
urat1_active,0.5938,-0.1883,
urat1_active,1.1695,-0.3258,
urat1_active,0.2287,-0.6031,
urat1_active,-0.6697,-0.4102,
urat1_active,4.9427,-0.2055,
urat1_active,-0.4645,0.243,
urat1_active,-0.4092,-0.0893,
urat1_active,0.3724,-0.2571,
urat1_active,-0.4687,-0.0424,
urat1_active,-0.4886,-0.1183,
urat1_active,-0.8507,-0.1235,
urat1_active,-0.4001,0.0587,
urat1_active,0.675,-1.3659,
urat1_active,0.6283,-1.3946,
urat1_active,0.2332,-1.0067,
urat1_active,0.3879,-1.4351,
urat1_active,0.4331,-1.0713,
urat1_active,0.675,-1.3659,
urat1_active,0.6283,-1.3946,
urat1_active,0.2332,-1.0067,
urat1_active,0.3879,-1.4351,
urat1_active,0.4331,-1.0713,
urat1_active,-0.7451,0.3256,
urat1_active,0.2474,-0.8821,
urat1_active,5.0854,0.2163,
urat1_active,5.2243,0.0783,
urat1_active,-1.191,-0.2845,
urat1_active,-0.8288,-0.6252,
urat1_active,-1.1394,0.2147,
urat1_active,-0.4223,-0.5808,
urat1_active,-0.3982,-0.7361,
urat1_active,-0.6462,-0.7127,
urat1_active,-0.9606,-0.8988,
urat1_active,-0.6804,-0.3399,
urat1_active,-0.7072,-0.348,
urat1_active,-0.9982,-0.9752,
urat1_active,5.1109,0.2275,
urat1_active,5.1884,0.1924,
urat1_active,5.2725,0.1591,
urat1_active,5.1671,0.2806,
urat1_active,5.1829,0.2671,
urat1_active,5.0073,0.4294,
urat1_active,3.5021,0.4814,
urat1_active,5.0889,0.2633,
urat1_active,5.208,0.2793,
urat1_active,5.1053,0.4387,
urat1_active,5.2282,0.5182,
urat1_active,5.3207,0.2708,
urat1_active,5.1867,0.4376,
urat1_active,5.3857,0.2924,
urat1_active,5.2557,0.4182,
urat1_active,-0.0523,-0.7196,
urat1_active,0.6781,-0.7733,
urat1_active,-0.0646,-0.6496,
urat1_active,-0.8625,-0.8516,
urat1_active,-0.7496,0.747,
urat1_active,-0.9164,-0.7578,
urat1_active,-0.2282,-0.6276,
urat1_active,5.0397,0.4462,
urat1_active,-0.2537,-0.8114,
urat1_active,0.0422,-0.7399,
urat1_active,5.1462,0.3031,
urat1_active,5.2515,0.0903,
urat1_active,5.2061,0.2837,
urat1_active,5.103,0.2262,
urat1_active,5.1534,0.2919,
urat1_active,5.029,0.4301,
urat1_active,5.0217,0.431,
urat1_active,4.6945,0.1107,
urat1_active,0.9522,0.2488,
urat1_active,-0.4339,-0.2802,
urat1_active,-0.4481,-0.0779,
urat1_active,-0.3101,-0.2042,
urat1_active,-0.172,-0.1125,
urat1_active,5.1425,0.3529,
urat1_active,5.2301,0.0755,
urat1_active,5.1643,0.2628,
urat1_active,5.3642,0.3435,
urat1_active,-0.6085,0.0021,
urat1_active,-0.4069,-0.4614,
urat1_active,-0.548,-0.4091,
urat1_active,-0.8822,-0.9497,
urat1_active,-1.0436,-0.5249,
urat1_active,-1.2823,-0.562,
urat1_active,-1.2151,-0.1065,
urat1_active,-0.081,-0.6092,
urat1_active,-0.0399,-0.6328,
urat1_active,-0.2169,-0.6178,
urat1_active,-1.1707,-0.753,
urat1_active,-1.1692,-0.9331,
urat1_active,-1.0567,-0.93,
urat1_active,-1.0517,-1.0396,
urat1_active,-0.8562,-1.1703,
urat1_active,-1.1624,-1.1764,
urat1_active,-1.0703,-1.1289,
urat1_active,-1.0653,-1.2386,
urat1_active,-1.0952,-1.3088,
urat1_active,-0.9305,-1.1983,
urat1_active,4.8791,0.19,
urat1_active,-0.8876,-1.444,
urat1_active,-0.1849,-1.1287,
urat1_active,-0.1853,-1.0992,
urat1_active,-0.5905,-1.1194,
urat1_active,5.0707,0.0142,
urat1_active,-0.7692,-1.0915,
urat1_active,-0.501,-0.5275,
urat1_active,-0.148,-0.6776,
urat1_active,-0.8383,-0.625,
urat1_active,4.9582,0.1392,
urat1_active,1.9839,0.1838,
urat1_active,1.8004,0.2399,
urat1_active,3.8415,0.0844,
urat1_active,5.0521,0.2371,
urat1_active,-0.8748,-1.2387,
urat1_active,-0.9046,-1.309,
urat1_active,-0.5968,-1.2605,
urat1_active,-1.0226,-0.6227,
urat1_active,-0.8615,-1.2346,
urat1_active,-0.851,-1.2886,
urat1_active,0.8158,0.3338,
urat1_active,5.3187,0.1269,
urat1_active,4.9615,-0.012,
urat1_active,0.1915,-1.7949,
urat1_active,0.1617,-1.8651,
urat1_active,-0.5463,-1.1806,
urat1_active,-1.2788,-1.5661,
urat1_active,-0.1744,-1.3207,
urat1_active,-0.9227,-1.6516,
urat1_active,-0.882,-1.5262,
urat1_active,-0.5795,-1.3409,
urat1_active,-0.8874,-1.2247,
urat1_active,-0.9736,-1.4443,
urat1_active,-0.781,-1.2818,
urat1_active,-0.9116,-1.4565,
urat1_active,-0.8771,-1.6359,
urat1_active,-0.9069,-1.7061,
urat1_active,-0.8445,-1.3999,
urat1_active,-0.912,-1.7525,
urat1_active,-0.4487,-1.5237,
urat1_active,-0.3595,-1.0106,
urat1_active,-0.7395,-1.4436,
urat1_active,-0.695,-1.4088,
urat1_active,-0.6257,-1.5087,
urat1_active,-0.5113,-1.5743,
urat1_active,-0.8763,-1.4611,
urat1_active,-0.7209,-1.4588,
urat1_active,-0.5992,-1.6576,
urat1_active,-0.1576,-1.3016,
urat1_active,-0.8653,-1.5072,
urat1_active,-0.8603,-1.6168,
urat1_active,-1.1463,-1.6995,
urat1_active,-1.0274,-1.5655,
urat1_active,-0.8718,-1.335,
urat1_active,-0.9017,-1.4052,
urat1_active,-0.0139,-0.7491,
urat1_active,-0.0905,-1.3383,
urat1_active,0.1151,-0.546,
urat1_active,3.9301,0.1526,
urat1_active,-0.0767,-0.9097,
urat1_active,0.1956,-0.8346,
urat1_active,2.0273,-0.0607,
urat1_active,1.4956,-0.2221,
urat1_active,0.0774,-0.7595,
urat1_active,0.0956,-0.6938,
urat1_active,0.1637,-0.8952,
urat1_active,0.1954,-0.9601,
urat1_active,0.3207,-0.8016,
urat1_active,0.3088,-0.8516,
urat1_active,0.0015,-1.2477,
urat1_active,0.0103,-0.6953,
urat1_active,0.0542,-0.7931,
urat1_active,0.1094,-0.843,
urat1_active,0.2056,-0.6572,
urat1_active,0.2546,-0.7762,
urat1_active,0.0813,-0.614,
urat1_active,0.157,-0.8098,
urat1_active,0.2616,-0.7214,
urat1_active,0.0994,-0.6544,
urat1_active,-0.0026,-0.6345,
urat1_active,0.0399,-0.7032,
urat1_active,0.0154,-0.6751,
urat1_active,0.2536,-0.1866,
urat1_active,0.1529,-0.0664,
urat1_active,-0.0977,-0.0721,
urat1_active,0.3399,-0.2412,
urat1_active,0.1366,-0.0796,
urat1_active,0.1238,-0.0738,
urat1_active,0.0705,-0.4994,
urat1_active,0.3029,-0.394,
urat1_active,5.3839,0.1061,
urat1_active,1.9425,0.059,
urat1_active,5.2844,0.028,
urat1_active,5.1497,0.2248,
urat1_active,5.0937,0.1768,
urat1_active,1.8425,-0.0348,
urat1_active,1.7589,0.2193,
urat1_active,1.9701,0.0763,
urat1_active,1.8903,-0.0237,
urat1_active,2.3759,0.0461,
urat1_active,2.9144,-0.2107,
urat1_active,5.4895,0.0523,
urat1_active,5.3546,0.1758,
urat1_active,5.1766,-0.2143,
urat1_active,5.4281,0.0403,
urat1_active,5.3498,0.0128,
urat1_active,5.295,0.0319,
urat1_active,5.3706,0.0032,
urat1_active,5.47,0.0367,
urat1_active,5.3578,0.0295,
urat1_active,5.1467,0.2203,
urat1_active,5.1246,0.3755,
urat1_active,5.3645,0.1331,
urat1_active,5.2051,0.2031,
urat1_active,5.2689,0.0577,
urat1_active,5.3178,0.0279,
urat1_active,5.1693,0.1639,
urat1_active,5.2513,0.2809,
urat1_active,4.9027,0.4033,
urat1_active,5.1971,-0.2324,
urat1_active,5.1841,-0.2059,
urat1_active,5.5239,0.0541,
urat1_active,5.5292,0.0486,
urat1_active,5.4053,0.0377,
urat1_active,5.3589,-0.0202,
urat1_active,5.3252,0.0249,
urat1_active,5.282,0.0294,
urat1_active,5.3135,0.2645,
urat1_active,5.5819,0.0164,
urat1_active,5.2985,0.0332,
urat1_active,5.3634,0.1752,
urat1_active,5.2975,0.0434,
urat1_active,5.1646,0.1801,
urat1_active,5.2456,0.203,
urat1_active,5.3108,0.0051,
urat1_active,5.1502,0.1836,
urat1_active,5.0496,-0.0469,
urat1_active,5.3338,-0.1112,
urat1_active,5.2284,-0.2278,
urat1_active,5.2277,-0.2219,
urat1_active,5.1672,-0.067,
urat1_active,5.0648,-0.0553,
urat1_active,5.0001,-0.1713,
urat1_active,5.0177,-0.0149,
urat1_active,5.2379,-0.2812,
urat1_active,5.0843,-0.0947,
urat1_active,5.0049,-0.0276,
urat1_active,5.4104,0.1309,
urat1_active,5.0518,0.3053,
urat1_active,5.3653,0.0916,
urat1_active,5.0022,0.5029,
urat1_active,5.3645,0.0374,
urat1_active,5.3616,0.1614,
urat1_active,4.0926,-0.2739,
urat1_active,0.7848,-0.8568,
urat1_active,0.0378,0.9592,
urat1_active,-0.1473,0.0227,
urat1_active,-0.0915,-0.4268,
urat1_active,0.208,-0.6934,
urat1_active,0.2076,-0.6831,
urat1_active,0.2032,-0.6799,
urat1_active,0.7283,-1.2419,
urat1_active,0.5542,-1.4734,
urat1_active,0.1591,-1.0855,
urat1_active,0.5196,-1.549,
urat1_active,0.7766,-1.3948,
urat1_active,0.3318,-1.1377,
urat1_active,0.6478,-1.653,
urat1_active,0.1929,-1.4474,
urat1_active,0.7109,-1.1992,
urat1_active,0.5637,-1.5112,
urat1_active,1.829,-0.7985,
urat1_active,1.4507,-0.3046,
urat1_active,2.9003,-0.7567,
urat1_active,2.522,-0.2628,
urat1_active,2.1625,-0.8703,
urat1_active,1.7264,-0.675,
urat1_active,0.3779,-0.9946,
urat1_active,0.616,-0.8725,
urat1_active,0.129,-1.1096,
urat1_active,0.8005,-0.9914,
urat1_active,0.9005,-0.9027,
urat1_active,0.7174,-0.8998,
urat1_active,0.7934,-0.6616,
urat1_active,0.8902,-0.952,
urat1_active,0.9776,-0.8621,
urat1_active,0.6258,-1.0068,
urat1_active,0.511,-1.5499,
urat1_active,0.3759,-1.7035,
urat1_active,0.6439,-2.0002,
urat1_active,0.7386,-1.8834,
urat1_active,0.725,-1.8355,
urat1_active,0.7716,-1.8285,
urat1_active,0.7836,-1.7542,
urat1_active,1.6611,-0.0527,
urat1_active,5.3596,0.0007,
urat1_active,2.1097,0.012,
urat1_active,5.2111,0.1366,
urat1_active,5.0963,-0.0187,
urat1_active,2.026,-0.0908,
urat1_active,1.657,0.0551,
urat1_active,1.4065,0.0129,
urat1_active,1.9352,0.1851,
urat1_active,2.1536,0.0203,
urat1_active,2.0738,-0.0798,
urat1_active,2.5594,-0.0099,
urat1_active,0.9279,-1.4985,
urat1_active,0.9564,-1.6912,
urat1_active,0.9511,-1.6984,
urat1_active,0.9511,-1.6984,
urat1_active,0.8624,-1.8365,
urat1_active,0.9232,-1.7649,
urat1_active,0.9904,-1.7252,
urat1_active,0.9693,-1.7069,
urat1_active,0.9914,-1.6014,
urat1_active,0.9112,-1.632,
urat1_active,4.7571,0.0421,
urat1_active,3.553,-0.0644,
urat1_active,4.6376,-0.0043,
urat1_active,4.8237,0.0381,
urat1_active,4.0898,0.3071,
urat1_active,4.5403,0.2422,
urat1_active,5.3495,-0.018,
urat1_active,5.1886,0.1573,
urat1_active,5.0944,0.1334,
urat1_active,5.2817,0.1543,
urat1_active,5.5413,0.0434,
urat1_active,5.3384,0.2072,
urat1_active,5.2269,0.2214,
urat1_active,5.2592,0.025,
urat1_active,5.0606,0.2098,
urat1_active,4.352,-0.2599,
urat1_active,4.0261,-0.272,
urat1_active,4.0924,-0.1521,
urat1_active,4.1305,-0.0125,
urat1_active,4.4257,-0.0348,
urat1_active,4.4602,-0.063,
urat1_active,4.2135,0.2192,
urat1_active,4.5124,-0.1117,
urat1_active,4.2185,-0.1768,
urat1_active,3.8341,-0.2602,
urat1_active,3.9277,0.217,
urat1_active,3.9509,0.0806,
urat1_active,3.8239,0.1159,
urat1_active,1.549,-1.8497,
urat1_active,1.4873,-1.7499,
urat1_active,1.5158,-1.9425,
urat1_active,1.5105,-1.9498,
urat1_active,1.5105,-1.9498,
urat1_active,1.4232,-2.0954,
urat1_active,1.4826,-2.0163,
urat1_active,1.5498,-1.9765,
urat1_active,1.5301,-1.9658,
urat1_active,1.5659,-1.7944,
urat1_active,1.4857,-1.825,
urat1_active,2.4276,-0.7641,
urat1_active,0.5096,-1.0287,
urat1_active,0.3045,-0.774,
urat1_active,0.1066,-0.9455,
urat1_active,1.4376,0.0237,
urat1_active,5.1947,-0.0698,
urat1_active,1.6826,0.1508,
urat1_active,5.0534,-0.097,
urat1_active,4.5757,-0.0327,
urat1_active,5.2497,0.1969,
urat1_active,2.2323,0.2657,
urat1_active,-0.5135,-0.4691,
urat1_active,-0.5827,-0.243,
urat1_active,-1.0768,-0.2561,
urat1_active,-0.2845,-0.0692,
urat1_active,-0.6046,-0.1466,
urat1_active,-0.5416,0.0901,
urat1_active,-0.3959,-0.2449,
urat1_active,-0.7786,-0.2205,
urat1_active,-0.0467,-0.1209,
urat1_active,-0.2488,-0.0146,
urat1_active,-0.5875,-0.0988,
urat1_active,-0.5993,0.0082,
urat1_active,-0.3946,0.0507,
urat1_active,-0.7845,-0.2345,
urat1_active,-0.6984,-0.0221,
urat1_active,-0.4057,-0.1914,
urat1_active,-0.0881,-0.1198,
urat1_active,-0.9318,-1.2242,
urat1_active,-0.3844,0.2745,
urat1_active,-0.8843,-0.5482,
urat1_active,-0.47,0.1296,
urat1_active,-0.4789,0.0889,
urat1_active,-0.6506,-0.11,
urat1_active,-0.4059,-0.1341,
urat1_active,-0.6166,-0.134,
urat1_active,-0.5866,-0.0968,
urat1_active,-0.4353,-0.1062,
urat1_active,-0.7539,0.0467,
urat1_active,-0.7625,-0.0978,
urat1_active,-0.691,0.0788,
urat1_active,-0.5397,0.0694,
urat1_active,-0.353,0.3148,
urat1_active,-0.2017,0.3054,
urat1_active,-0.5833,0.0752,
urat1_active,-0.7891,-0.3512,
urat1_active,-0.8303,-0.9784,
urat1_active,-0.7674,-0.7416,
urat1_active,-0.6857,-1.0139,
urat1_active,-0.8454,-1.0653,
urat1_active,-0.7828,-0.8419,
urat1_active,-0.4306,-1.0625,
urat1_active,-0.7961,-0.9263,
urat1_active,-0.6747,-0.7773,
urat1_active,-0.6412,-0.9883,
urat1_active,-0.5972,-0.0948,
urat1_active,-1.2887,-0.4636,
urat1_active,-1.3509,-0.5784,
urat1_active,-1.1958,-0.8837,
urat1_active,-1.3931,-1.2288,
urat1_active,-1.3288,-0.78,
urat1_active,-1.3176,-0.7151,
urat1_active,-1.3171,-0.6784,
urat1_active,-1.1192,-1.3182,
urat1_active,-1.0967,0.189,
urat1_active,-1.4301,-1.0597,
urat1_active,-0.9568,-0.7091,
urat1_active,-0.9825,-0.3392,
urat1_active,-0.5193,-0.5566,
urat1_active,-0.4964,-0.3574,
urat1_active,-0.0014,-0.5685,
urat1_active,-0.5748,-0.6415,
urat1_active,-0.2252,-0.8801,
urat1_active,-0.515,-0.7774,
urat1_active,-0.3238,-0.8869,
urat1_active,-0.4893,-0.717,
urat1_active,-0.5156,-0.5323,
urat1_active,-0.5159,-0.522,
urat1_active,-0.4627,-0.2991,
urat1_active,-0.7145,-0.432,
urat1_active,-0.6159,-0.677,
urat1_active,0.0451,-0.5237,
urat1_active,-0.3957,-0.6729,
urat1_active,-0.6037,-0.9124,
urat1_active,-0.3586,-0.6865,
urat1_active,-0.7508,-0.2634,
urat1_active,-0.3994,-0.8422,
urat1_active,-0.2083,-0.8117,
urat1_active,-0.4034,-1.204,
urat1_active,-0.398,-1.1968,
urat1_active,-0.4456,-1.0533,
urat1_active,-0.207,-0.9223,
urat1_active,-0.7303,-1.2089,
urat1_active,-0.2264,-1.4589,
urat1_active,-0.3806,-1.6542,
urat1_active,-0.3851,-1.5792,
urat1_active,-0.3723,-1.4702,
urat1_active,-0.4249,-1.2193,
urat1_active,-0.182,-1.3933,
urat1_active,-0.3451,-1.5852,
urat1_active,-0.6646,-1.1885,
urat1_active,-0.5038,-1.2012,
urat1_active,-1.0746,-1.0304,
urat1_active,-0.9802,-0.747,
urat1_active,-1.3581,-0.9689,
urat1_active,-1.0001,-1.0331,
urat1_active,-1.3934,-0.7513,
urat1_active,-1.1137,-1.3756,
urat1_active,-1.0387,-1.1671,
urat1_active,-0.9443,-0.8836,
urat1_active,-1.3221,-1.1056,
urat1_active,-1.1754,-0.1621,
urat1_active,-1.3983,-1.6889,
urat1_active,-0.7178,-1.2335,
urat1_active,-0.7344,-1.1434,
urat1_active,-1.303,-1.2898,
urat1_active,-1.0433,-1.65,
urat1_active,-1.4591,-1.5147,
urat1_active,-1.0263,-1.0827,
urat1_active,-0.9319,-0.7992,
urat1_active,-1.3214,-1.7015,
urat1_active,-1.484,-1.1747,
urat1_active,-0.6737,-0.0833,
urat1_active,-0.5621,0.0225,
urat1_active,-0.4289,-0.0268,
urat1_active,-0.5734,-0.2414,
urat1_active,-1.002,-0.2827,
urat1_active,-1.0708,-1.6559,
urat1_active,-1.4866,-1.5207,
urat1_active,-1.2957,-1.5627,
urat1_active,-1.4402,-1.4283,
urat1_active,-1.136,-1.4313,
urat1_active,-0.7369,-0.1607,
urat1_active,-0.1505,-0.4935,
urat1_active,-0.193,-0.5052,
urat1_active,0.1487,-0.5555,
urat1_active,0.1562,-0.3812,
urat1_active,-0.2515,-0.7487,
urat1_active,-0.4139,-0.6302,
urat1_active,0.1819,-0.6401,
urat1_active,0.1104,-0.789,
urat1_active,-0.0933,-0.763,
urat1_active,-0.4946,-1.0446,
urat1_active,-0.4325,-1.166,
urat1_active,-1.1197,0.2324,
urat1_active,-0.8892,-1.0198,
urat1_active,-0.4956,-1.3586,
urat1_active,-0.7978,-1.4397,
urat1_active,-0.8107,-1.4679,
urat1_active,-0.8341,-0.8623,
urat1_active,-0.6516,-0.6482,
urat1_active,-0.4849,-0.4247,
urat1_active,-0.519,0.1097,
urat1_active,-0.4134,-0.9935,
urat1_active,-0.3349,-0.6422,
urat1_active,-0.3931,-0.7532,
urat1_active,-0.3218,-0.7668,
urat1_active,-0.2643,-0.7799,
urat1_active,-0.3518,-0.8014,
urat1_active,-0.3866,-0.8414,
urat1_active,-0.2954,-0.5375,
