id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason
CHEMBL1600380_ACR0,CHEMBL1600380,chembl,C=CC(=O)Nc1c(C(=O)Nc2ccccc2)sc2nc(-c3cccnc3)ccc12,FLUOWPJEVLESDY-UHFFFAOYSA-N,Nc1c(C(=O)Nc2ccccc2)sc2nc(-c3cccnc3)ccc12,400.46,4.74,5,2.414,watch,0,1,0.3077,0.36,JNK-IN-8,JNK-IN-8,0.8177,56d,O=C(Nc1ccccc1)c1cc2ccc(-c3cccnc3)nc2s1,,1,0.1909,0.1935,0.7326,0.1927,0.1978,0.7326,0.3077,0.36,0.7786,0.2941,0.2469,0.8177,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3822546_ACR0,CHEMBL3822546,chembl,C=CC(=O)N(c1ccc(C(=O)OCC)cc1)c1ccnc(-c2cccnc2)n1,RJMDALRDRLUZDZ-UHFFFAOYSA-N,CCOC(=O)c1ccc(Nc2ccnc(-c3cccnc3)n2)cc1,374.4,3.57,6,2.53,watch,0,1,0.3043,0.36,JNK-IN-8,JNK-IN-8,0.6877,YL5084,c1ccc(Nc2ccnc(-c3cccnc3)n2)cc1,,1,0.1892,0.1935,0.6877,0.1909,0.1848,0.6877,0.3043,0.36,0.6262,0.1562,0.1477,0.532,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3091560_ACR0,CHEMBL3091560,chembl,C=CC(=O)N(c1ccc(C(=O)Nc2c(C)cccc2C)cc1)c1ncc(C)c(C2CC2)n1,LLYIHJFJFVPYSM-UHFFFAOYSA-N,Cc1cnc(Nc2ccc(C(=O)Nc3c(C)cccc3C)cc2)nc1C1CC1,426.52,5.38,6,2.673,watch,0,1,0.2474,0.36,JNK-IN-8,JNK-IN-8,0.6739,JNK-IN-8,O=C(Nc1ccccc1)c1ccc(Nc2nccc(C3CC3)n2)cc1,,0,0.1875,0.1809,0.6443,0.1892,0.1848,0.6443,0.2474,0.36,0.6739,0.2174,0.2024,0.5644,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3764204_ACR0,CHEMBL3764204,chembl,C=CC(=O)Nc1nccn2c(-c3cccc(NC(=O)c4cc(C)cc(C)c4)c3)cnc12,FDDHQCDMBOPBST-UHFFFAOYSA-N,Cc1cc(C)cc(C(=O)Nc2cccc(-c3cnc4c(N)nccn34)c2)c1,411.47,4.39,5,2.575,watch,0,1,0.3412,0.359,56d,JNK-IN-8,0.831,JNK-IN-8,O=C(Nc1cccc(-c2cnc3cnccn23)c1)c1ccccc1,,1,0.1842,0.2105,0.7533,0.1858,0.2021,0.7533,0.2947,0.359,0.831,0.3412,0.3125,0.8097,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL470638_ACR0,CHEMBL470638,chembl,C=CC(=O)N(Cc1cc(C(=O)O)cc(-c2cccnc2)n1)c1ccc(F)cc1C,OWLZYSZHNJDKTJ-UHFFFAOYSA-N,Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2cccnc2)n1,391.4,4.01,6,2.639,watch,0,1,0.2784,0.359,JNK-IN-8,JNK-IN-8,0.6561,YL5084,c1ccc(NCc2cccc(-c3cccnc3)n2)cc1,,1,0.1624,0.1735,0.6561,0.1638,0.1649,0.6561,0.2784,0.359,0.6528,0.1616,0.1538,0.6128,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
XARC000001295217_ACR0,XARC000001295217,taosu,C=CC(=O)N(CCOc1cccc2ccc(C)nc12)c1nccc(-c2cccnc2)n1,DATCMTUEPRKXDK-UHFFFAOYSA-N,Cc1ccc2cccc(OCCNc3nccc(-c4cccnc4)n3)c2n1,411.47,3.99,7,2.711,watch,0,1,0.3053,0.359,JNK-IN-8,JNK-IN-8,0.6636,YL5084,c1cncc(-c2ccnc(NCCOc3cccc4cccnc34)n2)c1,,2,0.1826,0.1979,0.6636,0.1739,0.1895,0.6636,0.3053,0.359,0.6002,0.1616,0.117,0.5675,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
XARC000003816257_ACR0,XARC000003816257,taosu,C=CC(=O)N(c1cccc(C(=O)Nc2ccc3c(c2)CN(C)C3)c1)c1cnccn1,KLRJPXXEBFMELA-UHFFFAOYSA-N,CN1Cc2ccc(NC(=O)c3cccc(Nc4cnccn4)c3)cc2C1,399.45,3.53,5,2.714,watch,0,1,0.3263,0.359,JNK-IN-8,JNK-IN-8,0.7692,JNK-IN-8,O=C(Nc1ccc2c(c1)CNC2)c1cccc(Nc2cnccn2)c1,,0,0.1795,0.15,0.7498,0.181,0.1414,0.7498,0.3263,0.359,0.7692,0.3,0.2805,0.6616,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3091559_ACR0,CHEMBL3091559,chembl,C=CC(=O)N(c1ccc(C(=O)Nc2c(C)cccc2C)cc1)c1ncc(C)c(-c2ccoc2)n1,OWVBZFNFZGOLFU-UHFFFAOYSA-N,Cc1cnc(Nc2ccc(C(=O)Nc3c(C)cccc3C)cc2)nc1-c1ccoc1,452.51,5.76,6,2.807,watch,0,1,0.25,0.359,JNK-IN-8,JNK-IN-8,0.7591,JNK-IN-8,O=C(Nc1ccccc1)c1ccc(Nc2nccc(-c3ccoc3)n2)cc1,,0,0.2018,0.1979,0.7043,0.193,0.1895,0.7043,0.25,0.359,0.7591,0.2083,0.1932,0.6553,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
XARC000001688524_ACR0,XARC000001688524,taosu,C=CC(=O)N(c1nccc(-c2cccnc2)n1)C1CC(=O)N(c2ccc(C)cc2)C1,ZXVJHHZZXUQHPJ-UHFFFAOYSA-N,Cc1ccc(N2CC(Nc3nccc(-c4cccnc4)n3)CC2=O)cc1,399.45,3.17,5,3.271,watch,0,1,0.2755,0.359,JNK-IN-8,JNK-IN-8,0.7235,YL5084,O=C1CC(Nc2nccc(-c3cccnc3)n2)CN1c1ccccc1,,1,0.2124,0.2921,0.7235,0.2035,0.314,0.7235,0.2755,0.359,0.6366,0.16,0.129,0.5893,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3702606_ACR0,CHEMBL3702606,chembl,C=CC(=O)Nc1ncc2c(n1)CCN(c1cccc(C(=O)Nc3ccc(C)cc3)c1)C2,CINFUDJTSUXHFS-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2cccc(N3CCc4nc(N)ncc4C3)c2)cc1,413.48,3.72,5,2.422,watch,0,1,0.3563,0.358,56d,JNK-IN-8,0.7677,56d,O=C(Nc1ccccc1)c1cccc(N2CCc3ncncc3C2)c1,,0,0.1983,0.19,0.7555,0.2105,0.1939,0.7555,0.2828,0.358,0.7654,0.3563,0.3293,0.7677,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
