ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_02143,False,11.555160102741974,0.757333398,7.0461669,True,0.547978163,6.91540766,False
REP_02354,True,6.968726928212923,0.761400223,6.19930267,True,0.778140068,6.10552931,True
REP_02366,False,11.93323648470942,0.936816156,7.58680582,False,0.479330152,5.94176245,False
REP_02379,True,6.089435031265212,0.751681864,7.88584089,False,0.317057192,7.17620707,False
REP_02650,False,14.928512250053583,0.892308891,7.5569725,True,0.579818487,6.82052374,False
REP_02721,False,9.716459283092783,0.929545224,8.24714851,True,0.863415539,6.88486862,False
REP_03238,False,14.517137493321458,0.729645908,7.42590141,False,0.395395428,6.57619095,False
REP_03306,False,,0.427914977,5.81757498,True,0.644685984,7.2875309,False
REP_03680,False,,0.784355283,6.3520546,False,0.227930665,5.29615498,False
REP_03855,False,12.916461357508094,0.589636266,6.79883814,True,0.595998049,5.84221125,False
REP_03974,False,14.28520146865279,0.910861254,6.16003847,True,0.932242334,6.11595678,False
REP_04229,False,11.965863445652381,0.884238422,7.48988867,False,0.665367663,6.33042097,False
REP_04246,True,5.234835718530237,0.735167503,5.91163015,False,0.390871167,6.23026085,False
REP_04441,False,,0.624826312,7.39768839,False,0.499381483,6.57480383,False
REP_04463,True,3.2058310934919865,0.775819957,7.0207715,False,0.473585188,5.24849749,False
REP_04566,False,15.129391825185825,0.85318327,7.31760931,True,0.754119754,6.21635628,False
REP_04581,False,11.651752529126252,0.806915283,7.44266701,True,0.574564576,6.40377808,False
REP_04582,False,14.330612443297737,0.612648904,6.6830945,False,0.342820704,5.51037931,False
REP_04623,False,10.41380281165338,0.927073777,7.62552881,True,0.582873881,6.15694046,False
REP_04681,True,5.9083224353449095,0.663578808,6.68717575,False,0.310914785,5.77180099,False
REP_04687,True,6.450953030366906,0.690454125,6.63474989,True,0.97669673,7.17908335,True
REP_04971,False,12.566324601887368,0.854160905,6.94778395,False,0.407803148,6.57440519,False
REP_04975,True,3.0949688205214567,0.740926802,6.90604734,False,0.19570902,5.7759881,False
REP_04977,False,15.032757165603384,0.783674777,7.40668726,False,0.290614814,6.14429092,False
REP_04990,False,14.708247380296527,0.709889054,7.02807617,True,0.573177993,6.20117617,False
REP_05102,False,12.040265653215462,0.667786121,6.56325531,False,0.362890482,5.60535192,False
REP_05113,False,14.641173655141172,0.573013604,7.27264261,False,0.472714573,6.84619522,False
REP_05141,True,7.675933102887225,0.654662669,6.34944534,True,0.650252998,6.68000269,True
REP_05219,True,3.1468563678693617,0.782812178,7.2998538,False,0.157497615,5.34319305,False
REP_05252,False,13.273872381486871,0.722007215,6.97521973,False,0.334816217,6.06392527,False
REP_05267,False,15.088290360408624,0.978091836,8.24445629,True,0.882285118,6.83310175,False
REP_05288,True,4.069173626180128,0.510509193,7.46176529,True,0.503210306,6.83568525,True
REP_05302,True,6.267380712865613,0.762060285,6.75742722,True,0.664981306,6.91635466,True
REP_05411,False,,0.462907672,7.6310792,False,0.353814423,6.77430868,False
REP_05440,False,,0.766999304,6.49202585,True,0.925873041,6.83837748,False
REP_05460,True,2.9817743040008873,0.657848775,6.08835983,True,0.705459356,5.6822753,True
REP_05466,True,2.9376939935942907,0.504287302,7.08116674,False,0.463675052,6.17202616,False
REP_05470,True,5.535020596167638,0.791874707,7.6864295,True,0.830967784,6.87684774,True
REP_05543,False,12.968106415356102,0.747438908,6.9988265,True,0.668603837,6.83028936,False
REP_05567,False,,0.756268322,7.64485168,False,0.234632626,5.72127914,False
REP_05724,False,,0.832910538,7.55734491,False,0.246025294,6.27808237,False
REP_05729,False,,0.70167613,7.22358942,True,0.715363443,7.12674284,False
REP_05763,False,14.116835233153358,0.733575106,7.46888494,False,0.297817111,6.53785563,False
REP_05784,False,13.399580291934514,0.788487792,7.18958282,True,0.575728238,6.68412542,False
REP_05813,False,14.815134997697454,0.713415146,7.3262763,False,0.275421083,5.77333117,False
REP_05846,False,12.298366273615363,0.755409539,6.71697998,True,0.953264773,7.03478479,False
REP_05864,False,8.223896460924102,0.600472391,7.16248941,False,0.281345606,6.69883728,False
REP_05869,True,5.459151857202728,0.643165529,5.53835154,False,0.473964483,5.58089209,False
REP_05906,False,11.003009270195125,0.574770033,6.24042368,False,0.457505614,5.64777994,False
REP_05922,False,13.973612346132974,0.71184516,7.49832726,False,0.403886855,6.23788691,False
REP_06119,True,2.9966464589604134,0.635743916,6.08600235,True,0.672377706,5.8837142,True
REP_06303,False,13.851814393789715,0.662988663,7.06145477,False,0.222345546,6.32695341,False
REP_06427,False,,0.773326278,7.66412973,True,0.558195829,7.18639612,False
REP_06464,True,5.264416871791205,0.812960863,7.31463766,False,0.172080249,5.77783346,False
REP_06470,False,14.707473780360779,0.900365353,6.00301743,True,0.776813388,5.35395288,False
REP_06524,True,2.9240242817049182,0.574109793,6.35063601,True,0.678085148,6.61098862,True
REP_06583,False,8.707932533041355,0.56366694,6.76914644,True,0.574060917,6.70628881,False
REP_06643,True,3.0861022342106565,0.85463959,7.48018408,True,0.650032461,7.00301981,True
REP_06668,False,12.76710495766366,0.861408472,8.09088039,False,0.230996236,6.80938196,False
REP_06722,True,2.799621581571335,0.623000622,7.18837357,True,0.528385222,5.4058919,True
REP_06855,True,2.9617057585114597,0.688925803,7.9658618,False,0.265720576,6.8942132,False
REP_06875,True,6.878127942979834,0.605334997,6.95511198,True,0.534676671,7.11669588,True
REP_06925,False,13.934041481207085,0.84476763,7.60782051,False,0.254401684,5.93839645,False
REP_06973,True,2.905891257428589,0.697641194,7.28380442,False,0.374109417,6.12090826,False
