patent_id,west_left,central_alkoxy_middle,east_right,n_compounds,activity_distribution,n_top_bin,top_bin_label,top_bin_ic50_range,frac_top_bin,mean_activity_score,example_smiles
WO2023147468,"3,5-diF-phenyl",OEt,azaindazole N-oxide,4,+++=3; ++=1; +=0,3,+++,IC50 < 1 μM,0.75,2.75,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cc(F)cc(F)c1
WO2023147468,3-Cl-phenyl,OEt,azaindazole N-oxide,8,+++=5; ++=3; +=0,5,+++,IC50 < 1 μM,0.625,2.625,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)cc(Cl)c1-c1cccc(Cl)c1
WO2023147468,3-F-phenyl,O-cyclopropyl,azaindazole N-oxide,6,+++=3; ++=2; +=1,3,+++,IC50 < 1 μM,0.5,2.333,CN(Cc1c[n+]([O-])cc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1
WO2023147468,3-F-phenyl,OEt,azaindazole N-oxide,20,+++=9; ++=9; +=2,9,+++,IC50 < 1 μM,0.45,2.35,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2023147468,3-F-phenyl,no_ortho_alkoxy,azaindazole N-oxide,9,+++=4; ++=4; +=1,4,+++,IC50 < 1 μM,0.444,2.333,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2023147468,3-CN-phenyl,OEt,azaindazole N-oxide,8,+++=3; ++=4; +=1,3,+++,IC50 < 1 μM,0.375,2.25,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cccc(C#N)c1
WO2023147468,3-Cl-phenyl,no_ortho_alkoxy,azaindazole N-oxide,3,+++=1; ++=2; +=0,1,+++,IC50 < 1 μM,0.333,2.333,Cc1c2cn[nH]c2c(CNC(=O)c2cc(F)c(-c3cccc(Cl)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2023147468,phenyl,OEt,azaindazole N-oxide,3,+++=1; ++=2; +=0,1,+++,IC50 < 1 μM,0.333,2.333,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)c(F)cc1-c1ccccc1
WO2023147468,3-CN-phenyl,no_ortho_alkoxy,azaindazole N-oxide,3,+++=0; ++=3; +=0,0,+++,IC50 < 1 μM,0.0,2.0,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(C#N)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2024064655,3-F-phenyl,O-cyclopropyl,azaindazole,11,+++=11; ++=0; +=0,11,+++,IC50 < 1 μM,1.0,3.0,CCN(Cc1cnc(CO)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1
WO2024064655,3-Cl-phenyl,no_ortho_alkoxy,azaindazole,8,+++=8; ++=0; +=0,8,+++,IC50 < 1 μM,1.0,3.0,CC(O)c1ncc(CN(C)C(=O)c2ccc(-c3cccc(Cl)c3)c(OC3CC3)c2)c2[nH]ncc12
WO2024064655,3-Cl-phenyl,OEt,azaindazole,6,+++=6; ++=0; +=0,6,+++,IC50 < 1 μM,1.0,3.0,CCOc1cc(C(=O)N(C)Cc2cnc(C(C)O)c3cn[nH]c23)cc(Cl)c1-c1cccc(Cl)c1
WO2024064655,3-Cl-phenyl,O-cyclopropyl,azaindazole,15,+++=14; ++=1; +=0,14,+++,IC50 < 1 μM,0.933,2.933,Cc1nc(C)c2cn[nH]c2c1CN(C)C(=O)c1cc(F)c(-c2cccc(Cl)c2)c(OC2CC2)c1
WO2024064655,3-F-phenyl,no_ortho_alkoxy,azaindazole,7,+++=6; ++=1; +=0,6,+++,IC50 < 1 μM,0.857,2.857,CC(C)Oc1cc(C(=O)N(C)Cc2cnc(CO)c3cn[nH]c23)ccc1-c1cccc(F)c1
WO2024064655,3-CN-phenyl,O-cyclopropyl,azaindazole,6,+++=5; ++=0; +=1,5,+++,IC50 < 1 μM,0.833,2.667,CN(Cc1cnc(CF)c2cn[nH]c12)C(=O)c1cc(F)c(-c2cc(F)cc(C#N)c2)c(OC2CC2)c1
WO2024064655,phenyl,OEt,azaindazole,6,+++=5; ++=1; +=0,5,+++,IC50 < 1 μM,0.833,2.833,CCOc1cc(C(=O)N(C)Cc2cnc(CO)c3cn[nH]c23)cc(F)c1-c1ccccc1
WO2024064655,"3,5-diF-phenyl",OEt,azaindazole,4,+++=3; ++=1; +=0,3,+++,IC50 < 1 μM,0.75,2.75,CCOc1cc(C(=O)N(C)Cc2cnc(CO)c3cn[nH]c23)cc(F)c1-c1cc(F)cc(F)c1
WO2024064655,2-thienyl,OEt,azaindazole,11,+++=8; ++=3; +=0,8,+++,IC50 < 1 μM,0.727,2.727,CCOc1cc(C(=O)N(C)Cc2cnc(CO)c3cn[nH]c23)cc(F)c1-c1cccs1
WO2024064655,3-F-phenyl,OEt,azaindazole,36,+++=26; ++=5; +=5,26,+++,IC50 < 1 μM,0.722,2.583,CCOc1cc(C(=O)N(C)C(CC)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2024064655,3-CN-phenyl,no_ortho_alkoxy,azaindazole,3,+++=2; ++=0; +=1,2,+++,IC50 < 1 μM,0.667,2.333,Cc1ncc(CN(C)C(=O)c2cc(F)c(-c3cccc(C#N)c3)c(OC3CC3)c2)c2[nH]ncc12
WO2024064655,3-F-phenyl,OEt,indazole,25,+++=15; ++=5; +=5,15,+++,IC50 < 1 μM,0.6,2.4,CCOc1cc(C(=O)N(C)C(C)c2ccc(F)c3cn[nH]c23)ccc1-c1cccc(F)c1
WO2024064655,3-CN-phenyl,OEt,azaindazole,5,+++=3; ++=2; +=0,3,+++,IC50 < 1 μM,0.6,2.6,CCOc1cc(C(=O)N(CC)Cc2cnc(CO)c3cn[nH]c23)ccc1-c1cccc(C#N)c1
WO2025207644,3-Me-phenyl,OEt,azaindazole,7,A=7; B=0; C=0; D=0; E=0,7,A,IC50 < 100 nM,1.0,5.0,CCOc1cc(C(=O)N(C)[C@H](CCN(C)C)c2cnc(C)c3cn[nH]c23)ccc1-c1cccc(C)c1
WO2025207644,3-CN-phenyl,OEt,indazole,4,A=4; B=0; C=0; D=0; E=0,4,A,IC50 < 100 nM,1.0,5.0,CCOc1cc(C(=O)N(C)[C@H](CCN(C)C)c2cccc3cn[nH]c23)ccc1-c1cccc(C#N)c1
WO2025207644,3-Cl-phenyl,OEt,indazole,13,A=12; B=1; C=0; D=0; E=0,12,A,IC50 < 100 nM,0.923,4.923,CCOc1cc(C(=O)N(C)[C@H](CCNC)c2cccc3cn[nH]c23)ccc1-c1cccc(Cl)c1
WO2025207644,3-Cl-phenyl,OEt,azaindazole,44,A=37; B=3; C=1; D=2; E=1,37,A,IC50 < 100 nM,0.841,4.659,CCOc1cc(C(=O)N(C)[C@@H](c2cnc(C)c3cn[nH]c23)[C@H](C)O)ccc1-c1cccc(Cl)c1
WO2025207644,phenyl,OEt,indazole,5,A=4; B=1; C=0; D=0; E=0,4,A,IC50 < 100 nM,0.8,4.8,CCOc1cc(C(=O)N(C)C(CCN(C)C)c2cccc3cn[nH]c23)ccc1-c1ccccc1
WO2025207644,3-F-phenyl,OEt,azaindazole,108,A=82; B=12; C=5; D=5; E=4,82,A,IC50 < 100 nM,0.759,4.509,CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2025207644,3-F-phenyl,O-cyclopropyl,azaindazole,4,A=3; B=0; C=0; D=1; E=0,3,A,IC50 < 100 nM,0.75,4.25,CN(C)CC[C@H](c1cncc2cn[nH]c12)N(C)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1
WO2025207644,3-F-phenyl,OEt,indazole,25,A=18; B=5; C=1; D=1; E=0,18,A,IC50 < 100 nM,0.72,4.6,CCOc1cc(C(=O)N(C)[C@H](CCN(C)C)c2cccc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2025207644,3-F-phenyl,no_ortho_alkoxy,azaindazole,7,A=5; B=0; C=0; D=0; E=2,5,A,IC50 < 100 nM,0.714,3.857,Cc1ncc([C@@H](CO)N(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CC3)c2)c2[nH]ncc12
WO2025207644,3-CN-phenyl,OEt,azaindazole,13,A=9; B=2; C=0; D=1; E=1,9,A,IC50 < 100 nM,0.692,4.308,CCOc1cc(C(=O)N(C)[C@@H](c2cncc3cn[nH]c23)C2CNC2)ccc1-c1cccc(C#N)c1
WO2025207644,phenyl,OEt,azaindazole,41,A=25; B=3; C=2; D=10; E=1,25,A,IC50 < 100 nM,0.61,4.0,CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1ccccc1
WO2025207644,3-Cl-phenyl,O-cyclopropyl,azaindazole,3,A=1; B=1; C=0; D=1; E=0,1,A,IC50 < 100 nM,0.333,3.667,CN(C(=O)c1ccc(-c2cccc(Cl)c2)c(OC2CC2)c1)[C@H](CO)c1cncc2cn[nH]c12
WO2026054623,3-Me-phenyl,OEt,indazole,11,A=11; B=0,11,A,IC50 < 50 nM,1.0,5.0,CCOc1cc(C(=O)N(Cc2cccc3cn[nH]c23)CC2CCN(C)C2)ccc1-c1cccc(C)c1
WO2026054623,3-Me-phenyl,OEt,SEM-protected indazole/azaindazole,3,A=3; B=0,3,A,IC50 < 50 nM,1.0,5.0,CCOc1cc(C(=O)N(Cc2cccc3cnn(COCC[Si](C)(C)C)c23)CC2CCN(c3ccc(N)cc3)CC2)ccc1-c1cccc(C)c1
