patent_id,compound_number,smiles,activity_raw,activity_score,murcko_scaffold,mw,logp,tpsa,hbd,hba
WO2025207644,036_intermediate,CCOc1cc(C(=O)N(C)[C@H](CCN)c2cncc3cn[nH]c23)ccc1-c1cccc(C)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,443.6,4.49,97.1,2,5
WO2025207644,int-25,Cc1ncc(C=O)c2c1cnn2COCC[Si](C)(C)C,,,c1cc2[nH]ncc2cn1,291.4,2.86,57.0,0,4
WO2025207644,int-30,CCOc1cc(C(=O)N(CCO[Si](C)(C)C(C)(C)C)Cc2cnc(Cl)c3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,713.4,9.27,78.7,0,6
WO2025207644,7_intermediate,CCOc1cc(C(=O)N(C)[C@H](CC=O)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,446.5,4.57,88.2,1,5
WO2025207644,6_intermediate,CCSn1ncc2cncc(C(Br)CO[Si](C)(C)C(C)(C)C)c21,,,c1cc2[nH]ncc2cn1,416.5,5.41,39.9,0,4
WO2025207644,10,CCOc1cc(C(=O)N(C)C(CO)c2cncc3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,564.7,5.75,89.7,1,6
WO2025207644,11,CCOc1cc(C(=O)N(C)C(C=O)c2cncc3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,562.7,5.96,86.5,0,6
WO2025207644,12_intermediate,CCOc1cc(C(=O)N(C)C(CN(C)C)c2cncc3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,591.8,6.32,72.7,0,6
WO2025207644,13_intermediate,CCOc1cc(C(=O)N(C)C(CN(C)C)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,461.5,4.54,74.3,1,5
WO2025207644,1,CCOc1cc(C(=O)N(C)[C@H](c2cncc3cn[nH]c23)C2CN(C(=O)OC(C)(C)C)C2)ccc1-c1cccc(Cl)c1,,,O=C(NC(c1cncc2cn[nH]c12)C1CNC1)c1ccc(-c2ccccc2)cc1,576.1,6.36,100.6,1,6
WO2025207644,2,CCOc1cc(C(=O)N(C)[C@H](c2cncc3cn[nH]c23)C2CNC2)ccc1-c1cccc(Cl)c1,,,O=C(NC(c1cncc2cn[nH]c12)C1CNC1)c1ccc(-c2ccccc2)cc1,476.0,4.71,83.1,2,5
WO2025207644,133_intermediate,CCOc1cc(C(=O)N(C)[C@H](c2cncc3cn[nH]c23)C2CN(CC)C2)ccc1-c1cccc(Cl)c1,,,O=C(NC(c1cncc2cn[nH]c12)C1CNC1)c1ccc(-c2ccccc2)cc1,504.0,5.44,74.3,1,5
