ligand,gnina_cnn_PIK3CA,gnina_aff_PIK3CA,gnina_cnn_PIK3CB,gnina_aff_PIK3CB
PAB_084,0.0642791912,5.0358252525,0.8633982539,8.382850647
PAB_085,0.1703220159,4.4463014603,0.2113872617,5.5464668274
PAB_086,0.8657129407,6.5884537697,0.9223974943,6.558681488
PAB_087,0.0803141519,5.8666801453,0.8628764153,8.3018007278
PAB_088,0.8296493888,6.065284729,0.8419802785,6.1654415131
PAB_089,0.0798481107,5.8235945702,0.0998754501,5.8891448975
PAB_090,0.8915534019,7.191016674,0.6631239653,7.3273997307
PAB_091,0.1040794104,5.4965591431,0.1505776644,5.7649207115
PAB_092,0.0220833607,4.7220807076,0.8698804975,8.0442895889
PAB_093,0.2510049641,6.8896431923,0.9324956536,8.2430963516
PAB_094,0.843116045,6.8999590874,0.5145089626,6.6330833435
PAB_095,0.1966577917,6.6338477135,0.3555860817,7.3166790009
PAB_096,0.3226477504,5.6320800781,0.4560768902,6.1643490791
PAB_097,0.2948894203,5.7869534492,0.8672878742,7.0815720558
PAB_098,0.9872099757,7.7142033577,0.6715886593,6.8521437645
PAB_099,0.1771208048,6.2665057182,0.7349194288,7.8099861145
PAB_100,0.2296945006,5.7666606903,0.2693420649,6.0274176598
