ligand,target,vina_mode,vina_score
PAB_012,PIK3CB,6,-8.763
PAB_012,PIK3CB,7,-8.637
PAB_012,PIK3CB,8,-8.569
PAB_012,PIK3CB,9,-8.32
PAB_013,PIK3CA,1,-7.13
PAB_013,PIK3CA,2,-7.122
PAB_013,PIK3CA,3,-7.098
PAB_013,PIK3CA,4,-7.098
PAB_013,PIK3CA,5,-7.034
PAB_013,PIK3CA,6,-7.005
PAB_013,PIK3CA,7,-6.965
PAB_013,PIK3CA,8,-6.558
PAB_013,PIK3CA,9,-6.37
PAB_013,PIK3CB,1,-8.902
PAB_013,PIK3CB,2,-8.571
PAB_013,PIK3CB,3,-8.425
PAB_013,PIK3CB,4,-8.267
PAB_013,PIK3CB,5,-8.131
PAB_013,PIK3CB,6,-8.042
PAB_013,PIK3CB,7,-7.963
PAB_013,PIK3CB,8,-7.842
PAB_013,PIK3CB,9,-7.56
PAB_014,PIK3CA,1,-8.082
PAB_014,PIK3CA,2,-7.787
PAB_014,PIK3CA,3,-7.612
PAB_014,PIK3CA,4,-7.526
PAB_014,PIK3CA,5,-7.295
PAB_014,PIK3CA,6,-7.217
PAB_014,PIK3CA,7,-7.142
PAB_014,PIK3CA,8,-6.81
PAB_014,PIK3CA,9,-6.779
PAB_014,PIK3CB,1,-8.349
PAB_014,PIK3CB,2,-8.064
PAB_014,PIK3CB,3,-7.986
PAB_014,PIK3CB,4,-7.94
PAB_014,PIK3CB,5,-7.794
PAB_014,PIK3CB,6,-7.72
PAB_014,PIK3CB,7,-7.683
PAB_014,PIK3CB,8,-7.673
PAB_014,PIK3CB,9,-7.455
PAB_015,PIK3CA,1,-9.867
PAB_015,PIK3CA,2,-9.127
PAB_015,PIK3CA,3,-8.985
PAB_015,PIK3CA,4,-8.815
PAB_015,PIK3CA,5,-8.796
PAB_015,PIK3CA,6,-8.775
PAB_015,PIK3CA,7,-8.673
PAB_015,PIK3CA,8,-8.637
PAB_015,PIK3CA,9,-8.512
PAB_015,PIK3CB,1,-9.319
PAB_015,PIK3CB,2,-9.07
PAB_015,PIK3CB,3,-8.727
PAB_015,PIK3CB,4,-8.642
PAB_015,PIK3CB,5,-8.596
PAB_015,PIK3CB,6,-8.416
PAB_015,PIK3CB,7,-8.348
PAB_015,PIK3CB,8,-8.215
PAB_015,PIK3CB,9,-8.194
PAB_016,PIK3CA,1,-7.868
PAB_016,PIK3CA,2,-7.867
PAB_016,PIK3CA,3,-7.756
PAB_016,PIK3CA,4,-7.685
PAB_016,PIK3CA,5,-7.652
PAB_016,PIK3CA,6,-7.534
