"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL4876008","","None","395.93","0","2.14","62-Cl, NLG802","CCOC(=O)[C@@H](Cc1cn(C)c2ccccc12)NC(=O)[C@@H](N)CC(C)C.Cl","IC50","'>'","50000.0","nM","","","","UO_0000065","","","","","0","CHEMBL4837388","Inhibition of OAT3 (unknown origin) expressed in HEK293 cells","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL4837181","1","Scientific Literature","Eur J Med Chem","2020","None","","","","50.0"
"CHEMBL3683287","","None","428.83","0","4.21","10f","N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl","IC50","'='","14000.0","nM","4.85","","","UO_0000065","11.32","0.23","0.64","4.19","0","CHEMBL3853459","Inhibition of OAT1 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL3853264","1","Scientific Literature","Medchemcomm","2016","None","","","","14.0"
"CHEMBL5563848","","None","443.51","0","2.36","28, BMS-986308","Cc1cc(-n2ncc(CN3C[C@@H](c4ccc5c(c4C)COC5=O)N[C@@H](C)C3)n2)ncc1C#N","IC50","'>'","18000.0","nM","","","","UO_0000065","","","","","0","CHEMBL5516946","Inhibition of OAT1 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL5512682","1","Scientific Literature","J Med Chem","2024","None","","","","18.0"
"CHEMBL454575","","None","478.49","0","1.07","Glu-CA4","COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","IC50","'>'","200000.0","nM","","Outside typical range","","UO_0000065","","","","","0","CHEMBL4257829","Inhibition of human OAT1 expressed in HEK293 cells assessed as 6-CF uptake after 5 mins by fluorescence assay","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL4257448","1","Scientific Literature","Medchemcomm","2017","None","","","","200.0"
"CHEMBL2074987","BENZOTHIAZOLYLCYSTEINE","None","254.34","0","1.80","Benzothiazolylcysteine","N[C@H](CSc1nc2ccccc2s1)C(=O)O","IC50","'='","9900.0","nM","5.00","","substrate [IC509.9uM]","UO_0000065","","","","","0","CHEMBL2077053","TP_TRANSPORTER: trans-stimulation in OAT1-COS7 cells","F","BAO_0000219","cell-based format","None","None","None","COS-7","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074104","18","TP-search Transporter Database","J Pharmacol Exp Ther","2003","CHEMBL3307648","","SUBSTRATE","","9.9"
"CHEMBL5542977","","None","466.28","0","3.04","21c","O=C(c1ccnc2ccc(Br)cc12)N1CCC[C@H]1CNS(=O)(=O)C(F)(F)F","IC50","'='","6190.0","nM","5.21","","","UO_0000065","11.17","0.26","2.17","6.56","0","CHEMBL5515069","Inhibition of human OAT1 expressed in MDCK-II cells using 6-carboxyfluorescein as substrate","B","BAO_0000219","cell-based format","Homo sapiens","None","None","MDCK-II","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL5512648","1","Scientific Literature","Eur J Med Chem","2024","None","","INHIBITOR","","6.19"
"CHEMBL898","DIFLUNISAL","4.0","250.20","0","3.04","Diflunisal","O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O","IC50","'='","850.0","nM","6.07","","inhibitor [IC50=0.85uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","0.85"
"CHEMBL463","AMINOHIPPURIC ACID","4.0","194.19","0","0.08","P-aminohippuric acid","Nc1ccc(C(=O)NCC(=O)O)cc1","IC50","'='","127000.0","nM","","Outside typical range","inhibitor [IC50=127uM]","UO_0000065","","","","","0","CHEMBL2076903","TP_TRANSPORTER: inhibition of Urate uptake (Urate: 300 uM) in OAT1-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074097","18","TP-search Transporter Database","Kidney Int","2003","CHEMBL3308861","","INHIBITOR","","127.0"
"CHEMBL5170470","","None","370.41","0","4.73","Verinurad","CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)[O-].[Na+]","IC50","'='","12740.0","nM","4.89","","","UO_0000065","","","","","0","CHEMBL5157441","Inhibition of OAT1 (unknown origin) expressed in HEK293 cells assessed as inhibition of 6-CFL uptake preincubated for 30 mins followed by incubation with 6-CFL and measured after 15 mins by fluorescence based analysis","T","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL5154691","1","Scientific Literature","Eur J Med Chem","2022","None","TIME = 0.75 hr","INHIBITOR","","12.74"
"CHEMBL897","PROBENECID","4.0","285.37","0","2.20","Probenecid","CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1","IC50","'='","12300.0","nM","4.91","","inhibitor [IC50=12.3 +/- 5.17uM]","UO_0000065","","","","","1","CHEMBL2077836","TP_TRANSPORTER: inhibition of PHA uptake (PHA: 5uM) in hOAT1-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074482","18","TP-search Transporter Database","J Pharmacol Sci","2004","CHEMBL3308861","","INHIBITOR","","12.3"
"CHEMBL316157","CEPHALORIDINE","4.0","415.50","0","-0.32","Cephaloridine","O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12","IC50","'='","1250000.0","nM","","Outside typical range","inhibitor [IC50=1250uM]","UO_0000065","","","","","0","CHEMBL2076041","TP_TRANSPORTER: inhibition of 6-Carboxyfluorescein uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074458","18","TP-search Transporter Database","Anal Biochem","2000","CHEMBL3308072","","INHIBITOR","","1250.0"
"CHEMBL1604","CEPHRADINE","4.0","349.41","0","0.35","Cephradine","CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1","IC50","'='","1600000.0","nM","","Outside typical range","inhibitor [IC50=1600uM]","UO_0000065","","","","","0","CHEMBL2076041","TP_TRANSPORTER: inhibition of 6-Carboxyfluorescein uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074458","18","TP-search Transporter Database","Anal Biochem","2000","CHEMBL3308072","","INHIBITOR","","1600.0"
"CHEMBL16073","PHENACETIN","4.0","179.22","0","2.04","Phenacetin","CCOc1ccc(NC(C)=O)cc1","IC50","'='","200000.0","nM","","Outside typical range","inhibitor [IC50=200uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","200.0"
"CHEMBL897","PROBENECID","4.0","285.37","0","2.20","Probenecid","CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1","IC50","'='","12500.0","nM","4.90","","inhibitor [IC50=12.5uM]","UO_0000065","","","","","0","CHEMBL2076903","TP_TRANSPORTER: inhibition of Urate uptake (Urate: 300 uM) in OAT1-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074097","18","TP-search Transporter Database","Kidney Int","2003","CHEMBL3308861","","INHIBITOR","","12.5"
"CHEMBL461","HIPPURIC ACID","None","179.17","0","0.50","Hippurate","O=C(O)CNC(=O)c1ccccc1","IC50","'='","20000.0","nM","4.70","","inhibitor [IC50=20uM]","UO_0000065","","","","","0","CHEMBL2077846","TP_TRANSPORTER: inhibition of PAH uptake in OAT-expressing OK cells","F","BAO_0000219","cell-based format","None","None","None","OK","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074206","18","TP-search Transporter Database","Br J Pharmacol","2002","None","","INHIBITOR","","20.0"
"CHEMBL424","SALICYLIC ACID","4.0","138.12","0","1.09","Salicylate","O=C(O)c1ccccc1O","IC50","'='","280000.0","nM","","Outside typical range","inhibitor [IC50=280uM]","UO_0000065","","","","","0","CHEMBL2076041","TP_TRANSPORTER: inhibition of 6-Carboxyfluorescein uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074458","18","TP-search Transporter Database","Anal Biochem","2000","CHEMBL3308072","","INHIBITOR","","280.0"
"CHEMBL4112930","PAMIPARIB","3.0","298.32","0","2.08","139, BGB-290","C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34","IC50","'='","47800.0","nM","4.32","","","UO_0000065","14.48","0.27","2.24","7.14","0","CHEMBL4678464","Inhibition of OAT1 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL4673340","1","Scientific Literature","J Med Chem","2020","None","","INHIBITOR","","47.8"
"CHEMBL5089410","PILAVAPADIN","2.0","385.41","1","5.16","34, BMS-986176/LX-9211","CC(C)C[C@](C)(N)COc1ccc(-c2ccnc(C(F)F)c2)nc1C(F)F","IC50","'>'","30000.0","nM","","","","UO_0000065","","","","","0","CHEMBL5049640","Inhibition of OAT1 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL5046296","1","Scientific Literature","J Med Chem","2022","None","","","","30.0"
"CHEMBL897","PROBENECID","4.0","285.37","0","2.20","Probenecid","CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1","IC50","'='","7400.0","nM","5.13","","inhibitor [IC50=7.4uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","7.4"
