"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL483","TENOFOVIR ANHYDROUS","3.0","287.22","0","-0.05","Tenofovir","C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O","Vmax","'='","28.7","pmol/min","","","","","","","","","0","CHEMBL1636064","Activity of human OAT3 transfected in BHK-21 cells measured per 10'6 cells","B","BAO_0000219","cell-based format","Homo sapiens","None","None","BHK-21","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL1629582","1","Scientific Literature","Antimicrob Agents Chemother","2009","CHEMBL3308360","","","","28.7"
"CHEMBL286013","DIMEBUTIC ACID","2.0","116.16","0","1.51","10, HST5040A","CCC(C)(C)C(=O)O","IC50","'='","3511000.0","nM","","Outside typical range","","UO_0000065","","","","","0","CHEMBL4809208","Inhibition of human OAT3 assessed as reduction in OAT3-mediated tenofovir transport","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL4808180","1","Scientific Literature","J Med Chem","2021","None","","INHIBITOR","","3511.0"
"CHEMBL548","DINOPROSTONE","4.0","352.47","0","3.25","Prostaglandin E2","CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O","Activity","'='","21.8","%","","","inhibitor [21.8 % of control]","UO_0000187","","","","","0","CHEMBL2076653","TP_TRANSPORTER: inhibition of ES uptake (ES: 0.05 uM, PGE2: 30 uM) in OAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2073850","18","TP-search Transporter Database","J Pharmacol Exp Ther","2002","CHEMBL3308861","","","","21.8"
"CHEMBL1200699","DOXYCYCLINE","4.0","462.46","1","-0.35","Doxycycline","C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O","Activity","","","","","","","","","","","","0","CHEMBL2075885","TP_TRANSPORTER: inhibition of E1S uptake (E1S: 0.05 uM, Doxycycline: 50 uM) in OAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074363","18","TP-search Transporter Database","Jpn J Pharmacol","2002","CHEMBL3308861","","","is not an inhibitor [-]",""
"CHEMBL1540","PENCICLOVIR","4.0","253.26","0","-0.90","Penciclovir","Nc1nc(O)c2ncn(CCC(CO)CO)c2n1","Drug transport","","","","","","","","","","","","0","CHEMBL3539897","Drug transport in human OAT3 expressed in HEK Flp-In cells at 0.07 uM for 10 mins relative to control","A","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3526025","1","Scientific Literature","Drug Metab Dispos","2012","CHEMBL3307715","","","Not active",""
"CHEMBL463","AMINOHIPPURIC ACID","4.0","194.19","0","0.08","P-aminohippuric acid","Nc1ccc(C(=O)NCC(=O)O)cc1","Activity","","","","","","substrate []","","","","","","0","CHEMBL2077090","TP_TRANSPORTER: trans-stimulation in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074489","18","TP-search Transporter Database","Cell Physiol Biochem","2003","CHEMBL3308859","","","",""
"CHEMBL1434","MINOCYCLINE","4.0","457.48","0","0.19","Minocycline","CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O","Activity","","","","","","","","","","","","0","CHEMBL2076663","TP_TRANSPORTER: inhibition of E1S uptake (E1S: 0.05 uM, Minocycline: 50 uM) in OAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074363","18","TP-search Transporter Database","Jpn J Pharmacol","2002","CHEMBL3308861","","","is not an inhibitor [-]",""
"CHEMBL1440","TETRACYCLINE","4.0","444.44","1","-0.21","Tetracycline","CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12","Km","'='","566200.0","nM","","","substrate [Km=566.2uM]","UO_0000065","","","","","0","CHEMBL2076642","TP_TRANSPORTER: uptake in OAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074363","18","TP-search Transporter Database","Jpn J Pharmacol","2002","CHEMBL3308861","","SUBSTRATE","","566.2"
"CHEMBL29","PENICILLIN G","4.0","334.40","0","0.86","Penicillin G (Benzylpenicillin)","CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O","Ki","'='","97600.0","nM","4.01","","inhibitor [Ki=97.6uM]","UO_0000065","","","","","0","CHEMBL2078139","TP_TRANSPORTER: inhibition of MTX uptake in OAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2073817","18","TP-search Transporter Database","J Pharmacol Exp Ther","2002","CHEMBL3308861","","INHIBITOR","","97.6"
"CHEMBL9324","TETRYLAMMONIUM","2.0","130.25","0","1.88","Tetraethylammonium","CC[N+](CC)(CC)CC","Activity","","","","","","","","","","","","0","CHEMBL2077940","TP_TRANSPORTER: inhibition of E1S uptake (E1S: 0.05 uM, TEA: 5 uM) in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074134","18","TP-search Transporter Database","Mol Pharmacol","2001","CHEMBL3308859","","INHIBITOR","inhibitor [(at a rough estimate) 70 % of control]",""
