smiles,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
CC(C)(O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,7.9079723,7.223287,6.211668,7.9079723,0.68468523,3.041492403580949,0.5121449249771703,0.7255721244667046
CS(=O)(=O)C1CCN(c2cccc3c2ccn3-c2ccnc(N[C@H]3CC[C@@H](O)CC3)n2)CC1,7.658043,7.2299223,6.151993,7.658043,0.4281206,2.90112153122808,0.5920066748802546,0.7254531232038092
CS(=O)(=O)C1CCN(c2cccc3c2ccn3-c2ccnc(N[C@H]3CC[C@H](O)CC3)n2)CC1,7.658043,7.2299223,6.151993,7.658043,0.4281206,2.90112153122808,0.5920066748802546,0.7254531232038092
COC(=O)c1c(CNC(=O)c2ccc(N3CCOCC3)nc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,8.213293,6.8153305,6.6130767,8.213293,1.3979626,2.595419805983507,0.3784788906886623,0.7246720953672041
COc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(Cl)cn2)cc1,6.4488416,5.990412,7.532494,7.532494,-1.0836525,2.1108660799002514,0.6729801247118061,0.7245071614684929
COc1cccc(C2=NOC(C(=O)NC3CCCCC3)C2)c1,6.639726,5.734126,4.536209,6.639726,0.9056001,2.646651908875347,0.929841723219428,0.7242826568921074
COC(=O)c1ccc(C(=O)NCc2c(C(=O)OC)n(-c3ccccc3)c3cc(Cl)ccc3c2=O)cc1,8.121578,6.682391,5.5154095,8.121578,1.439187,2.356558023400849,0.3956102446835973,0.7240669438614025
CC(C)COc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.2057195,6.7080765,5.7234,7.2057195,0.497643,2.470467868549303,0.7217979611001337,0.7240552765029787
CS(=O)(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,8.012172,7.1842422,6.075203,8.012172,0.8279295,3.005780680883433,0.46332324742634484,0.7234588648474553
Cc1nc(NCc2ccco2)c(C#N)c2c1COC(C)(C)C2,6.616752,5.8436995,4.605681,6.616752,0.7730527,2.817971744283531,0.9406402594428174,0.7231209847829474
N#Cc1ccc2c(ccc(=O)n2CC(=O)Nc2scc(Br)c2-c2ncn[nH]2)c1,5.39619,7.4911904,8.605922,8.605922,-3.2097316,2.9301331215857402,0.4906529371695195,0.7230978047066634
O[C@H]1CC[C@H](Nc2nccc(N3CCc4ccccc43)n2)CC1,6.63649,6.231583,5.3730454,6.63649,0.40490675,2.3974431666389915,0.9125842665840191,0.7230967124218982
N#Cc1ccc2ccc(=O)n(CC(=O)Nc3scc(Br)c3-c3ncn[nH]3)c2c1,5.39619,7.4911904,8.6081295,8.6081295,-3.2119393,2.9499002369703557,0.4906529371695195,0.7230215601351538
COC(=O)c1c(CNC(=O)c2ccccc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.8892455,6.583469,5.3713326,7.8892455,1.3057766,2.2243010492429374,0.4619222389925449,0.722388623013172
