pair,seed,ligand,class,pdb,status,vina_mode1
EGFR/HER2,20260727,EH40_05,dual,3RCD,production_corrected_box,-10.109
EGFR/HER2,20260727,EH40_06,dual,3POZ,production_corrected_box,-9.631
EGFR/HER2,20260727,EH40_06,dual,3RCD,production_corrected_box,-10.039
EGFR/HER2,20260727,EH40_07,dual,3POZ,production_corrected_box,-8.887
EGFR/HER2,20260727,EH40_07,dual,3RCD,production_corrected_box,-9.642
EGFR/HER2,20260727,EH40_08,dual,3POZ,production_corrected_box,-9.621
EGFR/HER2,20260727,EH40_08,dual,3RCD,production_corrected_box,-9.837
EGFR/HER2,20260727,EH40_09,dual,3POZ,production_corrected_box,-10.792
EGFR/HER2,20260727,EH40_09,dual,3RCD,production_corrected_box,-9.869
EGFR/HER2,20260727,EH40_10,dual,3POZ,production_corrected_box,-8.705
EGFR/HER2,20260727,EH40_10,dual,3RCD,production_corrected_box,-8.098
EGFR/HER2,20260727,EH40_11,dual,3POZ,production_corrected_box,-10.003
EGFR/HER2,20260727,EH40_11,dual,3RCD,production_corrected_box,-10.337
EGFR/HER2,20260727,EH40_12,dual,3POZ,production_corrected_box,-10.337
EGFR/HER2,20260727,EH40_12,dual,3RCD,production_corrected_box,-10.397
EGFR/HER2,20260727,EH40_13,dual,3POZ,production_corrected_box,-10.279
EGFR/HER2,20260727,EH40_13,dual,3RCD,production_corrected_box,-9.226
EGFR/HER2,20260727,EH40_14,dual,3POZ,production_corrected_box,-7.119
EGFR/HER2,20260727,EH40_14,dual,3RCD,production_corrected_box,-7.529
EGFR/HER2,20260727,EH40_15,dual,3POZ,production_corrected_box,-8.263
EGFR/HER2,20260727,EH40_15,dual,3RCD,production_corrected_box,-8.255
EGFR/HER2,20260727,EH40_16,A_only,3POZ,production_corrected_box,-10.433
EGFR/HER2,20260727,EH40_16,A_only,3RCD,production_corrected_box,-10.095
EGFR/HER2,20260727,EH40_17,A_only,3POZ,production_corrected_box,-8.451
EGFR/HER2,20260727,EH40_17,A_only,3RCD,production_corrected_box,-8.484
EGFR/HER2,20260727,EH40_18,A_only,3POZ,production_corrected_box,-11.216
EGFR/HER2,20260727,EH40_18,A_only,3RCD,production_corrected_box,-12.366
EGFR/HER2,20260727,EH40_19,A_only,3POZ,production_corrected_box,-8.434
EGFR/HER2,20260727,EH40_19,A_only,3RCD,production_corrected_box,-8.19
EGFR/HER2,20260727,EH40_20,A_only,3POZ,production_corrected_box,-10.352
EGFR/HER2,20260727,EH40_20,A_only,3RCD,production_corrected_box,-9.655
EGFR/HER2,20260727,EH40_21,A_only,3POZ,production_corrected_box,-8.951
EGFR/HER2,20260727,EH40_21,A_only,3RCD,production_corrected_box,-9.077
EGFR/HER2,20260727,EH40_22,A_only,3POZ,production_corrected_box,-9.734
EGFR/HER2,20260727,EH40_22,A_only,3RCD,production_corrected_box,-10.088
EGFR/HER2,20260727,EH40_23,A_only,3POZ,production_corrected_box,-11.086
EGFR/HER2,20260727,EH40_23,A_only,3RCD,production_corrected_box,-10.973
EGFR/HER2,20260727,EH40_24,A_only,3POZ,production_corrected_box,-7.028
EGFR/HER2,20260727,EH40_24,A_only,3RCD,production_corrected_box,-6.959
EGFR/HER2,20260727,EH40_25,A_only,3POZ,production_corrected_box,-7.95
EGFR/HER2,20260727,EH40_25,A_only,3RCD,production_corrected_box,-8.208
EGFR/HER2,20260727,EH40_26,A_only,3POZ,production_corrected_box,-7.287
EGFR/HER2,20260727,EH40_26,A_only,3RCD,production_corrected_box,-7.732
EGFR/HER2,20260727,EH40_27,A_only,3POZ,production_corrected_box,-8.818
EGFR/HER2,20260727,EH40_27,A_only,3RCD,production_corrected_box,-9.201
EGFR/HER2,20260727,EH40_28,B_only,3POZ,production_corrected_box,-11.025
EGFR/HER2,20260727,EH40_28,B_only,3RCD,production_corrected_box,-11.483
EGFR/HER2,20260727,EH40_29,B_only,3POZ,production_corrected_box,-9.434
EGFR/HER2,20260727,EH40_29,B_only,3RCD,production_corrected_box,-8.996
EGFR/HER2,20260727,EH40_30,B_only,3POZ,production_corrected_box,-9.149
EGFR/HER2,20260727,EH40_30,B_only,3RCD,production_corrected_box,-9.56
EGFR/HER2,20260727,EH40_31,B_only,3POZ,production_corrected_box,-10.196
EGFR/HER2,20260727,EH40_31,B_only,3RCD,production_corrected_box,-9.786
EGFR/HER2,20260727,EH40_32,B_only,3POZ,production_corrected_box,-9.311
EGFR/HER2,20260727,EH40_32,B_only,3RCD,production_corrected_box,-9.78
EGFR/HER2,20260727,EH40_33,B_only,3POZ,production_corrected_box,-11.133
EGFR/HER2,20260727,EH40_33,B_only,3RCD,production_corrected_box,-10.531
EGFR/HER2,20260727,EH40_34,B_only,3POZ,production_corrected_box,-9.589
EGFR/HER2,20260727,EH40_34,B_only,3RCD,production_corrected_box,-9.492
EGFR/HER2,20260727,EH40_35,B_only,3POZ,production_corrected_box,-10.272
EGFR/HER2,20260727,EH40_35,B_only,3RCD,production_corrected_box,-10.628
EGFR/HER2,20260727,EH40_36,B_only,3POZ,production_corrected_box,-10.249
EGFR/HER2,20260727,EH40_36,B_only,3RCD,production_corrected_box,-10.482
EGFR/HER2,20260727,EH40_37,B_only,3POZ,production_corrected_box,-10.639
EGFR/HER2,20260727,EH40_37,B_only,3RCD,production_corrected_box,-10.746
EGFR/HER2,20260727,EH40_38,neither,3POZ,production_corrected_box,-9.667
EGFR/HER2,20260727,EH40_38,neither,3RCD,production_corrected_box,-9.765
EGFR/HER2,20260727,EH40_39,neither,3POZ,production_corrected_box,-10.32
EGFR/HER2,20260727,EH40_39,neither,3RCD,production_corrected_box,-10.075
EGFR/HER2,20260727,EH40_40,neither,3POZ,production_corrected_box,-7.877
EGFR/HER2,20260727,EH40_40,neither,3RCD,production_corrected_box,-8.658
EGFR/HER2,20260811,EH120_041,dual,3POZ,ok,-10.354
EGFR/HER2,20260811,EH120_041,dual,3RCD,ok,-10.989
EGFR/HER2,20260811,EH120_042,dual,3POZ,ok,-9.383
EGFR/HER2,20260811,EH120_042,dual,3RCD,ok,-9.497
EGFR/HER2,20260811,EH120_043,dual,3POZ,ok,-8.6
EGFR/HER2,20260811,EH120_043,dual,3RCD,ok,-9.058
EGFR/HER2,20260811,EH120_044,dual,3POZ,ok,-10.686
EGFR/HER2,20260811,EH120_044,dual,3RCD,ok,-9.669
EGFR/HER2,20260811,EH120_045,dual,3POZ,ok,-9.334
EGFR/HER2,20260811,EH120_045,dual,3RCD,ok,-9.757
EGFR/HER2,20260811,EH120_046,dual,3POZ,ok,-9.994
EGFR/HER2,20260811,EH120_046,dual,3RCD,ok,-9.785
EGFR/HER2,20260811,EH120_047,dual,3POZ,ok,-9.816
