pair,seed,ligand,class,pocket,pdb,status,vina_mode1,reason
EGFR/HER2,20260727,EH120_048,dual,B,3RCD,primary_reused,-8.336,from_production_tables
EGFR/HER2,20260727,EH120_049,dual,A,3POZ,primary_reused,-9.998,from_production_tables
EGFR/HER2,20260727,EH120_049,dual,B,3RCD,primary_reused,-9.551,from_production_tables
EGFR/HER2,20260727,EH120_050,dual,A,3POZ,primary_reused,-10.63,from_production_tables
EGFR/HER2,20260727,EH120_050,dual,B,3RCD,primary_reused,-9.956,from_production_tables
EGFR/HER2,20260727,EH120_051,dual,A,3POZ,primary_reused,-8.966,from_production_tables
EGFR/HER2,20260727,EH120_051,dual,B,3RCD,primary_reused,-8.286,from_production_tables
EGFR/HER2,20260727,EH120_052,dual,A,3POZ,primary_reused,-10.226,from_production_tables
EGFR/HER2,20260727,EH120_052,dual,B,3RCD,primary_reused,-9.923,from_production_tables
EGFR/HER2,20260727,EH120_053,dual,A,3POZ,primary_reused,-10.136,from_production_tables
EGFR/HER2,20260727,EH120_053,dual,B,3RCD,primary_reused,-10.645,from_production_tables
EGFR/HER2,20260727,EH120_054,A_only,A,3POZ,primary_reused,-8.192,from_production_tables
EGFR/HER2,20260727,EH120_054,A_only,B,3RCD,primary_reused,-7.685,from_production_tables
EGFR/HER2,20260727,EH120_055,A_only,A,3POZ,primary_reused,-9.101,from_production_tables
EGFR/HER2,20260727,EH120_055,A_only,B,3RCD,primary_reused,-8.25,from_production_tables
EGFR/HER2,20260727,EH120_056,A_only,A,3POZ,primary_reused,-7.795,from_production_tables
EGFR/HER2,20260727,EH120_056,A_only,B,3RCD,primary_reused,-7.962,from_production_tables
EGFR/HER2,20260727,EH120_057,A_only,A,3POZ,primary_reused,-8.062,from_production_tables
EGFR/HER2,20260727,EH120_057,A_only,B,3RCD,primary_reused,-7.557,from_production_tables
EGFR/HER2,20260727,EH120_058,A_only,A,3POZ,primary_reused,-10.178,from_production_tables
EGFR/HER2,20260727,EH120_058,A_only,B,3RCD,primary_reused,-9.275,from_production_tables
EGFR/HER2,20260727,EH120_059,A_only,A,3POZ,primary_reused,-9.575,from_production_tables
EGFR/HER2,20260727,EH120_059,A_only,B,3RCD,primary_reused,-8.645,from_production_tables
EGFR/HER2,20260727,EH120_060,A_only,A,3POZ,primary_reused,-9.015,from_production_tables
EGFR/HER2,20260727,EH120_060,A_only,B,3RCD,primary_reused,-9.173,from_production_tables
EGFR/HER2,20260727,EH120_061,A_only,A,3POZ,primary_reused,-10.876,from_production_tables
EGFR/HER2,20260727,EH120_061,A_only,B,3RCD,primary_reused,-10.937,from_production_tables
EGFR/HER2,20260727,EH120_062,A_only,A,3POZ,primary_reused,-11.415,from_production_tables
EGFR/HER2,20260727,EH120_062,A_only,B,3RCD,primary_reused,-11.098,from_production_tables
EGFR/HER2,20260727,EH120_063,A_only,A,3POZ,primary_reused,-9.575,from_production_tables
EGFR/HER2,20260727,EH120_063,A_only,B,3RCD,primary_reused,-9.815,from_production_tables
EGFR/HER2,20260727,EH120_064,A_only,A,3POZ,primary_reused,-7.819,from_production_tables
EGFR/HER2,20260727,EH120_064,A_only,B,3RCD,primary_reused,-8.147,from_production_tables
EGFR/HER2,20260727,EH120_065,A_only,A,3POZ,primary_reused,-8.773,from_production_tables
EGFR/HER2,20260727,EH120_065,A_only,B,3RCD,primary_reused,-8.591,from_production_tables
EGFR/HER2,20260727,EH120_066,A_only,A,3POZ,primary_reused,-8.648,from_production_tables
EGFR/HER2,20260727,EH120_066,A_only,B,3RCD,primary_reused,-8.522,from_production_tables
EGFR/HER2,20260727,EH120_067,A_only,A,3POZ,primary_reused,-8.423,from_production_tables
EGFR/HER2,20260727,EH120_067,A_only,B,3RCD,primary_reused,-8.877,from_production_tables
EGFR/HER2,20260727,EH120_068,A_only,A,3POZ,primary_reused,-9.352,from_production_tables
EGFR/HER2,20260727,EH120_068,A_only,B,3RCD,primary_reused,-8.977,from_production_tables
EGFR/HER2,20260727,EH120_069,A_only,A,3POZ,primary_reused,-9.013,from_production_tables
EGFR/HER2,20260727,EH120_069,A_only,B,3RCD,primary_reused,-8.872,from_production_tables
EGFR/HER2,20260727,EH120_070,A_only,A,3POZ,primary_reused,-8.852,from_production_tables
EGFR/HER2,20260727,EH120_070,A_only,B,3RCD,primary_reused,-9.136,from_production_tables
EGFR/HER2,20260727,EH120_071,A_only,A,3POZ,primary_reused,-9.8,from_production_tables
EGFR/HER2,20260727,EH120_071,A_only,B,3RCD,primary_reused,-10.075,from_production_tables
EGFR/HER2,20260727,EH120_072,A_only,A,3POZ,primary_reused,-11.068,from_production_tables
EGFR/HER2,20260727,EH120_072,A_only,B,3RCD,primary_reused,-10.933,from_production_tables
EGFR/HER2,20260727,EH120_073,A_only,A,3POZ,primary_reused,-9.858,from_production_tables
EGFR/HER2,20260727,EH120_073,A_only,B,3RCD,primary_reused,-9.943,from_production_tables
EGFR/HER2,20260727,EH120_074,A_only,A,3POZ,primary_reused,-8.486,from_production_tables
EGFR/HER2,20260727,EH120_074,A_only,B,3RCD,primary_reused,-8.505,from_production_tables
EGFR/HER2,20260727,EH120_075,A_only,A,3POZ,primary_reused,-8.702,from_production_tables
EGFR/HER2,20260727,EH120_075,A_only,B,3RCD,primary_reused,-8.296,from_production_tables
EGFR/HER2,20260727,EH120_076,A_only,A,3POZ,primary_reused,-8.786,from_production_tables
EGFR/HER2,20260727,EH120_076,A_only,B,3RCD,primary_reused,-8.776,from_production_tables
EGFR/HER2,20260727,EH120_077,A_only,A,3POZ,primary_reused,-8.672,from_production_tables
EGFR/HER2,20260727,EH120_077,A_only,B,3RCD,primary_reused,-9.532,from_production_tables
EGFR/HER2,20260727,EH120_078,A_only,A,3POZ,primary_reused,-10.03,from_production_tables
EGFR/HER2,20260727,EH120_078,A_only,B,3RCD,primary_reused,-9.471,from_production_tables
EGFR/HER2,20260727,EH120_079,A_only,A,3POZ,primary_reused,-7.872,from_production_tables
EGFR/HER2,20260727,EH120_079,A_only,B,3RCD,primary_reused,-7.811,from_production_tables
EGFR/HER2,20260727,EH120_080,B_only,A,3POZ,primary_reused,-9.988,from_production_tables
EGFR/HER2,20260727,EH120_080,B_only,B,3RCD,primary_reused,-10.185,from_production_tables
EGFR/HER2,20260727,EH120_081,B_only,A,3POZ,primary_reused,-10.624,from_production_tables
EGFR/HER2,20260727,EH120_081,B_only,B,3RCD,primary_reused,-10.857,from_production_tables
EGFR/HER2,20260727,EH120_082,B_only,A,3POZ,primary_reused,-9.68,from_production_tables
EGFR/HER2,20260727,EH120_082,B_only,B,3RCD,primary_reused,-9.54,from_production_tables
EGFR/HER2,20260727,EH120_083,B_only,A,3POZ,primary_reused,-10.534,from_production_tables
EGFR/HER2,20260727,EH120_083,B_only,B,3RCD,primary_reused,-10.925,from_production_tables
EGFR/HER2,20260727,EH120_084,B_only,A,3POZ,primary_reused,-10.632,from_production_tables
EGFR/HER2,20260727,EH120_084,B_only,B,3RCD,primary_reused,-10.589,from_production_tables
EGFR/HER2,20260727,EH120_085,B_only,A,3POZ,primary_reused,-10.883,from_production_tables
EGFR/HER2,20260727,EH120_085,B_only,B,3RCD,primary_reused,-11.507,from_production_tables
EGFR/HER2,20260727,EH120_086,B_only,A,3POZ,primary_reused,-10.441,from_production_tables
EGFR/HER2,20260727,EH120_086,B_only,B,3RCD,primary_reused,-10.535,from_production_tables
EGFR/HER2,20260727,EH120_087,B_only,A,3POZ,primary_reused,-10.823,from_production_tables
EGFR/HER2,20260727,EH120_087,B_only,B,3RCD,primary_reused,-10.917,from_production_tables
EGFR/HER2,20260727,EH120_088,B_only,A,3POZ,primary_reused,-10.927,from_production_tables
EGFR/HER2,20260727,EH120_088,B_only,B,3RCD,primary_reused,-12.208,from_production_tables
EGFR/HER2,20260727,EH120_089,B_only,A,3POZ,primary_reused,-9.003,from_production_tables
EGFR/HER2,20260727,EH120_089,B_only,B,3RCD,primary_reused,-9.349,from_production_tables
EGFR/HER2,20260727,EH120_090,B_only,A,3POZ,primary_reused,-9.271,from_production_tables
EGFR/HER2,20260727,EH120_090,B_only,B,3RCD,primary_reused,-9.72,from_production_tables
EGFR/HER2,20260727,EH120_091,B_only,A,3POZ,primary_reused,-10.058,from_production_tables
EGFR/HER2,20260727,EH120_091,B_only,B,3RCD,primary_reused,-10.33,from_production_tables
EGFR/HER2,20260727,EH120_092,B_only,A,3POZ,primary_reused,-10.576,from_production_tables
EGFR/HER2,20260727,EH120_092,B_only,B,3RCD,primary_reused,-10.96,from_production_tables
EGFR/HER2,20260727,EH120_093,B_only,A,3POZ,primary_reused,-10.409,from_production_tables
EGFR/HER2,20260727,EH120_093,B_only,B,3RCD,primary_reused,-10.482,from_production_tables
EGFR/HER2,20260727,EH120_094,B_only,A,3POZ,primary_reused,-8.631,from_production_tables
EGFR/HER2,20260727,EH120_094,B_only,B,3RCD,primary_reused,-8.571,from_production_tables
EGFR/HER2,20260727,EH120_095,B_only,A,3POZ,primary_reused,-10.316,from_production_tables
EGFR/HER2,20260727,EH120_095,B_only,B,3RCD,primary_reused,-10.471,from_production_tables
EGFR/HER2,20260727,EH120_096,B_only,A,3POZ,primary_reused,-10.579,from_production_tables
EGFR/HER2,20260727,EH120_096,B_only,B,3RCD,primary_reused,-10.736,from_production_tables
EGFR/HER2,20260727,EH120_097,B_only,A,3POZ,primary_reused,-10.095,from_production_tables
EGFR/HER2,20260727,EH120_097,B_only,B,3RCD,primary_reused,-10.427,from_production_tables
EGFR/HER2,20260727,EH120_098,B_only,A,3POZ,primary_reused,-10.411,from_production_tables
EGFR/HER2,20260727,EH120_098,B_only,B,3RCD,primary_reused,-10.601,from_production_tables
EGFR/HER2,20260727,EH120_099,B_only,A,3POZ,primary_reused,-10.246,from_production_tables
EGFR/HER2,20260727,EH120_099,B_only,B,3RCD,primary_reused,-9.896,from_production_tables
