name,qed,mw,clogp,tpsa,hbd,hba,heavy_atoms,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok
CADISEGLIATIN,0.4958401190522997,455.6460000000004,5.224200000000005,91.76,2,6,30,False,True,True,True
VOCIPROTAFIB,0.6434047352381,450.9960000000001,2.39172,123.41,3,9,30,True,True,True,True
OBERADILOL,0.4114891227727629,484.0000000000003,3.291780000000001,118.77,4,7,34,True,True,False,True
ELENBECESTAT,0.7621903864086206,437.4470000000001,3.0973000000000006,102.49,2,7,30,True,True,True,True
TOPIXANTRONE,0.3672266768763943,394.47900000000016,1.1981,95.31,3,8,29,True,True,True,True
NEMIRALISIB,0.4068174003071459,440.5510000000002,4.892200000000003,76.97999999999999,2,5,33,True,True,False,True
BRANEBRUTINIB,0.7230635014308044,370.42800000000017,2.1310400000000005,91.22,3,3,27,True,True,True,True
BRANAPLAM,0.6215697085717279,393.49100000000016,3.9273000000000016,95.95,3,6,29,True,True,True,True
ORNOPROSTIL,0.2586109313564554,410.55100000000033,3.3786000000000023,100.9,2,6,29,True,False,True,False
PF-00477736,0.6028646095954698,419.48900000000015,1.9895,126.43,4,7,31,True,True,True,True
SPIROGLUMIDE,0.6949672331835018,441.3550000000004,4.139400000000004,86.71,2,3,29,True,True,True,True
CUDC-305,0.5366482429323984,442.5890000000003,3.595100000000002,90.46,2,9,31,True,True,True,True
BENAFENTRINE,0.8657849866830589,393.4870000000001,3.3009000000000013,63.16,1,5,29,True,True,True,True
LY2624803,0.8827267126044226,379.46000000000015,3.599000000000001,65.37,1,5,28,True,True,True,True
DANUGLIPRON,0.3107281978947619,555.6100000000004,4.887780000000004,113.5,1,8,41,False,True,False,False
DENIBULIN,0.5349999855385894,385.4490000000001,3.1781,122.13,4,6,27,True,True,True,True
BROVANEXINE,0.3202875860296358,568.3060000000003,6.162300000000005,67.87,1,5,32,False,True,False,False
LIRIMILAST,0.4560249485586309,443.2640000000002,3.7996000000000016,128.7,2,6,28,True,True,True,True
ASP-7962,0.7566070434804573,400.4390000000004,0.8601999999999992,126.82,2,8,29,True,True,True,True
CENERIMOD,0.4988589050323651,453.5390000000002,4.067620000000004,110.73000000000002,2,8,33,True,True,True,True
CROLIBULIN,0.6550818498010071,417.2630000000001,2.8488800000000003,129.54,3,7,26,True,True,True,True
ACORAFLOXACIN,0.7734252894744681,419.42800000000017,2.964800000000001,97.79,2,6,30,True,True,True,True
CG-200745,0.1975232799475881,427.5450000000001,3.278700000000001,90.9,3,5,31,True,False,True,False
GLESATINIB,0.1184990827362189,619.7190000000002,6.220500000000005,97.4,3,8,43,False,False,False,False
TIMELOTEM,0.8057155456405762,315.4170000000001,2.858600000000001,18.84,0,4,22,True,True,True,True
OCADUSERTIB,0.5107399152387391,459.50600000000026,1.6716999999999993,120.44,3,6,34,True,True,True,True
TERN-101,0.2747277909639314,540.4470000000001,6.901300000000004,80.73,1,6,37,False,True,False,False
TAFETINIB,0.6186113337539536,424.52000000000015,3.7330200000000016,77.23,3,3,31,True,True,True,True
ALOGABAT,0.6611555298504241,409.4460000000002,2.631240000000001,112.26,1,8,30,True,True,True,True
LOSMAPIMOD,0.8234842482068295,383.4670000000001,3.864220000000002,71.09,2,3,28,True,True,True,True
GLPG-0259,0.4528811224467231,458.5260000000002,2.8981000000000003,117.82,2,9,34,True,True,True,True
CLINAFLOXACIN,0.8712983696767714,365.79200000000014,2.3645,88.56,2,5,25,True,True,True,True
ABEDITEROL,0.2865928761830275,460.521,4.225700000000004,94.58,4,5,33,True,False,True,False
LOTAMILAST,0.3809830632440255,472.5010000000002,4.394600000000003,111.67000000000002,2,8,35,True,True,False,True
PUQUITINIB MESYLATE DIHYDRATE,0.5351361440903852,317.35600000000005,3.219000000000001,91.41,3,6,24,True,True,True,True
TOFISOPAM,0.740889808447194,382.4600000000002,4.441500000000004,61.640000000000015,0,6,28,True,True,True,True
LIDORESTAT,0.5391617542906965,376.359,4.343700000000003,55.12,1,4,26,True,True,True,True
TRICLONIDE,0.4883812705614352,505.8410000000002,5.129100000000005,52.60000000000001,0,4,32,False,True,False,True
AZD-1208,0.7971349438445747,379.4850000000001,3.605000000000002,75.43,2,5,27,True,True,True,True
NEZULCITINIB,0.3524853604875587,527.6730000000003,3.7955000000000014,104.38,3,6,39,False,True,False,True
PRADIGASTAT SODIUM,0.5455141424675931,454.47200000000015,5.319800000000003,77.94,1,5,33,False,True,True,True
LUFURADOM,0.757074903835714,377.41900000000015,3.504500000000002,57.84,1,4,28,True,True,True,True
LAS101057,0.7922754691506544,335.3420000000001,3.0882000000000014,80.66000000000001,1,5,25,True,True,True,True
PREGABALIN NAPROXENCARBIL,0.3698610099636821,459.5390000000002,4.704300000000004,111.16,2,6,33,True,False,True,False
VERCIRNON,0.3605464812493271,444.94000000000017,4.302700000000003,90.18,1,4,30,True,True,True,True
GSK-3179106,0.4957371921173103,467.41900000000015,4.588800000000004,97.22,2,5,33,True,True,True,True
GUMELUTAMIDE,0.6592903020084386,420.90400000000005,3.930380000000002,97.96,2,7,30,True,True,True,True
CP-461 FREE BASE,0.6523486236625079,384.4540000000001,5.254900000000005,41.99,1,2,29,False,True,True,True
E-7820,0.7656841837683048,336.3760000000001,3.020480000000001,109.54,2,4,24,True,True,True,True
ASCORBYL GAMOLENATE,0.1819897037156009,436.5450000000001,4.733000000000003,113.29000000000002,3,7,31,True,False,True,False
ROFLEPONIDE,0.6591289923360497,468.5370000000002,2.9809000000000023,93.06,2,6,33,True,True,True,True
CM-4307,0.4429200497199878,467.84930533400006,5.549700000000002,92.35,3,4,32,False,True,True,False
PAXALISIB,0.6914404462909833,382.4280000000001,0.9674,117.1,1,10,28,True,True,True,True
FLEZURAFENIB,0.4508566860286327,456.4770000000001,5.006500000000004,89.13,2,5,34,False,True,True,True
ELINOGREL,0.3164992103771708,523.9550000000003,3.0851000000000006,142.16,4,8,34,False,False,False,False
AZD-6703,0.705687073802575,417.5130000000003,2.33812,70.47,1,6,31,True,True,True,True
PAVINETANT,0.3998261508225547,459.5710000000001,5.154400000000004,88.16000000000001,2,4,33,False,True,False,True
DAVELIZOMIB,0.4148364901388072,481.2610000000002,0.6347000000000014,134.27,3,7,34,True,True,False,True
DANUGLIPRON TROMETHAMINE,0.1471378682394981,676.7460000000002,2.54858,200.21,5,12,49,False,False,False,False
AFP-464 FREE BASE,0.3236447042055589,448.44500000000033,3.16272,137.37,4,6,32,True,True,True,True
BMS-690514,0.6252632540499533,368.44100000000014,1.3753999999999995,100.94,3,8,27,True,True,True,True
RADEZOLID,0.4978444233156731,438.46300000000014,2.3618999999999994,112.24,3,6,32,True,True,True,True
ATABECESTAT,0.8671619904066763,367.4090000000001,3.135080000000001,104.16,2,6,26,True,True,True,True
ILOMASTAT,0.3298366018319869,388.4680000000002,1.499,123.32,5,4,28,True,True,True,True
SAPANISERTIB,0.5825137647621351,309.333,2.3798000000000004,121.67,2,8,23,True,True,True,True
CAMIBIRSTAT,0.3988284784826122,562.6740000000003,1.8114,144.75,2,11,38,False,False,False,False
JAB-3068,0.6957114215789018,476.5530000000004,2.6124,110.6,2,8,33,True,True,True,True
PF-04991532,0.7750512857245738,396.369,3.755200000000003,97.11,2,5,28,True,True,True,True
VAPENDAVIR,0.6110713069132558,382.4640000000001,4.010420000000003,73.51000000000002,0,7,28,True,True,True,True
FUNOBACTAM,0.5372538070482336,399.38900000000007,-0.9057999999999986,176.48,3,10,27,True,False,False,False
IVARMACITINIB,0.672895327012672,414.4950000000001,2.1967,112.16,2,8,29,True,True,True,True
SEVITERONEL,0.5861475090657895,399.344,4.052600000000003,80.26,2,5,28,True,True,True,True
DAPOLSERTIB,0.5563722826908193,446.143,4.517400000000003,72.99,1,5,23,True,True,True,True
CLOXACEPRIDE,0.5195328063754976,468.3810000000002,4.091100000000003,79.9,2,5,31,True,False,True,False
PETRICHLORAL,0.1677855676898824,725.699,4.793600000000004,117.84000000000002,4,8,33,False,False,False,False
LANOPEPDEN,0.2696244041579124,479.5570000000003,0.9321200000000014,123.16,3,9,34,True,True,True,True
ACUMAPIMOD,0.6556704975985748,385.4270000000001,2.7578000000000005,113.8,2,6,29,True,True,True,True
CAFICRESTAT,0.5389356451894136,421.3600000000001,2.4904,110.86,1,8,29,True,True,True,True
ZILURGISERTIB,0.5771481161695244,502.6590000000004,3.6506000000000016,100.71,3,6,37,False,True,False,True
KIO-100,0.3573270481888814,479.3290000000001,5.8206000000000016,75.63,2,4,32,False,True,False,False
7-ETHYL-10-HYDROXYCAMPTOTHECIN,0.5079598280970853,392.4110000000002,2.3476,101.65000000000002,2,7,29,True,True,True,True
LXR-623,0.3357341186733386,422.7840000000001,6.702000000000003,17.82,0,2,29,False,True,False,False
DARIGABAT,0.4482321270784194,440.5000000000002,4.121500000000003,86.97,0,7,31,True,True,True,True
E-7090,0.2196072334234085,587.6770000000002,4.4653000000000045,127.18,3,9,43,False,False,False,False
RIVOCERANIB,0.6303420649201595,397.4820000000002,4.676380000000004,90.7,2,5,30,True,True,True,True
RG-7602,0.8023470342285559,321.3840000000001,2.845880000000001,77.83,1,5,24,True,True,True,True
LIFIRAFENIB,0.4174884179900899,478.43000000000006,5.295700000000003,89.13000000000001,2,5,35,False,True,True,True
VODOBATINIB,0.3319411478403778,453.9290000000002,4.979640000000003,71.09,2,3,33,True,True,False,True
TOMEGLOVIR,0.5196981528742083,441.55300000000017,3.6636000000000015,98.74,3,5,31,True,True,True,True
ZEGOCRACTIN,0.6561392562718263,421.76200000000006,4.818320000000002,73.34,1,5,29,True,True,True,True
MIGOPROTAFIB,0.4752538708848416,454.5380000000002,3.215200000000001,109.08,2,8,34,True,True,True,True
NERANDOMILAST,0.6701453627504204,448.9800000000003,2.2946,110.12,2,8,30,True,True,True,True
SLV-334,0.3238985904274709,556.6590000000003,4.972500000000004,124.01,3,4,41,False,True,False,False
BMS-794833,0.3817471670894271,468.8470000000001,4.995300000000002,110.1,3,5,33,True,True,True,True
GALICAFTOR,0.3571118205713112,559.4680000000002,5.720600000000004,103.32000000000002,2,6,40,False,True,False,False
CERTOCICLIB,0.690900072253418,365.34400000000016,2.3209999999999997,102.77,2,8,26,True,True,True,True
LEUCOVORIN SODIUM,0.2186543529183808,471.4300000000002,-2.9881999999999964,225.76,5,12,34,False,False,False,False
VORUCICLIB,0.5285972878375598,469.8430000000001,4.323400000000003,94.14,3,6,32,True,True,True,True
CEFCAPENE,0.3347852681086321,453.5020000000002,0.3526000000000017,177.94,4,9,30,True,False,True,False
PF-05089771,0.3364262515664886,500.36400000000015,5.154400000000002,122.99,3,7,31,False,True,False,True
GSK-369796,0.5997410932457807,355.8690000000001,5.225500000000004,57.18000000000001,3,4,25,False,True,True,True
TEGOBUVIR,0.2481885716944662,517.408,6.731900000000005,56.49,0,5,37,False,True,False,False
PCI-27483,0.0912070883958043,596.5780000000002,0.8261700000000006,282.87,9,9,42,False,False,False,False
TACACICLIB,0.3328971518411286,528.6570000000004,4.554300000000003,112.24,3,6,39,False,True,False,True
PRADIGASTAT,0.4350122507052937,455.4800000000001,6.654500000000005,75.11,2,4,33,False,True,False,False
POSELTINIB,0.377487357319337,470.5330000000003,4.635000000000003,95.76,2,8,35,True,True,False,True
OPANIXIL,0.7881675763092558,422.41100000000006,3.0525,104.45,2,5,30,True,True,True,True
ICOVAMENIB,0.277132319227687,566.6660000000003,3.375400000000001,128.37,3,8,42,False,True,False,False
CULMERCICLIB,0.4818652686394648,446.53400000000016,3.841000000000002,83.78999999999999,2,8,33,True,True,True,True
COH-29,0.3087092846826545,420.4460000000001,4.551800000000004,122.91,5,7,30,True,True,True,True
FLUMOXONIDE,0.5986285372956529,496.54700000000025,2.993400000000001,91.29,1,7,35,True,True,False,True
SGI-1776,0.6942142541771245,405.4240000000001,4.048600000000003,54.69,1,6,29,True,True,True,True
PEFCALCITOL,0.3347128977901565,519.5510000000002,4.766400000000005,78.79,3,4,36,False,True,False,True
CHLORHEXIDINE,0.1393980737717831,505.4580000000002,4.175280000000002,167.58,10,4,34,False,False,False,False
TAS-115,0.3077492753777779,518.5700000000003,4.590100000000003,101.58,3,6,37,False,True,False,True
CONTEZOLID,0.7614994849745357,408.3360000000002,2.8221000000000007,87.91,1,7,29,True,True,True,True
DIPROTRIZOATE SODIUM,0.4839174146801817,640.9610000000002,2.560900000000001,98.33,2,4,22,False,True,False,False
ANAZOLENE,0.1101268687306353,629.6500000000003,5.597700000000004,220.09,5,10,42,False,False,False,False
AZD-1480,0.6505657114536998,348.7730000000001,3.00732,104.3,3,7,24,True,True,True,True
AMINOPTERIN SODIUM,0.273513362032023,438.4040000000003,-2.4252999999999982,224.98999999999995,4,12,32,False,False,False,False
ORE-1001,0.536471851928435,428.31600000000014,3.322800000000001,104.45,3,5,28,True,True,True,True
GCC-4401C,0.7772506005000454,419.8940000000001,2.5096000000000016,86.27000000000001,2,7,28,True,True,True,True
ASP-7657,0.3401889322668794,509.5280000000002,5.877400000000004,84.22000000000001,2,4,37,False,True,False,False
PF-03814735,0.5841980653138986,474.4870000000002,4.057700000000002,99.25,3,6,34,True,True,True,True
PIMODIVIR,0.6193547298392771,399.4010000000001,3.599400000000002,103.79,3,5,29,True,True,True,True
PF-05241328,0.6363605820857908,436.92100000000016,3.106520000000001,103.17999999999998,1,7,29,True,True,True,True
ILORASERTIB,0.2625302370700421,488.5480000000002,5.184400000000003,118.09,4,7,35,False,True,False,True
EMAVUSERTIB,0.4241456067469825,491.5080000000003,2.24112,142.88,2,11,36,False,False,False,False
SISAPRONIL,0.5970516480578699,465.1310000000001,5.4908800000000015,67.63,1,4,29,False,True,True,True
STREPTONIGRIN,0.3810449307527983,506.47100000000034,2.31792,197.18,4,11,37,False,False,False,False
ELANZEPINE,0.8872378139197281,312.844,4.648900000000004,15.27,1,2,22,True,True,True,True
CRONIDIPINE,0.2742334019592015,598.0520000000004,4.611300000000004,129.47,1,10,42,False,True,False,False
PICLOXYDINE,0.2471849699843322,475.38800000000026,3.0532800000000018,150.0,8,4,32,False,False,False,False
BUTOBENDINE,0.2100540617526181,620.7400000000002,4.172800000000004,114.46000000000002,0,12,44,False,False,False,False
TANZISERTIB,0.5480926373245354,448.4490000000003,3.6640000000000015,97.12,3,8,32,True,True,True,True
DROCINONIDE,0.6887374114045547,438.5360000000002,2.722700000000002,93.06,2,6,31,True,True,True,True
AVN-944,0.3710832823303815,477.5210000000002,5.473680000000004,138.51,3,7,35,False,True,True,True
IFETROBAN SODIUM,0.5400467711199893,439.5320000000003,2.780800000000001,104.49,1,6,32,True,False,True,False
LINRODOSTAT,0.527640856569167,410.9200000000001,6.575900000000004,41.99,1,2,29,False,True,False,False
UCN-01,0.3557833243272792,482.54000000000025,3.844900000000002,89.68,3,7,36,True,True,False,True
UREDOFOS,0.2978661460917529,500.5390000000002,3.972920000000002,134.86,4,7,32,False,True,False,True
HYPERICIN,0.1233498571031122,504.4500000000004,5.081040000000003,155.52,6,8,38,False,False,False,False
SU-014813,0.5096580614407035,442.4910000000002,1.68624,106.69,4,5,32,True,True,True,True
PEVONEDISTAT,0.5310901734315111,443.5290000000002,2.0628,132.36,3,8,31,True,True,True,True
PARECOXIB,0.7419803073587753,370.43000000000006,3.531920000000002,89.27,1,5,26,True,True,True,True
ZOTICASONE,0.5672304675059114,496.57200000000034,2.857600000000001,100.9,2,7,34,True,True,False,True
BMS-223131,0.6370100116332149,383.75300000000016,4.107700000000003,73.32000000000001,3,3,26,True,True,True,True
MITOPODOZIDE,0.4208159249839539,474.5100000000002,1.485399999999999,127.74000000000002,4,9,34,True,True,True,True
PF-00337210,0.4424234595871976,461.5180000000004,4.152320000000003,86.06,1,7,34,True,True,True,True
CYC-116,0.7313327991439839,368.4660000000002,3.070920000000001,89.19,2,8,26,True,True,True,True
SELODENOSON,0.569927786936005,376.417,-0.0639000000000004,134.42,4,9,27,True,True,True,True
STILBAZIUM IODIDE,0.3786316168601942,450.6500000000002,6.535200000000008,10.36,0,2,34,False,True,False,False
CORMETHASONE ACETATE,0.615543325925443,470.48400000000026,2.7117000000000004,100.90000000000002,2,6,33,True,True,True,True
BI-671800,0.4796487541720144,501.5090000000002,4.097600000000003,98.66,2,6,36,False,True,False,True
VELIFLAPON,0.6576932728311314,361.4410000000002,5.172200000000004,59.42,1,3,27,False,True,True,True
SP-420,0.6515588231285102,355.4120000000001,1.7707000000000002,97.58,2,7,24,True,True,True,True
CLAZURIL,0.7643236694184319,373.19900000000007,2.8830800000000014,91.54,1,5,25,True,True,True,True
PF-04531083,0.7480345092586124,357.8010000000001,2.9786,95.06,2,6,25,True,True,True,True
VAREGACESTAT,0.3752621982688155,574.4970000000003,4.768620000000003,113.65,3,4,40,False,True,False,False
FELCISETRAG,0.6945148458038817,455.6030000000002,3.606500000000002,90.56,2,5,33,True,True,True,True
IMIGLITAZAR,0.2129327727443308,470.5250000000002,6.014720000000005,94.15000000000002,1,6,35,False,False,False,False
TAURODEOXYCHOLIC ACID,0.398161662848806,499.71400000000034,3.3973000000000013,123.93,4,5,34,True,True,False,True
