repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type
REP_04977,CHEMBL2165620,PF-04991532,O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,GKMLFBRLRVQVJO-ZDUSSCGKSA-N,396.37,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04978,CHEMBL2170582,R-343,CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)NC(=O)C(F)(F)O4)n2)c1,MOXXQFNQDDSJHT-UHFFFAOYSA-N,474.4,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04979,CHEMBL2178570,AZD4818,CC(=O)Nc1ccc(O)cc1OC[C@@](C)(O)CNC1CCN(Cc2ccc(Cl)cc2)CC1,RKWKLTLIBREDHD-DEOSSOPVSA-N,461.99,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04980,CHEMBL2178573,ILACIRNON,Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1,LUUMLYXKTPBTQR-UHFFFAOYSA-N,495.87,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04981,CHEMBL2178579,ELUBRIXIN,O=C(Nc1ccc(Cl)c(S(=O)(=O)N2CCNCC2)c1O)Nc1cccc(F)c1Cl,YQYFEGTYCUQBEI-UHFFFAOYSA-N,463.32,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04982,CHEMBL217899,TOFIMILAST,CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,DHCOPPHTVOXDKU-UHFFFAOYSA-N,339.47,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04983,CHEMBL2179105,EDELINONTRINE,C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1,IWXUVYOOUMLUTQ-CZUORRHYSA-N,395.47,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04984,CHEMBL2179529,AZD1446,O=C(c1ccc(Cl)o1)N1CC2CNCC2C1,GTUIQNHJSXQMKW-UHFFFAOYSA-N,240.69,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04985,CHEMBL2181367,FOSIFLOXURIDINE NAFALBENAMIDE,C[C@H](NP(=O)(OC[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)C[C@@H]1O)Oc1cccc2ccccc12)C(=O)OCc1ccccc1,BIOWRMNRHMERIO-ZVAHOJSLSA-N,613.54,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04986,CHEMBL2181666,BFPET F-18,[18F]c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,QWPLCHDPESWJRN-FNNGWQQSSA-N,356.39,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04987,CHEMBL2181929,MT-3995,CC1(C)Oc2cc(NS(C)(=O)=O)ccc2N(c2ccc(F)cc2)C1=O,AZNHWXAFPBYFGH-UHFFFAOYSA-N,364.4,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04988,CHEMBL218227,S-1360,O=C(/C=C(\O)c1nc[nH]n1)c1ccc(Cc2ccc(F)cc2)o1,HFHDGHOGHWXXDT-ZSOIEALJSA-N,313.29,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04989,CHEMBL219376,OXYCINCHOPHEN,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,XAPRFLSJBSXESP-UHFFFAOYSA-N,265.27,2.0,,True,True,True,atc_only,,Small molecule,MOL
REP_04990,CHEMBL219586,GW590735,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(OC(C)(C)C(=O)O)cc1,ILUPZUOBHCUBKB-UHFFFAOYSA-N,478.49,2.0,,True,False,False,phase_only,,Small molecule,MOL
