pair,bindingdb_monomerid,inchikey,frozen_class_theta6_mixed,pA_mixed,pB_mixed,in_scored_panel_structure,in_chembl_map_structure,panel_pmid_overlap,unichem_status,n_pmids,independent_structure_and_literature,affinity_types
PIK3CA/mTOR,50089320,XCXIIVVDQFXLEN-UHFFFAOYSA-N,dual,7.4559,7.1739,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089321,QKAALDVCXLSPCV-UHFFFAOYSA-N,dual,10.0,9.1249,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089328,DAAVZNAOKHUQJR-UHFFFAOYSA-N,dual,10.1549,9.5376,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089329,VJVJKCSIKUBVIO-UHFFFAOYSA-N,dual,9.5686,7.6576,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092766,KTLFTPMXQQIXMP-HDJSIYSDSA-N,B_only,5.7212,7.4202,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092767,ZGLONRFJOSBXER-GASCZTMLSA-N,B_only,4.9547,6.5229,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092768,ZGLONRFJOSBXER-SHTZXODSSA-N,B_only,4.7852,6.9872,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092769,KXDXRGGNJRTDPF-FZNQNYSPSA-N,B_only,5.6021,7.9208,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092770,NPBANVRWVVVQJV-KOMQPUFPSA-N,B_only,4.6946,6.7696,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092771,KXDXRGGNJRTDPF-KOMQPUFPSA-N,B_only,5.3279,7.0132,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092772,KTLFTPMXQQIXMP-OKILXGFUSA-N,B_only,5.5528,6.6925,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092773,HDJQPSZZAWLLJX-UHFFFAOYSA-N,B_only,5.4202,7.3372,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092774,QKLRYTKMUYKEAJ-UHFFFAOYSA-N,B_only,4.752,6.9666,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092775,NPBANVRWVVVQJV-FZNQNYSPSA-N,B_only,5.1192,6.8268,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092776,IBHHJGZOOHWZKC-UHFFFAOYSA-N,B_only,5.3279,6.7328,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092777,IHCVPLCAIWFKAI-UHFFFAOYSA-N,B_only,5.4949,6.7747,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092778,NJPJPESOUGQOMJ-UHFFFAOYSA-N,B_only,4.9788,6.3605,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092779,XSQAJVDTZWOBMX-UHFFFAOYSA-N,B_only,5.2076,6.757,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092780,RBCVZOQQBMCWAL-UHFFFAOYSA-N,B_only,5.7959,7.7447,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092781,RBLRRVZXUXIHNG-UHFFFAOYSA-N,B_only,5.6383,7.0458,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50092782,VLSSMLSPCKXABU-UHFFFAOYSA-N,dual,6.2924,8.0969,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50092783,UFKLYTOEMRFKAD-SHTZXODSSA-N,B_only,5.6383,8.0,0,0,0,unichem_skipped_bulk,4,0,IC50;KD
PIK3CA/mTOR,50092784,MRVNZUNWYGONNW-UHFFFAOYSA-N,dual,7.0,8.3979,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092785,MQKOPINQZVDCFE-UHFFFAOYSA-N,dual,6.699,8.3979,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50092786,WVSLRWFLPGLENR-UHFFFAOYSA-N,dual,6.9208,8.301,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50093082,GMYLVKUGJMYTFB-UHFFFAOYSA-N,dual,6.0706,7.6778,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50094473,VUJHDNKSYDQSOA-UHFFFAOYSA-N,A_only,7.7959,4.8239,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50094476,PISLKDKFKGFUHQ-UHFFFAOYSA-N,A_only,7.5376,4.6778,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50098126,KKTZALUTXUZPSN-UHFFFAOYSA-N,neither,4.8861,5.1938,0,0,0,unichem_skipped_bulk,4,0,IC50
PIK3CA/mTOR,50108116,YVAOMSDQXISTTH-UHFFFAOYSA-N,dual,8.1549,6.5607,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50108117,YCMPAJXRYQKAKZ-UHFFFAOYSA-N,dual,7.8539,6.9101,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50117874,YWFOHQFLGQVFIB-UHFFFAOYSA-N,dual,7.8861,7.1079,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50119606,GMDFBJKMPHZUTJ-UHFFFAOYSA-N,dual,7.5376,7.4318,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119608,GGFHCTGTQGWFGO-UHFFFAOYSA-N,dual,6.8297,7.2441,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119609,JYIYDFDRQAREDE-UHFFFAOYSA-N,dual,7.8539,6.7033,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119610,YVIUPILOGILJPD-UHFFFAOYSA-N,dual,6.2765,6.5575,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119611,JBJBXMVUMJDDMK-UHFFFAOYSA-N,dual,7.2676,7.9208,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119612,HEVFJNSHEIITJA-UHFFFAOYSA-N,dual,7.7447,8.7696,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119613,VJDWLNYNYCCEMY-UHFFFAOYSA-N,dual,8.2518,7.7959,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119614,QRUFDISOBAPRHT-UHFFFAOYSA-N,dual,8.2441,7.2076,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119615,YBQVCLWCRGNXIX-UHFFFAOYSA-N,dual,7.3665,7.699,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119616,OWFAMDTUROKDJB-UHFFFAOYSA-N,dual,8.1871,6.3851,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
