pair,ligand,molecule_chembl_id,frozen_class,high_conf_class_theta6,high_conf_max_A,high_conf_max_B,n_high_conf_A,n_high_conf_B,complete_high_conf,class_matches_frozen,vina_A,vina_B
AChE/BChE,AB_009,CHEMBL6151573,dual,dual,6.8,7.15,1,1,1,1,10.631,8.845
AChE/BChE,AB_010,CHEMBL4749805,dual,dual,6.84,6.81,1,1,1,1,9.541,9.224
AChE/BChE,AB_011,CHEMBL4781117,dual,dual,6.51,6.67,1,1,1,1,10.958,10.85
AChE/BChE,AB_012,CHEMBL4212275,dual,dual,7.33,7.91,1,1,1,1,9.742,8.209
AChE/BChE,AB_013,CHEMBL80221,dual,dual,6.79,7.66,1,1,1,1,9.239,9.171
AChE/BChE,AB_014,CHEMBL4866930,dual,dual,8.74,7.5,1,1,1,1,11.676,10.316
AChE/BChE,AB_015,CHEMBL2064464,dual,dual,9.5,7.2,3,1,1,1,10.839,11.108
AChE/BChE,AB_016,CHEMBL273051,dual,dual,7.45,7.82,1,1,1,1,10.706,9.764
AChE/BChE,AB_017,CHEMBL3753850,dual,dual,7.61,7.99,1,1,1,1,11.945,11.139
AChE/BChE,AB_018,CHEMBL659,dual,dual,7.21,7.29,42,30,1,1,7.006,7.105
AChE/BChE,AB_019,CHEMBL3642049,dual,dual,8.34,9.6,1,1,1,1,12.056,10.448
AChE/BChE,AB_020,CHEMBL334395,dual,dual,6.52,7.0,1,1,1,1,9.364,7.433
AChE/BChE,AB_021,CHEMBL4535585,dual,dual,7.0,7.13,1,1,1,1,10.721,9.653
AChE/BChE,AB_022,CHEMBL2019044,dual,dual,9.0,8.82,1,1,1,1,11.864,10.181
AChE/BChE,AB_023,CHEMBL4207101,dual,dual,8.12,8.63,3,1,1,1,11.293,10.06
AChE/BChE,AB_024,CHEMBL5276955,dual,dual,7.96,7.26,1,1,1,1,10.283,8.926
AChE/BChE,AB_025,CHEMBL6150640,dual,dual,6.85,7.44,1,1,1,1,10.609,8.952
AChE/BChE,AB_026,CHEMBL1080386,dual,dual,8.22,8.22,2,1,1,1,12.539,10.459
AChE/BChE,AB_027,CHEMBL3326708,dual,dual,7.25,7.51,1,1,1,1,12.257,10.5
AChE/BChE,AB_028,CHEMBL1783515,dual,dual,8.05,6.66,1,1,1,1,7.749,11.346
AChE/BChE,AB_029,CHEMBL3985059,A_only,A_only,7.39,5.09,1,1,1,1,12.498,9.843
AChE/BChE,AB_030,CHEMBL3425895,A_only,A_only,6.52,5.46,1,1,1,1,13.815,9.57
AChE/BChE,AB_031,CHEMBL2419687,A_only,A_only,7.27,5.08,1,1,1,1,11.574,9.353
AChE/BChE,AB_032,CHEMBL5281758,A_only,A_only,6.52,4.5,2,1,1,1,10.807,8.264
AChE/BChE,AB_033,CHEMBL4283450,A_only,A_only,6.77,5.19,1,1,1,1,11.821,9.536
AChE/BChE,AB_034,CHEMBL1773487,A_only,A_only,6.84,4.98,1,1,1,1,10.878,9.64
AChE/BChE,AB_035,CHEMBL3952144,A_only,A_only,6.57,5.09,1,1,1,1,11.291,10.082
AChE/BChE,AB_036,CHEMBL1773489,A_only,A_only,6.68,5.01,1,1,1,1,10.483,9.479
AChE/BChE,AB_037,CHEMBL597794,A_only,A_only,6.96,4.04,1,1,1,1,12.441,10.081
AChE/BChE,AB_038,CHEMBL599644,A_only,A_only,7.28,5.3,2,1,1,1,11.232,9.505
AChE/BChE,AB_039,CHEMBL597188,A_only,A_only,7.25,5.09,1,1,1,1,10.369,7.811
AChE/BChE,AB_040,CHEMBL222904,A_only,A_only,8.48,5.07,2,1,1,1,10.009,8.669
AChE/BChE,AB_041,CHEMBL164,A_only,A_only,7.92,4.15,2,1,1,1,9.936,9.213
AChE/BChE,AB_042,CHEMBL3910513,A_only,A_only,6.83,4.41,1,1,1,1,11.504,8.371
AChE/BChE,AB_043,CHEMBL1678,A_only,A_only,7.94,5.14,4,1,1,1,11.888,9.691
AChE/BChE,AB_044,CHEMBL3900968,A_only,A_only,7.02,4.92,1,1,1,1,11.23,9.71
AChE/BChE,AB_045,CHEMBL206093,A_only,A_only,7.44,4.44,1,1,1,1,11.381,10.174
AChE/BChE,AB_046,CHEMBL254016,A_only,A_only,8.48,5.07,1,1,1,1,10.009,8.669
AChE/BChE,AB_047,CHEMBL4292477,A_only,A_only,7.39,5.37,2,1,1,1,12.196,9.917
AChE/BChE,AB_048,CHEMBL3933395,A_only,A_only,7.01,4.73,1,1,1,1,12.774,9.869
AChE/BChE,AB_049,CHEMBL378404,A_only,A_only,7.42,4.28,1,1,1,1,11.248,10.522
AChE/BChE,AB_050,CHEMBL3093795,A_only,A_only,6.85,5.11,1,1,1,1,9.954,8.68
AChE/BChE,AB_051,CHEMBL5280980,A_only,A_only,9.3,5.3,1,1,1,1,10.822,9.494
AChE/BChE,AB_052,CHEMBL5566300,A_only,A_only,7.8,4.32,1,1,1,1,8.428,7.544
AChE/BChE,AB_055,CHEMBL572532,A_only,A_only,6.82,4.68,1,1,1,1,8.796,8.059
AChE/BChE,AB_057,CHEMBL3754694,B_only,B_only,5.12,8.64,1,1,1,1,11.874,11.713
