pair,ligand,molecule_chembl_id,frozen_class,high_conf_class,pchembl_A,pchembl_B,n_records_A,n_records_B,standard_types_A,standard_types_B,assay_types_A,assay_types_B,organisms_A,organisms_B,n_documents,documents,loo_auroc_delta,priority_flags,machine_incomparability_flag,human_include_exclude,human_reviewed_class,human_rationale,reviewed_by,review_date,note
EGFR/HER2,EH40_11,CHEMBL3977326,dual,dual,7.68,6.91,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3853319,0.0075,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_12,CHEMBL402011,dual,dual,6.75,8.1,1,2,IC50,IC50,B,B,,Homo sapiens,1,CHEMBL1141539,0.0075,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_13,CHEMBL3680374,dual,dual,8.01,6.61,2,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL3639119,-0.0023,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_14,CHEMBL5204650,dual,dual,6.38,6.92,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5108025,-0.0227,egfr_directional_priority;high_auroc_influence,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_15,CHEMBL1645469,dual,dual,6.18,7.7,1,1,IC50,IC50,B,B,,,1,CHEMBL1641446,-0.0159,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_16,CHEMBL2325101,A_only,A_only,7.3,5.99,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL2321654,-0.0113,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_17,CHEMBL91925,A_only,A_only,7.14,5.93,1,1,IC50,IC50,B,B,,,1,CHEMBL1134561,0.0042,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_18,CHEMBL2000832,A_only,A_only,6.3,5.9,1,1,Ki,Ki,F,F,,,1,CHEMBL1201862,-0.018,egfr_directional_priority;borderline_pA;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_19,CHEMBL589560,A_only,A_only,6.17,5.85,1,1,IC50,IC50,B,B,,Homo sapiens,1,CHEMBL1157668,0.0081,egfr_directional_priority;borderline_pA;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_20,CHEMBL3357639,A_only,A_only,9.59,5.8,2,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3351667,-0.0016,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_21,CHEMBL2112370,A_only,A_only,6.88,5.72,1,1,IC50,IC50,B,B,,,1,CHEMBL1134561,0.0023,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_22,CHEMBL1081849,A_only,A_only,6.01,5.65,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1154343,-0.0113,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_23,CHEMBL3633938,A_only,A_only,6.35,5.57,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3632549,-0.0161,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_24,CHEMBL602328,A_only,A_only,6.01,5.45,1,1,IC50,IC50,B,B,,Homo sapiens,1,CHEMBL1157666,0.009,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_25,CHEMBL289959,A_only,A_only,7.1,5.3,2,1,IC50;Ki,Ki,B;F,F,,,2,CHEMBL1128536;CHEMBL1201862,0.0081,egfr_directional_priority;mixed_endpoint;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_26,CHEMBL371863,A_only,A_only,6.7,5.14,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1140398,0.009,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_27,CHEMBL428690,A_only,A_only,6.28,4.8,15,1,IC50;Kd,IC50,B,B,Homo sapiens,,5,CHEMBL1133502;CHEMBL1135763;CHEMBL1150977;CHEMBL1908390;CHEMBL4368927,0.0013,egfr_directional_priority;borderline_pA;mixed_endpoint;top_document_series,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_28,CHEMBL6017443,B_only,B_only,5.99,7.79,1,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL5728076,-0.0127,egfr_directional_priority;borderline_pA;top_document_series,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_29,CHEMBL1080990,B_only,B_only,5.92,6.03,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1154343,0.0126,egfr_directional_priority;borderline_pA;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_30,CHEMBL565612,B_only,B_only,5.9,6.1,1,1,Ki,Ki,F,F,,,1,CHEMBL1201862,0.0103,egfr_directional_priority;borderline_pA;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_31,CHEMBL257873,B_only,B_only,5.84,8.3,1,1,IC50,IC50,B,B,,,1,CHEMBL1143160,0.0023,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_32,CHEMBL394463,B_only,B_only,5.75,6.6,1,1,IC50,IC50,B,B,,Homo sapiens,1,CHEMBL1139130,0.0126,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_33,CHEMBL3814021,B_only,B_only,5.69,7.72,2,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3813636,-0.0093,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_34,CHEMBL2048792,B_only,B_only,5.64,6.89,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL2046372,0.0092,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_35,CHEMBL449949,B_only,B_only,5.58,6.35,1,1,IC50,IC50,B,B,,,1,CHEMBL1153281,-0.0,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_36,CHEMBL5901840,B_only,B_only,5.51,7.97,1,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL5728076,0.0057,egfr_directional_priority;top_document_series,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_37,CHEMBL5542514,B_only,B_only,5.34,7.08,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5506072,-0.0058,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_38,CHEMBL2005631,neither,neither,5.8,5.9,1,1,Ki,Ki,F,F,,,1,CHEMBL1201862,,borderline_pA;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_39,CHEMBL1683950,neither,neither,5.92,5.2,1,1,IC50,IC50,B,B,,,1,CHEMBL1681756,,borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_40,CHEMBL141175,neither,neither,4.8,5.7,1,1,IC50,IC50,B,B,,,1,CHEMBL1136802,,borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_041,CHEMBL941,dual,dual,9.96,10.22,2,1,IC50;Kd,IC50,B,B,Homo sapiens,Homo sapiens,2,CHEMBL1150977;CHEMBL5214926,0.0104,egfr_directional_priority;mixed_endpoint,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_042,CHEMBL5221067,dual,dual,9.33,9.85,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5214926,-0.0101,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_043,CHEMBL5881155,dual,dual,9.66,9.22,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5729445,-0.0159,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_044,CHEMBL203599,dual,dual,9.3,9.15,2,3,IC50,IC50,B;F,B;F,Homo sapiens,Homo sapiens,1,CHEMBL1138126,0.0165,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_045,CHEMBL1873475,dual,dual,9.3,9.12,32,10,EC50;IC50;Kd,IC50;Kd,A;B,A;B,Homo sapiens,Homo sapiens,29,CHEMBL1914368;CHEMBL3886356;CHEMBL3991601;CHEMBL4038351;CHEMBL4184325;CHEMBL4346659;CHEMBL4354855;CHEMBL4382291;CHEMBL4387758;CHEMBL4414549;CHEMBL4480410;CHEMBL4616583;CHEMBL4665670;CHEMBL4715884;CHEMBL4725253;CHEMBL4765318;CHEMBL4840351;CHEMBL5042540;CHEMBL5131445;CHEMBL5131516;CHEMBL5143580;CHEMBL5247657;CHEMBL5352457;CHEMBL5506072;CHEMBL5576142;CHEMBL5705904;CHEMBL5725787;CHEMBL5728280;CHEMBL6083185,0.013,egfr_directional_priority;mixed_endpoint,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_046,CHEMBL5282641,dual,dual,10.28,9.02,5,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5252585,0.0026,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_047,CHEMBL180022,dual,dual,10.7,9.0,37,18,EC50;IC50;Kd;Ki,EC50;IC50;Kd,B;F,B;F,Homo sapiens,Homo sapiens,20,CHEMBL1139297;CHEMBL1142663;CHEMBL1147965;CHEMBL1149823;CHEMBL1908390;CHEMBL1944545;CHEMBL2321748;CHEMBL2384937;CHEMBL3991601;CHEMBL4387720;CHEMBL4665812;CHEMBL4834452;CHEMBL5131516;CHEMBL5154811;CHEMBL5532668;CHEMBL5543120;CHEMBL5625197;CHEMBL5728076;CHEMBL6092145;CHEMBL6092226,-0.0052,egfr_directional_priority;mixed_endpoint;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_048,CHEMBL203644,dual,dual,9.52,8.96,2,2,IC50,IC50,B;F,B;F,Homo sapiens,Homo sapiens,1,CHEMBL1138126,-0.014,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_049,CHEMBL437890,dual,dual,8.96,9.3,2,2,IC50,IC50,B;F,B;F,Homo sapiens,Homo sapiens,1,CHEMBL1138126,-0.0043,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_050,CHEMBL5176920,dual,dual,8.96,8.97,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5154811,0.0142,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_051,CHEMBL54091,dual,dual,9.14,8.96,2,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1132213,-0.0149,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_052,CHEMBL203661,dual,dual,8.89,9.1,2,2,IC50,IC50,B;F,B;F,Homo sapiens,Homo sapiens,1,CHEMBL1138126,0.0036,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_053,CHEMBL4075917,dual,dual,8.89,9.0,2,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL4017490,0.0075,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_054,CHEMBL29197,A_only,A_only,10.6,5.27,19,1,IC50,IC50,B;F,B,Homo sapiens,Homo sapiens,15,CHEMBL1128536;CHEMBL1129072;CHEMBL1129291;CHEMBL1130217;CHEMBL1137325;CHEMBL1145020;CHEMBL1147965;CHEMBL1150356;CHEMBL1155111;CHEMBL1250424;CHEMBL1759979;CHEMBL4229346;CHEMBL4229349;CHEMBL4342409;CHEMBL6092145,0.0081,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_055,CHEMBL93464,A_only,A_only,9.26,4.04,3,1,IC50,IC50,B,B,,,2,CHEMBL1134561;CHEMBL1134843,0.0081,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_056,CHEMBL4078431,A_only,A_only,9.52,5.22,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3992535,0.0081,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_057,CHEMBL53753,A_only,A_only,7.89,4.28,3,1,IC50,IC50,B;F,F,Homo sapiens,Homo sapiens,2,CHEMBL1129564;CHEMBL1131301,0.0081,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_058,CHEMBL3357643,A_only,A_only,9.28,5.81,2,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3351667,0.0013,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_059,CHEMBL305194,A_only,A_only,7.54,4.31,1,1,IC50,IC50,B,F,,Homo sapiens,1,CHEMBL1134862,0.0042,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_060,CHEMBL24828,A_only,A_only,8.32,5.58,28,1,IC50;Kd,Kd,B;F,B,Homo sapiens,Homo sapiens,16,CHEMBL1135689;CHEMBL1135889;CHEMBL1144455;CHEMBL1147965;CHEMBL1150977;CHEMBL1908390;CHEMBL3217416;CHEMBL3297684;CHEMBL3877259;CHEMBL3991601;CHEMBL4359867;CHEMBL4385653;CHEMBL4396901;CHEMBL4813920;CHEMBL5625175;CHEMBL5715952,0.0023,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_061,CHEMBL4280835,A_only,A_only,7.33,4.72,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL4270530,-0.0161,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_062,CHEMBL4286733,A_only,A_only,6.95,4.43,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL4270530,-0.017,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_063,CHEMBL3929002,A_only,A_only,7.3,4.98,1,1,IC50,IC50,B,B,Homo sapiens,,2,CHEMBL3882729;CHEMBL5726547,-0.0064,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_064,CHEMBL5270270,A_only,A_only,7.36,5.06,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5252533,0.0081,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_065,CHEMBL281300,A_only,A_only,8.01,5.79,3,1,IC50,IC50,B,B,Homo sapiens,,2,CHEMBL1145020;CHEMBL1147619,0.0042,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_066,CHEMBL288441,A_only,A_only,7.75,5.6,14,2,IC50;Kd,IC50;Kd,B,B;F,Homo sapiens,Mus musculus,3,CHEMBL1134270;CHEMBL1240341;CHEMBL1908390,0.0042,egfr_directional_priority;mixed_endpoint;biochem_and_functional;non_human_assay_organism;top_document_series,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_067,CHEMBL56543,A_only,A_only,7.0,4.87,5,1,IC50,IC50,B;F,B,Homo sapiens,,3,CHEMBL1125266;CHEMBL1134331;CHEMBL1136802,0.0032,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_068,CHEMBL4061382,A_only,A_only,7.58,5.5,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3992535,0.0032,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_069,CHEMBL30973,A_only,A_only,7.43,5.38,3,1,IC50,IC50,B,B,Homo sapiens,,2,CHEMBL1145020;CHEMBL1147619,0.0032,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_070,CHEMBL55979,A_only,A_only,6.4,4.43,4,1,IC50,IC50,B;F,B,Homo sapiens,,1,CHEMBL1125266,0.0023,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_071,CHEMBL3647967,A_only,A_only,7.69,5.81,2,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL3886356,-0.0113,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_072,CHEMBL4278886,A_only,A_only,7.67,5.82,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL4270530,-0.0161,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_073,CHEMBL3114689,A_only,A_only,7.8,5.96,2,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3112407,-0.0074,egfr_directional_priority;borderline_pB,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_074,CHEMBL205652,A_only,A_only,6.5,4.68,2,2,IC50,IC50,B,B,Homo sapiens,Homo sapiens,2,CHEMBL1147004;CHEMBL1681756,0.0042,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_075,CHEMBL372112,A_only,A_only,7.3,5.48,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1140398,0.0061,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_076,CHEMBL56731,A_only,A_only,6.16,4.38,2,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL1125266,0.0032,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_077,CHEMBL10,A_only,A_only,6.47,4.72,14,1,IC50;Kd,IC50,B,B,Homo sapiens,,6,CHEMBL1132637;CHEMBL1144455;CHEMBL1150977;CHEMBL1908390;CHEMBL1909046;CHEMBL6083249,0.0003,egfr_directional_priority;mixed_endpoint;top_document_series,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_078,CHEMBL179633,A_only,A_only,7.14,5.41,1,1,IC50,IC50,F,F,Homo sapiens,Homo sapiens,1,CHEMBL1142663,0.0003,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_079,CHEMBL370934,A_only,A_only,7.22,5.52,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1140398,0.0081,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_080,CHEMBL1080506,B_only,B_only,5.3,8.4,2,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL1154343,0.0057,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_081,CHEMBL6150652,B_only,B_only,4.92,8.02,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL6083185,-0.0081,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_082,CHEMBL257478,B_only,B_only,5.7,8.7,1,2,IC50,IC50,B,B,,,1,CHEMBL1141561,0.0092,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_083,CHEMBL6006814,B_only,B_only,5.29,7.99,1,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL5728076,-0.0058,egfr_directional_priority;top_document_series,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_084,CHEMBL6133515,B_only,B_only,5.66,8.24,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL6083185,-0.0093,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_085,CHEMBL1257998,B_only,B_only,5.64,8.12,1,2,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1255185,-0.0116,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_086,CHEMBL5890920,B_only,B_only,5.74,8.16,1,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL5728076,-0.0046,egfr_directional_priority;borderline_pA;top_document_series,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_087,CHEMBL5797736,B_only,B_only,5.54,7.94,1,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL5728076,-0.0116,egfr_directional_priority;top_document_series,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_088,CHEMBL1256432,B_only,B_only,5.54,7.8,1,2,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1255185,-0.0116,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_089,CHEMBL1087368,B_only,B_only,5.94,8.15,2,2,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1154343,0.0126,egfr_directional_priority;borderline_pA,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_090,CHEMBL403785,B_only,B_only,5.59,7.72,1,2,IC50,IC50,B,B;F,,,1,CHEMBL1140495,0.0126,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_091,CHEMBL193578,B_only,B_only,5.62,7.62,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL1141048,0.0046,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_092,CHEMBL5555280,B_only,B_only,5.34,7.31,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5506072,-0.0058,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_093,CHEMBL5977568,B_only,B_only,5.86,7.71,1,1,IC50,IC50,B,B,Homo sapiens,,1,CHEMBL5728076,-0.0035,egfr_directional_priority;borderline_pA;top_document_series,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH120_094,CHEMBL118109,B_only,B_only,4.73,6.46,3,1,IC50,IC50,B;F,B,,,2,CHEMBL1126897;CHEMBL1136802,0.0149,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
