pair,contrast,n_pos,n_neg,true_auroc,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
PIK3CA/mTOR,dual_vs_neither,18,4,0.60,1000,2000,0.182,0.0122015,0.610889
PIK3CA/mTOR,summary_min,18,14/12,0.60,1000,2000,0.027,0.00512552,0.546679
PIK3CA/mTOR,dual_vs_A_only,18,14,0.65,1000,2000,0.328,0.0148464,0.654567
PIK3CA/mTOR,dual_vs_B_only,18,12,0.65,1000,2000,0.308,0.0145992,0.648843
PIK3CA/mTOR,dual_vs_neither,18,4,0.65,1000,2000,0.214,0.0129693,0.646736
PIK3CA/mTOR,summary_min,18,14/12,0.65,1000,2000,0.081,0.0086278,0.590304
PIK3CA/mTOR,dual_vs_A_only,18,14,0.70,1000,2000,0.489,0.0158076,0.696135
PIK3CA/mTOR,dual_vs_B_only,18,12,0.70,1000,2000,0.495,0.0158106,0.702296
PIK3CA/mTOR,dual_vs_neither,18,4,0.70,1000,2000,0.35,0.0150831,0.708583
PIK3CA/mTOR,summary_min,18,14/12,0.70,1000,2000,0.233,0.0133683,0.648463
PIK3CA/mTOR,dual_vs_A_only,18,14,0.75,1000,2000,0.736,0.0139393,0.753516
PIK3CA/mTOR,dual_vs_B_only,18,12,0.75,1000,2000,0.701,0.0144775,0.752528
PIK3CA/mTOR,dual_vs_neither,18,4,0.75,1000,2000,0.468,0.015779,0.751208
PIK3CA/mTOR,summary_min,18,14/12,0.75,1000,2000,0.453,0.0157414,0.699274
AChE/BChE,dual_vs_A_only,27,26,0.50,1000,2000,0.046,0.0066245,0.497821
AChE/BChE,dual_vs_B_only,27,28,0.50,1000,2000,0.046,0.0066245,0.497639
AChE/BChE,dual_vs_neither,27,15,0.50,1000,2000,0.054,0.00714731,0.497553
AChE/BChE,summary_min,27,26/28,0.50,1000,2000,0.122,0.0103497,0.455106
AChE/BChE,dual_vs_A_only,27,26,0.55,1000,2000,0.124,0.0104223,0.556249
AChE/BChE,dual_vs_B_only,27,28,0.55,1000,2000,0.102,0.00957058,0.550115
AChE/BChE,dual_vs_neither,27,15,0.55,1000,2000,0.119,0.0102391,0.552084
AChE/BChE,summary_min,27,26/28,0.55,1000,2000,0.024,0.00483983,0.50444
AChE/BChE,dual_vs_A_only,27,26,0.60,1000,2000,0.262,0.0139053,0.598634
AChE/BChE,dual_vs_B_only,27,28,0.60,1000,2000,0.249,0.0136748,0.600722
AChE/BChE,dual_vs_neither,27,15,0.60,1000,2000,0.201,0.0126728,0.597444
AChE/BChE,summary_min,27,26/28,0.60,1000,2000,0.056,0.00727076,0.558007
AChE/BChE,dual_vs_A_only,27,26,0.65,1000,2000,0.486,0.0158052,0.648385
AChE/BChE,dual_vs_B_only,27,28,0.65,1000,2000,0.515,0.0158043,0.652597
AChE/BChE,dual_vs_neither,27,15,0.65,1000,2000,0.377,0.0153255,0.649938
AChE/BChE,summary_min,27,26/28,0.65,1000,2000,0.202,0.0126963,0.608014
AChE/BChE,dual_vs_A_only,27,26,0.70,1000,2000,0.754,0.0136193,0.701994
AChE/BChE,dual_vs_B_only,27,28,0.70,1000,2000,0.764,0.0134277,0.700653
AChE/BChE,dual_vs_neither,27,15,0.70,1000,2000,0.614,0.0153949,0.700114
AChE/BChE,summary_min,27,26/28,0.70,1000,2000,0.54,0.0157607,0.660976
AChE/BChE,dual_vs_A_only,27,26,0.75,1000,2000,0.919,0.0086278,0.753262
AChE/BChE,dual_vs_B_only,27,28,0.75,1000,2000,0.925,0.00832917,0.749544
AChE/BChE,dual_vs_neither,27,15,0.75,1000,2000,0.809,0.0124306,0.753778
AChE/BChE,summary_min,27,26/28,0.75,1000,2000,0.817,0.0122275,0.710614
F2/F10,dual_vs_A_only,31,32,0.50,1000,2000,0.058,0.00739162,0.501364
F2/F10,dual_vs_B_only,31,32,0.50,1000,2000,0.063,0.00768316,0.502643
F2/F10,dual_vs_neither,31,12,0.50,1000,2000,0.059,0.00745111,0.499497
F2/F10,summary_min,31,32/32,0.50,1000,2000,0.102,0.00957058,0.457065
F2/F10,dual_vs_A_only,31,32,0.55,1000,2000,0.116,0.0101264,0.551114
F2/F10,dual_vs_B_only,31,32,0.55,1000,2000,0.117,0.0101642,0.547454
F2/F10,dual_vs_neither,31,12,0.55,1000,2000,0.11,0.00989444,0.551839
F2/F10,summary_min,31,32/32,0.55,1000,2000,0.029,0.00530651,0.509029
F2/F10,dual_vs_A_only,31,32,0.60,1000,2000,0.291,0.0143638,0.60354
F2/F10,dual_vs_B_only,31,32,0.60,1000,2000,0.31,0.0146253,0.603549
F2/F10,dual_vs_neither,31,12,0.60,1000,2000,0.191,0.0124306,0.600476
F2/F10,summary_min,31,32/32,0.60,1000,2000,0.062,0.00762601,0.556958
F2/F10,dual_vs_A_only,31,32,0.65,1000,2000,0.559,0.0157009,0.649776
F2/F10,dual_vs_B_only,31,32,0.65,1000,2000,0.538,0.0157657,0.648316
F2/F10,dual_vs_neither,31,12,0.65,1000,2000,0.344,0.0150221,0.648769
F2/F10,summary_min,31,32/32,0.65,1000,2000,0.318,0.0147267,0.614912
F2/F10,dual_vs_A_only,31,32,0.70,1000,2000,0.81,0.0124056,0.702716
F2/F10,dual_vs_B_only,31,32,0.70,1000,2000,0.832,0.0118227,0.703769
F2/F10,dual_vs_neither,31,12,0.70,1000,2000,0.558,0.0157046,0.699083
F2/F10,summary_min,31,32/32,0.70,1000,2000,0.649,0.015093,0.662059
F2/F10,dual_vs_A_only,31,32,0.75,1000,2000,0.957,0.0064149,0.751999
F2/F10,dual_vs_B_only,31,32,0.75,1000,2000,0.948,0.00702111,0.751131
F2/F10,dual_vs_neither,31,12,0.75,1000,2000,0.764,0.0134277,0.748253
F2/F10,summary_min,31,32/32,0.75,1000,2000,0.903,0.00935901,0.716173
PPARG/PPARA,dual_vs_A_only,32,31,0.50,1000,2000,0.054,0.00714731,0.49823
PPARG/PPARA,dual_vs_B_only,32,32,0.50,1000,2000,0.059,0.00745111,0.501124
PPARG/PPARA,dual_vs_neither,32,14,0.50,1000,2000,0.056,0.00727076,0.497237
PPARG/PPARA,summary_min,32,31/32,0.50,1000,2000,0.141,0.0110054,0.456524
PPARG/PPARA,dual_vs_A_only,32,31,0.55,1000,2000,0.114,0.0100501,0.549002
PPARG/PPARA,dual_vs_B_only,32,32,0.55,1000,2000,0.122,0.0103497,0.55412
PPARG/PPARA,dual_vs_neither,32,14,0.55,1000,2000,0.094,0.00922843,0.550781
PPARG/PPARA,summary_min,32,31/32,0.55,1000,2000,0.025,0.0049371,0.506968
PPARG/PPARA,dual_vs_A_only,32,31,0.60,1000,2000,0.288,0.0143198,0.603389
PPARG/PPARA,dual_vs_B_only,32,32,0.60,1000,2000,0.256,0.0138009,0.596534
PPARG/PPARA,dual_vs_neither,32,14,0.60,1000,2000,0.228,0.0132671,0.602263
PPARG/PPARA,summary_min,32,31/32,0.60,1000,2000,0.068,0.0079609,0.559541
PPARG/PPARA,dual_vs_A_only,32,31,0.65,1000,2000,0.549,0.0157353,0.649978
PPARG/PPARA,dual_vs_B_only,32,32,0.65,1000,2000,0.526,0.01579,0.646215
PPARG/PPARA,dual_vs_neither,32,14,0.65,1000,2000,0.398,0.0154789,0.655587
PPARG/PPARA,summary_min,32,31/32,0.65,1000,2000,0.261,0.0138881,0.61062
PPARG/PPARA,dual_vs_A_only,32,31,0.70,1000,2000,0.837,0.0116804,0.702249
PPARG/PPARA,dual_vs_B_only,32,32,0.70,1000,2000,0.822,0.0120961,0.699858
PPARG/PPARA,dual_vs_neither,32,14,0.70,1000,2000,0.611,0.0154168,0.697866
PPARG/PPARA,summary_min,32,31/32,0.70,1000,2000,0.654,0.0150427,0.664097
PPARG/PPARA,dual_vs_A_only,32,31,0.75,1000,2000,0.96,0.00619677,0.750122
PPARG/PPARA,dual_vs_B_only,32,32,0.75,1000,2000,0.955,0.00655553,0.751251
PPARG/PPARA,dual_vs_neither,32,14,0.75,1000,2000,0.807,0.01248,0.747107
PPARG/PPARA,summary_min,32,31/32,0.75,1000,2000,0.911,0.00900439,0.718267
PPARA/PPARD,dual_vs_A_only,32,32,0.50,1000,2000,0.054,0.00714731,0.496227
PPARA/PPARD,dual_vs_B_only,32,32,0.50,1000,2000,0.046,0.0066245,0.496999
PPARA/PPARD,dual_vs_neither,32,14,0.50,1000,2000,0.055,0.00720937,0.494208
PPARA/PPARD,summary_min,32,32/32,0.50,1000,2000,0.102,0.00957058,0.461005
PPARA/PPARD,dual_vs_A_only,32,32,0.55,1000,2000,0.109,0.0098549,0.55114
PPARA/PPARD,dual_vs_B_only,32,32,0.55,1000,2000,0.109,0.0098549,0.549071
PPARA/PPARD,dual_vs_neither,32,14,0.55,1000,2000,0.108,0.00981509,0.550991
PPARA/PPARD,summary_min,32,32/32,0.55,1000,2000,0.023,0.00474036,0.51052
PPARA/PPARD,dual_vs_A_only,32,32,0.60,1000,2000,0.292,0.0143783,0.600717
PPARA/PPARD,dual_vs_B_only,32,32,0.60,1000,2000,0.301,0.0145051,0.602453
PPARA/PPARD,dual_vs_neither,32,14,0.60,1000,2000,0.218,0.0130566,0.598585
PPARA/PPARD,summary_min,32,32/32,0.60,1000,2000,0.062,0.00762601,0.557625
PPARA/PPARD,dual_vs_A_only,32,32,0.65,1000,2000,0.552,0.0157256,0.651309
PPARA/PPARD,dual_vs_B_only,32,32,0.65,1000,2000,0.559,0.0157009,0.648871
PPARA/PPARD,dual_vs_neither,32,14,0.65,1000,2000,0.401,0.0154984,0.653125
PPARA/PPARD,summary_min,32,32/32,0.65,1000,2000,0.285,0.014275,0.611872
PPARA/PPARD,dual_vs_A_only,32,32,0.70,1000,2000,0.826,0.0119885,0.701562
PPARA/PPARD,dual_vs_B_only,32,32,0.70,1000,2000,0.827,0.0119612,0.700549
PPARA/PPARD,dual_vs_neither,32,14,0.70,1000,2000,0.607,0.0154451,0.697248
PPARA/PPARD,summary_min,32,32/32,0.70,1000,2000,0.674,0.0148231,0.665313
PPARA/PPARD,dual_vs_A_only,32,32,0.75,1000,2000,0.954,0.0066245,0.747069
PPARA/PPARD,dual_vs_B_only,32,32,0.75,1000,2000,0.958,0.00634319,0.753345
PPARA/PPARD,dual_vs_neither,32,14,0.75,1000,2000,0.804,0.0125532,0.747752
PPARA/PPARD,summary_min,32,32/32,0.75,1000,2000,0.901,0.00944452,0.716157
