pair,ligand,molecule_chembl_id,frozen_class,cached_pA,cached_pB,api_max_A,api_median_A,n_pchembl_A,n_activity_A,cache_matches_api_max_A,api_max_B,api_median_B,n_pchembl_B,n_activity_B,cache_matches_api_max_B,class_max_theta6,class_median_theta6,flip_max_to_median,max_ne_median_A,max_ne_median_B
EGFR/HER2,EH40_25,CHEMBL289959,A_only,7.1,5.3,7.1,6.46,5,5,1,5.3,5.3,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH40_26,CHEMBL371863,A_only,6.7,5.14,6.7,6.7,1,1,1,5.14,5.14,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_27,CHEMBL428690,A_only,6.28,4.8,6.28,5.66,17,27,1,4.8,4.8,1,4,1,A_only,neither,1,1,0
EGFR/HER2,EH40_28,CHEMBL6017443,B_only,5.99,7.79,5.99,5.99,1,3,1,7.79,7.79,1,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_29,CHEMBL1080990,B_only,5.92,6.03,5.92,5.92,1,2,1,6.03,6.03,1,2,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_30,CHEMBL565612,B_only,5.9,6.1,5.9,5.9,1,3,1,6.1,6.1,1,2,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_31,CHEMBL257873,B_only,5.84,8.3,5.84,5.84,1,1,1,8.3,8.3,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_32,CHEMBL394463,B_only,5.75,6.6,5.75,5.75,1,1,1,6.6,6.6,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_33,CHEMBL3814021,B_only,5.69,7.72,5.69,5.655,2,10,1,7.72,7.72,1,1,1,B_only,B_only,0,1,0
EGFR/HER2,EH40_34,CHEMBL2048792,B_only,5.64,6.89,5.64,5.64,1,2,1,6.89,6.89,1,2,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_35,CHEMBL449949,B_only,5.58,6.35,5.58,5.58,1,2,1,6.35,6.35,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_36,CHEMBL5901840,B_only,5.51,7.97,5.51,5.51,1,3,1,7.97,7.97,1,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_37,CHEMBL5542514,B_only,5.34,7.08,5.34,5.34,1,1,1,7.08,7.08,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH40_38,CHEMBL2005631,neither,5.8,5.9,5.8,5.8,1,1,1,5.9,5.9,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH40_39,CHEMBL1683950,neither,5.92,5.2,5.92,5.92,1,1,1,5.2,5.2,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH40_40,CHEMBL141175,neither,4.8,5.7,4.8,4.8,1,1,1,5.7,5.7,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_041,CHEMBL941,dual,9.96,10.22,9.96,5.12,3,34,1,10.22,10.22,1,9,1,dual,B_only,1,1,0
EGFR/HER2,EH120_042,CHEMBL5221067,dual,9.33,9.85,9.33,9.33,1,1,1,9.85,9.85,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH120_043,CHEMBL5881155,dual,9.66,9.22,9.66,9.66,1,3,1,9.22,9.22,1,3,1,dual,dual,0,0,0
EGFR/HER2,EH120_044,CHEMBL203599,dual,9.3,9.15,9.3,9.010000000000002,2,2,1,9.15,9.1,3,3,1,dual,dual,0,1,1
EGFR/HER2,EH120_045,CHEMBL1873475,dual,9.3,9.12,9.3,8.205,46,69,1,9.12,8.03,15,17,1,dual,dual,0,1,1
EGFR/HER2,EH120_046,CHEMBL5282641,dual,10.28,9.02,10.28,10.01,5,7,1,9.02,9.02,1,1,1,dual,dual,0,1,0
EGFR/HER2,EH120_047,CHEMBL180022,dual,10.7,9.0,10.7,8.6,47,58,1,9.0,8.01,25,27,1,dual,dual,0,1,1
EGFR/HER2,EH120_048,CHEMBL203644,dual,9.52,8.96,9.52,9.059999999999999,2,4,1,8.96,8.290000000000001,2,2,1,dual,dual,0,1,1
EGFR/HER2,EH120_049,CHEMBL437890,dual,8.96,9.3,8.96,8.765,2,2,1,9.3,8.88,2,2,1,dual,dual,0,1,1
EGFR/HER2,EH120_050,CHEMBL5176920,dual,8.96,8.97,8.96,8.96,1,1,1,8.97,8.97,1,3,1,dual,dual,0,0,0
EGFR/HER2,EH120_051,CHEMBL54091,dual,9.14,8.96,9.14,8.91,2,3,1,8.96,8.96,1,1,1,dual,dual,0,1,0
EGFR/HER2,EH120_052,CHEMBL203661,dual,8.89,9.1,8.89,8.815000000000001,2,2,1,9.1,8.7,2,2,1,dual,dual,0,1,1
EGFR/HER2,EH120_053,CHEMBL4075917,dual,8.89,9.0,8.89,8.49,2,2,1,9.0,9.0,1,1,1,dual,dual,0,1,0
EGFR/HER2,EH120_054,CHEMBL29197,A_only,10.6,5.27,10.6,7.2,45,57,1,5.27,5.27,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_055,CHEMBL93464,A_only,9.26,4.04,9.26,8.06,3,4,1,4.04,4.04,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_056,CHEMBL4078431,A_only,9.52,5.22,9.52,9.52,1,1,1,5.22,5.22,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_057,CHEMBL53753,A_only,7.89,4.28,7.89,7.82,4,10,1,4.28,4.28,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_058,CHEMBL3357643,A_only,9.28,5.81,9.28,8.25,2,2,1,5.81,5.81,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_059,CHEMBL305194,A_only,7.54,4.31,7.54,7.54,1,3,1,4.31,4.31,1,2,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_060,CHEMBL24828,A_only,8.32,5.58,8.32,7.7,51,58,1,6.85,5.58,3,4,0,dual,A_only,1,1,1
EGFR/HER2,EH120_061,CHEMBL4280835,A_only,7.33,4.72,7.33,7.33,1,2,1,4.72,4.72,1,2,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_062,CHEMBL4286733,A_only,6.95,4.43,6.95,6.95,1,2,1,4.43,4.43,1,2,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_063,CHEMBL3929002,A_only,7.3,4.98,7.3,7.3,1,4,1,4.98,4.98,1,3,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_064,CHEMBL5270270,A_only,7.36,5.06,7.36,7.36,1,1,1,5.06,5.06,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_065,CHEMBL281300,A_only,8.01,5.79,8.01,6.23,6,7,1,5.79,5.79,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_066,CHEMBL288441,A_only,7.75,5.6,7.75,7.42,15,16,1,5.6,5.59,2,2,1,A_only,A_only,0,1,1
EGFR/HER2,EH120_067,CHEMBL56543,A_only,7.0,4.87,7.0,6.0,8,10,1,4.87,4.87,3,3,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_068,CHEMBL4061382,A_only,7.58,5.5,7.58,7.58,1,1,1,5.5,5.5,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_069,CHEMBL30973,A_only,7.43,5.38,7.43,6.51,6,7,1,5.38,5.38,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_070,CHEMBL55979,A_only,6.4,4.43,6.4,5.6,5,5,1,4.43,4.43,2,2,1,A_only,neither,1,1,0
EGFR/HER2,EH120_071,CHEMBL3647967,A_only,7.69,5.81,7.69,7.69,4,4,1,5.81,5.81,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_072,CHEMBL4278886,A_only,7.67,5.82,7.67,7.67,1,6,1,5.82,5.82,1,2,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_073,CHEMBL3114689,A_only,7.8,5.96,7.8,6.955,2,2,1,5.96,5.96,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH120_074,CHEMBL205652,A_only,6.5,4.68,6.5,6.27,2,2,1,4.68,4.64,2,2,1,A_only,A_only,0,1,1
EGFR/HER2,EH120_075,CHEMBL372112,A_only,7.3,5.48,7.3,7.3,1,1,1,5.48,5.48,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_076,CHEMBL56731,A_only,6.16,4.38,6.16,5.9,5,6,1,4.38,4.38,3,3,1,A_only,neither,1,1,0
EGFR/HER2,EH120_077,CHEMBL10,A_only,6.47,4.72,6.47,5.77,25,31,1,4.72,4.72,1,6,1,A_only,neither,1,1,0
EGFR/HER2,EH120_078,CHEMBL179633,A_only,7.14,5.41,7.14,7.14,1,1,1,5.41,5.41,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_079,CHEMBL370934,A_only,7.22,5.52,7.22,7.22,1,1,1,5.52,5.52,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH120_080,CHEMBL1080506,B_only,5.3,8.4,5.3,5.1,2,2,1,8.4,8.4,1,2,1,B_only,B_only,0,1,0
EGFR/HER2,EH120_081,CHEMBL6150652,B_only,4.92,8.02,4.92,4.92,1,1,1,8.02,8.02,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_082,CHEMBL257478,B_only,5.7,8.7,5.7,5.7,1,1,1,8.7,7.93,2,2,1,B_only,B_only,0,0,1
EGFR/HER2,EH120_083,CHEMBL6006814,B_only,5.29,7.99,5.29,5.29,1,3,1,7.99,7.99,1,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_084,CHEMBL6133515,B_only,5.66,8.24,5.66,5.66,1,1,1,8.24,8.24,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_085,CHEMBL1257998,B_only,5.64,8.12,5.64,5.64,1,2,1,8.12,7.295,2,2,1,B_only,B_only,0,0,1
EGFR/HER2,EH120_086,CHEMBL5890920,B_only,5.74,8.16,5.74,5.74,1,3,1,8.16,8.16,1,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_087,CHEMBL5797736,B_only,5.54,7.94,5.54,5.54,1,3,1,7.94,7.94,1,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_088,CHEMBL1256432,B_only,5.54,7.8,5.54,5.54,1,2,1,7.8,7.12,2,2,1,B_only,B_only,0,0,1
EGFR/HER2,EH120_089,CHEMBL1087368,B_only,5.94,8.15,5.94,5.915,2,2,1,8.15,7.085,2,2,1,B_only,B_only,0,1,1
EGFR/HER2,EH120_090,CHEMBL403785,B_only,5.59,7.72,5.59,5.59,1,1,1,7.72,7.3,2,2,1,B_only,B_only,0,0,1
EGFR/HER2,EH120_091,CHEMBL193578,B_only,5.62,7.62,5.62,5.62,1,1,1,7.62,7.62,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_092,CHEMBL5555280,B_only,5.34,7.31,5.34,5.34,1,4,1,7.31,7.31,1,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_093,CHEMBL5977568,B_only,5.86,7.71,5.86,5.86,1,3,1,7.71,7.71,1,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_094,CHEMBL118109,B_only,4.73,6.46,4.73,4.72,4,4,1,6.46,6.46,1,1,1,B_only,B_only,0,1,0
EGFR/HER2,EH120_095,CHEMBL256362,B_only,5.96,7.64,5.96,5.96,1,1,1,7.64,7.64,2,3,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_096,CHEMBL5561933,B_only,5.67,7.28,5.67,5.67,1,1,1,7.28,7.28,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_097,CHEMBL194337,B_only,5.68,7.16,5.68,5.68,1,1,1,7.16,7.16,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_098,CHEMBL5557178,B_only,5.33,6.8,5.33,5.33,1,1,1,6.8,6.8,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_099,CHEMBL1080272,B_only,4.82,6.21,4.82,4.82,1,2,1,6.21,6.21,1,2,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_100,CHEMBL5561503,B_only,5.86,7.23,5.86,5.86,1,1,1,7.23,7.23,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_101,CHEMBL5558817,B_only,5.38,6.67,5.38,5.38,1,1,1,6.67,6.67,1,1,1,B_only,B_only,0,0,0
EGFR/HER2,EH120_102,CHEMBL104,neither,4.16,4.18,4.16,4.16,1,2,1,4.18,4.18,1,2,1,neither,neither,0,0,0
EGFR/HER2,EH120_103,CHEMBL4087921,neither,4.33,4.28,4.33,4.33,2,2,1,4.28,4.28,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_104,CHEMBL4102214,neither,4.35,4.24,4.35,4.35,2,2,1,4.24,4.24,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_105,CHEMBL4102942,neither,4.35,4.28,4.35,4.35,2,2,1,4.28,4.28,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_106,CHEMBL4074782,neither,4.4,4.33,4.4,4.4,2,2,1,4.33,4.33,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_107,CHEMBL1095259,neither,4.35,4.42,4.35,4.35,1,2,1,4.42,4.42,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_108,CHEMBL4575427,neither,4.35,4.42,4.35,4.35,1,2,1,4.42,4.42,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_109,CHEMBL589165,neither,4.44,4.33,4.44,4.44,1,1,1,4.33,4.33,1,1,1,neither,neither,0,0,0
EGFR/HER2,EH120_110,CHEMBL589503,neither,4.45,4.32,4.45,4.45,1,1,1,4.32,4.32,1,1,1,neither,neither,0,0,0
AChE/BChE,AB_002,CHEMBL4464883,dual,8.0,6.8,8.0,8.0,1,1,1,6.8,6.8,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_003,CHEMBL309667,dual,7.96,8.62,7.96,7.96,1,2,1,8.62,8.62,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_004,CHEMBL3216777,dual,8.88,6.88,8.88,8.88,1,2,1,6.88,6.88,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_005,CHEMBL3326699,dual,7.35,7.53,7.35,7.35,1,1,1,7.53,7.53,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_006,CHEMBL557405,dual,8.17,7.6,8.17,8.17,1,1,1,7.6,7.6,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_007,CHEMBL374981,dual,8.29,8.86,8.29,8.29,1,1,1,8.86,8.86,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_008,CHEMBL189906,dual,7.52,7.23,7.52,7.52,1,1,1,7.23,7.23,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_009,CHEMBL6151573,dual,6.8,7.15,6.8,6.8,1,1,1,7.15,7.15,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_010,CHEMBL4749805,dual,6.84,6.81,6.84,6.84,1,1,1,6.81,6.81,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_011,CHEMBL4781117,dual,6.51,6.67,6.51,6.51,1,1,1,6.67,6.67,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_012,CHEMBL4212275,dual,7.33,7.91,7.33,7.33,1,1,1,7.91,7.91,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_013,CHEMBL80221,dual,6.79,7.66,6.79,6.79,2,3,1,7.66,7.66,2,2,1,dual,dual,0,0,0
AChE/BChE,AB_014,CHEMBL4866930,dual,8.74,7.5,8.74,8.74,1,3,1,7.5,7.5,1,4,1,dual,dual,0,0,0
AChE/BChE,AB_015,CHEMBL2064464,dual,9.5,7.2,9.5,9.42,3,3,1,7.2,7.2,1,1,1,dual,dual,0,1,0
AChE/BChE,AB_016,CHEMBL273051,dual,7.45,7.82,7.45,7.45,1,1,1,7.82,7.82,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_017,CHEMBL3753850,dual,7.61,7.99,7.61,7.61,1,1,1,7.99,7.99,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_018,CHEMBL659,dual,7.21,7.29,7.21,5.9350000000000005,94,126,1,7.29,4.86,55,81,1,dual,neither,1,1,1
AChE/BChE,AB_019,CHEMBL3642049,dual,8.34,9.6,8.34,8.34,1,1,1,9.6,9.6,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_020,CHEMBL334395,dual,6.52,7.0,6.52,6.52,1,1,1,7.0,7.0,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_021,CHEMBL4535585,dual,7.0,7.13,7.0,7.0,1,1,1,7.13,7.13,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_022,CHEMBL2019044,dual,9.0,8.82,9.0,9.0,1,1,1,8.82,8.82,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_023,CHEMBL4207101,dual,8.12,8.63,8.12,8.01,3,9,1,8.63,8.63,1,1,1,dual,dual,0,1,0
AChE/BChE,AB_024,CHEMBL5276955,dual,7.96,7.26,7.96,7.96,1,1,1,7.26,7.26,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_025,CHEMBL6150640,dual,6.85,7.44,6.85,6.85,1,1,1,7.44,7.44,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_026,CHEMBL1080386,dual,8.22,8.22,8.22,8.22,2,5,1,8.22,8.22,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_027,CHEMBL3326708,dual,7.25,7.51,7.25,7.25,1,1,1,7.51,7.51,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_028,CHEMBL1783515,dual,8.05,6.66,8.05,8.05,1,1,1,6.66,6.66,1,1,1,dual,dual,0,0,0
AChE/BChE,AB_029,CHEMBL3985059,A_only,7.39,5.09,7.39,7.39,1,1,1,5.09,5.09,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_030,CHEMBL3425895,A_only,6.52,5.46,6.52,6.52,1,2,1,5.46,5.46,1,2,1,A_only,A_only,0,0,0
AChE/BChE,AB_031,CHEMBL2419687,A_only,7.27,5.08,7.27,7.27,1,1,1,5.08,5.08,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_032,CHEMBL5281758,A_only,6.52,4.5,6.52,6.385,2,2,1,4.5,4.5,1,2,1,A_only,A_only,0,1,0
AChE/BChE,AB_033,CHEMBL4283450,A_only,6.77,5.19,6.77,6.77,1,1,1,5.19,5.19,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_034,CHEMBL1773487,A_only,6.84,4.98,6.84,6.84,1,2,1,4.98,4.98,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_035,CHEMBL3952144,A_only,6.57,5.09,6.57,6.57,1,1,1,5.09,5.09,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_036,CHEMBL1773489,A_only,6.68,5.01,6.68,6.68,1,2,1,5.01,5.01,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_037,CHEMBL597794,A_only,6.96,4.04,6.96,6.96,1,1,1,4.04,4.04,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_038,CHEMBL599644,A_only,7.28,5.3,7.28,7.28,3,4,1,5.3,5.3,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_039,CHEMBL597188,A_only,7.25,5.09,7.25,7.25,1,2,1,5.09,5.09,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_040,CHEMBL222904,A_only,8.48,5.07,8.48,8.365,2,3,1,5.07,5.07,1,1,1,A_only,A_only,0,1,0
AChE/BChE,AB_041,CHEMBL164,A_only,7.92,4.15,7.92,6.17,2,3,1,4.15,4.15,1,3,1,A_only,A_only,0,1,0
AChE/BChE,AB_042,CHEMBL3910513,A_only,6.83,4.41,6.83,6.83,1,1,1,4.41,4.41,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_043,CHEMBL1678,A_only,7.94,5.14,7.94,7.5,6,10,1,5.14,5.14,1,1,1,A_only,A_only,0,1,0
AChE/BChE,AB_044,CHEMBL3900968,A_only,7.02,4.92,7.02,7.02,1,1,1,4.92,4.92,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_045,CHEMBL206093,A_only,7.44,4.44,7.44,7.44,1,1,1,4.44,4.44,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_046,CHEMBL254016,A_only,8.48,5.07,8.48,8.48,2,4,1,5.07,5.07,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_047,CHEMBL4292477,A_only,7.39,5.37,7.39,7.3,2,2,1,5.37,5.37,1,1,1,A_only,A_only,0,1,0
AChE/BChE,AB_048,CHEMBL3933395,A_only,7.01,4.73,7.01,7.01,1,1,1,4.73,4.73,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_049,CHEMBL378404,A_only,7.42,4.28,7.42,7.42,1,1,1,4.28,4.28,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_050,CHEMBL3093795,A_only,6.85,5.11,6.85,6.85,1,1,1,5.11,5.11,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_051,CHEMBL5280980,A_only,9.3,5.3,9.3,9.3,1,1,1,5.3,5.3,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_052,CHEMBL5566300,A_only,7.8,4.32,7.8,7.8,1,2,1,4.32,4.32,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_055,CHEMBL572532,A_only,6.82,4.68,6.82,6.82,1,1,1,4.68,4.68,1,1,1,A_only,A_only,0,0,0
AChE/BChE,AB_057,CHEMBL3754694,B_only,5.12,8.64,5.12,5.12,1,1,1,8.64,8.64,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_058,CHEMBL3892118,B_only,5.39,7.1,5.39,5.39,1,1,1,7.1,7.1,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_059,CHEMBL5435599,B_only,5.25,7.88,5.25,5.25,1,2,1,7.88,7.88,1,2,1,B_only,B_only,0,0,0
AChE/BChE,AB_060,CHEMBL224469,B_only,4.99,7.1,4.99,4.99,1,1,1,7.1,7.1,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_061,CHEMBL382207,B_only,5.41,7.77,5.41,5.41,1,2,1,7.77,7.77,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_062,CHEMBL543711,B_only,4.33,6.51,4.33,4.33,1,1,1,6.51,6.51,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_063,CHEMBL5590844,B_only,5.38,6.82,5.38,5.38,1,1,1,6.82,6.82,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_064,CHEMBL5283238,B_only,4.22,6.58,4.22,4.22,1,1,1,6.58,6.58,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_065,CHEMBL3818250,B_only,5.27,6.54,5.27,5.27,1,1,1,6.54,6.54,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_066,CHEMBL4640945,B_only,4.26,6.55,4.26,4.26,1,2,1,6.55,6.55,1,2,1,B_only,B_only,0,0,0
AChE/BChE,AB_067,CHEMBL5428978,B_only,5.27,7.09,5.27,5.27,1,2,1,7.09,7.09,1,2,1,B_only,B_only,0,0,0
AChE/BChE,AB_068,CHEMBL4085222,B_only,5.42,7.16,5.42,5.42,1,1,1,7.16,7.16,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_069,CHEMBL5411758,B_only,5.42,8.19,5.42,5.42,1,3,1,8.19,7.3,3,3,1,B_only,B_only,0,0,1
AChE/BChE,AB_070,CHEMBL5178828,B_only,5.11,7.53,5.11,5.11,1,2,1,7.53,7.53,1,1,1,B_only,B_only,0,0,0
AChE/BChE,AB_071,CHEMBL5170719,B_only,5.02,7.12,5.02,5.01,2,2,1,7.12,7.109999999999999,2,2,1,B_only,B_only,0,1,1
AChE/BChE,AB_072,CHEMBL3822670,B_only,5.31,6.54,5.31,5.31,1,1,1,6.54,6.54,1,1,1,B_only,B_only,0,0,0
