pair,ligand,molecule_chembl_id,frozen_class,api_max_class,adjudicated_primary_only_class,api_max_A,api_max_B,primary_only_max_A,primary_only_max_B,arm_A_status,arm_B_status,flip_vs_api_max,flip_vs_frozen,model_eligible_primary_only
EGFR/HER2,EH40_23,CHEMBL3633938,A_only,A_only,A_only,6.35,5.57,6.35,5.57,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_24,CHEMBL602328,A_only,A_only,A_only,6.01,5.45,6.01,5.45,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_25,CHEMBL289959,A_only,A_only,A_only,7.1,5.3,7.1,5.3,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_26,CHEMBL371863,A_only,A_only,A_only,6.7,5.14,6.7,5.14,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_27,CHEMBL428690,A_only,A_only,A_only,6.28,4.8,6.28,4.8,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_28,CHEMBL6017443,B_only,B_only,B_only,5.99,7.79,5.99,7.79,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_29,CHEMBL1080990,B_only,B_only,B_only,5.92,6.03,5.92,6.03,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_30,CHEMBL565612,B_only,B_only,B_only,5.9,6.1,5.9,6.1,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_31,CHEMBL257873,B_only,B_only,B_only,5.84,8.3,5.84,8.3,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_32,CHEMBL394463,B_only,B_only,B_only,5.75,6.6,5.75,6.6,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_33,CHEMBL3814021,B_only,B_only,B_only,5.69,7.72,5.69,7.72,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_34,CHEMBL2048792,B_only,B_only,B_only,5.64,6.89,5.64,6.89,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_35,CHEMBL449949,B_only,B_only,B_only,5.58,6.35,5.58,6.35,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_36,CHEMBL5901840,B_only,B_only,B_only,5.51,7.97,5.51,7.97,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_37,CHEMBL5542514,B_only,B_only,B_only,5.34,7.08,5.34,7.08,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_38,CHEMBL2005631,neither,neither,neither,5.8,5.9,5.8,5.9,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_39,CHEMBL1683950,neither,neither,neither,5.92,5.2,5.92,5.2,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_40,CHEMBL141175,neither,neither,neither,4.8,5.7,4.8,5.7,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_041,CHEMBL941,dual,dual,dual,9.96,10.22,9.96,10.22,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_042,CHEMBL5221067,dual,dual,dual,9.33,9.85,9.33,9.85,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_043,CHEMBL5881155,dual,dual,dual,9.66,9.22,9.66,9.22,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_044,CHEMBL203599,dual,dual,dual,9.3,9.15,9.3,9.15,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_045,CHEMBL1873475,dual,dual,dual,9.3,9.12,9.3,9.12,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_046,CHEMBL5282641,dual,dual,dual,10.28,9.02,10.28,9.02,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_047,CHEMBL180022,dual,dual,dual,10.7,9.0,10.7,9.0,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_048,CHEMBL203644,dual,dual,dual,9.52,8.96,9.52,8.96,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_049,CHEMBL437890,dual,dual,dual,8.96,9.3,8.96,9.3,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_050,CHEMBL5176920,dual,dual,dual,8.96,8.97,8.96,8.97,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_051,CHEMBL54091,dual,dual,dual,9.14,8.96,9.14,8.96,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_052,CHEMBL203661,dual,dual,dual,8.89,9.1,8.89,9.1,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_053,CHEMBL4075917,dual,dual,dual,8.89,9.0,8.89,9.0,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_054,CHEMBL29197,A_only,A_only,A_only,10.6,5.27,10.6,5.27,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_055,CHEMBL93464,A_only,A_only,A_only,9.26,4.04,9.26,4.04,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_056,CHEMBL4078431,A_only,A_only,A_only,9.52,5.22,9.52,5.22,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_057,CHEMBL53753,A_only,A_only,A_only,7.89,4.28,7.89,4.28,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_058,CHEMBL3357643,A_only,A_only,A_only,9.28,5.81,9.28,5.81,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_059,CHEMBL305194,A_only,A_only,unresolved_missing_arm,7.54,4.31,7.54,,unchanged_not_adjudicated,unresolved_after_exclusion,1,1,0
EGFR/HER2,EH120_060,CHEMBL24828,A_only,A_only,A_only,8.32,5.58,8.32,5.58,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_061,CHEMBL4280835,A_only,A_only,A_only,7.33,4.72,7.33,4.72,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_062,CHEMBL4286733,A_only,A_only,A_only,6.95,4.43,6.95,4.43,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_063,CHEMBL3929002,A_only,A_only,A_only,7.3,4.98,7.3,4.98,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_064,CHEMBL5270270,A_only,A_only,A_only,7.36,5.06,7.36,5.06,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_065,CHEMBL281300,A_only,A_only,A_only,8.01,5.79,8.01,5.79,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_066,CHEMBL288441,A_only,A_only,A_only,7.75,5.6,7.75,5.6,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_067,CHEMBL56543,A_only,A_only,A_only,7.0,4.87,7.0,4.87,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_068,CHEMBL4061382,A_only,A_only,A_only,7.58,5.5,7.58,5.5,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_069,CHEMBL30973,A_only,A_only,A_only,7.43,5.38,7.43,5.38,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_070,CHEMBL55979,A_only,A_only,A_only,6.4,4.43,6.4,4.43,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_071,CHEMBL3647967,A_only,A_only,A_only,7.69,5.81,7.69,5.81,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_072,CHEMBL4278886,A_only,A_only,A_only,7.67,5.82,7.67,5.82,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_073,CHEMBL3114689,A_only,A_only,A_only,7.8,5.96,7.8,5.96,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_074,CHEMBL205652,A_only,A_only,A_only,6.5,4.68,6.5,4.68,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_075,CHEMBL372112,A_only,A_only,A_only,7.3,5.48,7.3,5.48,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_076,CHEMBL56731,A_only,A_only,A_only,6.16,4.38,6.16,4.38,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_077,CHEMBL10,A_only,A_only,A_only,6.47,4.72,6.47,4.72,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_078,CHEMBL179633,A_only,A_only,A_only,7.14,5.41,7.14,5.41,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_079,CHEMBL370934,A_only,A_only,A_only,7.22,5.52,7.22,5.52,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_080,CHEMBL1080506,B_only,B_only,B_only,5.3,8.4,5.3,8.4,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_081,CHEMBL6150652,B_only,B_only,B_only,4.92,8.02,4.92,8.02,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_082,CHEMBL257478,B_only,B_only,B_only,5.7,8.7,5.7,8.7,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_083,CHEMBL6006814,B_only,B_only,B_only,5.29,7.99,5.29,7.99,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_084,CHEMBL6133515,B_only,B_only,B_only,5.66,8.24,5.66,8.24,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_085,CHEMBL1257998,B_only,B_only,B_only,5.64,8.12,5.64,8.12,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_086,CHEMBL5890920,B_only,B_only,B_only,5.74,8.16,5.74,8.16,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_087,CHEMBL5797736,B_only,B_only,B_only,5.54,7.94,5.54,7.94,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_088,CHEMBL1256432,B_only,B_only,B_only,5.54,7.8,5.54,7.8,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_089,CHEMBL1087368,B_only,B_only,B_only,5.94,8.15,5.94,8.15,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_090,CHEMBL403785,B_only,B_only,B_only,5.59,7.72,5.59,7.72,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_091,CHEMBL193578,B_only,B_only,B_only,5.62,7.62,5.62,7.62,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_092,CHEMBL5555280,B_only,B_only,B_only,5.34,7.31,5.34,7.31,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_093,CHEMBL5977568,B_only,B_only,B_only,5.86,7.71,5.86,7.71,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_094,CHEMBL118109,B_only,B_only,B_only,4.73,6.46,4.73,6.46,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_095,CHEMBL256362,B_only,B_only,B_only,5.96,7.64,5.96,7.64,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_096,CHEMBL5561933,B_only,B_only,B_only,5.67,7.28,5.67,7.28,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_097,CHEMBL194337,B_only,B_only,B_only,5.68,7.16,5.68,7.16,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_098,CHEMBL5557178,B_only,B_only,B_only,5.33,6.8,5.33,6.8,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_099,CHEMBL1080272,B_only,B_only,B_only,4.82,6.21,4.82,6.21,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_100,CHEMBL5561503,B_only,B_only,B_only,5.86,7.23,5.86,7.23,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_101,CHEMBL5558817,B_only,B_only,B_only,5.38,6.67,5.38,6.67,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_102,CHEMBL104,neither,neither,neither,4.16,4.18,4.16,4.18,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_103,CHEMBL4087921,neither,neither,neither,4.33,4.28,4.33,4.28,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_104,CHEMBL4102214,neither,neither,neither,4.35,4.24,4.35,4.24,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_105,CHEMBL4102942,neither,neither,neither,4.35,4.28,4.35,4.28,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_106,CHEMBL4074782,neither,neither,neither,4.4,4.33,4.4,4.33,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_107,CHEMBL1095259,neither,neither,neither,4.35,4.42,4.35,4.42,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_108,CHEMBL4575427,neither,neither,neither,4.35,4.42,4.35,4.42,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_109,CHEMBL589165,neither,neither,neither,4.44,4.33,4.44,4.33,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH120_110,CHEMBL589503,neither,neither,neither,4.45,4.32,4.45,4.32,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_002,CHEMBL4464883,dual,dual,dual,8.0,6.8,8.0,6.8,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_003,CHEMBL309667,dual,dual,dual,7.96,8.62,7.96,8.62,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_004,CHEMBL3216777,dual,dual,dual,8.88,6.88,8.88,6.88,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_005,CHEMBL3326699,dual,dual,dual,7.35,7.53,7.35,7.53,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_006,CHEMBL557405,dual,dual,dual,8.17,7.6,8.17,7.6,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_007,CHEMBL374981,dual,dual,dual,8.29,8.86,8.29,8.86,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_008,CHEMBL189906,dual,dual,dual,7.52,7.23,7.52,7.23,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_009,CHEMBL6151573,dual,dual,dual,6.8,7.15,6.8,7.15,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_010,CHEMBL4749805,dual,dual,dual,6.84,6.81,6.84,6.81,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_011,CHEMBL4781117,dual,dual,dual,6.51,6.67,6.51,6.67,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_012,CHEMBL4212275,dual,dual,dual,7.33,7.91,7.33,7.91,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_013,CHEMBL80221,dual,dual,dual,6.79,7.66,6.79,7.66,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_014,CHEMBL4866930,dual,dual,dual,8.74,7.5,8.74,7.5,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_015,CHEMBL2064464,dual,dual,dual,9.5,7.2,9.5,7.2,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_016,CHEMBL273051,dual,dual,dual,7.45,7.82,7.45,7.82,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_017,CHEMBL3753850,dual,dual,dual,7.61,7.99,7.61,7.99,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_018,CHEMBL659,dual,dual,dual,7.21,7.29,7.21,7.29,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_019,CHEMBL3642049,dual,dual,dual,8.34,9.6,8.34,9.6,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_020,CHEMBL334395,dual,dual,dual,6.52,7.0,6.52,7.0,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_021,CHEMBL4535585,dual,dual,dual,7.0,7.13,7.0,7.13,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_022,CHEMBL2019044,dual,dual,dual,9.0,8.82,9.0,8.82,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_023,CHEMBL4207101,dual,dual,dual,8.12,8.63,8.12,8.63,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_024,CHEMBL5276955,dual,dual,dual,7.96,7.26,7.96,7.26,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_025,CHEMBL6150640,dual,dual,dual,6.85,7.44,6.85,7.44,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_026,CHEMBL1080386,dual,dual,dual,8.22,8.22,8.22,8.22,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_027,CHEMBL3326708,dual,dual,dual,7.25,7.51,7.25,7.51,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_028,CHEMBL1783515,dual,dual,dual,8.05,6.66,8.05,6.66,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_029,CHEMBL3985059,A_only,A_only,A_only,7.39,5.09,7.39,5.09,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_030,CHEMBL3425895,A_only,A_only,A_only,6.52,5.46,6.52,5.46,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_031,CHEMBL2419687,A_only,A_only,A_only,7.27,5.08,7.27,5.08,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_032,CHEMBL5281758,A_only,A_only,A_only,6.52,4.5,6.52,4.5,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_033,CHEMBL4283450,A_only,A_only,A_only,6.77,5.19,6.77,5.19,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_034,CHEMBL1773487,A_only,A_only,A_only,6.84,4.98,6.84,4.98,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_035,CHEMBL3952144,A_only,A_only,A_only,6.57,5.09,6.57,5.09,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_036,CHEMBL1773489,A_only,A_only,A_only,6.68,5.01,6.68,5.01,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_037,CHEMBL597794,A_only,A_only,A_only,6.96,4.04,6.96,4.04,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_038,CHEMBL599644,A_only,A_only,A_only,7.28,5.3,7.28,5.3,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_039,CHEMBL597188,A_only,A_only,A_only,7.25,5.09,7.25,5.09,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_040,CHEMBL222904,A_only,A_only,A_only,8.48,5.07,8.48,5.07,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_041,CHEMBL164,A_only,A_only,A_only,7.92,4.15,7.92,4.15,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_042,CHEMBL3910513,A_only,A_only,A_only,6.83,4.41,6.83,4.41,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_043,CHEMBL1678,A_only,A_only,A_only,7.94,5.14,7.94,5.14,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_044,CHEMBL3900968,A_only,A_only,A_only,7.02,4.92,7.02,4.92,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_045,CHEMBL206093,A_only,A_only,A_only,7.44,4.44,7.44,4.44,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_046,CHEMBL254016,A_only,A_only,A_only,8.48,5.07,8.48,5.07,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_047,CHEMBL4292477,A_only,A_only,A_only,7.39,5.37,7.39,5.37,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_048,CHEMBL3933395,A_only,A_only,A_only,7.01,4.73,7.01,4.73,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_049,CHEMBL378404,A_only,A_only,A_only,7.42,4.28,7.42,4.28,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_050,CHEMBL3093795,A_only,A_only,A_only,6.85,5.11,6.85,5.11,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_051,CHEMBL5280980,A_only,A_only,A_only,9.3,5.3,9.3,5.3,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_052,CHEMBL5566300,A_only,A_only,A_only,7.8,4.32,7.8,4.32,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_055,CHEMBL572532,A_only,A_only,A_only,6.82,4.68,6.82,4.68,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_057,CHEMBL3754694,B_only,B_only,B_only,5.12,8.64,5.12,8.64,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_058,CHEMBL3892118,B_only,B_only,B_only,5.39,7.1,5.39,7.1,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_059,CHEMBL5435599,B_only,B_only,B_only,5.25,7.88,5.25,7.88,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
AChE/BChE,AB_060,CHEMBL224469,B_only,B_only,B_only,4.99,7.1,4.99,7.1,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
