pair,ligand,cls,pA,pB,score_A,score_B
JAK1/TYK2,J1TYK2_101,neither,5.43,5.46,7.956,8.206
JAK1/TYK2,J1TYK2_102,neither,5.03,5.5,8.185,8.378
JAK1/TYK2,J1TYK2_103,neither,5.28,4.51,7.892,8.37
JAK1/TYK2,J1TYK2_104,neither,5.16,4.38,7.936,8.02
JAK1/TYK2,J1TYK2_105,neither,5.0,5.0,9.27,8.017
JAK1/TYK2,J1TYK2_106,neither,5.48,5.32,9.277,9.416
JAK1/TYK2,J1TYK2_107,neither,4.3,4.3,7.728,8.433
JAK1/TYK2,J1TYK2_108,neither,4.3,4.3,7.593,8.542
JAK1/TYK2,J1TYK2_109,neither,5.26,5.26,7.831,8.852
JAK1/TYK2,J1TYK2_110,neither,5.26,5.26,8.293,8.739
PIK3CA/mTOR,PM48_01,dual,8.89,8.28,9.241,9.512
PIK3CA/mTOR,PM48_02,dual,10.72,9.74,9.282,10.949
PIK3CA/mTOR,PM48_03,dual,9.4,9.4,7.553,8.53
PIK3CA/mTOR,PM48_04,dual,8.85,9.35,9.758,10.505
PIK3CA/mTOR,PM48_05,dual,10.0,8.52,9.634,9.239
PIK3CA/mTOR,PM48_06,dual,9.21,8.48,8.186,9.247
PIK3CA/mTOR,PM48_07,dual,8.33,9.6,9.278,10.489
PIK3CA/mTOR,PM48_08,dual,9.24,8.1,7.691,9.085
PIK3CA/mTOR,PM48_09,dual,8.82,7.92,8.379,8.294
PIK3CA/mTOR,PM48_10,dual,7.85,9.54,9.091,10.095
PIK3CA/mTOR,PM48_11,dual,7.82,10.04,8.005,9.161
PIK3CA/mTOR,PM48_12,dual,8.46,7.72,8.859,7.663
PIK3CA/mTOR,PM48_13,dual,7.48,9.85,8.319,8.524
PIK3CA/mTOR,PM48_14,dual,7.8,7.43,7.786,8.642
PIK3CA/mTOR,PM48_15,dual,8.7,7.16,7.938,8.228
PIK3CA/mTOR,PM48_16,dual,7.41,6.82,8.751,7.765
PIK3CA/mTOR,PM48_17,dual,8.22,6.78,7.995,8.497
PIK3CA/mTOR,PM48_18,dual,8.3,6.46,8.948,8.567
PIK3CA/mTOR,PM48_19,A_only,10.05,5.92,6.238,6.452
PIK3CA/mTOR,PM48_20,A_only,8.7,5.92,8.805,8.865
PIK3CA/mTOR,PM48_21,A_only,8.7,5.92,8.288,9.303
PIK3CA/mTOR,PM48_22,A_only,8.77,5.83,7.429,7.951
PIK3CA/mTOR,PM48_23,A_only,8.57,5.64,7.713,7.804
PIK3CA/mTOR,PM48_24,A_only,9.46,5.61,7.537,6.8
PIK3CA/mTOR,PM48_25,A_only,10.0,5.51,6.082,6.736
PIK3CA/mTOR,PM48_26,A_only,8.4,5.32,9.116,8.879
PIK3CA/mTOR,PM48_27,A_only,8.7,5.27,8.501,8.08
PIK3CA/mTOR,PM48_28,A_only,8.76,5.24,8.226,9.343
PIK3CA/mTOR,PM48_29,A_only,8.4,5.11,8.311,7.718
PIK3CA/mTOR,PM48_30,A_only,7.1,5.1,7.6,8.12
PIK3CA/mTOR,PM48_31,A_only,8.4,5.0,9.315,10.737
PIK3CA/mTOR,PM48_32,A_only,8.22,4.54,7.58,8.194
PIK3CA/mTOR,PM48_33,B_only,5.98,8.48,7.841,9.271
PIK3CA/mTOR,PM48_34,B_only,5.93,9.72,8.363,9.074
PIK3CA/mTOR,PM48_35,B_only,5.89,8.4,8.295,8.775
PIK3CA/mTOR,PM48_36,B_only,5.87,9.17,8.316,9.298
PIK3CA/mTOR,PM48_37,B_only,5.74,9.8,7.835,7.888
PIK3CA/mTOR,PM48_38,B_only,5.64,9.0,8.752,9.412
PIK3CA/mTOR,PM48_39,B_only,5.58,8.7,8.129,8.309
PIK3CA/mTOR,PM48_40,B_only,5.57,9.07,7.547,8.02
PIK3CA/mTOR,PM48_41,B_only,5.47,9.0,8.435,6.877
PIK3CA/mTOR,PM48_42,B_only,5.44,9.89,7.898,8.239
PIK3CA/mTOR,PM48_43,B_only,5.39,8.72,7.995,9.834
PIK3CA/mTOR,PM48_44,B_only,5.05,8.6,8.013,8.35
PIK3CA/mTOR,PM48_45,neither,5.96,4.0,9.596,9.339
PIK3CA/mTOR,PM48_46,neither,4.0,4.0,8.583,9.174
PIK3CA/mTOR,PM48_47,neither,5.82,4.0,7.99,8.408
PIK3CA/mTOR,PM48_48,neither,4.0,5.5,8.535,8.14
AChE/BChE,AB_002,dual,8.0,6.8,11.841,10.501
AChE/BChE,AB_003,dual,7.96,8.62,8.863,7.984
