pair,ligand,cls,pA,pB,score_A,score_B
PPARA/PPARD,PAPD_095,dual,8.33,7.43,7.231,9.391
PPARA/PPARD,PAPD_096,dual,8.47,7.16,7.169,9.571
PPARA/PPARD,PAPD_097,neither,4.52,4.52,6.567,6.73
PPARA/PPARD,PAPD_098,neither,4.83,5.17,9.669,10.509
PPARA/PPARD,PAPD_099,neither,4.54,4.21,10.019,10.308
PPARA/PPARD,PAPD_100,neither,5.18,4.85,9.453,10.472
PPARA/PPARD,PAPD_101,neither,4.71,4.31,6.316,6.207
PPARA/PPARD,PAPD_102,neither,4.33,4.96,8.38,9.09
PPARA/PPARD,PAPD_103,neither,5.5,5.47,8.205,9.003
PPARA/PPARD,PAPD_104,neither,4.73,5.47,10.065,11.415
PPARA/PPARD,PAPD_105,neither,4.84,5.13,9.298,10.17
PPARA/PPARD,PAPD_106,neither,5.06,5.35,8.832,9.778
PPARA/PPARD,PAPD_107,neither,5.12,5.29,9.347,9.643
PPARA/PPARD,PAPD_108,neither,4.39,4.32,8.195,9.334
PPARA/PPARD,PAPD_109,neither,5.17,4.37,8.7,8.572
PPARA/PPARD,PAPD_110,neither,4.65,4.01,8.274,10.196
AChE/BChE,AB_056,A_only,6.94,4.3,12.777,9.05
