block,manuscript_table,pair,setting,metric,value,ci_lo,ci_hi,n_scored,n_dual,n_A_only,n_B_only,n_flip,label_agreement,note,source_file
aggregation_sensitivity,Table S26,AChE/BChE,frozen_cached_max_theta6,summary_mean,0.6281,,,,27,25,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,AChE/BChE,frozen_cached_max_theta6,summary_geometric,0.6277,,,,27,25,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,AChE/BChE,frozen_cached_max_theta6,summary_harmonic,0.6273,,,,27,25,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/PIK3CB,frozen_cached_max_theta6,summary_min,0.5,,,,28,27,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/PIK3CB,frozen_cached_max_theta6,summary_mean,0.5953,,,,28,27,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/PIK3CB,frozen_cached_max_theta6,summary_geometric,0.5876,,,,28,27,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/PIK3CB,frozen_cached_max_theta6,summary_harmonic,0.58,,,,28,27,28,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/mTOR,frozen_cached_max_theta6,summary_min,0.6921,,,,18,14,12,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/mTOR,frozen_cached_max_theta6,summary_mean,0.7032,,,,18,14,12,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/mTOR,frozen_cached_max_theta6,summary_geometric,0.7031,,,,18,14,12,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
aggregation_sensitivity,Table S26,PIK3CA/mTOR,frozen_cached_max_theta6,summary_harmonic,0.703,,,,18,14,12,,,Pair ranking unchanged under min/arithmetic/geometric/harmonic.,data/jcim_novelty_v0/tables/aggregation_min_mean_geometric_harmonic_v1.csv
assay_aggregation_A4,Table S29,EGFR/HER2,api_max_theta6,summary_min,0.417,0.2716,0.5647,110,29,37,32,,,API-refetched pChEMBL. Do not mix EGFR API-max 0.417 with frozen Table 2 0.430 (EH120_060 cache/API mismatch on HER2).,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
assay_aggregation_A4,Table S29,EGFR/HER2,api_median_theta6,summary_min,0.4242,0.2762,0.5664,110,26,35,33,7,0.936364,API-refetched pChEMBL. Do not mix EGFR API-max 0.417 with frozen Table 2 0.430 (EH120_060 cache/API mismatch on HER2).,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
assay_aggregation_A4,Table S29,AChE/BChE,api_max_theta6,summary_min,0.6058,0.4537,0.754,95,27,25,28,,,API-refetched pChEMBL; cache max matches API max on this pair.,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
assay_aggregation_A4,Table S29,AChE/BChE,api_median_theta6,summary_min,0.6291,0.4753,0.7706,95,26,25,28,1,0.989474,API-refetched pChEMBL; cache max matches API max on this pair.,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
assay_aggregation_A4,Table S29,PIK3CA/PIK3CB,api_max_theta6,summary_min,0.5,0.3457,0.6454,99,28,27,28,,,API-refetched pChEMBL; cache max matches API max on this pair.,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
assay_aggregation_A4,Table S29,PIK3CA/PIK3CB,api_median_theta6,summary_min,0.5,0.3457,0.6454,99,28,26,28,1,0.989899,API-refetched pChEMBL; cache max matches API max on this pair.,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
assay_aggregation_A4,Table S29,PIK3CA/mTOR,api_max_theta6,summary_min,0.6921,0.4907,0.8659,48,18,14,12,,,API-refetched pChEMBL; cache max matches API max on this pair.,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
assay_aggregation_A4,Table S29,PIK3CA/mTOR,api_median_theta6,summary_min,0.6921,0.4907,0.8659,48,18,14,12,0,1,API-refetched pChEMBL; cache max matches API max on this pair.,data/jcim_novelty_v0/tables/assay_max_vs_median_auroc_v1.csv
receptor_realization_B5,Table S9 / Table S30,PIK3CA/mTOR,4L23/4JT6,summary_min,0.6921,0.4638,0.8015,48,18,14,12,,,Original frozen panel. Exhaustiveness 16. Source: unified_threshold_sensitivity_v2.csv ,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv
receptor_realization_B5,Table S9 / Table S30,PIK3CA/mTOR,4JPS/4JT6,summary_min,0.4861,0.2589,0.6923,48,18,14,12,,,Pocket A replaced; pocket B frozen 4JT6. Exhaustiveness 16. Use deposited CSV CIs. ,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv
receptor_realization_B5,Table S9 / Table S30,PIK3CA/mTOR,5DXT/4JT6,summary_min,0.5046,0.2924,0.6958,48,18,14,12,,,Pocket A replaced; pocket B frozen 4JT6. Exhaustiveness 16. Use deposited CSV CIs. ,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv
receptor_realization_B5,Table S9 / Table S30,PIK3CA/mTOR,4L23/4JSX,summary_min,0.6389,0.4178,0.7758,48,18,14,12,,,Pocket B replaced (mTOR 4JSX); pocket A frozen 4L23. Not a PIK3CA swap. ,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv
receptor_realization_B5,Table S9 / Table S30,PIK3CA/PIK3CB,4L23/2WXF,summary_min,0.5,0.3468,0.648,99,28,27,28,,,Original frozen panel. Exhaustiveness 8. Same 99-ligand AUROC set as Table 2. PAB_034 A_only timeout_900s_torsdof=23 on 4L23; 2WXF success. Not a label filter.,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv
receptor_realization_B5,Table S9 / Table S30,PIK3CA/PIK3CB,4JPS/2WXF,summary_min,0.6905,0.5156,0.7786,99,28,27,28,,,Pocket A replaced; pocket B frozen 2WXF. Exhaustiveness 8. Weak arm switches from D/B to D/A. Use deposited CSV CIs. PAB_034 A_only timeout_600s (668.6 s) on 4JPS; 2WXF frozen success. Same ligand as original 4L23 timeout.,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv
receptor_realization_B5,Table S9 / Table S30,PIK3CA/PIK3CB,5DXT/2WXF,summary_min,0.6849,0.5057,0.7682,99,28,27,28,,,Pocket A replaced; pocket B frozen 2WXF. Exhaustiveness 8. D/B 0.6849 ≈ D/A 0.6905. Use deposited CSV CIs. PAB_034 A_only timeout_600s (665.0 s) on 5DXT; 2WXF frozen success. Same ligand as original 4L23 timeout.,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv
docking_census,Table S27,EGFR/HER2,main_panel,n_success_both_ends,110,,,110,,,,,,"AUROC tables condition on both-end scores; failures are engine/prep coverage, not silent missingness",data/jcim_novelty_v0/tables/docking_failure_census_v1.csv
docking_census,Table S27,AChE/BChE,main_panel,n_success_both_ends,95,,,100,,,,,,"AUROC tables condition on both-end scores; failures are engine/prep coverage, not silent missingness failed=AB_001:dual:A=fail:B=fail;AB_053:A_only:A=fail:B=fail;AB_054:A_only:A=fail:B=fail;AB_056:A_only:A=fail:B=fail;AB_097:neither:A=ok:B=fail",data/jcim_novelty_v0/tables/docking_failure_census_v1.csv
docking_census,Table S27,PIK3CA/PIK3CB,main_panel,n_success_both_ends,99,,,100,,,,,,"AUROC tables condition on both-end scores; failures are engine/prep coverage, not silent missingness failed=PAB_034:A_only:A=fail:B=ok",data/jcim_novelty_v0/tables/docking_failure_census_v1.csv
docking_census,Table S27,PIK3CA/mTOR,main_panel,n_success_both_ends,48,,,48,,,,,,"AUROC tables condition on both-end scores; failures are engine/prep coverage, not silent missingness",data/jcim_novelty_v0/tables/docking_failure_census_v1.csv
docking_census,Table S27,AChE/BChE,holdout,n_success_both_ends,60,,,60,,,,,,All attempted holdout ligands yielded both-end scores,data/jcim_novelty_v0/tables/docking_failure_census_v1.csv
docking_census,Table S27,PIK3CA/PIK3CB,holdout,n_success_both_ends,59,,,60,,,,,,"HOAP_028 is a boron AutoDock atom-type B coverage failure on both ends, excluded from AUROC (59/60) failed=HOAP_028:A=TypeError:   PDBQT parsing error: Atom type B is not a valid AutoDock type (atom:B=TypeError:   PDBQT parsing error: Atom type B is not a valid AutoDock type (atom",data/jcim_novelty_v0/tables/docking_failure_census_v1.csv
docking_census,Table S27,PIK3CA/mTOR,holdout,n_success_both_ends,60,,,60,,,,,,All attempted holdout ligands yielded both-end scores,data/jcim_novelty_v0/tables/docking_failure_census_v1.csv
descriptor_reference,Table 2 / Table S28,EGFR/HER2,prespecified_descriptor,best_single_descriptor_summary_min,0.4821,,,,,,,,,"See Table S28 for all four descriptors; highest is a reference, not a confirmatory test.",data/jcim_novelty_v0/tables/descriptor_all_four_directional_v1.csv
descriptor_reference,Table 2 / Table S28,AChE/BChE,prespecified_descriptor,best_single_descriptor_summary_min,0.7333,,,,,,,,,"See Table S28 for all four descriptors; highest is a reference, not a confirmatory test.",data/jcim_novelty_v0/tables/descriptor_all_four_directional_v1.csv
descriptor_reference,Table 2 / Table S28,PIK3CA/PIK3CB,prespecified_descriptor,best_single_descriptor_summary_min,0.6217,,,,,,,,,"See Table S28 for all four descriptors; highest is a reference, not a confirmatory test.",data/jcim_novelty_v0/tables/descriptor_all_four_directional_v1.csv
descriptor_reference,Table 2 / Table S28,PIK3CA/mTOR,prespecified_descriptor,best_single_descriptor_summary_min,0.463,,,,,,,,,"See Table S28 for all four descriptors; highest is a reference, not a confirmatory test.",data/jcim_novelty_v0/tables/descriptor_all_four_directional_v1.csv
detectable_effect,Table S31,EGFR/HER2,true_auroc_0.60,p_summary_min_ci_excludes_0.5,0.065,,,,28,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,EGFR/HER2,true_auroc_0.70,p_summary_min_ci_excludes_0.5,0.621,,,,28,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,EGFR/HER2,true_auroc_0.75,p_summary_min_ci_excludes_0.5,0.907,,,,28,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,AChE/BChE,true_auroc_0.60,p_summary_min_ci_excludes_0.5,0.049,,,,27,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,AChE/BChE,true_auroc_0.70,p_summary_min_ci_excludes_0.5,0.504,,,,27,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,AChE/BChE,true_auroc_0.75,p_summary_min_ci_excludes_0.5,0.828,,,,27,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,PIK3CA/PIK3CB,true_auroc_0.60,p_summary_min_ci_excludes_0.5,0.041,,,,28,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,PIK3CA/PIK3CB,true_auroc_0.70,p_summary_min_ci_excludes_0.5,0.564,,,,28,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,PIK3CA/PIK3CB,true_auroc_0.75,p_summary_min_ci_excludes_0.5,0.849,,,,28,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,PIK3CA/mTOR,true_auroc_0.60,p_summary_min_ci_excludes_0.5,0.025,,,,18,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,PIK3CA/mTOR,true_auroc_0.70,p_summary_min_ci_excludes_0.5,0.219,,,,18,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
detectable_effect,Table S31,PIK3CA/mTOR,true_auroc_0.75,p_summary_min_ci_excludes_0.5,0.452,,,,18,,,,,Binormal simulation; N_MC=1000; ligand bootstrap B=2000; not observed power. n_neg column in source CSV is n_A/n_B.,data/jcim_novelty_v0/tables/detectable_effect_simulation_v1.csv
independent_pose_generation,Table S32,EGFR/HER2,gnina_dock_mode1,D_vs_A_pocketB,0.6598,0.515,0.7914,,28,38,,,,"dual vs A-only scored in pocket B. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,EGFR/HER2,gnina_dock_mode1,D_vs_B_pocketA,0.2199,0.1093,0.3427,,28,,32,,,"dual vs B-only scored in pocket A. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,EGFR/HER2,gnina_dock_mode1,summary_min,0.2199,,,,28,,,,,"worst-arm aggregation. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,EGFR/HER2,gnina_dock_mode1,D_vs_neither_mean,0.7825,0.6104,0.9222,,28,,,,,"dual vs neither using mean pocket score. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,PIK3CA/mTOR,gnina_dock_mode1,D_vs_A_pocketB,0.6325,0.4274,0.8248,,18,13,,,,"dual vs A-only scored in pocket B. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,PIK3CA/mTOR,gnina_dock_mode1,D_vs_B_pocketA,0.7037,0.5,0.8657,,18,,12,,,"dual vs B-only scored in pocket A. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,PIK3CA/mTOR,gnina_dock_mode1,summary_min,0.6325,,,,18,,,,,"worst-arm aggregation. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,PIK3CA/mTOR,gnina_dock_mode1,D_vs_neither_mean,0.5694,0.2222,0.8889,,18,,,,,"dual vs neither using mean pocket score. GNINA docking search, not Vina-pose rescore. Not an engine bake-off.",data/jcim_independent_dock_v0/tables/independent_dock_formulation_v1.csv
independent_pose_generation,Table S32,EGFR/HER2,gnina_dock_mode1,gnina_summary_min,0.2199,,,,,,,,,verdict=gap_remains; gnina_D_vs_neither_mean=0.7825; vina_summary_min_ref=0.43; delta_summary_min_vs_vina=-0.2101. Not an engine bake-off.,data/jcim_independent_dock_v0/tables/independent_dock_summary_v1.csv
independent_pose_generation,Table S32,PIK3CA/mTOR,gnina_dock_mode1,gnina_summary_min,0.6325,,,,,,,,,verdict=gap_smaller_same_sign; gnina_D_vs_neither_mean=0.5694; vina_summary_min_ref=0.692; delta_summary_min_vs_vina=-0.0595. Not an engine bake-off.,data/jcim_independent_dock_v0/tables/independent_dock_summary_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Met772,abs_shift_max,0.229167,,,,,,,,,"4L23=1.0; 4JPS=0.7708333333333334; 5DXT=0.9583333333333334; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Leu807,abs_shift_max,0.1875,,,,,,,,,"4L23=0.5833333333333334; 4JPS=0.3958333333333333; 5DXT=0.3958333333333333; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Gln859,abs_shift_max,0.1875,,,,,,,,,"4L23=0.625; 4JPS=0.6458333333333334; 5DXT=0.8125; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Thr856,abs_shift_max,0.1875,,,,,,,,,"4L23=0.6875; 4JPS=0.5; 5DXT=0.5416666666666666; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Cys838,abs_shift_max,0.166667,,,,,,,,,"4L23=0.0625; 4JPS=0.22916666666666666; 5DXT=0.0; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Glu849,abs_shift_max,0.166667,,,,,,,,,"4L23=0.9166666666666666; 4JPS=0.8541666666666666; 5DXT=0.75; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Phe930,abs_shift_max,0.166667,,,,,,,,,"4L23=0.4375; 4JPS=0.6041666666666666; 5DXT=0.4791666666666667; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Asp933,abs_shift_max,0.145833,,,,,,,,,"4L23=1.0; 4JPS=0.8541666666666666; 5DXT=0.9375; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Asp810,abs_shift_max,0.145833,,,,,,,,,"4L23=0.7291666666666666; 4JPS=0.5833333333333334; 5DXT=0.6666666666666666; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
pik3ca_occupancy,Table S33,PIK3CA/mTOR,Trp780,abs_shift_max,0.125,,,,,,,,,"4L23=0.9583333333333334; 4JPS=0.8333333333333334; 5DXT=0.9166666666666666; heavy-atom occupancy ≤4.5 Å; hypothesis, not residue-level cause.",data/jcim_structure_robust_v0/analysis/plif_v1/plif_residue_shift_top10_v1.csv
