molecule_chembl_id,target_chembl_id,assay_chembl_id,document_chembl_id,pchembl_value,standard_type,standard_relation,assay_type,assay_organism,confidence_score,keep,exclusion_reasons
CHEMBL1614725,CHEMBL1824,CHEMBL2351563,CHEMBL2346616,7.77,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1614725,CHEMBL1824,CHEMBL3636785,CHEMBL3632549,8.52,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL3636785,CHEMBL3632549,7.23,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL3887534,CHEMBL3886356,8.03,IC50,=,B,,8,1,
CHEMBL1873475,CHEMBL1824,CHEMBL4023690,CHEMBL4020831,,Inhibition,=,A,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL1873475,CHEMBL1824,CHEMBL4058116,CHEMBL4052785,8.03,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL4189697,CHEMBL4184325,8.82,IC50,=,B,Homo sapiens,9,1,
CHEMBL1873475,CHEMBL1824,CHEMBL4258943,CHEMBL4257496,8.03,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL4347069,CHEMBL4346659,7.66,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL4356093,CHEMBL4354810,7.23,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL4358519,CHEMBL4354855,8.92,Kd,=,B,Homo sapiens,9,1,
CHEMBL1873475,CHEMBL1824,CHEMBL4414916,CHEMBL4414549,7.72,IC50,=,A,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL4670947,CHEMBL4665812,8.01,IC50,=,B,Homo sapiens,9,1,
CHEMBL1614725,CHEMBL1824,CHEMBL4670947,CHEMBL4665812,8.04,IC50,=,B,Homo sapiens,9,1,
CHEMBL1873475,CHEMBL1824,CHEMBL4720223,CHEMBL4715815,8.03,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL180022,CHEMBL1824,CHEMBL4724282,CHEMBL4715878,7.22,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL4726197,CHEMBL4725253,8.19,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL5127260,CHEMBL5126513,8.19,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL5133798,CHEMBL5131445,9.12,Kd,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5135821,CHEMBL5131516,7.23,IC50,=,B,Homo sapiens,9,0,potential_duplicate
