molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold
CHEMBL5590746,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2ncsc2c1,5.44,1,c1ccc(-c2cccc3scnc23)cc1
CHEMBL5597097,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2oc(C(F)(F)F)cc2c1,6.98,1,c1ccc(-c2cccc3ccoc23)cc1
CHEMBL5597034,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2oc(Cl)cc2c1,7.475,2,c1ccc(-c2cccc3ccoc23)cc1
CHEMBL5591047,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2oc(F)cc2c1,7.465,2,c1ccc(-c2cccc3ccoc23)cc1
CHEMBL5598004,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2occ(C(F)(F)F)c2c1,5.78,1,c1ccc(-c2cccc3ccoc23)cc1
CHEMBL5598394,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2occc2c1,6.85,2,c1ccc(-c2cccc3ccoc23)cc1
CHEMBL5598423,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2sccc2c1,6.35,1,c1ccc(-c2cccc3ccsc23)cc1
CHEMBL5597556,,N#Cc1cc(-c2ccc(C(=O)O)cc2)c2occc2c1,6.22,1,c1ccc(-c2cccc3ccoc23)cc1
CHEMBL6148570,,N#Cc1cc(-n2cnc(C(=O)O)c2)ccc1N1CCCCCC1,4.97,1,c1cn(-c2ccc(N3CCCCCC3)cc2)cn1
CHEMBL4757464,,N#Cc1cc(C(=O)N2CCc3ccccc32)cc(C#N)c1O,4.08,1,O=C(c1ccccc1)N1CCc2ccccc21
CHEMBL4796568,,N#Cc1cc(C(=O)N2CCc3ccccc32)cc(C2CC2)c1O,5.06,1,O=C(c1cccc(C2CC2)c1)N1CCc2ccccc21
CHEMBL4744854,,N#Cc1cc(C(=O)N2CCc3ccccc32)cc(Cl)c1O,4.83,1,O=C(c1ccccc1)N1CCc2ccccc21
CHEMBL4796932,,N#Cc1cc(C(=O)N2CCc3ccccc32)cc(I)c1O,5.28,1,O=C(c1ccccc1)N1CCc2ccccc21
CHEMBL4762461,,N#Cc1cc(C(=O)N2CCc3ccccc32)ccc1O,5.6,1,O=C(c1ccccc1)N1CCc2ccccc21
CHEMBL4740995,,N#Cc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C2CC2)c1O,4.72,1,O=C(c1cccc(C2CC2)c1)N1CS(=O)(=O)c2ccccc21
CHEMBL4744184,,N#Cc1cc(C(=O)N2CSc3ccccc32)cc(C(F)(F)F)c1O,4.88,1,O=C(c1ccccc1)N1CSc2ccccc21
CHEMBL3683348,,N#Cc1cc(Cl)cc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c1,7.57,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3890592,,N#Cc1cc(Cl)ccc1NS(=O)(=O)c1ccccc1C(F)(F)F,6.96,1,O=S(=O)(Nc1ccccc1)c1ccccc1
CHEMBL3683331,,N#Cc1cc(Cl)ccc1Oc1ccc(S(=O)(=O)Nc2ccc(F)cn2)cc1C#N,6.76,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683358,,N#Cc1cc(F)c(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1F,7.11,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683322,,N#Cc1cc(F)ccc1Oc1ccc(S(=O)(=O)Nc2ccc(F)cn2)cc1C#N,6.62,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3938886,,N#Cc1cc(NS(=O)(=O)c2ccccc2C#N)ccc1Cl,6.9,1,O=S(=O)(Nc1ccccc1)c1ccccc1
CHEMBL3973326,,N#Cc1cc(NS(=O)(=O)c2ccccc2C(F)(F)F)ccc1C(F)(F)F,7.5,1,O=S(=O)(Nc1ccccc1)c1ccccc1
CHEMBL3899557,,N#Cc1cc(NS(=O)(=O)c2ccccc2C(F)(F)F)ccc1Cl,7.75,1,O=S(=O)(Nc1ccccc1)c1ccccc1
CHEMBL3933221,,N#Cc1cc(NS(=O)(=O)c2ccccc2Cl)ccc1Cl,7.09,1,O=S(=O)(Nc1ccccc1)c1ccccc1
