repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3
REP_01259,CHEMBL74355,VOLINANSERIN,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,HXTGXYRHXAGCFP-OAQYLSRUSA-N,373.47,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,698
REP_00028,CHEMBL1180725,PROPANTHELINE,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,VVWYOYDLCMFIEM-UHFFFAOYSA-N,368.5,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc2c(c1)Cc1ccccc1O2,699
REP_00029,CHEMBL1189679,PALONOSETRON,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,CPZBLNMUGSZIPR-NVXWUHKLSA-N,296.41,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,700
REP_00030,CHEMBL119423,TISOPURINE,Sc1ncnc2[nH]ncc12,PYAOPMWCFSVFOT-UHFFFAOYSA-N,152.18,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ncc2cn[nH]c2n1,701
REP_00031,CHEMBL1194666,DIETHYLPROPION,CCN(CC)C(C)C(=O)c1ccccc1,XXEPPPIWZFICOJ-UHFFFAOYSA-N,205.3,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccccc1,702
REP_00032,CHEMBL1200395,ORPHENADRINE CITRATE,Cc1ccccc1C(OCCN(C)C)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,MMMNTDFSPSQXJP-UHFFFAOYSA-N,461.51,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(Cc2ccccc2)cc1,703
REP_00033,CHEMBL1200436,OXANDROLONE,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,QSLJIVKCVHQPLV-PEMPUTJUSA-N,306.45,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1CC2CCC3C4CCCC4CCC3C2CO1,704
REP_00034,CHEMBL1200438,TIOCONAZOLE,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,QXHHHPZILQDDPS-UHFFFAOYSA-N,387.72,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(C(Cn2ccnc2)OCc2ccsc2)cc1,705
REP_01258,CHEMBL73822,APAZIQUONE,Cn1c(/C=C/CO)c(CO)c2c1C(=O)C=C(N1CC1)C2=O,MXPOCMVWFLDDLZ-NSCUHMNNSA-N,288.3,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1C(N2CC2)=CC(=O)c2[nH]ccc21,706
REP_01220,CHEMBL560592,DANEGAPTIDE,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,BIZKIHUJGMSVFD-MNOVXSKESA-N,291.31,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(NC1CCNC1)c1ccccc1,707
