repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,selection_reason
REP_07850,CHEMBL3786896,AZD-8165,CCC(=O)O[C@@H](C(=O)N1N=CC[C@H]1C(=O)NCc1cc(Cl)ccc1-n1cnnn1)c1ccc(F)cc1,YUHNXUAATAMVKD-PZJWPPBQSA-N,513.92,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NCc1ccccc1-n1cnnn1)C1CC=NN1C(=O)Cc1ccccc1,868,nlrp3_p_active_ge_threshold
REP_07814,CHEMBL3545328,XL-019,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,ISOCDPQFIXDIMS-UHFFFAOYSA-N,444.54,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,869,nlrp3_p_active_ge_threshold
REP_07816,CHEMBL3545355,CHF4227,COc1ccc(C2=C(Cc3ccc(OCCN4CCCCC4)cc3)c3ccc(O)cc3OC2)cc1,ZUDXUNPSRMREOJ-UHFFFAOYSA-N,471.6,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(C2=C(Cc3ccc(OCCN4CCCCC4)cc3)c3ccccc3OC2)cc1,870,nlrp3_p_active_ge_threshold
REP_07842,CHEMBL3732012,GDC-0134,Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC(F)(F)C3)n2)cc1OC(F)F,SKMKJBYBPYBDMN-RYUDHWBXSA-N,440.4,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cncc(-c2cc(N3CC4CC3CO4)nc(N3CCCC3)n2)c1,871,nlrp3_p_active_ge_threshold
REP_07830,CHEMBL3633802,ETC-159,Cn1c(=O)c2c(ncn2CC(=O)Nc2ccc(-c3ccccc3)nn2)n(C)c1=O,QTRXIFVSTWXRJJ-UHFFFAOYSA-N,391.39,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1ccc(-c2ccccc2)nn1,872,nlrp3_p_active_ge_threshold
REP_00857,CHEMBL3545186,FONADELPAR,Cc1cc2c(CCc3sc(-c4ccc(C(F)(F)F)cc4)nc3C(C)C)noc2cc1OCC(=O)O,WWKYLBGQYALEDL-UHFFFAOYSA-N,504.53,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(-c2ncc(CCc3noc4ccccc34)s2)cc1,873,nlrp3_p_active_ge_threshold
REP_00858,CHEMBL3545235,SIMOTINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(CC2)C2(C1)OCCO2,OXWUWXCJDBRCCG-UHFFFAOYSA-N,500.96,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(Nc2ncnc3ccc(OCCN4CC5(CC5)C5(C4)OCCO5)cc23)cc1,874,nlrp3_p_active_ge_threshold
REP_06373,CHEMBL4297469,LGD-6972,Cc1cc(C)c(-c2ccc(NC(=O)[C@H](Cc3ccc(C(=O)NCCS(=O)(=O)O)cc3)c3ccc(-c4ccc(C(C)(C)C)cc4)cc3)cc2)c(C)c1,HKJMCBYPVCGZFB-LDLOPFEMSA-N,702.92,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Nc1ccc(-c2ccccc2)cc1)C(Cc1ccccc1)c1ccc(-c2ccccc2)cc1,875,nlrp3_p_active_ge_threshold
REP_06377,CHEMBL4297478,VAMOTINIB,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nnc2ccccn12,SLIVDYMORZGPLW-UHFFFAOYSA-N,532.57,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2nnc3ccccn23)c1,876,nlrp3_p_active_ge_threshold
REP_06379,CHEMBL4297480,SX-682,O=C(Nc1ccc(F)cc1)c1cnc(SCc2cc(OC(F)(F)F)ccc2B(O)O)nc1,SDUDZBCEHIZMFZ-UHFFFAOYSA-N,467.21,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Nc1ccccc1)c1cnc(SCc2ccccc2)nc1,877,nlrp3_p_active_ge_threshold
